Year,iso_code3,nemomod_entc_frac_min_share_production_pp_coal
2010,ABW,0.0747136502905965
2011,ABW,0.0747136502905965
2012,ABW,0.0747136502905965
2013,ABW,0.0747136502905965
2014,ABW,0.0747136502905965
2015,ABW,0.0874847676660066
2016,ABW,0.0783190733670267
2017,ABW,0.0385911098153285
2018,ABW,0.0569898915131663
2019,ABW,0.1017016711414155
2020,ABW,0.1178880062858901
2010,AFG,0.7791634114072247
2011,AFG,0.7791634114072247
2012,AFG,0.7791634114072247
2013,AFG,0.7791634114072247
2014,AFG,0.7791634114072247
2015,AFG,0.7791634114072247
2016,AFG,0.7712930697191429
2017,AFG,0.7748183465998608
2018,AFG,0.7807872199509023
2019,AFG,0.7600800260026516
2020,AFG,0.7432153915684512
2010,AGO,0.0890955352400809
2011,AGO,0.09119476059562
2012,AGO,0.1018075510238991
2013,AGO,0.1102034906766008
2014,AGO,0.1052186368574527
2015,AGO,0.1070885574022743
2016,AGO,0.1066566655893353
2017,AGO,0.0960706893860505
2018,AGO,0.0944620296624523
2019,AGO,0.0967563687923854
2020,AGO,0.0916948875257155
2010,ALB,0.5776259152119779
2011,ALB,0.5776259152119779
2012,ALB,0.5776259152119779
2013,ALB,0.5776259152119779
2014,ALB,0.5776259152119779
2015,ALB,0.5776259152119779
2016,ALB,0.5097645829102069
2017,ALB,0.6086839081437022
2018,ALB,0.503574834553255
2019,ALB,0.5985285182724993
2020,ALB,0.4938500144013068
2010,AND,0.046638031124308
2011,AND,0.0360991090718735
2012,AND,0.0430749374772656
2013,AND,0.0460040841570317
2014,AND,0.0245583840721414
2015,AND,0.0257648853596377
2016,AND,0.0223790486831711
2017,AND,0.0281004202445495
2018,AND,0.0188958735686308
2019,AND,0.0108748427751986
2020,AND,0.0099920457883165
2010,ARE,0.0
2011,ARE,0.0
2012,ARE,0.0
2013,ARE,0.0
2014,ARE,0.0
2015,ARE,0.0
2016,ARE,0.0
2017,ARE,0.0
2018,ARE,0.0
2019,ARE,0.0
2020,ARE,0.0
2010,ARG,0.0200564774777413
2011,ARG,0.0200564774777413
