,Nation,Year,Oil and oil products (PJ),Gas (PJ),Coal and coal products (PJ),Biofuels and waste (PJ),Heat (PJ),Electricity (PJ),Other sources (PJ),Total final energy use (PJ),Pseudo Total (PJ),frac_scoe_heat_energy_commercial_municipal_coal,frac_scoe_heat_energy_commercial_municipal_diesel,frac_scoe_heat_energy_commercial_municipal_electricity,frac_scoe_heat_energy_commercial_municipal_gasoline,frac_scoe_heat_energy_commercial_municipal_hydrocarbon_gas_liquids,frac_scoe_heat_energy_commercial_municipal_hydrogen,frac_scoe_heat_energy_commercial_municipal_kerosene,frac_scoe_heat_energy_commercial_municipal_natural_gas,frac_scoe_heat_energy_commercial_municipal_solid_biomass,gdp_mmm_usd,gdp_class
0,Albania,2011,1.14,0.06,0.05,0.67,0.0,4.67,0.25,6.84,6.689999999999999,0.0074738415545590456,0.10224215246636773,0.6980568011958148,0.03408071748878924,0.03408071748878924,0.0,0.014947683109118091,0.008968609865470854,0.10014947683109121,21.159910106,2
1,Albania,2012,0.51,0.0,0.04,1.03,0.0,4.76,0.25,6.58,6.44,0.006211180124223602,0.047515527950310554,0.7391304347826086,0.015838509316770187,0.015838509316770187,0.0,0.015527950310559006,0.0,0.15993788819875776,21.865577182,2
2,Albania,2013,1.41,0.0,0.16,0.82,0.0,5.32,0.26,7.96,7.814000000000001,0.02047606859482979,0.10826721269516251,0.6808292807780906,0.036089070898387504,0.036089070898387504,0.0,0.013309444586639364,0.0,0.10493985154850267,22.571244258,2
3,Albania,2014,1.64,0.0,0.14,0.47,0.0,4.94,0.28,7.47,7.3020000000000005,0.01917282936181868,0.13475760065735412,0.6765269789098877,0.04491920021911805,0.04491920021911805,0.0,0.015338263489454945,0.0,0.06436592714324842,23.276911334,2
4,Albania,2015,1.98,0.0,0.12,0.94,0.0,4.94,0.23,8.2,8.072,0.014866204162537167,0.14717542120911795,0.6119920713577801,0.049058473736372656,0.049058473736372656,0.0,0.011397423191278497,0.0,0.11645193260654113,23.98257841,2
5,Albania,2016,2.02,0.0,0.15,0.91,0.0,4.15,0.23,7.47,7.322,0.020486205954657197,0.16552854411363016,0.5667850314121825,0.055176181371210054,0.055176181371210054,0.0,0.012564872985523083,0.0,0.124282982791587,24.52576748,2
6,Albania,2017,2.54,0.0,0.14,0.78,0.0,5.24,0.21,8.91,8.783999999999999,0.015938069216757746,0.17349726775956287,0.5965391621129327,0.05783242258652096,0.05783242258652096,0.0,0.009562841530054647,0.0,0.08879781420765029,25.06895655,2
7,Albania,2018,2.66,0.0,0.14,0.6,0.0,5.38,0.21,8.98,8.863999999999999,0.015794223826714804,0.18005415162454877,0.6069494584837546,0.06001805054151626,0.06001805054151626,0.0,0.009476534296028882,0.0,0.06768953068592058,25.61214562,2
8,Albania,2019,2.64,0.0,0.18,0.82,0.0,5.66,0.22,9.53,9.388,0.019173412867490414,0.16872603323391563,0.6028973157221986,0.05624201107797188,0.05624201107797188,0.0,0.009373668512995315,0.0,0.08734554750745632,26.15533469,2
9,Argentina,2011,16.3,58.4,0.0,6.89,0.0,102.1,0.0,183.68,183.69,0.0,0.05324187489792585,0.5558277532799826,0.01774729163264195,0.01774729163264195,0.0,0.0,0.3179269421307638,0.03750884642604388,579.43003814,2
10,Argentina,2012,16.84,62.1,0.0,6.01,0.0,102.98,0.0,187.93,187.92999999999998,0.0,0.053764699622199756,0.5479699888256266,0.017921566540733257,0.017921566540733257,0.0,0.0,0.3304421859202895,0.03197999255041771,599.33317778,2
11,Argentina,2013,17.36,62.19,0.0,7.02,0.0,108.84,0.0,195.41,195.41,0.0,0.053303310987155204,0.5569827542090988,0.017767770329051736,0.017767770329051736,0.0,0.0,0.3182539276393224,0.035924466506320044,619.23631742,2
12,Argentina,2014,16.42,61.42,0.0,7.18,0.0,105.68,0.0,190.7,190.70000000000005,0.0,0.05166229680125851,0.5541688515993707,0.017220765600419508,0.017220765600419508,0.0,0.0,0.3220765600419506,0.037650760356581006,639.13945706,2
13,Argentina,2015,16.69,61.3,0.0,7.36,0.0,120.34,0.0,205.7,205.69,0.0,0.0486849141912587,0.5850551801254315,0.016228304730419568,0.016228304730419568,0.0,0.0,0.29802129418056295,0.03578200204190773,659.0425967,2
14,Argentina,2016,15.44,47.54,0.0,6.79,0.0,123.28,0.0,193.05,193.04999999999998,0.0,0.04798756798756799,0.6385910385910386,0.015995855995855998,0.015995855995855998,0.0,0.0,0.24625744625744628,0.035172235172235174,649.22546224,2
15,Argentina,2017,14.13,59.18,0.0,6.56,0.0,116.14,0.0,196.01,196.01,0.0,0.043252895260445894,0.5925207897556247,0.014417631753481968,0.014417631753481968,0.0,0.0,0.30192337125656854,0.033467680220396916,639.40832778,2
16,Argentina,2018,13.31,58.66,0.0,6.65,0.0,115.47,0.0,194.09,194.09,0.0,0.041145860167963316,0.5949301870266371,0.01371528672265444,0.01371528672265444,0.0,0.0,0.3022309237982379,0.03426245556185275,629.59119332,2
17,Argentina,2019,14.76,50.6,0.0,6.4,0.0,112.12,0.0,183.87,183.88,0.0,0.0481618446813139,0.6097454861866435,0.016053948227104632,0.016053948227104632,0.0,0.0,0.27517946486839245,0.034805307809440945,619.77405886,2
18,Australia,2011,27.97,45.63,0.95,1.1,0.0,220.96,0.4,297.01,296.77000000000004,0.0032011321899113785,0.056548842537992375,0.7445496512450719,0.018849614179330794,0.018849614179330794,0.0,0.000539138053037706,0.15375543350069076,0.003706574114634228,861.79223694,1
19,Australia,2012,30.11,45.63,0.86,1.5,0.0,216.4,0.41,294.91,294.664,0.002918578448673744,0.06131050959737192,0.7343957863872072,0.020436836532457307,0.020436836532457307,0.0,0.0005565661227703418,0.15485434257323596,0.0050905438058262975,895.12347708,1
20,Australia,2013,31.19,45.54,0.87,1.8,0.0,223.3,0.39,303.08,302.85600000000005,0.0028726523496315076,0.061791742610349455,0.737314103072087,0.020597247536783155,0.020597247536783155,0.0,0.0005150962833822014,0.1503684919565734,0.0059434186544100156,928.45471722,1
21,Australia,2014,32.25,49.26,1.05,2.1,0.0,225.2,0.37,310.23,310.00800000000004,0.0033870093675001933,0.06241774405821784,0.7264328662486128,0.020805914686072617,0.020805914686072617,0.0,0.00047740703465717004,0.1588991251838662,0.006774018735000387,961.78595736,1
22,Australia,2015,32.66,50.85,0.19,2.0,0.0,241.8,0.4,327.9,327.66,0.0005798693767930171,0.059805896355978744,0.7379600805713239,0.019935298785326253,0.019935298785326253,0.0,0.0004883110541414882,0.1551913568943417,0.0061038881767686015,995.1171975,1
23,Australia,2016,29.83,52.2,0.29,0.79,0.0,243.6,0.41,327.11,326.874,0.0008871920067059477,0.0547550432276657,0.7452412856329961,0.01825168107588857,0.01825168107588857,0.0,0.0005017223762061223,0.15969456120707062,0.0024168333975782717,1012.3560788,1
24,Australia,2017,30.91,53.1,0.48,0.9,0.0,248.5,0.42,334.32,334.05800000000005,0.0014368762310736456,0.055517305378107985,0.7438827987954186,0.01850576845936933,0.01850576845936933,0.0,0.000502906680875776,0.15895443306252205,0.002694142933263086,1029.5949601,1
25,Australia,2018,30.72,53.73,0.51,0.8,0.0,252.1,0.45,338.31,338.04,0.001508697195598154,0.05452609158679445,0.7457697313927345,0.01817536386226482,0.01817536386226482,0.0,0.0005324813631522897,0.15894568690095845,0.0023665838362323987,1046.8338414,1
26,Australia,2019,26.98,53.46,0.58,0.6,0.0,256.7,0.47,338.78,338.508,0.001713401160386165,0.04782161721436421,0.7583277204674631,0.01594053907145474,0.01594053907145474,0.0,0.0005553783071596535,0.15792832074869723,0.0017724839590201708,1064.0727227,1
27,Austria,2011,1.98,2.61,0.02,0.21,0.19,34.07,0.0,39.08,39.08,0.0005117707267144319,0.030399181166837257,0.8718014329580348,0.010133060388945753,0.010133060388945753,0.0,0.0,0.07164790174002048,0.0053735926305015355,310.97406008,2
28,Austria,2012,0.98,2.94,0.0,0.13,0.19,35.43,0.0,39.67,39.669999999999995,0.0,0.014822283841693977,0.8931182253592136,0.004940761280564659,0.004940761280564659,0.0,0.0,0.07890093269473154,0.0032770355432316617,318.40071376,2
29,Austria,2013,1.02,2.97,0.0,0.15,0.18,35.91,0.0,40.23,40.23,0.0,0.015212527964205818,0.8926174496644295,0.005070842654735273,0.005070842654735273,0.0,0.0,0.07829977628635348,0.0037285607755406414,325.82736744,2
30,Austria,2014,1.37,2.48,0.0,0.12,0.17,35.7,0.0,39.84,39.84,0.0,0.020632530120481926,0.8960843373493976,0.006877510040160643,0.006877510040160643,0.0,0.0,0.0665160642570281,0.003012048192771084,333.25402112,2
