Year,iso_code3,frac_scoe_heat_energy_residential_kerosene
2011,ABW,0.021952374151085016
2012,ABW,0.021952374151085016
2013,ABW,0.021952374151085016
2014,ABW,0.021952374151085016
2015,ABW,0.021952374151085016
2016,ABW,0.021952374151085016
2017,ABW,0.021952374151085016
2018,ABW,0.021952374151085016
2019,ABW,0.021952374151085016
2011,AFG,0.021952374151085016
2012,AFG,0.021952374151085016
2013,AFG,0.021952374151085016
2014,AFG,0.021952374151085016
2015,AFG,0.021952374151085016
2016,AFG,0.021952374151085016
2017,AFG,0.021952374151085016
2018,AFG,0.021952374151085016
2019,AFG,0.021952374151085016
2011,AGO,0.021952374151085016
2012,AGO,0.021952374151085016
2013,AGO,0.021952374151085016
2014,AGO,0.021952374151085016
2015,AGO,0.021952374151085016
2016,AGO,0.021952374151085016
2017,AGO,0.021952374151085016
2018,AGO,0.021952374151085016
2019,AGO,0.021952374151085016
2011,ALB,0.028234419986997307
2012,ALB,0.028217909916325414
2013,ALB,0.028117582618221608
2014,ALB,0.0304163126593033
2015,ALB,0.029393965591769607
2016,ALB,0.03348739862213301
2017,ALB,0.03866258111031
2018,ALB,0.03959143089577871
2019,ALB,0.04050679737353181
2011,ARE,0.02195237415108501
2012,ARE,0.02195237415108501
2013,ARE,0.02195237415108501
2014,ARE,0.02195237415108501
2015,ARE,0.02195237415108501
2016,ARE,0.02195237415108501
2017,ARE,0.02195237415108501
2018,ARE,0.02195237415108501
2019,ARE,0.02195237415108501
2011,ARG,0.012441324117202304
2012,ARG,0.012642320572974503
2013,ARG,0.012286602204251804
2014,ARG,0.012101565572289403
2015,ARG,0.011858180947057404
2016,ARG,0.011469894784114903
2017,ARG,0.011896248242574504
2018,ARG,0.011317059178134904
2019,ARG,0.011658812178785402
2011,ARM,0.021952374151085016
2012,ARM,0.021952374151085016
2013,ARM,0.021952374151085016
2014,ARM,0.021952374151085016
2015,ARM,0.021952374151085016
2016,ARM,0.021952374151085016
2017,ARM,0.021952374151085016
2018,ARM,0.021952374151085016
2019,ARM,0.021952374151085016
2011,AUS,0.006730308440663402
2012,AUS,0.0065384163435228005
2013,AUS,0.006541875007729003
2014,AUS,0.0064191789346128
2015,AUS,0.006198522887944403
2016,AUS,0.006652352821673101
2017,AUS,0.0058799919727072015
2018,AUS,0.005912199426428402
2019,AUS,0.006013871469323302
2011,AUT,0.02245823344669301
2012,AUT,0.020065745979783712
2013,AUT,0.02068184996154651
2014,AUT,0.02043703510181541
2015,AUT,0.019932067600121804
2016,AUT,0.018971509530029008
2017,AUT,0.019098323117029505
2018,AUT,0.018503153401597007
2019,AUT,0.018207729378011905
2011,AZE,0.0023355321804243
2012,AZE,0.0025312433806396013
2013,AZE,0.0022822075170892005
2014,AZE,0.0017072087630137004
2015,AZE,0.0012107890619178004
2016,AZE,0.0007429665830141003
2017,AZE,0.0006210719516490001
2018,AZE,0.0005517621904958003
2019,AZE,0.000392251040666
2011,BDI,0.021952374151085016
2012,BDI,0.021952374151085016
2013,BDI,0.021952374151085016
2014,BDI,0.021952374151085016
2015,BDI,0.021952374151085016
2016,BDI,0.021952374151085016
2017,BDI,0.021952374151085016
2018,BDI,0.021952374151085016
2019,BDI,0.021952374151085016
2011,BEL,0.040737695549418716
2012,BEL,0.03845303867403311
2013,BEL,0.03800344474739571
2014,BEL,0.039046402044565116
2015,BEL,0.04043227391446871
2016,BEL,0.037214783984370815
2017,BEL,0.037859021927283305
2018,BEL,0.037461148969079615
2019,BEL,0.03615762097489031
2011,BEN,0.021952374151085016
2012,BEN,0.021952374151085016
2013,BEN,0.021952374151085016
2014,BEN,0.021952374151085016
2015,BEN,0.021952374151085016
2016,BEN,0.021952374151085016
2017,BEN,0.021952374151085016
2018,BEN,0.021952374151085016
2019,BEN,0.021952374151085016
2011,BFA,0.021952374151085016
2012,BFA,0.021952374151085016
2013,BFA,0.021952374151085016
2014,BFA,0.021952374151085016
2015,BFA,0.021952374151085016
2016,BFA,0.021952374151085016
2017,BFA,0.021952374151085016
2018,BFA,0.021952374151085016
2019,BFA,0.021952374151085016
2011,BGD,0.021952374151085016
2012,BGD,0.021952374151085016
2013,BGD,0.021952374151085016
2014,BGD,0.021952374151085016
2015,BGD,0.021952374151085016
2016,BGD,0.021952374151085016
2017,BGD,0.021952374151085016
2018,BGD,0.021952374151085016
2019,BGD,0.021952374151085016
2011,BGR,0.0017955283537346009
2012,BGR,0.0016563604240282005
2013,BGR,0.0016919906856750007
2014,BGR,0.0017929418447773008
2015,BGR,0.0024602177554438006
2016,BGR,0.0019158375907502004
2017,BGR,0.0017051975733726004
2018,BGR,0.0016076892492264004
2019,BGR,0.0014980867807378004
2011,BHR,0.02195237415108501
2012,BHR,0.02195237415108501
2013,BHR,0.02195237415108501
2014,BHR,0.02195237415108501
2015,BHR,0.02195237415108501
2016,BHR,0.02195237415108501
2017,BHR,0.02195237415108501
2018,BHR,0.02195237415108501
2019,BHR,0.02195237415108501
2011,BHS,0.02195237415108501
2012,BHS,0.02195237415108501
2013,BHS,0.02195237415108501
2014,BHS,0.02195237415108501
2015,BHS,0.02195237415108501
2016,BHS,0.02195237415108501
2017,BHS,0.02195237415108501
2018,BHS,0.02195237415108501
2019,BHS,0.02195237415108501
2011,BIH,0.0
2012,BIH,0.0
2013,BIH,0.01645538155605261
2014,BIH,0.013691819329177304
2015,BIH,0.010472207145365701
2016,BIH,0.010934700685735401
2017,BIH,0.006591005216410502
2018,BIH,0.001953984544158201
2019,BIH,0.0010488056273846003
2011,BLR,0.0026867082430058003
2012,BLR,0.0021357869515691006
2013,BLR,0.002099598119882501
2014,BLR,0.001989906426384101
2015,BLR,0.0018708240534521007
2016,BLR,0.0014898388747209004
2017,BLR,0.0012825439024643005
2018,BLR,0.0012088775004132002
2019,BLR,0.0011382210306564004
2011,BLZ,0.021952374151085016
2012,BLZ,0.021952374151085016
2013,BLZ,0.021952374151085016
2014,BLZ,0.021952374151085016
2015,BLZ,0.021952374151085016
2016,BLZ,0.021952374151085016
2017,BLZ,0.021952374151085016
2018,BLZ,0.021952374151085016
2019,BLZ,0.021952374151085016
2011,BOL,0.021952374151085016
2012,BOL,0.021952374151085016
2013,BOL,0.021952374151085016
2014,BOL,0.021952374151085016
2015,BOL,0.021952374151085016
2016,BOL,0.021952374151085016
2017,BOL,0.021952374151085016
2018,BOL,0.021952374151085016
2019,BOL,0.021952374151085016
2011,BRA,0.04360497940521401
2012,BRA,0.043637104662536605
2013,BRA,0.04638452795762311
2014,BRA,0.044855716107794014
2015,BRA,0.04423315152523371
2016,BRA,0.045129402658567803
2017,BRA,0.04400650439619532
2018,BRA,0.041401384790320704
2019,BRA,0.041598243473421205
2011,BRB,0.02195237415108501
2012,BRB,0.02195237415108501
2013,BRB,0.02195237415108501
2014,BRB,0.02195237415108501
2015,BRB,0.02195237415108501
2016,BRB,0.02195237415108501
2017,BRB,0.02195237415108501
2018,BRB,0.02195237415108501
2019,BRB,0.02195237415108501
2011,BRN,0.02195237415108501
2012,BRN,0.02195237415108501
2013,BRN,0.02195237415108501
2014,BRN,0.02195237415108501
2015,BRN,0.02195237415108501
2016,BRN,0.02195237415108501
2017,BRN,0.02195237415108501
2018,BRN,0.02195237415108501
2019,BRN,0.02195237415108501
2011,BTN,0.021952374151085016
2012,BTN,0.021952374151085016
2013,BTN,0.021952374151085016
2014,BTN,0.021952374151085016
2015,BTN,0.021952374151085016
2016,BTN,0.021952374151085016
2017,BTN,0.021952374151085016
2018,BTN,0.021952374151085016
2019,BTN,0.021952374151085016
2011,BWA,0.021952374151085016
2012,BWA,0.021952374151085016
2013,BWA,0.021952374151085016
2014,BWA,0.021952374151085016
2015,BWA,0.021952374151085016
2016,BWA,0.021952374151085016
2017,BWA,0.021952374151085016
2018,BWA,0.021952374151085016
2019,BWA,0.021952374151085016
2011,CAF,0.021952374151085016
2012,CAF,0.021952374151085016
2013,CAF,0.021952374151085016
2014,CAF,0.021952374151085016
2015,CAF,0.021952374151085016
2016,CAF,0.021952374151085016
2017,CAF,0.021952374151085016
2018,CAF,0.021952374151085016
2019,CAF,0.021952374151085016
2011,CAN,0.012965670851234306
2012,CAN,0.012193257117891201
2013,CAN,0.010097618805049504
2014,CAN,0.009604365431229802
2015,CAN,0.009460984901933102
2016,CAN,0.009693283749769601
2017,CAN,0.008587069304805102
2018,CAN,0.0078492778619914
2019,CAN,0.008083023498051203
2011,CHE,0.05445021596314562
2012,CHE,0.05360434159328282
2013,CHE,0.05295338441890161
2014,CHE,0.05019348812383241
2015,CHE,0.04947211905161843
2016,CHE,0.04882187181485701
2017,CHE,0.04731306960689362
2018,CHE,0.04562875457260792
2019,CHE,0.04430518398534222
2011,CHL,0.020618861381749405
2012,CHL,0.019136129880312703
2013,CHL,0.019495340138210804
2014,CHL,0.028381271804393007
2015,CHL,0.02686176020965271
2016,CHL,0.030033154880656714
2017,CHL,0.030930851434383403
2018,CHL,0.030790776838902908
2019,CHL,0.030446106584746814
2011,CHN,0.021952374151085016
2012,CHN,0.021952374151085016
2013,CHN,0.021952374151085016
2014,CHN,0.021952374151085016
2015,CHN,0.021952374151085016
2016,CHN,0.021952374151085016
2017,CHN,0.021952374151085016
2018,CHN,0.021952374151085016
2019,CHN,0.021952374151085016
2011,CIV,0.021952374151085016
2012,CIV,0.021952374151085016
2013,CIV,0.021952374151085016
2014,CIV,0.021952374151085016
2015,CIV,0.021952374151085016
2016,CIV,0.021952374151085016
