Year,iso_code3,nemomod_entc_residual_capacity_pp_solar_gw
2010,AFG,0.0
2011,AFG,0.0
2012,AFG,0.0
2013,AFG,0.0
2014,AFG,0.0290138000673173
2015,AFG,0.0654683065279091
2016,AFG,0.0654683065279091
2017,AFG,0.0401469735060916
2018,AFG,0.0401469735060916
2019,AFG,0.0410752272287758
2020,AFG,0.0415393540901179
2010,AGO,0.0
2011,AGO,0.0
2012,AGO,0.0
2013,AGO,0.0
2014,AGO,0.0
2015,AGO,0.0
2016,AGO,0.0
2017,AGO,0.0
2018,AGO,0.0
2019,AGO,0.0
2020,AGO,0.0
2010,ALB,0.0
2011,ALB,0.0
2012,ALB,0.0
2013,ALB,0.0
2014,ALB,0.0
2015,ALB,0.0
2016,ALB,0.0
2017,ALB,0.0
2018,ALB,0.0
2019,ALB,0.0
2020,ALB,0.0
2010,ARE,0.0
2011,ARE,0.0
2012,ARE,0.0
2013,ARE,0.8931231632380444
2014,ARE,0.9465061559507524
2015,ARE,0.94374829001368
2016,ARE,0.8845326401347344
2017,ARE,0.9340475231574707
2018,ARE,0.9807186261558783
2019,ARE,1.047566710700132
2020,ARE,1.1065046235138705
2010,ARG,0.0259099204783133
2011,ARG,0.120938280254357
2012,ARG,0.6212806600814286
2013,ARG,0.7398731657220536
2014,ARG,0.6768952066772523
2015,ARG,0.753348143793062
2016,ARG,0.7544563780271971
2017,ARG,0.819616523624869
2018,ARG,0.883068583727367
2019,ARG,0.9076462733207632
2020,ARG,0.984198805903684
2010,ARM,0.0
2011,ARM,0.0
2012,ARM,0.0
2013,ARM,0.0
2014,ARM,0.0
2015,ARM,0.0
2016,ARM,0.0
2017,ARM,0.0
2018,ARM,0.0
2019,ARM,0.0
2020,ARM,0.0
2010,AUS,0.1606138780900867
2011,AUS,0.2711656394518967
2012,AUS,0.9732810623451223
2013,AUS,1.063727651404034
2014,AUS,2.1051109726177337
2015,AUS,2.917439294901053
2016,AUS,4.112620728665744
2017,AUS,4.631346299586142
2018,AUS,5.132337180763896
2019,AUS,5.7149143878373385
2020,AUS,6.428734068302227
2010,AUT,0.0
2011,AUT,0.0
2012,AUT,0.0
2013,AUT,0.0
2014,AUT,0.0
2015,AUT,0.0
2016,AUT,0.0
2017,AUT,0.0
2018,AUT,0.0
2019,AUT,0.0
2020,AUT,0.0
2010,AZE,0.0
2011,AZE,0.0
2012,AZE,0.0
2013,AZE,0.0
2014,AZE,0.0
2015,AZE,0.0
2016,AZE,0.0
2017,AZE,0.0
2018,AZE,0.0
2019,AZE,0.0
2020,AZE,0.0
2010,BDI,0.0
2011,BDI,0.0
2012,BDI,0.0
2013,BDI,0.0
2014,BDI,0.0
2015,BDI,0.0
2016,BDI,0.0
2017,BDI,0.0
2018,BDI,0.0
2019,BDI,0.0175759999999999
2020,BDI,0.0175759999999999
2010,BEL,0.0
2011,BEL,0.0
2012,BEL,0.0065719971025608
2013,BEL,0.0063961848499599
2014,BEL,0.0063451447119285
2015,BEL,0.0108229205533214
2016,BEL,0.0109579066650083
2017,BEL,0.0113573988976968
2018,BEL,0.0561748877129007
2019,BEL,0.4347641916617146
2020,BEL,0.463199677409349
2010,BEN,0.0
2011,BEN,0.0
2012,BEN,0.0
2013,BEN,0.0
2014,BEN,0.0
2015,BEN,0.0
2016,BEN,0.0
2017,BEN,0.0
2018,BEN,0.0
2019,BEN,0.0
2010,BFA,0.0
2011,BFA,0.0
2012,BFA,0.0
2013,BFA,0.0
2014,BFA,0.0
2015,BFA,0.0
2016,BFA,0.0
2017,BFA,0.0
2018,BFA,0.0
2019,BFA,0.1931182526745732
2020,BFA,0.1379304932472795
2010,BGD,0.0
2011,BGD,0.0
2012,BGD,0.0
2013,BGD,0.0
2014,BGD,0.0
2015,BGD,0.0
2016,BGD,0.0411667367535744
2017,BGD,0.0423705845248107
2018,BGD,0.053240742694377
2019,BGD,0.0636779196117734
2020,BGD,0.0706037867754151
2010,BGR,0.0
2011,BGR,0.0
2012,BGR,0.1260663943717725
2013,BGR,0.1532976271673188
2014,BGR,0.2440275902655174
2015,BGR,0.3288922443376801
2016,BGR,0.3673118558903454
2017,BGR,0.481798200057517
2018,BGR,0.5295916438864703
2019,BGR,0.5251202001282441
2020,BGR,0.4679844343137842
2010,BHR,0.0
2011,BHR,0.0
2012,BHR,0.0
2013,BHR,0.0
2014,BHR,0.0
2015,BHR,0.0
2016,BHR,0.0
2017,BHR,0.0
2018,BHR,0.005
2019,BHR,0.005
2020,BHR,0.005
2010,BIH,0.0
2011,BIH,0.0
2012,BIH,0.0
2013,BIH,0.0
2014,BIH,0.0
2015,BIH,0.0
2016,BIH,0.0
2017,BIH,0.0
2018,BIH,0.0
2019,BIH,0.0
2020,BIH,0.0
2010,BLR,0.0
2011,BLR,0.0882546104629281
2012,BLR,0.1000502623117278
2013,BLR,0.1301944736052789
2014,BLR,0.2098781735878764
2015,BLR,0.2011717509676573
2016,BLR,0.2054017581840845
2017,BLR,0.1811958006048042
2018,BLR,0.1812850948097149
2019,BLR,0.1766490605775093
2020,BLR,0.459526544745863
2010,BOL,0.0
2011,BOL,0.0
2012,BOL,0.0
2013,BOL,0.0170297344569883
2014,BOL,0.0196966131340435
2015,BOL,0.0228535224586288
2016,BOL,0.0382824532924057
2017,BOL,0.0404426651515598
2018,BOL,0.2308148161128061
2019,BOL,0.3085172884472664
2020,BOL,0.1742676352651392
2010,BRA,0.6223809103729405
2011,BRA,0.9874571614244024
2012,BRA,1.0428447865901949
