,Nation,iso_code3,Year,frac_scoe_heat_energy_residential_electricity
9,Afghanistan,AFG,2020,0.07120643548163084
10,Afghanistan,AFG,2021,0.07120643548163084
11,Afghanistan,AFG,2022,0.07120643548163084
12,Afghanistan,AFG,2023,0.07120643548163084
13,Afghanistan,AFG,2024,0.07120643548163084
14,Afghanistan,AFG,2025,0.07120643548163084
15,Afghanistan,AFG,2026,0.07120643548163084
16,Afghanistan,AFG,2027,0.07120643548163084
17,Afghanistan,AFG,2028,0.07120643548163084
18,Afghanistan,AFG,2029,0.07120643548163084
19,Afghanistan,AFG,2030,0.07120643548163084
20,Afghanistan,AFG,2031,0.07120643548163084
21,Afghanistan,AFG,2032,0.07120643548163084
22,Afghanistan,AFG,2033,0.07120643548163084
23,Afghanistan,AFG,2034,0.07120643548163084
24,Afghanistan,AFG,2035,0.07120643548163084
25,Afghanistan,AFG,2036,0.07120643548163084
26,Afghanistan,AFG,2037,0.07120643548163084
27,Afghanistan,AFG,2038,0.07120643548163084
28,Afghanistan,AFG,2039,0.07120643548163084
29,Afghanistan,AFG,2040,0.07120643548163084
30,Afghanistan,AFG,2041,0.07120643548163084
31,Afghanistan,AFG,2042,0.07120643548163084
32,Afghanistan,AFG,2043,0.07120643548163084
33,Afghanistan,AFG,2044,0.07120643548163084
34,Afghanistan,AFG,2045,0.07120643548163084
35,Afghanistan,AFG,2046,0.07120643548163084
36,Afghanistan,AFG,2047,0.07120643548163084
37,Afghanistan,AFG,2048,0.07120643548163084
38,Afghanistan,AFG,2049,0.07120643548163084
39,Afghanistan,AFG,2050,0.07120643548163084
49,Albania,ALB,2020,0.44312267657992566
50,Albania,ALB,2021,0.44312267657992566
51,Albania,ALB,2022,0.44312267657992566
52,Albania,ALB,2023,0.44312267657992566
53,Albania,ALB,2024,0.44312267657992566
54,Albania,ALB,2025,0.44312267657992566
55,Albania,ALB,2026,0.44312267657992566
56,Albania,ALB,2027,0.44312267657992566
57,Albania,ALB,2028,0.44312267657992566
58,Albania,ALB,2029,0.44312267657992566
59,Albania,ALB,2030,0.44312267657992566
60,Albania,ALB,2031,0.44312267657992566
61,Albania,ALB,2032,0.44312267657992566
62,Albania,ALB,2033,0.44312267657992566
63,Albania,ALB,2034,0.44312267657992566
64,Albania,ALB,2035,0.44312267657992566
65,Albania,ALB,2036,0.44312267657992566
66,Albania,ALB,2037,0.44312267657992566
67,Albania,ALB,2038,0.44312267657992566
68,Albania,ALB,2039,0.44312267657992566
69,Albania,ALB,2040,0.44312267657992566
70,Albania,ALB,2041,0.44312267657992566
71,Albania,ALB,2042,0.44312267657992566
72,Albania,ALB,2043,0.44312267657992566
73,Albania,ALB,2044,0.44312267657992566
74,Albania,ALB,2045,0.44312267657992566
75,Albania,ALB,2046,0.44312267657992566
76,Albania,ALB,2047,0.44312267657992566
77,Albania,ALB,2048,0.44312267657992566
78,Albania,ALB,2049,0.44312267657992566
79,Albania,ALB,2050,0.44312267657992566
89,Algeria,DZA,2020,0.07120643548163084
90,Algeria,DZA,2021,0.07120643548163084
91,Algeria,DZA,2022,0.07120643548163084
92,Algeria,DZA,2023,0.07120643548163084
93,Algeria,DZA,2024,0.07120643548163084
94,Algeria,DZA,2025,0.07120643548163084
95,Algeria,DZA,2026,0.07120643548163084
96,Algeria,DZA,2027,0.07120643548163084
97,Algeria,DZA,2028,0.07120643548163084
98,Algeria,DZA,2029,0.07120643548163084
99,Algeria,DZA,2030,0.07120643548163084
100,Algeria,DZA,2031,0.07120643548163084
101,Algeria,DZA,2032,0.07120643548163084
102,Algeria,DZA,2033,0.07120643548163084
103,Algeria,DZA,2034,0.07120643548163084
104,Algeria,DZA,2035,0.07120643548163084
105,Algeria,DZA,2036,0.07120643548163084
106,Algeria,DZA,2037,0.07120643548163084
107,Algeria,DZA,2038,0.07120643548163084
108,Algeria,DZA,2039,0.07120643548163084
109,Algeria,DZA,2040,0.07120643548163084
110,Algeria,DZA,2041,0.07120643548163084
111,Algeria,DZA,2042,0.07120643548163084
112,Algeria,DZA,2043,0.07120643548163084
113,Algeria,DZA,2044,0.07120643548163084
114,Algeria,DZA,2045,0.07120643548163084
115,Algeria,DZA,2046,0.07120643548163084
116,Algeria,DZA,2047,0.07120643548163084
117,Algeria,DZA,2048,0.07120643548163084
118,Algeria,DZA,2049,0.07120643548163084
119,Algeria,DZA,2050,0.07120643548163084
129,Angola,AGO,2020,0.07120643548163084
130,Angola,AGO,2021,0.07120643548163084
131,Angola,AGO,2022,0.07120643548163084
132,Angola,AGO,2023,0.07120643548163084
133,Angola,AGO,2024,0.07120643548163084
134,Angola,AGO,2025,0.07120643548163084
135,Angola,AGO,2026,0.07120643548163084
136,Angola,AGO,2027,0.07120643548163084
137,Angola,AGO,2028,0.07120643548163084
138,Angola,AGO,2029,0.07120643548163084
139,Angola,AGO,2030,0.07120643548163084
140,Angola,AGO,2031,0.07120643548163084
141,Angola,AGO,2032,0.07120643548163084
142,Angola,AGO,2033,0.07120643548163084
143,Angola,AGO,2034,0.07120643548163084
144,Angola,AGO,2035,0.07120643548163084
145,Angola,AGO,2036,0.07120643548163084
146,Angola,AGO,2037,0.07120643548163084
147,Angola,AGO,2038,0.07120643548163084
148,Angola,AGO,2039,0.07120643548163084
149,Angola,AGO,2040,0.07120643548163084
150,Angola,AGO,2041,0.07120643548163084
151,Angola,AGO,2042,0.07120643548163084
152,Angola,AGO,2043,0.07120643548163084
153,Angola,AGO,2044,0.07120643548163084
154,Angola,AGO,2045,0.07120643548163084
155,Angola,AGO,2046,0.07120643548163084
156,Angola,AGO,2047,0.07120643548163084
157,Angola,AGO,2048,0.07120643548163084
158,Angola,AGO,2049,0.07120643548163084
159,Angola,AGO,2050,0.07120643548163084
169,Argentina,ARG,2020,0.015107486048277911
170,Argentina,ARG,2021,0.015107486048277911
171,Argentina,ARG,2022,0.015107486048277911
172,Argentina,ARG,2023,0.015107486048277911
173,Argentina,ARG,2024,0.015107486048277911
174,Argentina,ARG,2025,0.015107486048277911
175,Argentina,ARG,2026,0.015107486048277911
176,Argentina,ARG,2027,0.015107486048277911
177,Argentina,ARG,2028,0.015107486048277911
178,Argentina,ARG,2029,0.015107486048277911
179,Argentina,ARG,2030,0.015107486048277911
180,Argentina,ARG,2031,0.015107486048277911
181,Argentina,ARG,2032,0.015107486048277911
182,Argentina,ARG,2033,0.015107486048277911
183,Argentina,ARG,2034,0.015107486048277911
184,Argentina,ARG,2035,0.015107486048277911
185,Argentina,ARG,2036,0.015107486048277911
186,Argentina,ARG,2037,0.015107486048277911
187,Argentina,ARG,2038,0.015107486048277911
188,Argentina,ARG,2039,0.015107486048277911
189,Argentina,ARG,2040,0.015107486048277911
190,Argentina,ARG,2041,0.015107486048277911
191,Argentina,ARG,2042,0.015107486048277911
192,Argentina,ARG,2043,0.015107486048277911
193,Argentina,ARG,2044,0.015107486048277911
194,Argentina,ARG,2045,0.015107486048277911
195,Argentina,ARG,2046,0.015107486048277911
196,Argentina,ARG,2047,0.015107486048277911
197,Argentina,ARG,2048,0.015107486048277911
198,Argentina,ARG,2049,0.015107486048277911
199,Argentina,ARG,2050,0.015107486048277911
209,Armenia,ARM,2020,0.07120643548163084
210,Armenia,ARM,2021,0.07120643548163084
211,Armenia,ARM,2022,0.07120643548163084
