Year,iso_code3,pij_lndu_forests_secondary_to_forests_mangroves
2015,AFG,0.0
2016,AFG,0.0
2017,AFG,0.4924232447062597
2018,AFG,0.0
2015,AGO,2.48760056014838e-05
2016,AGO,0.0008267685885079
2017,AGO,0.000957926414429
2018,AGO,0.000782230802098
2015,ALB,0.0
2016,ALB,0.0
2017,ALB,0.0
2018,ALB,0.0
2015,ARG,0.0
2016,ARG,0.0
2017,ARG,0.0
2018,ARG,0.0
2015,ATG,0.0052134688894898
2016,ATG,0.0061015771670411
2017,ATG,0.0038030415634061
2018,ATG,0.4923428956320083
2015,AUS,2.096368702286648e-05
2016,AUS,5.083482558334845e-05
2017,AUS,2.861046374003617e-05
2018,AUS,0.0001637766416657
2015,AUT,0.0
2016,AUT,0.0
2017,AUT,0.0
2018,AUT,0.0
2015,AZE,0.0
2016,AZE,0.0
2017,AZE,0.0
2018,AZE,0.4901477534641946
2015,BDI,0.0
2016,BDI,0.0
2017,BDI,0.0
2018,BDI,0.4901461200519141
2015,BEL,0.0
2016,BEL,0.0
2017,BEL,0.0
2018,BEL,0.0
2015,BEN,0.0004575793672137
2016,BEN,0.0
2017,BEN,0.0003411851055732
2018,BEN,5.010591348256069e-06
2015,BFA,0.0
2016,BFA,0.0
2017,BFA,0.0
2018,BFA,0.4901447863444477
2015,BGD,0.0042651375096348
2016,BGD,0.001218649815436
2017,BGD,0.0007164717674661
2018,BGD,0.0005780016118132
2015,BGR,0.0
2016,BGR,0.0
2017,BGR,0.0
2018,BGR,0.0
2015,BHS,0.0045326442579967
2016,BHS,0.0033929268370493
2017,BHS,0.0027179841113243
2018,BHS,0.0021851161070282
2015,BIH,0.0
2016,BIH,0.0
2017,BIH,0.0
2018,BIH,0.0
2015,BLR,0.0
2016,BLR,0.0
2017,BLR,0.0
2018,BLR,0.0
2015,BLZ,0.0006505996808879
2016,BLZ,0.0017792347051093
2017,BLZ,0.0001496052266867
2018,BLZ,0.0021382692265665
2015,BOL,0.0
2016,BOL,0.0
2017,BOL,0.0
2018,BOL,0.0
2015,BRA,0.000881139269855
2016,BRA,9.201565231058668e-05
2017,BRA,0.0007600892600665
2018,BRA,7.158542997901058e-05
2015,BRN,0.0
