Year,iso_code3,frac_lndu_initial_forests_primary
1992,ABW,0.42623287043456587
1993,ABW,0.4253271945985797
1994,ABW,0.4244187551405692
1995,ABW,0.4234717734936036
1996,ABW,0.4225589987614487
1997,ABW,0.4216557775337581
1998,ABW,0.4222225945771761
1999,ABW,0.42129182158233325
2000,ABW,0.42038645706899397
2001,ABW,0.4193387924066302
2002,ABW,0.4182610523852642
2003,ABW,0.4172020681948596
2004,ABW,0.4161584540012918
2005,ABW,0.4150916924378153
2006,ABW,0.4140332357104169
2007,ABW,0.4129610072094562
2008,ABW,0.41188655992022183
2009,ABW,0.41082931896467434
2010,ABW,0.4097616285222613
2011,ABW,0.40881588472485403
2012,ABW,0.40787453052290856
2013,ABW,0.4069359570666297
2014,ABW,0.4060026829113848
2019,ABW,0.39326021412213696
2020,ABW,0.39231415986195195
2021,ABW,0.39231415986195195
2022,ABW,0.39231415986195195
2023,ABW,0.39231415986195195
2024,ABW,0.39231415986195195
2025,ABW,0.39231415986195195
2026,ABW,0.39231415986195195
2027,ABW,0.39231415986195195
2028,ABW,0.39231415986195195
2029,ABW,0.39231415986195195
2030,ABW,0.39231415986195195
2031,ABW,0.39231415986195195
2032,ABW,0.39231415986195195
2033,ABW,0.39231415986195195
2034,ABW,0.39231415986195195
2035,ABW,0.39231415986195195
2036,ABW,0.39231415986195195
2037,ABW,0.39231415986195195
2038,ABW,0.39231415986195195
2039,ABW,0.39231415986195195
2040,ABW,0.39231415986195195
2041,ABW,0.39231415986195195
2042,ABW,0.39231415986195195
2043,ABW,0.39231415986195195
2044,ABW,0.39231415986195195
2045,ABW,0.39231415986195195
2046,ABW,0.39231415986195195
2047,ABW,0.39231415986195195
2048,ABW,0.39231415986195195
2049,ABW,0.39231415986195195
2050,ABW,0.39231415986195195
1992,AFG,0.018509940875532274
1993,AFG,0.01850994087553227
1994,AFG,0.018509940875532274
1995,AFG,0.018509940875532274
1996,AFG,0.01850994087553227
1997,AFG,0.018509940875532274
1998,AFG,0.018509940875532274
1999,AFG,0.018509940875532274
2000,AFG,0.018509940875532274
2001,AFG,0.018509940875532274
2002,AFG,0.018509940875532274
2003,AFG,0.018509940875532274
2004,AFG,0.01850994087553227
2005,AFG,0.01850994087553227
2006,AFG,0.018509940875532274
2007,AFG,0.018509940875532278
2008,AFG,0.018509940875532274
2009,AFG,0.018509940875532274
