,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_public
134,Belize,BLZ,2008,78.34671428571428
135,Bermuda,BMU,2004,78.34671428571428
136,Bermuda,BMU,2005,78.34671428571428
137,Bermuda,BMU,2006,78.34671428571428
138,Bermuda,BMU,2007,78.34671428571428
139,Bermuda,BMU,2008,78.34671428571428
140,Bolivia,BOL,2004,78.34671428571428
141,Bolivia,BOL,2005,78.34671428571428
142,Bolivia,BOL,2006,78.34671428571428
143,Bolivia,BOL,2007,78.34671428571428
144,Bolivia,BOL,2008,78.34671428571428
145,Brazil,BRA,2004,78.34671428571428
146,Brazil,BRA,2005,78.34671428571428
147,Brazil,BRA,2006,78.34671428571428
148,Brazil,BRA,2007,78.34671428571428
149,Brazil,BRA,2008,78.34671428571428
150,Barbados,BRB,2004,78.34671428571428
151,Barbados,BRB,2005,78.34671428571428
152,Barbados,BRB,2006,78.34671428571428
153,Barbados,BRB,2007,78.34671428571428
154,Barbados,BRB,2008,78.34671428571428
155,Brunei Darussalam,BRN,2004,78.34671428571428
156,Brunei Darussalam,BRN,2005,78.34671428571428
157,Brunei Darussalam,BRN,2006,78.34671428571428
158,Brunei Darussalam,BRN,2007,78.34671428571428
159,Brunei Darussalam,BRN,2008,78.34671428571428
160,Bhutan,BTN,2004,78.34671428571428
161,Bhutan,BTN,2005,78.34671428571428
162,Bhutan,BTN,2006,78.34671428571428
163,Bhutan,BTN,2007,78.34671428571428
164,Bhutan,BTN,2008,78.34671428571428
165,Botswana,BWA,2004,78.34671428571428
166,Botswana,BWA,2005,78.34671428571428
167,Botswana,BWA,2006,78.34671428571428
168,Botswana,BWA,2007,78.34671428571428
169,Botswana,BWA,2008,78.34671428571428
170,Central African Republic,CAF,2004,78.34671428571428
171,Central African Republic,CAF,2005,78.34671428571428
172,Central African Republic,CAF,2006,78.34671428571428
173,Central African Republic,CAF,2007,78.34671428571428
174,Central African Republic,CAF,2008,78.34671428571428
175,Canada,CAN,2004,78.34671428571428
176,Canada,CAN,2005,78.34671428571428
177,Canada,CAN,2006,78.34671428571428
