Year,iso_code3,cost_enfu_fuel_biomass_usd_per_tonne
2021,ABW,209.78
2022,ABW,209.78
2023,ABW,209.78
2024,ABW,209.78
2025,ABW,209.78
2026,ABW,209.78
2027,ABW,209.78
2028,ABW,209.78
2029,ABW,209.78
2030,ABW,209.78
2031,ABW,209.78
2032,ABW,209.78
2033,ABW,209.78
2034,ABW,209.78
2035,ABW,209.78
2036,ABW,209.78
2037,ABW,209.78
2038,ABW,209.78
2039,ABW,209.78
2040,ABW,209.78
2041,ABW,209.78
2042,ABW,209.78
2043,ABW,209.78
2044,ABW,209.78
2045,ABW,209.78
2046,ABW,209.78
2047,ABW,209.78
2048,ABW,209.78
2049,ABW,209.78
2050,ABW,209.78
2021,AFG,209.78
2022,AFG,209.78
2023,AFG,209.78
2024,AFG,209.78
2025,AFG,209.78
2026,AFG,209.78
2027,AFG,209.78
2028,AFG,209.78
2029,AFG,209.78
2030,AFG,209.78
2031,AFG,209.78
2032,AFG,209.78
2033,AFG,209.78
2034,AFG,209.78
2035,AFG,209.78
2036,AFG,209.78
2037,AFG,209.78
2038,AFG,209.78
2039,AFG,209.78
2040,AFG,209.78
2041,AFG,209.78
2042,AFG,209.78
2043,AFG,209.78
2044,AFG,209.78
2045,AFG,209.78
2046,AFG,209.78
2047,AFG,209.78
2048,AFG,209.78
2049,AFG,209.78
2050,AFG,209.78
2021,AGO,209.78
2022,AGO,209.78
2023,AGO,209.78
2024,AGO,209.78
2025,AGO,209.78
2026,AGO,209.78
2027,AGO,209.78
2028,AGO,209.78
2029,AGO,209.78
2030,AGO,209.78
2031,AGO,209.78
2032,AGO,209.78
2033,AGO,209.78
2034,AGO,209.78
2035,AGO,209.78
2036,AGO,209.78
2037,AGO,209.78
2038,AGO,209.78
2039,AGO,209.78
2040,AGO,209.78
2041,AGO,209.78
2042,AGO,209.78
2043,AGO,209.78
2044,AGO,209.78
2045,AGO,209.78
2046,AGO,209.78
2047,AGO,209.78
2048,AGO,209.78
2049,AGO,209.78
2050,AGO,209.78
2021,ALB,209.78
2022,ALB,209.78
2023,ALB,209.78
2024,ALB,209.78
2025,ALB,209.78
2026,ALB,209.78
2027,ALB,209.78
2028,ALB,209.78
2029,ALB,209.78
2030,ALB,209.78
2031,ALB,209.78
2032,ALB,209.78
2033,ALB,209.78
2034,ALB,209.78
2035,ALB,209.78
2036,ALB,209.78
2037,ALB,209.78
2038,ALB,209.78
2039,ALB,209.78
2040,ALB,209.78
2041,ALB,209.78
2042,ALB,209.78
2043,ALB,209.78
2044,ALB,209.78
2045,ALB,209.78
2046,ALB,209.78
2047,ALB,209.78
2048,ALB,209.78
2049,ALB,209.78
2050,ALB,209.78
2021,AND,209.78
2022,AND,209.78
2023,AND,209.78
2024,AND,209.78
2025,AND,209.78
2026,AND,209.78
2027,AND,209.78
2028,AND,209.78
2029,AND,209.78
2030,AND,209.78
2031,AND,209.78
2032,AND,209.78
2033,AND,209.78
2034,AND,209.78
2035,AND,209.78
2036,AND,209.78
2037,AND,209.78
2038,AND,209.78
2039,AND,209.78
2040,AND,209.78
2041,AND,209.78
2042,AND,209.78
2043,AND,209.78
2044,AND,209.78
2045,AND,209.78
2046,AND,209.78
2047,AND,209.78
2048,AND,209.78
2049,AND,209.78
2050,AND,209.78
2021,ARE,209.78
2022,ARE,209.78
2023,ARE,209.78
2024,ARE,209.78
2025,ARE,209.78
2026,ARE,209.78
2027,ARE,209.78
2028,ARE,209.78
2029,ARE,209.78
2030,ARE,209.78
2031,ARE,209.78
2032,ARE,209.78
2033,ARE,209.78
2034,ARE,209.78
2035,ARE,209.78
2036,ARE,209.78
2037,ARE,209.78
2038,ARE,209.78
2039,ARE,209.78
2040,ARE,209.78
2041,ARE,209.78
2042,ARE,209.78
2043,ARE,209.78
2044,ARE,209.78
2045,ARE,209.78
2046,ARE,209.78
2047,ARE,209.78
2048,ARE,209.78
2049,ARE,209.78
2050,ARE,209.78
2021,ARG,209.78
2022,ARG,209.78
2023,ARG,209.78
2024,ARG,209.78
2025,ARG,209.78
2026,ARG,209.78
2027,ARG,209.78
2028,ARG,209.78
2029,ARG,209.78
2030,ARG,209.78
2031,ARG,209.78
2032,ARG,209.78
2033,ARG,209.78
2034,ARG,209.78
2035,ARG,209.78
2036,ARG,209.78
2037,ARG,209.78
2038,ARG,209.78
2039,ARG,209.78
2040,ARG,209.78
2041,ARG,209.78
2042,ARG,209.78
2043,ARG,209.78
2044,ARG,209.78
2045,ARG,209.78
2046,ARG,209.78
2047,ARG,209.78
2048,ARG,209.78
2049,ARG,209.78
2050,ARG,209.78
2021,ARM,209.78
2022,ARM,209.78
2023,ARM,209.78
2024,ARM,209.78
2025,ARM,209.78
2026,ARM,209.78
2027,ARM,209.78
2028,ARM,209.78
2029,ARM,209.78
2030,ARM,209.78
2031,ARM,209.78
2032,ARM,209.78
2033,ARM,209.78
2034,ARM,209.78
2035,ARM,209.78
2036,ARM,209.78
2037,ARM,209.78
2038,ARM,209.78
2039,ARM,209.78
2040,ARM,209.78
2041,ARM,209.78
2042,ARM,209.78
2043,ARM,209.78
2044,ARM,209.78
2045,ARM,209.78
2046,ARM,209.78
2047,ARM,209.78
2048,ARM,209.78
2049,ARM,209.78
2050,ARM,209.78
2021,ASM,209.78
2022,ASM,209.78
2023,ASM,209.78
2024,ASM,209.78
2025,ASM,209.78
2026,ASM,209.78
2027,ASM,209.78
2028,ASM,209.78
2029,ASM,209.78
2030,ASM,209.78
2031,ASM,209.78
2032,ASM,209.78
2033,ASM,209.78
2034,ASM,209.78
2035,ASM,209.78
2036,ASM,209.78
2037,ASM,209.78
2038,ASM,209.78
2039,ASM,209.78
2040,ASM,209.78
2041,ASM,209.78
2042,ASM,209.78
2043,ASM,209.78
2044,ASM,209.78
2045,ASM,209.78
2046,ASM,209.78
2047,ASM,209.78
2048,ASM,209.78
2049,ASM,209.78
2050,ASM,209.78
2021,ATG,209.78
2022,ATG,209.78
2023,ATG,209.78
2024,ATG,209.78
2025,ATG,209.78
2026,ATG,209.78
2027,ATG,209.78
2028,ATG,209.78
2029,ATG,209.78
2030,ATG,209.78
2031,ATG,209.78
2032,ATG,209.78
2033,ATG,209.78
2034,ATG,209.78
2035,ATG,209.78
2036,ATG,209.78
2037,ATG,209.78
2038,ATG,209.78
2039,ATG,209.78
2040,ATG,209.78
2041,ATG,209.78
2042,ATG,209.78
2043,ATG,209.78
2044,ATG,209.78
2045,ATG,209.78
2046,ATG,209.78
2047,ATG,209.78
2048,ATG,209.78
2049,ATG,209.78
2050,ATG,209.78
2021,AUS,209.78
2022,AUS,209.78
2023,AUS,209.78
2024,AUS,209.78
2025,AUS,209.78
2026,AUS,209.78
2027,AUS,209.78
2028,AUS,209.78
2029,AUS,209.78
2030,AUS,209.78
2031,AUS,209.78
2032,AUS,209.78
2033,AUS,209.78
2034,AUS,209.78
2035,AUS,209.78
2036,AUS,209.78
2037,AUS,209.78
2038,AUS,209.78
2039,AUS,209.78
2040,AUS,209.78
2041,AUS,209.78
2042,AUS,209.78
2043,AUS,209.78
2044,AUS,209.78
2045,AUS,209.78
2046,AUS,209.78
2047,AUS,209.78
2048,AUS,209.78
2049,AUS,209.78
2050,AUS,209.78
2021,AUT,209.78
2022,AUT,209.78
2023,AUT,209.78
2024,AUT,209.78
2025,AUT,209.78
2026,AUT,209.78
2027,AUT,209.78
2028,AUT,209.78
2029,AUT,209.78
2030,AUT,209.78
2031,AUT,209.78
2032,AUT,209.78
2033,AUT,209.78
2034,AUT,209.78
2035,AUT,209.78
2036,AUT,209.78
2037,AUT,209.78
2038,AUT,209.78
2039,AUT,209.78
2040,AUT,209.78
2041,AUT,209.78
2042,AUT,209.78
2043,AUT,209.78
2044,AUT,209.78
2045,AUT,209.78
2046,AUT,209.78
2047,AUT,209.78
2048,AUT,209.78
2049,AUT,209.78
2050,AUT,209.78
2021,AZE,209.78
2022,AZE,209.78
