Nation,Year,population_gnrl_urban
argentina,1990,28373004
bahamas,1990,204566
belize,1990,89022
bolivia,1990,3815271
brazil,1990,110146163
barbados,1990,97510
chile,1990,11053906
colombia,1990,22999995
costa_rica,1990,1559811
dominican_republic,1990,3939541
ecuador,1990,5636219
guatemala,1990,3800324
guyana,1990,219892
honduras,1990,2004915
haiti,1990,2006509
jamaica,1990,1196495
mexico,1990,59951347
nicaragua,1990,2215050
panama,1990,1331914
peru,1990,15207438
paraguay,1990,2056548
el_salvador,1990,2596776
suriname,1990,266220
trinidad_and_tobago,1990,660919
uruguay,1990,2766702
argentina,1991,28887230
bahamas,1991,208980
belize,1991,90351
bolivia,1991,3967011
brazil,1991,113265896
barbados,1991,96923
chile,1991,11254772
colombia,1991,23613612
costa_rica,1991,1630404
dominican_republic,1991,4034861
ecuador,1991,5834111
guatemala,1991,3934690
guyana,1991,219568
honduras,1991,2088027
haiti,1991,2127812
jamaica,1991,1211273
mexico,1991,61411743
nicaragua,1991,2276833
panama,1991,1381582
peru,1991,15608011
paraguay,1991,2142858
el_salvador,1991,2660090
suriname,1991,271677
trinidad_and_tobago,1991,667503
uruguay,1991,2796694
argentina,1992,29352237
bahamas,1992,213601
belize,1992,91446
bolivia,1992,4120463
brazil,1992,116379448
barbados,1992,96330
chile,1992,11464828
colombia,1992,24238651
costa_rica,1992,1703471
dominican_republic,1992,4131408
ecuador,1992,6025251
guatemala,1992,4071016
guyana,1992,220117
honduras,1992,2173813
haiti,1992,2254403
jamaica,1992,1227964
mexico,1992,62876084
nicaragua,1992,2340688
panama,1992,1432459
peru,1992,16007185
paraguay,1992,2230777
el_salvador,1992,2725224
suriname,1992,277020
trinidad_and_tobago,1992,673882
uruguay,1992,2827246
argentina,1993,29809444
bahamas,1993,218256
belize,1993,92583
bolivia,1993,4247234
brazil,1993,119489202
barbados,1993,95739
chile,1993,11699241
colombia,1993,24870588
costa_rica,1993,1778651
dominican_republic,1993,4228813
ecuador,1993,6219532
guatemala,1993,4208693
guyana,1993,221076
honduras,1993,2262579
haiti,1993,2341908
jamaica,1993,1245670
mexico,1993,64340296
nicaragua,1993,2405597
panama,1993,1484557
peru,1993,16406527
paraguay,1993,2316207
el_salvador,1993,2823039
suriname,1993,282190
trinidad_and_tobago,1993,679928
uruguay,1993,2858053
argentina,1994,30260587
bahamas,1994,222720
belize,1994,94057
bolivia,1994,4376660
brazil,1994,122608542
barbados,1994,95160
chile,1994,11931321
colombia,1994,25506163
costa_rica,1994,1855765
dominican_republic,1994,4360657
ecuador,1994,6417027
guatemala,1994,4348254
guyana,1994,221794
honduras,1994,2355037
haiti,1994,2431753
jamaica,1994,1263929
mexico,1994,65800645
nicaragua,1994,2470208
panama,1994,1538025
peru,1994,16820249
paraguay,1994,2402479
el_salvador,1994,2931352
suriname,1994,287174
trinidad_and_tobago,1994,685453
uruguay,1994,2888876
argentina,1995,30705906
bahamas,1995,226835
belize,1995,96082
bolivia,1995,4508610
brazil,1995,125743635
barbados,1995,94589
chile,1995,12158301
colombia,1995,26142215
costa_rica,1995,1934473
dominican_republic,1995,4503725
ecuador,1995,6617213
guatemala,1995,4490593
guyana,1995,221819
honduras,1995,2451505
haiti,1995,2523935
jamaica,1995,1282434
mexico,1995,67251522
nicaragua,1995,2532509
panama,1995,1592869
peru,1995,17240502
paraguay,1995,2490213
el_salvador,1995,3038769
suriname,1995,291957
trinidad_and_tobago,1995,690311
uruguay,1995,2919323
argentina,1996,31145812
bahamas,1996,230534
belize,1996,98740
bolivia,1996,4642822
brazil,1996,128896588
barbados,1996,94027
chile,1996,12378985
colombia,1996,26777678
costa_rica,1996,2014761
dominican_republic,1996,4647675
ecuador,1996,6820255
guatemala,1996,4635095
guyana,1996,220997
honduras,1996,2552136
haiti,1996,2618587
jamaica,1996,1301191
mexico,1996,68621428
nicaragua,1996,2588281
panama,1996,1649196
peru,1996,17668537
paraguay,1996,2579402
el_salvador,1996,3144717
suriname,1996,296488
trinidad_and_tobago,1996,694467
uruguay,1996,2949760
argentina,1997,31579653
bahamas,1997,233901
belize,1997,101931
bolivia,1997,4779299
brazil,1997,132175406
barbados,1997,93477
chile,1997,12593725
colombia,1997,27410869
costa_rica,1997,2096261
dominican_republic,1997,4792113
ecuador,1997,7025663
guatemala,1997,4781725
guyana,1997,219501
honduras,1997,2656724
haiti,1997,2713741
jamaica,1997,1320250
mexico,1997,69944972
nicaragua,1997,2642515
panama,1997,1706836
peru,1997,18100962
paraguay,1997,2669682
el_salvador,1997,3248778
suriname,1997,300761
trinidad_and_tobago,1997,698025
uruguay,1997,2980650
argentina,1998,32009558
bahamas,1998,237161
belize,1998,105437
bolivia,1998,4917891
brazil,1998,135456372
barbados,1998,92928
chile,1998,12802519
colombia,1998,28043541
costa_rica,1998,2178261
dominican_republic,1998,4937445
ecuador,1998,7232582
guatemala,1998,4933129
guyana,1998,217623
honduras,1998,2764783
haiti,1998,2811190
jamaica,1998,1339265
mexico,1998,71260336
nicaragua,1998,2695254
panama,1998,1765796
peru,1998,18529231
paraguay,1998,2760991
el_salvador,1998,3351107
suriname,1998,304858
trinidad_and_tobago,1998,701365
uruguay,1998,3009667
argentina,1999,32438319
bahamas,1999,240614
belize,1999,108931
bolivia,1999,5058608
brazil,1999,138709639
barbados,1999,92365
chile,1999,13006347
colombia,1999,28676308
costa_rica,1999,2259648
dominican_republic,1999,5083815
ecuador,1999,7439883
guatemala,1999,5089419
guyana,1999,215771
honduras,1999,2875642
haiti,1999,2911008
jamaica,1999,1357776
mexico,1999,72568677
nicaragua,1999,2746869
panama,1999,1825830
peru,1999,18940926
paraguay,1999,2852976
el_salvador,1999,3410869
suriname,1999,308877
trinidad_and_tobago,1999,704904
uruguay,1999,3034863
argentina,2000,32867364
bahamas,2000,244417
belize,2000,112273
bolivia,2000,5201396
brazil,2000,141915772
barbados,2000,91844
chile,2000,13205620
colombia,2000,29309133
costa_rica,2000,2339858
dominican_republic,2000,5231292
ecuador,2000,7646590
guatemala,2000,5253870
guyana,2000,214263
honduras,2000,2988640
haiti,2000,3013113
jamaica,2000,1375505
mexico,2000,73899942
nicaragua,2000,2797498
panama,2000,1884806
peru,2000,19326872
paraguay,2000,2945380
el_salvador,2000,3468697
suriname,2000,312914
trinidad_and_tobago,2000,708405
uruguay,2000,3055084
argentina,2001,33297960
bahamas,2001,248295
belize,2001,115752
bolivia,2001,5346006
brazil,2001,144508695
barbados,2001,91637
chile,2001,13400179
colombia,2001,29941977
costa_rica,2001,2436984
dominican_republic,2001,5379713
ecuador,2001,7851984
guatemala,2001,5421506
guyana,2001,213173
honduras,2001,3103448
haiti,2001,3206867
jamaica,2001,1392264
mexico,2001,75268748
nicaragua,2001,2847188
panama,2001,1930932
peru,2001,19683541
paraguay,2001,3038081
el_salvador,2001,3524431
suriname,2001,317002
trinidad_and_tobago,2001,708525
uruguay,2001,3069509
argentina,2002,33728928
bahamas,2002,252561
belize,2002,119029
bolivia,2002,5489005
brazil,2002,147005323
barbados,2002,91408
