Nation,Year,population_gnrl_rural
argentina,1990,4245643
bahamas,1990,51660
belize,1990,98531
bolivia,1990,3049567
brazil,1990,38857061
barbados,1990,163422
chile,1990,2220710
colombia,1990,10102573
costa_rica,1990,1559624
dominican_republic,1990,3193949
ecuador,1990,4594711
guatemala,1990,5249790
guyana,1990,523413
honduras,1990,2950386
haiti,1990,5031405
jamaica,1990,1223405
mexico,1990,23991787
nicaragua,1990,1958384
panama,1990,1139031
peru,1990,6863994
paraguay,1990,2166864
el_salvador,1990,2673297
suriname,1990,138948
trinidad_and_tobago,1990,560201
uruguay,1990,342895
argentina,1991,4191771
bahamas,1991,52026
belize,1991,100784
bolivia,1991,3044444
brazil,1991,38382110
barbados,1991,164988
chile,1991,2240482
colombia,1991,10144715
costa_rica,1991,1571678
dominican_republic,1991,3235551
ecuador,1991,4638364
guatemala,1991,5362123
guyana,1991,524908
honduras,1991,3010566
haiti,1991,5050798
jamaica,1991,1228055
mexico,1991,24100877
nicaragua,1991,1990736
panama,1991,1141532
peru,1991,6914371
paraguay,1991,2191489
el_salvador,1991,2682099
suriname,1991,141331
trinidad_and_tobago,1991,561604
uruguay,1991,334962
argentina,1992,4177082
bahamas,1992,52426
belize,1992,102877
bolivia,1992,3040453
brazil,1992,37879933
barbados,1992,166559
chile,1992,2254989
colombia,1992,10183916
costa_rica,1992,1583053
dominican_republic,1992,3276930
ecuador,1992,4690879
guatemala,1992,5473038
guyana,1992,528478
honduras,1992,3070863
haiti,1992,5065087
jamaica,1992,1233082
mexico,1992,24199051
nicaragua,1992,2023825
panama,1992,1143489
peru,1992,6959636
paraguay,1992,2214241
el_salvador,1992,2691102
suriname,1992,143637
trinidad_and_tobago,1992,562802
uruguay,1992,327212
argentina,1993,4160658
bahamas,1993,52808
belize,1993,105041
bolivia,1993,3065622
brazil,1993,37359883
barbados,1993,168129
chile,1993,2245692
colombia,1993,10220683
costa_rica,1993,1593646
dominican_republic,1993,3317653
ecuador,1993,4741927
guatemala,1993,5581925
guyana,1993,533064
honduras,1993,3131836
haiti,1993,5118775
jamaica,1993,1238912
mexico,1993,24285143
