Nation,Year,gdp_mmm_usd
argentina,1990,265.817211208207
bahamas,1990,8.621162112791652
belize,1990,0.590278076390006
bolivia,1990,11.9744209755565
brazil,1990,917.2110125444709
barbados,1990,3.9198622330419397
chile,1990,72.6185233003777
colombia,1990,120.48405678026401
costa_rica,1990,18.8458976354461
dominican_republic,1990,19.981325093406898
ecuador,1990,43.6838541873025
guatemala,1990,24.741807083637298
guyana,1990,1.7826655261866697
honduras,1990,8.555513917152242
haiti,1990,11.1419434201677
jamaica,1990,10.772516264731701
mexico,1990,626.2742628887829
nicaragua,1990,5.24848346077145
panama,1990,12.7061700486656
peru,1990,59.593009486091596
paraguay,1990,16.3841844487681
el_salvador,1990,12.6800523812405
suriname,1990,2.67084810991591
trinidad_and_tobago,1990,7.71748255594667
uruguay,1990,23.9584409352029
argentina,1991,290.094591011844
bahamas,1991,8.26064366757906
belize,1991,0.657947770049626
bolivia,1991,12.605057145863999
brazil,1991,926.678369092735
barbados,1991,3.7669912581609
chile,1991,78.2859576587188
colombia,1991,122.895674813702
costa_rica,1991,19.2728806555387
dominican_republic,1991,20.1699765541804
ecuador,1991,45.5584779431319
guatemala,1991,25.6469239314704
guyana,1991,1.89065701827277
honduras,1991,8.271530023066871
haiti,1991,11.3514726492516
jamaica,1991,11.2937163213515
mexico,1991,652.6701876872801
nicaragua,1991,5.2385490528547605
panama,1991,13.9029649122936
peru,1991,60.915532773738704
paraguay,1991,16.9565905341615
el_salvador,1991,12.8695034674735
suriname,1991,2.74296098574648
trinidad_and_tobago,1991,7.957682090092749
uruguay,1991,24.8062842805597
argentina,1992,313.12024448989
bahamas,1992,7.944625972860741
belize,1992,0.737285247043466
bolivia,1992,12.8125990251273
brazil,1992,921.636571083558
barbados,1992,3.5525544981741795
chile,1992,87.0279217471436
colombia,1992,127.86671814195199
costa_rica,1992,21.0461983968351
dominican_republic,1992,22.433236056918098
ecuador,1992,46.52172570570939
guatemala,1992,26.8878090150783
guyana,1992,2.03733203016772
honduras,1992,8.773916939325279
haiti,1992,10.7487170667404
jamaica,1992,11.514569744121701
mexico,1992,675.781907471657
nicaragua,1992,5.25878800787912
panama,1992,15.0432416513432
peru,1992,60.5862787607225
paraguay,1992,17.2442468857355
el_salvador,1992,13.773195279879
suriname,1992,2.75393282992361
trinidad_and_tobago,1992,8.76084931315301
uruguay,1992,26.773816650489103
argentina,1993,338.817957426035
bahamas,1993,7.969080031436841
belize,1993,0.783555651256318
bolivia,1993,13.3596065075894
brazil,1993,967.0243151787959
barbados,1993,3.5807286710191497
chile,1993,92.7620033797976
colombia,1993,134.752865088889
costa_rica,1993,22.5398873458097
dominican_republic,1993,24.085334652008097
ecuador,1993,47.4397008078818
guatemala,1993,27.9437287522308
guyana,1993,2.20388607287743
honduras,1993,9.34384585952438
haiti,1993,10.1654598626371
jamaica,1993,12.5989085870845
mexico,1993,688.899887486446
nicaragua,1993,5.238124334178571
panama,1993,15.8639624706666
peru,1993,63.7631669436607
paraguay,1993,18.095484890382703
el_salvador,1993,14.5745632435703
suriname,1993,2.5694193812743302
trinidad_and_tobago,1993,8.70222917673145
uruguay,1993,27.4853431725756
argentina,1994,358.592053441545
bahamas,1994,8.220019637315309
belize,1994,0.784796972177201
bolivia,1994,13.9831354722967
brazil,1994,1023.6229947383299
barbados,1994,3.6527293349562897
chile,1994,97.42811579762531
colombia,1994,142.58828860498699
costa_rica,1994,23.5584712510644
dominican_republic,1994,24.7116386796605
ecuador,1994,49.459802089652
guatemala,1994,29.0709065345551
guyana,1994,2.3919309587266997
honduras,1994,9.363645795808479
haiti,1994,8.95062343953296
jamaica,1994,12.7732006037343
mexico,1994,722.9389867018709
nicaragua,1994,5.41295857790271
panama,1994,16.3161086915961
peru,1994,71.6113710221401
paraguay,1994,19.0577878770743
el_salvador,1994,15.258410747352501
suriname,1994,2.65677961190623
trinidad_and_tobago,1994,9.01265340819778
uruguay,1994,29.486645185877997
argentina,1995,348.389357874283
bahamas,1995,8.57995391902168
belize,1995,0.789854886056981
bolivia,1995,14.637304665728998
brazil,1995,1066.85871762264
barbados,1995,3.72629523071816
chile,1995,106.13165764186
colombia,1995,150.006355333888
costa_rica,1995,24.5370790844973
dominican_republic,1995,26.1166017807669
ecuador,1995,50.5739082553626
guatemala,1995,30.509494153709802
guyana,1995,2.51227968662218
honduras,1995,9.94319035180526
haiti,1995,9.83652996470022
jamaica,1995,13.0733653307439
mexico,1995,677.457226352726
nicaragua,1995,5.73296770567391
panama,1995,16.6019145015347
peru,1995,76.9187726274153
paraguay,1995,20.3580645919868
el_salvador,1995,15.980756332829
suriname,1995,2.65677961190623
trinidad_and_tobago,1995,9.356027674988121
