Year,iso_code3,net_imports_cement_clinker_tonne
2021,ABW,9.079066666666668
2022,ABW,9.079066666666668
2023,ABW,9.079066666666668
2024,ABW,9.079066666666668
2025,ABW,9.079066666666668
2026,ABW,9.079066666666668
2027,ABW,9.079066666666668
2028,ABW,9.079066666666668
2029,ABW,9.079066666666668
2030,ABW,9.079066666666668
2031,ABW,9.079066666666668
2032,ABW,9.079066666666668
2033,ABW,9.079066666666668
2034,ABW,9.079066666666668
2035,ABW,9.079066666666668
2036,ABW,9.079066666666668
2037,ABW,9.079066666666668
2038,ABW,9.079066666666668
2039,ABW,9.079066666666668
2040,ABW,9.079066666666668
2041,ABW,9.079066666666668
2042,ABW,9.079066666666668
2043,ABW,9.079066666666668
2044,ABW,9.079066666666668
2045,ABW,9.079066666666668
2046,ABW,9.079066666666668
2047,ABW,9.079066666666668
2048,ABW,9.079066666666668
2049,ABW,9.079066666666668
2050,ABW,9.079066666666668
2021,AGO,-705090.2
2022,AGO,649950.1545454545
2023,AGO,649950.1545454545
2024,AGO,649950.1545454545
2025,AGO,649950.1545454545
2026,AGO,649950.1545454545
2027,AGO,649950.1545454545
2028,AGO,649950.1545454545
2029,AGO,649950.1545454545
2030,AGO,649950.1545454545
2031,AGO,649950.1545454545
2032,AGO,649950.1545454545
2033,AGO,649950.1545454545
2034,AGO,649950.1545454545
2035,AGO,649950.1545454545
2036,AGO,649950.1545454545
2037,AGO,649950.1545454545
2038,AGO,649950.1545454545
2039,AGO,649950.1545454545
2040,AGO,649950.1545454545
2041,AGO,649950.1545454545
2042,AGO,649950.1545454545
2043,AGO,649950.1545454545
2044,AGO,649950.1545454545
2045,AGO,649950.1545454545
2046,AGO,649950.1545454545
2047,AGO,649950.1545454545
2048,AGO,649950.1545454545
2049,AGO,649950.1545454545
2050,AGO,649950.1545454545
2021,ALB,-8934.051250000002
2022,ALB,-8934.051250000002
2023,ALB,-8934.051250000002
2024,ALB,-8934.051250000002
2025,ALB,-8934.051250000002
2026,ALB,-8934.051250000002
2027,ALB,-8934.051250000002
2028,ALB,-8934.051250000002
2029,ALB,-8934.051250000002
2030,ALB,-8934.051250000002
2031,ALB,-8934.051250000002
2032,ALB,-8934.051250000002
2033,ALB,-8934.051250000002
2034,ALB,-8934.051250000002
2035,ALB,-8934.051250000002
2036,ALB,-8934.051250000002
2037,ALB,-8934.051250000002
2038,ALB,-8934.051250000002
2039,ALB,-8934.051250000002
2040,ALB,-8934.051250000002
2041,ALB,-8934.051250000002
2042,ALB,-8934.051250000002
2043,ALB,-8934.051250000002
2044,ALB,-8934.051250000002
2045,ALB,-8934.051250000002
2046,ALB,-8934.051250000002
2047,ALB,-8934.051250000002
2048,ALB,-8934.051250000002
2049,ALB,-8934.051250000002
2050,ALB,-8934.051250000002
2021,AND,11206.3
2022,AND,27080.0048
2023,AND,27080.0048
2024,AND,27080.0048
2025,AND,27080.0048
2026,AND,27080.0048
2027,AND,27080.0048
2028,AND,27080.0048
2029,AND,27080.0048
2030,AND,27080.0048
2031,AND,27080.0048
2032,AND,27080.0048
2033,AND,27080.0048
2034,AND,27080.0048
2035,AND,27080.0048
2036,AND,27080.0048
2037,AND,27080.0048
2038,AND,27080.0048
2039,AND,27080.0048
2040,AND,27080.0048
2041,AND,27080.0048
2042,AND,27080.0048
2043,AND,27080.0048
2044,AND,27080.0048
2045,AND,27080.0048
2046,AND,27080.0048
2047,AND,27080.0048
2048,AND,27080.0048
2049,AND,27080.0048
2050,AND,27080.0048
2021,ARE,134.104
2022,ARE,-1804103.3384444444
2023,ARE,-1804103.3384444444
2024,ARE,-1804103.3384444444
2025,ARE,-1804103.3384444444
2026,ARE,-1804103.3384444444
2027,ARE,-1804103.3384444444
2028,ARE,-1804103.3384444444
2029,ARE,-1804103.3384444444
2030,ARE,-1804103.3384444444
2031,ARE,-1804103.3384444444
2032,ARE,-1804103.3384444444
2033,ARE,-1804103.3384444444
2034,ARE,-1804103.3384444444
2035,ARE,-1804103.3384444444
2036,ARE,-1804103.3384444444
2037,ARE,-1804103.3384444444
2038,ARE,-1804103.3384444444
2039,ARE,-1804103.3384444444
2040,ARE,-1804103.3384444444
2041,ARE,-1804103.3384444444
2042,ARE,-1804103.3384444444
2043,ARE,-1804103.3384444444
2044,ARE,-1804103.3384444444
2045,ARE,-1804103.3384444444
2046,ARE,-1804103.3384444444
2047,ARE,-1804103.3384444444
2048,ARE,-1804103.3384444444
2049,ARE,-1804103.3384444444
2050,ARE,-1804103.3384444444
2021,ARG,200418.415
2022,ARG,200418.415
2023,ARG,200418.415
2024,ARG,200418.415
2025,ARG,200418.415
2026,ARG,200418.415
2027,ARG,200418.415
2028,ARG,200418.415
2029,ARG,200418.415
2030,ARG,200418.415
2031,ARG,200418.415
2032,ARG,200418.415
2033,ARG,200418.415
2034,ARG,200418.415
2035,ARG,200418.415
2036,ARG,200418.415
2037,ARG,200418.415
2038,ARG,200418.415
2039,ARG,200418.415
2040,ARG,200418.415
2041,ARG,200418.415
2042,ARG,200418.415
2043,ARG,200418.415
2044,ARG,200418.415
2045,ARG,200418.415
2046,ARG,200418.415
2047,ARG,200418.415
2048,ARG,200418.415
2049,ARG,200418.415
2050,ARG,200418.415
2021,ARM,102953.95
2022,ARM,24721.38025
2023,ARM,24721.38025
2024,ARM,24721.38025
2025,ARM,24721.38025
2026,ARM,24721.38025
2027,ARM,24721.38025
2028,ARM,24721.38025
2029,ARM,24721.38025
2030,ARM,24721.38025
2031,ARM,24721.38025
2032,ARM,24721.38025
2033,ARM,24721.38025
2034,ARM,24721.38025
2035,ARM,24721.38025
2036,ARM,24721.38025
2037,ARM,24721.38025
2038,ARM,24721.38025
2039,ARM,24721.38025
2040,ARM,24721.38025
2041,ARM,24721.38025
2042,ARM,24721.38025
2043,ARM,24721.38025
2044,ARM,24721.38025
2045,ARM,24721.38025
2046,ARM,24721.38025
