,Nation,iso_code3,Year,frac_scoe_heat_energy_other_se_kerosene
9,Afghanistan,AFG,2020,0.010976187075542519
10,Afghanistan,AFG,2021,0.010976187075542519
11,Afghanistan,AFG,2022,0.010976187075542519
12,Afghanistan,AFG,2023,0.010976187075542519
13,Afghanistan,AFG,2024,0.010976187075542519
14,Afghanistan,AFG,2025,0.010976187075542519
15,Afghanistan,AFG,2026,0.010976187075542519
16,Afghanistan,AFG,2027,0.010976187075542519
17,Afghanistan,AFG,2028,0.010976187075542519
18,Afghanistan,AFG,2029,0.010976187075542519
19,Afghanistan,AFG,2030,0.010976187075542519
20,Afghanistan,AFG,2031,0.010976187075542519
21,Afghanistan,AFG,2032,0.010976187075542519
22,Afghanistan,AFG,2033,0.010976187075542519
23,Afghanistan,AFG,2034,0.010976187075542519
24,Afghanistan,AFG,2035,0.010976187075542519
25,Afghanistan,AFG,2036,0.010976187075542519
26,Afghanistan,AFG,2037,0.010976187075542519
27,Afghanistan,AFG,2038,0.010976187075542519
28,Afghanistan,AFG,2039,0.010976187075542519
29,Afghanistan,AFG,2040,0.010976187075542519
30,Afghanistan,AFG,2041,0.010976187075542519
31,Afghanistan,AFG,2042,0.010976187075542519
32,Afghanistan,AFG,2043,0.010976187075542519
33,Afghanistan,AFG,2044,0.010976187075542519
34,Afghanistan,AFG,2045,0.010976187075542519
35,Afghanistan,AFG,2046,0.010976187075542519
36,Afghanistan,AFG,2047,0.010976187075542519
37,Afghanistan,AFG,2048,0.010976187075542519
38,Afghanistan,AFG,2049,0.010976187075542519
39,Afghanistan,AFG,2050,0.010976187075542519
49,Albania,ALB,2020,0.04050679737353186
50,Albania,ALB,2021,0.04050679737353186
51,Albania,ALB,2022,0.04050679737353186
52,Albania,ALB,2023,0.04050679737353186
53,Albania,ALB,2024,0.04050679737353186
54,Albania,ALB,2025,0.04050679737353186
55,Albania,ALB,2026,0.04050679737353186
56,Albania,ALB,2027,0.04050679737353186
57,Albania,ALB,2028,0.04050679737353186
58,Albania,ALB,2029,0.04050679737353186
59,Albania,ALB,2030,0.04050679737353186
60,Albania,ALB,2031,0.04050679737353186
61,Albania,ALB,2032,0.04050679737353186
62,Albania,ALB,2033,0.04050679737353186
63,Albania,ALB,2034,0.04050679737353186
64,Albania,ALB,2035,0.04050679737353186
65,Albania,ALB,2036,0.04050679737353186
66,Albania,ALB,2037,0.04050679737353186
67,Albania,ALB,2038,0.04050679737353186
68,Albania,ALB,2039,0.04050679737353186
69,Albania,ALB,2040,0.04050679737353186
70,Albania,ALB,2041,0.04050679737353186
71,Albania,ALB,2042,0.04050679737353186
72,Albania,ALB,2043,0.04050679737353186
73,Albania,ALB,2044,0.04050679737353186
74,Albania,ALB,2045,0.04050679737353186
75,Albania,ALB,2046,0.04050679737353186
76,Albania,ALB,2047,0.04050679737353186
77,Albania,ALB,2048,0.04050679737353186
78,Albania,ALB,2049,0.04050679737353186
79,Albania,ALB,2050,0.04050679737353186
89,Algeria,DZA,2020,0.010976187075542519
90,Algeria,DZA,2021,0.010976187075542519
91,Algeria,DZA,2022,0.010976187075542519
92,Algeria,DZA,2023,0.010976187075542519
93,Algeria,DZA,2024,0.010976187075542519
94,Algeria,DZA,2025,0.010976187075542519
95,Algeria,DZA,2026,0.010976187075542519
96,Algeria,DZA,2027,0.010976187075542519
97,Algeria,DZA,2028,0.010976187075542519
98,Algeria,DZA,2029,0.010976187075542519
99,Algeria,DZA,2030,0.010976187075542519
100,Algeria,DZA,2031,0.010976187075542519
101,Algeria,DZA,2032,0.010976187075542519
102,Algeria,DZA,2033,0.010976187075542519
103,Algeria,DZA,2034,0.010976187075542519
104,Algeria,DZA,2035,0.010976187075542519
105,Algeria,DZA,2036,0.010976187075542519
106,Algeria,DZA,2037,0.010976187075542519
107,Algeria,DZA,2038,0.010976187075542519
108,Algeria,DZA,2039,0.010976187075542519
109,Algeria,DZA,2040,0.010976187075542519
110,Algeria,DZA,2041,0.010976187075542519
111,Algeria,DZA,2042,0.010976187075542519
112,Algeria,DZA,2043,0.010976187075542519
113,Algeria,DZA,2044,0.010976187075542519
114,Algeria,DZA,2045,0.010976187075542519
115,Algeria,DZA,2046,0.010976187075542519
116,Algeria,DZA,2047,0.010976187075542519
117,Algeria,DZA,2048,0.010976187075542519
118,Algeria,DZA,2049,0.010976187075542519
119,Algeria,DZA,2050,0.010976187075542519
129,Angola,AGO,2020,0.010976187075542519
130,Angola,AGO,2021,0.010976187075542519
131,Angola,AGO,2022,0.010976187075542519
132,Angola,AGO,2023,0.010976187075542519
133,Angola,AGO,2024,0.010976187075542519
134,Angola,AGO,2025,0.010976187075542519
135,Angola,AGO,2026,0.010976187075542519
136,Angola,AGO,2027,0.010976187075542519
137,Angola,AGO,2028,0.010976187075542519
138,Angola,AGO,2029,0.010976187075542519
139,Angola,AGO,2030,0.010976187075542519
140,Angola,AGO,2031,0.010976187075542519
141,Angola,AGO,2032,0.010976187075542519
142,Angola,AGO,2033,0.010976187075542519
143,Angola,AGO,2034,0.010976187075542519
144,Angola,AGO,2035,0.010976187075542519
145,Angola,AGO,2036,0.010976187075542519
146,Angola,AGO,2037,0.010976187075542519
147,Angola,AGO,2038,0.010976187075542519
148,Angola,AGO,2039,0.010976187075542519
149,Angola,AGO,2040,0.010976187075542519
150,Angola,AGO,2041,0.010976187075542519
151,Angola,AGO,2042,0.010976187075542519
152,Angola,AGO,2043,0.010976187075542519
153,Angola,AGO,2044,0.010976187075542519
154,Angola,AGO,2045,0.010976187075542519
155,Angola,AGO,2046,0.010976187075542519
156,Angola,AGO,2047,0.010976187075542519
157,Angola,AGO,2048,0.010976187075542519
158,Angola,AGO,2049,0.010976187075542519
159,Angola,AGO,2050,0.010976187075542519
169,Argentina,ARG,2020,0.011658812178785463
170,Argentina,ARG,2021,0.011658812178785463
171,Argentina,ARG,2022,0.011658812178785463
172,Argentina,ARG,2023,0.011658812178785463
173,Argentina,ARG,2024,0.011658812178785463
174,Argentina,ARG,2025,0.011658812178785463
175,Argentina,ARG,2026,0.011658812178785463
176,Argentina,ARG,2027,0.011658812178785463
177,Argentina,ARG,2028,0.011658812178785463
178,Argentina,ARG,2029,0.011658812178785463
179,Argentina,ARG,2030,0.011658812178785463
180,Argentina,ARG,2031,0.011658812178785463
181,Argentina,ARG,2032,0.011658812178785463
182,Argentina,ARG,2033,0.011658812178785463
183,Argentina,ARG,2034,0.011658812178785463
184,Argentina,ARG,2035,0.011658812178785463
185,Argentina,ARG,2036,0.011658812178785463
