Year,iso_code3,cost_enfu_fuel_coal_usd_per_tonne
2021,ABW,104.8891667
2022,ABW,104.8891667
2023,ABW,104.8891667
2024,ABW,104.8891667
2025,ABW,104.8891667
2026,ABW,104.8891667
2027,ABW,104.8891667
2028,ABW,104.8891667
2029,ABW,104.8891667
2030,ABW,104.8891667
2031,ABW,104.8891667
2032,ABW,104.8891667
2033,ABW,104.8891667
2034,ABW,104.8891667
2035,ABW,104.8891667
2036,ABW,104.8891667
2037,ABW,104.8891667
2038,ABW,104.8891667
2039,ABW,104.8891667
2040,ABW,104.8891667
2041,ABW,104.8891667
2042,ABW,104.8891667
2043,ABW,104.8891667
2044,ABW,104.8891667
2045,ABW,104.8891667
2046,ABW,104.8891667
2047,ABW,104.8891667
2048,ABW,104.8891667
2049,ABW,104.8891667
2050,ABW,104.8891667
2021,AFG,104.8891667
2022,AFG,104.8891667
2023,AFG,104.8891667
2024,AFG,104.8891667
2025,AFG,104.8891667
2026,AFG,104.8891667
2027,AFG,104.8891667
2028,AFG,104.8891667
2029,AFG,104.8891667
2030,AFG,104.8891667
2031,AFG,104.8891667
2032,AFG,104.8891667
2033,AFG,104.8891667
2034,AFG,104.8891667
2035,AFG,104.8891667
2036,AFG,104.8891667
2037,AFG,104.8891667
2038,AFG,104.8891667
2039,AFG,104.8891667
2040,AFG,104.8891667
2041,AFG,104.8891667
2042,AFG,104.8891667
2043,AFG,104.8891667
2044,AFG,104.8891667
2045,AFG,104.8891667
2046,AFG,104.8891667
2047,AFG,104.8891667
2048,AFG,104.8891667
2049,AFG,104.8891667
2050,AFG,104.8891667
2021,AGO,104.8891667
2022,AGO,104.8891667
2023,AGO,104.8891667
2024,AGO,104.8891667
2025,AGO,104.8891667
2026,AGO,104.8891667
2027,AGO,104.8891667
2028,AGO,104.8891667
2029,AGO,104.8891667
2030,AGO,104.8891667
2031,AGO,104.8891667
2032,AGO,104.8891667
2033,AGO,104.8891667
2034,AGO,104.8891667
2035,AGO,104.8891667
2036,AGO,104.8891667
2037,AGO,104.8891667
2038,AGO,104.8891667
2039,AGO,104.8891667
2040,AGO,104.8891667
2041,AGO,104.8891667
2042,AGO,104.8891667
2043,AGO,104.8891667
2044,AGO,104.8891667
2045,AGO,104.8891667
2046,AGO,104.8891667
2047,AGO,104.8891667
2048,AGO,104.8891667
2049,AGO,104.8891667
2050,AGO,104.8891667
2021,ALB,104.8891667
2022,ALB,104.8891667
2023,ALB,104.8891667
2024,ALB,104.8891667
2025,ALB,104.8891667
2026,ALB,104.8891667
2027,ALB,104.8891667
2028,ALB,104.8891667
2029,ALB,104.8891667
2030,ALB,104.8891667
2031,ALB,104.8891667
2032,ALB,104.8891667
2033,ALB,104.8891667
2034,ALB,104.8891667
2035,ALB,104.8891667
2036,ALB,104.8891667
2037,ALB,104.8891667
2038,ALB,104.8891667
2039,ALB,104.8891667
2040,ALB,104.8891667
2041,ALB,104.8891667
2042,ALB,104.8891667
2043,ALB,104.8891667
2044,ALB,104.8891667
2045,ALB,104.8891667
2046,ALB,104.8891667
2047,ALB,104.8891667
2048,ALB,104.8891667
2049,ALB,104.8891667
2050,ALB,104.8891667
2021,AND,104.8891667
2022,AND,104.8891667
2023,AND,104.8891667
2024,AND,104.8891667
2025,AND,104.8891667
2026,AND,104.8891667
2027,AND,104.8891667
2028,AND,104.8891667
2029,AND,104.8891667
2030,AND,104.8891667
2031,AND,104.8891667
2032,AND,104.8891667
2033,AND,104.8891667
2034,AND,104.8891667
2035,AND,104.8891667
2036,AND,104.8891667
2037,AND,104.8891667
2038,AND,104.8891667
2039,AND,104.8891667
2040,AND,104.8891667
2041,AND,104.8891667
2042,AND,104.8891667
2043,AND,104.8891667
2044,AND,104.8891667
2045,AND,104.8891667
2046,AND,104.8891667
2047,AND,104.8891667
2048,AND,104.8891667
2049,AND,104.8891667
2050,AND,104.8891667
2021,ARE,104.8891667
2022,ARE,104.8891667
2023,ARE,104.8891667
2024,ARE,104.8891667
2025,ARE,104.8891667
2026,ARE,104.8891667
2027,ARE,104.8891667
2028,ARE,104.8891667
2029,ARE,104.8891667
2030,ARE,104.8891667
2031,ARE,104.8891667
2032,ARE,104.8891667
2033,ARE,104.8891667
2034,ARE,104.8891667
2035,ARE,104.8891667
2036,ARE,104.8891667
2037,ARE,104.8891667
2038,ARE,104.8891667
2039,ARE,104.8891667
2040,ARE,104.8891667
2041,ARE,104.8891667
2042,ARE,104.8891667
2043,ARE,104.8891667
2044,ARE,104.8891667
2045,ARE,104.8891667
2046,ARE,104.8891667
2047,ARE,104.8891667
2048,ARE,104.8891667
2049,ARE,104.8891667
2050,ARE,104.8891667
2021,ARG,104.8891667
2022,ARG,104.8891667
2023,ARG,104.8891667
2024,ARG,104.8891667
2025,ARG,104.8891667
2026,ARG,104.8891667
2027,ARG,104.8891667
2028,ARG,104.8891667
2029,ARG,104.8891667
2030,ARG,104.8891667
2031,ARG,104.8891667
2032,ARG,104.8891667
2033,ARG,104.8891667
2034,ARG,104.8891667
2035,ARG,104.8891667
2036,ARG,104.8891667
2037,ARG,104.8891667
2038,ARG,104.8891667
2039,ARG,104.8891667
2040,ARG,104.8891667
2041,ARG,104.8891667
2042,ARG,104.8891667
2043,ARG,104.8891667
2044,ARG,104.8891667
2045,ARG,104.8891667
2046,ARG,104.8891667
2047,ARG,104.8891667
2048,ARG,104.8891667
2049,ARG,104.8891667
2050,ARG,104.8891667
2021,ARM,104.8891667
2022,ARM,104.8891667
2023,ARM,104.8891667
2024,ARM,104.8891667
2025,ARM,104.8891667
2026,ARM,104.8891667
2027,ARM,104.8891667
2028,ARM,104.8891667
2029,ARM,104.8891667
2030,ARM,104.8891667
2031,ARM,104.8891667
2032,ARM,104.8891667
2033,ARM,104.8891667
2034,ARM,104.8891667
2035,ARM,104.8891667
2036,ARM,104.8891667
2037,ARM,104.8891667
2038,ARM,104.8891667
2039,ARM,104.8891667
2040,ARM,104.8891667
2041,ARM,104.8891667
2042,ARM,104.8891667
2043,ARM,104.8891667
2044,ARM,104.8891667
2045,ARM,104.8891667
2046,ARM,104.8891667
2047,ARM,104.8891667
2048,ARM,104.8891667
2049,ARM,104.8891667
2050,ARM,104.8891667
2021,ASM,104.8891667
2022,ASM,104.8891667
2023,ASM,104.8891667
2024,ASM,104.8891667
2025,ASM,104.8891667
2026,ASM,104.8891667
2027,ASM,104.8891667
2028,ASM,104.8891667
2029,ASM,104.8891667
2030,ASM,104.8891667
2031,ASM,104.8891667
2032,ASM,104.8891667
2033,ASM,104.8891667
2034,ASM,104.8891667
2035,ASM,104.8891667
2036,ASM,104.8891667
2037,ASM,104.8891667
2038,ASM,104.8891667
2039,ASM,104.8891667
2040,ASM,104.8891667
2041,ASM,104.8891667
2042,ASM,104.8891667
2043,ASM,104.8891667
2044,ASM,104.8891667
2045,ASM,104.8891667
2046,ASM,104.8891667
2047,ASM,104.8891667
2048,ASM,104.8891667
2049,ASM,104.8891667
2050,ASM,104.8891667
2021,ATG,104.8891667
2022,ATG,104.8891667
2023,ATG,104.8891667
2024,ATG,104.8891667
2025,ATG,104.8891667
2026,ATG,104.8891667
2027,ATG,104.8891667
2028,ATG,104.8891667
2029,ATG,104.8891667
2030,ATG,104.8891667
2031,ATG,104.8891667
2032,ATG,104.8891667
2033,ATG,104.8891667
2034,ATG,104.8891667
2035,ATG,104.8891667
2036,ATG,104.8891667
2037,ATG,104.8891667
2038,ATG,104.8891667
2039,ATG,104.8891667
2040,ATG,104.8891667
2041,ATG,104.8891667
2042,ATG,104.8891667
2043,ATG,104.8891667
2044,ATG,104.8891667
2045,ATG,104.8891667
2046,ATG,104.8891667
2047,ATG,104.8891667
2048,ATG,104.8891667
2049,ATG,104.8891667
2050,ATG,104.8891667
2021,AUS,104.8891667
2022,AUS,104.8891667
2023,AUS,104.8891667
2024,AUS,104.8891667
2025,AUS,104.8891667
2026,AUS,104.8891667
2027,AUS,104.8891667
2028,AUS,104.8891667
2029,AUS,104.8891667
2030,AUS,104.8891667
2031,AUS,104.8891667
2032,AUS,104.8891667
2033,AUS,104.8891667
2034,AUS,104.8891667
2035,AUS,104.8891667
2036,AUS,104.8891667
2037,AUS,104.8891667
2038,AUS,104.8891667
2039,AUS,104.8891667
2040,AUS,104.8891667
2041,AUS,104.8891667
2042,AUS,104.8891667
2043,AUS,104.8891667
2044,AUS,104.8891667
2045,AUS,104.8891667
2046,AUS,104.8891667
2047,AUS,104.8891667
2048,AUS,104.8891667
2049,AUS,104.8891667
2050,AUS,104.8891667
2021,AUT,159.801875
2022,AUT,159.801875
2023,AUT,159.801875
2024,AUT,159.801875
2025,AUT,159.801875
2026,AUT,159.801875
2027,AUT,159.801875
2028,AUT,159.801875
2029,AUT,159.801875
2030,AUT,159.801875
2031,AUT,159.801875
2032,AUT,159.801875
2033,AUT,159.801875
2034,AUT,159.801875
2035,AUT,159.801875
2036,AUT,159.801875
2037,AUT,159.801875
2038,AUT,159.801875
2039,AUT,159.801875
2040,AUT,159.801875
2041,AUT,159.801875
2042,AUT,159.801875
2043,AUT,159.801875
2044,AUT,159.801875
2045,AUT,159.801875
2046,AUT,159.801875
2047,AUT,159.801875
2048,AUT,159.801875
2049,AUT,159.801875
2050,AUT,159.801875
2021,AZE,104.8891667
2022,AZE,104.8891667
2023,AZE,104.8891667
2024,AZE,104.8891667
2025,AZE,104.8891667
2026,AZE,104.8891667
2027,AZE,104.8891667
2028,AZE,104.8891667
2029,AZE,104.8891667
2030,AZE,104.8891667
2031,AZE,104.8891667
