Year,prodinit_ippu_metals_tonne,iso_code3
2021,19014.39,"ABW"
2022,20676.1877526427,"ABW"
2023,22483.2213908799,"ABW"
2024,24448.184073329,"ABW"
2025,26584.8783006617,"ABW"
2026,28908.3128686032,"ABW"
2027,31434.8082943169,"ABW"
2028,34182.1114567245,"ABW"
2029,37169.5202560269,"ABW"
2030,40418.0191680758,"ABW"
2031,43950.4266457692,"ABW"
2032,47791.5554028646,"ABW"
2033,51968.3867060924,"ABW"
2034,56510.25989985,"ABW"
2035,61449.0784947576,"ABW"
2036,66819.534267704,"ABW"
2037,72659.3509475294,"ABW"
2038,79009.5491980692,"ABW"
2039,85914.7347598814,"ABW"
2040,93423.4117746511,"ABW"
2041,101588.323493162,"ABW"
2042,110466.822760068,"ABW"
2043,120121.274877873,"ABW"
2044,130619.495679941,"ABW"
2045,142035.227889717,"ABW"
2046,154448.65911224,"ABW"
2047,167946.985096476,"ABW"
2048,182625.022225011,"ABW"
2049,198585.873533407,"ABW"
2050,215941.652937554,"ABW"
2021,945827.6,"AGO"
2022,970555.899309619,"AGO"
2023,995930.710506548,"AGO"
2024,1021968.93639576,"AGO"
2025,1048687.92169955,"AGO"
2026,1076105.46461136,"AGO"
2027,1104239.82865151,"AGO"
2028,1133109.75483309,"AGO"
2029,1162734.47414574,"AGO"
2030,1193133.72036597,"AGO"
2031,1224327.74320228,"AGO"
2032,1256337.32178402,"AGO"
2033,1289183.77850289,"AGO"
2034,1322888.99321636,"AGO"
2035,1357475.41782234,"AGO"
2036,1392966.091215,"AGO"
2037,1429384.65463154,"AGO"
2038,1466755.36740024,"AGO"
2039,1505103.12310018,"AGO"
2040,1544453.46614352,"AGO"
2041,1584832.60879127,"AGO"
2042,1626267.44861391,"AGO"
2043,1668785.5864086,"AGO"
2044,1712415.34458471,"AGO"
2045,1757185.78603014,"AGO"
2046,1803126.73347084,"AGO"
2047,1850268.78933645,"AGO"
2048,1898643.35614541,"AGO"
2049,1948282.65742292,"AGO"
2050,1999219.75916588,"AGO"
2021,582180.7,"ALB"
2022,608640.185573514,"ALB"
2023,636302.226258894,"ALB"
2024,665221.476890342,"ALB"
2025,695455.076305389,"ALB"
2026,727062.760240169,"ALB"
2027,760106.979355667,"ALB"
2028,794653.022628122,"ALB"
2029,830769.146347404,"ALB"
2030,868526.708978215,"ALB"
2031,908000.312150599,"ALB"
2032,949267.948058307,"ALB"
2033,992411.15355627,"ALB"
2034,1037515.17126163,"ALB"
2035,1084669.11797662,"ALB"
2036,1133966.16076615,"ALB"
2037,1185503.70103783,"ALB"
2038,1239383.56698831,"ALB"
2039,1295712.21479608,"ALB"
2040,1354600.93895822,"ALB"
2041,1416166.09218682,"ALB"
2042,1480529.31529936,"ALB"
2043,1547817.77755743,"ALB"
2044,1618164.42792854,"ALB"
2045,1691708.25776754,"ALB"
2046,1768594.5754366,"ALB"
2047,1848975.29340639,"ALB"
2048,1933009.22840573,"ALB"
2049,2020862.41521263,"ALB"
2050,2112708.43470688,"ALB"
2021,7023495,"ARE"
2022,7188965.56002402,"ARE"
2023,7358334.53618341,"ARE"
2024,7531693.77350705,"ARE"
2025,7709137.2808537,"ARE"
2026,7890761.28189092,"ARE"
2027,8076664.26727503,"ARE"
2028,8266947.04806038,"ARE"
2029,8461712.81036697,"ARE"
2030,8661067.17133596,"ARE"
2031,8865118.23640351,"ARE"
2032,9073976.65792397,"ARE"
2033,9287755.69517417,"ARE"
2034,9506571.27577141,"ARE"
2035,9730542.05853842,"ARE"
2036,9959789.49784943,"ARE"
2037,10194437.9094921,"ARE"
2038,10434614.5380814,"ARE"
2039,10680449.6260613,"ARE"
2040,10932076.4843324,"ARE"
2041,11189631.5645436,"ARE"
2042,11453254.5330867,"ARE"
2043,11723088.3468343,"ARE"
2044,11999279.3306624,"ARE"
2045,12281977.2567988,"ARE"
2046,12571335.4260415,"ARE"
2047,12867510.75089,"ARE"
2048,13170663.8406359,"ARE"
2049,13480959.0884574,"ARE"
2050,13798564.7605662,"ARE"
2021,5268931,"ARG"
2022,5215248.5802825,"ARG"
2023,5162113.10304475,"ARG"
2024,5109518.99577197,"ARG"
2025,5057460.7427249,"ARG"
2026,5005932.88436128,"ARG"
2027,4954930.0167633,"ARG"
2028,4904446.79107089,"ARG"
2029,4854477.91292077,"ARG"
2030,4805018.14189117,"ARG"
2031,4756062.29095231,"ARG"
2032,4707605.22592233,"ARG"
2033,4659641.86492894,"ARG"
2034,4612167.17787642,"ARG"
2035,4565176.18591808,"ARG"
2036,4518663.96093416,"ARG"
2037,4472625.62501494,"ARG"
2038,4427056.34994922,"ARG"
2039,4381951.35671796,"ARG"
2040,4337305.91499307,"ARG"
2041,4293115.34264132,"ARG"
2042,4249375.00523336,"ARG"
2043,4206080.3155576,"ARG"
2044,4163226.73313922,"ARG"
2045,4120809.76376393,"ARG"
2046,4078824.9590067,"ARG"
2047,4037267.91576518,"ARG"
2048,3996134.27579796,"ARG"
2049,3955419.72526753,"ARG"
2050,3915119.99428782,"ARG"
2021,278273.4,"ARM"
2022,274108.845085505,"ARM"
2023,270006.61563092,"ARM"
2024,265965.778892404,"ARM"
2025,261985.416085273,"ARM"
2026,258064.622175097,"ARM"
2027,254202.505671915,"ARM"
2028,250398.188427532,"ARM"
2029,246650.805435854,"ARM"
2030,242959.504636201,"ARM"
2031,239323.446719577,"ARM"
2032,235741.804937826,"ARM"
2033,232213.764915655,"ARM"
2034,228738.524465461,"ARM"
2035,225315.293404939,"ARM"
2036,221943.293377411,"ARM"
2037,218621.757674846,"ARM"
2038,215349.931063534,"ARM"
2039,212127.069612361,"ARM"
2040,208952.440523661,"ARM"
2041,205825.321966592,"ARM"
2042,202745.002913016,"ARM"
2043,199710.782975822,"ARM"
2044,196721.972249681,"ARM"
2045,193777.891154177,"ARM"
2046,190877.870279287,"ARM"
2047,188021.250233175,"ARM"
2048,185207.38149226,"ARM"
2049,182435.624253536,"ARM"
2050,179705.348289092,"ARM"
2021,1176.758,"ASM"
2022,1124.41875393928,"ASM"
2023,1074.40742634455,"ASM"
2024,1026.62047723784,"ASM"
2025,980.958971839852,"ASM"
2026,937.328375742269,"ASM"
2027,895.638359190293,"ASM"
2028,855.802610070184,"ASM"
