,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_road_heavy_regional
0,Aruba,ABW,2004,24.122000000000003
1,Aruba,ABW,2005,24.122000000000003
2,Aruba,ABW,2006,24.122000000000003
3,Aruba,ABW,2007,24.122000000000003
4,Aruba,ABW,2008,24.122000000000003
5,Africa Eastern and Southern,AFE,2004,24.122000000000003
6,Africa Eastern and Southern,AFE,2005,24.122000000000003
7,Africa Eastern and Southern,AFE,2006,24.122000000000003
8,Africa Eastern and Southern,AFE,2007,24.122000000000003
9,Africa Eastern and Southern,AFE,2008,24.122000000000003
10,Afghanistan,AFG,2004,24.122000000000003
11,Afghanistan,AFG,2005,24.122000000000003
12,Afghanistan,AFG,2006,24.122000000000003
13,Afghanistan,AFG,2007,24.122000000000003
14,Afghanistan,AFG,2008,24.122000000000003
15,Africa Western and Central,AFW,2004,24.122000000000003
16,Africa Western and Central,AFW,2005,24.122000000000003
17,Africa Western and Central,AFW,2006,24.122000000000003
18,Africa Western and Central,AFW,2007,24.122000000000003
19,Africa Western and Central,AFW,2008,24.122000000000003
20,Angola,AGO,2004,24.122000000000003
21,Angola,AGO,2005,24.122000000000003
22,Angola,AGO,2006,24.122000000000003
23,Angola,AGO,2007,24.122000000000003
24,Angola,AGO,2008,24.122000000000003
25,Albania,ALB,2004,24.122000000000003
26,Albania,ALB,2005,24.122000000000003
27,Albania,ALB,2006,24.122000000000003
28,Albania,ALB,2007,24.122000000000003
29,Albania,ALB,2008,24.122000000000003
30,Andorra,AND,2004,24.122000000000003
31,Andorra,AND,2005,24.122000000000003
32,Andorra,AND,2006,24.122000000000003
33,Andorra,AND,2007,24.122000000000003
34,Andorra,AND,2008,24.122000000000003
35,Arab World,ARB,2004,24.122000000000003
36,Arab World,ARB,2005,24.122000000000003
37,Arab World,ARB,2006,24.122000000000003
38,Arab World,ARB,2007,24.122000000000003
39,Arab World,ARB,2008,24.122000000000003
40,United Arab Emirates,ARE,2004,24.122000000000003
41,United Arab Emirates,ARE,2005,24.122000000000003
42,United Arab Emirates,ARE,2006,24.122000000000003
43,United Arab Emirates,ARE,2007,24.122000000000003
44,United Arab Emirates,ARE,2008,24.122000000000003
45,Argentina,ARG,2004,24.122000000000003
46,Argentina,ARG,2005,24.122000000000003
47,Argentina,ARG,2006,24.122000000000003
48,Argentina,ARG,2007,24.122000000000003
49,Argentina,ARG,2008,24.122000000000003
50,Armenia,ARM,2004,24.122000000000003
51,Armenia,ARM,2005,24.122000000000003
52,Armenia,ARM,2006,24.122000000000003
53,Armenia,ARM,2007,24.122000000000003
54,Armenia,ARM,2008,24.122000000000003
55,American Samoa,ASM,2004,24.122000000000003
56,American Samoa,ASM,2005,24.122000000000003
57,American Samoa,ASM,2006,24.122000000000003
58,American Samoa,ASM,2007,24.122000000000003
59,American Samoa,ASM,2008,24.122000000000003
60,Antigua and Barbuda,ATG,2004,24.122000000000003
61,Antigua and Barbuda,ATG,2005,24.122000000000003
62,Antigua and Barbuda,ATG,2006,24.122000000000003
63,Antigua and Barbuda,ATG,2007,24.122000000000003
64,Antigua and Barbuda,ATG,2008,24.122000000000003
65,Australia,AUS,2004,24.122000000000003
66,Australia,AUS,2005,24.122000000000003
67,Australia,AUS,2006,24.122000000000003
68,Australia,AUS,2007,24.122000000000003
69,Australia,AUS,2008,24.122000000000003
70,Austria,AUT,2004,16.1
71,Austria,AUT,2005,15.4
72,Austria,AUT,2006,15.4
73,Austria,AUT,2007,15.4
74,Austria,AUT,2008,15.4
75,Azerbaijan,AZE,2004,24.122000000000003
76,Azerbaijan,AZE,2005,24.122000000000003
