Year,iso_code3,frac_lndu_initial_settlements
1992,ABW,0.010809347732804939
1993,ABW,0.010995649231926708
1994,ABW,0.011265142465333595
1995,ABW,0.011749072091409489
1996,ABW,0.011992405009130283
1997,ABW,0.012188531752702961
1998,ABW,0.012797445012215521
1999,ABW,0.013289632537216949
2000,ABW,0.01378834065878026
2001,ABW,0.01441234971556564
2002,ABW,0.014480424740803433
2003,ABW,0.01535224923341231
2004,ABW,0.015572586366571398
2005,ABW,0.01697558534253359
2006,ABW,0.017649617552349416
2007,ABW,0.018303127316065478
2008,ABW,0.018653543714387516
2009,ABW,0.01913551625415537
2010,ABW,0.019889886588488337
2011,ABW,0.020081191218754037
2012,ABW,0.02072045716665308
2013,ABW,0.02145657060562133
2014,ABW,0.0223254210351001
2019,ABW,0.023403997907074616
2020,ABW,0.023523709155480417
2021,ABW,0.023523709155480417
2022,ABW,0.023523709155480417
2023,ABW,0.023523709155480417
2024,ABW,0.023523709155480417
2025,ABW,0.023523709155480417
2026,ABW,0.023523709155480417
2027,ABW,0.023523709155480417
2028,ABW,0.023523709155480417
2029,ABW,0.023523709155480417
2030,ABW,0.023523709155480417
2031,ABW,0.023523709155480417
2032,ABW,0.023523709155480417
2033,ABW,0.023523709155480417
2034,ABW,0.023523709155480417
2035,ABW,0.023523709155480417
2036,ABW,0.023523709155480417
2037,ABW,0.023523709155480417
2038,ABW,0.023523709155480417
2039,ABW,0.023523709155480417
2040,ABW,0.023523709155480417
2041,ABW,0.023523709155480417
2042,ABW,0.023523709155480417
2043,ABW,0.023523709155480417
2044,ABW,0.023523709155480417
2045,ABW,0.023523709155480417
2046,ABW,0.023523709155480417
2047,ABW,0.023523709155480417
2048,ABW,0.023523709155480417
2049,ABW,0.023523709155480417
2050,ABW,0.023523709155480417
1992,AFG,0.0003957593692554593
1993,AFG,0.00039869009346630733
1994,AFG,0.00040320216185845466
1995,AFG,0.00041236920383228373
1996,AFG,0.00042038601998013503
1997,AFG,0.00043064930558456044
1998,AFG,0.0004463488310820296
1999,AFG,0.00046163672902153034
2000,AFG,0.0004797213809045303
2001,AFG,0.000519205256651907
2002,AFG,0.0005669845547102934
2003,AFG,0.0005833671564491695
2004,AFG,0.0006047277832854024
2005,AFG,0.000621922881644554
