"year","prodinit_ippu_textiles_tonne","location_code"
2021,1038.184,"ABW"
2022,1059.12899198359,"ABW"
2023,1080.49654171146,"ABW"
2024,1102.29517413542,"ABW"
2025,1124.53358619514,"ABW"
2026,1147.22065028795,"ABW"
2027,1170.36541780863,"ABW"
2028,1193.97712276061,"ABW"
2029,1218.06518544006,"ABW"
2030,1242.63921619427,"ABW"
2031,1267.70901925584,"ABW"
2032,1293.2845966543,"ABW"
2033,1319.37615220651,"ABW"
2034,1345.99409558774,"ABW"
2035,1373.14904648473,"ABW"
2036,1400.85183883261,"ABW"
2037,1429.11352513729,"ABW"
2038,1457.94538088505,"ABW"
2039,1487.35890904108,"ABW"
2040,1517.3658446388,"ABW"
2041,1547.97815946173,"ABW"
2042,1579.20806681986,"ABW"
2043,1611.06802642235,"ABW"
2044,1643.57074934856,"ABW"
2045,1676.72920311934,"ABW"
2046,1710.55661687064,"ABW"
2047,1745.06648663152,"ABW"
2048,1780.2725807086,"ABW"
2049,1816.18894517919,"ABW"
2050,1852.82990949521,"ABW"
2021,45804.72,"AGO"
2022,51452.1040287758,"AGO"
2023,57795.7688419004,"AGO"
2024,64921.5607229242,"AGO"
2025,72925.9101687857,"AGO"
2026,81917.1368452317,"AGO"
2027,92016.9154336131,"AGO"
2028,103361.922205776,"AGO"
2029,116105.684609486,"AGO"
2030,130420.658894094,"AGO"
2031,146500.563892115,"AGO"
2032,164563.002538852,"AGO"
2033,184852.40660606,"AGO"
2034,207643.344499531,"AGO"
2035,233244.236883727,"AGO"
2036,262001.530415511,"AGO"
2037,294304.386068452,"AGO"
2038,330589.945492932,"AGO"
2039,371349.246679593,"AGO"
2040,417133.868980444,"AGO"
2041,468563.397412048,"AGO"
2042,526333.807252207,"AGO"
2043,591226.882395574,"AGO"
2044,664120.79492301,"AGO"
2045,746001.989053792,"AGO"
2046,837978.53030145,"AGO"
2047,941295.100482022,"AGO"
2048,1057349.8414962,"AGO"
2049,1187713.27582555,"AGO"
2050,1334149.5597863,"AGO"
2021,73252.27,"ALB"
2022,78314.0201334414,"ALB"
2023,83725.5384640102,"ALB"
2024,89510.9940613951,"ALB"
2025,95696.2260840305,"ALB"
2026,102308.859182645,"ALB"
2027,109378.426878227,"ALB"
2028,116936.50346543,"ALB"
2029,125016.845030548,"ALB"
2030,133655.540213862,"ALB"
2031,142891.171389697,"ALB"
2032,152764.986984073,"ALB"
2033,163321.085699536,"ALB"
2034,174606.613469985,"ALB"
2035,186671.974025111,"ALB"
2036,199571.054004904,"ALB"
2037,213361.463629621,"ALB"
2038,228104.794000112,"ALB"
2039,243866.892177666,"ALB"
2040,260718.155271933,"ALB"
2041,278733.844850403,"ALB"
2042,297994.42307366,"ALB"
2043,318585.912057658,"ALB"
2044,340600.278068028,"ALB"
2045,364135.842262298,"ALB"
2046,389297.719814515,"ALB"
2047,416198.289383479,"ALB"
2048,444957.695021351,"ALB"
2049,475704.382764271,"ALB"
2050,508575.674301526,"ALB"
2021,229493.4,"ARE"
2022,228352.400101063,"ARE"
2023,227217.073048357,"ARE"
2024,226087.390637512,"ARE"
2025,224963.324804384,"ARE"
2026,223844.847624359,"ARE"
2027,222731.931311658,"ARE"
2028,221624.548218651,"ARE"
2029,220522.670835164,"ARE"
2030,219426.2717878,"ARE"
2031,218335.323839258,"ARE"
2032,217249.799887654,"ARE"
2033,216169.672965851,"ARE"
2034,215094.916240789,"ARE"
2035,214025.503012816,"ARE"
2036,212961.406715024,"ARE"
2037,211902.600912594,"ARE"
2038,210849.059302134,"ARE"
2039,209800.75571103,"ARE"
2040,208757.664096791,"ARE"
2041,207719.758546405,"ARE"
2042,206687.013275697,"ARE"
2043,205659.402628684,"ARE"
2044,204636.901076941,"ARE"
2045,203619.483218965,"ARE"
2046,202607.123779545,"ARE"
2047,201599.797609135,"ARE"
2048,200597.479683226,"ARE"
2049,199600.145101727,"ARE"
2050,198607.769088348,"ARE"
2021,158408.1,"ARG"
2022,153896.720539616,"ARG"
2023,149513.822795984,"ARG"
2024,145255.747677317,"ARG"
2025,141118.940300837,"ARG"
2026,137099.947024961,"ARG"
2027,133195.412566002,"ARG"
2028,129402.077196992,"ARG"
2029,125716.774026273,"ARG"
2030,122136.426353598,"ARG"
2031,118658.045101526,"ARG"
2032,115278.726319971,"ARG"
2033,111995.648761821,"ARG"
2034,108806.071527598,"ARG"
2035,105707.331777202,"ARG"
2036,102696.84250682,"ARG"
2037,99772.0903891465,"ARG"
2038,96930.6336751199,"ARG"
2039,94170.1001554075,"ARG"
2040,91488.1851799521,"ARG"
2041,88882.6497339195,"ARG"
2042,86351.3185684417,"ARG"
2043,83892.0783845952,"ARG"
2044,81502.8760690999,"ARG"
2045,79181.7169802631,"ARG"
2046,76926.6632827393,"ARG"
2047,74735.8323297157,"ARG"
2048,72607.3950911717,"ARG"
2049,70539.5746269005,"ARG"
2050,68530.6446030189,"ARG"
2021,15020.19,"ARM"
2022,16872.3730552733,"ARM"
2023,18952.9541581241,"ARM"
2024,21290.0977321434,"ARM"
2025,23915.4412374246,"ARM"
2026,26864.5234407351,"ARM"
2027,30177.2654969223,"ARM"
2028,33898.5113538578,"ARM"
2029,38078.634796278,"ARM"
2030,42774.221345956,"ARM"
2031,48048.8342489545,"ARM"
2032,53973.8749189827,"ARM"
2033,60629.5494845096,"ARM"
2034,68105.954523598,"ARM"
2035,76504.2966838385,"ARM"
2036,85938.2626971452,"ARM"
2037,96535.5583350353,"ARM"
2038,108439.637136935,"ARM"
2039,121811.642312969,"ARM"
2040,136832.588108402,"ARM"
2041,153705.810158427,"ARM"
2042,172659.718003301,"ARM"
2043,193950.887024065,"ARM"
2044,217867.531653807,"ARM"
2045,244733.406880645,"ARM"
2046,274912.190856324,"ARM"
2047,308812.407936943,"ARM"
2048,346892.958798081,"ARM"
2049,389669.332484395,"ARM"
2050,437720.58448502,"ARM"
2021,59.5572,"ASM"
2022,61.6790591881871,"ASM"
2023,63.8765143818025,"ASM"
2024,66.1522588585474,"ASM"
2025,68.5090818501981,"ASM"
2026,70.9498719611855,"ASM"
2027,73.4776207089698,"ASM"
2028,76.0954261905481,"ASM"
2029,78.8064968795903,"ASM"
2030,81.6141555588566,"ASM"
2031,84.5218433927153,"ASM"
2032,87.5331241447544,"ASM"
2033,90.6516885456541,"ASM"
2034,93.8813588166754,"ASM"
2035,97.2260933543073,"ASM"
2036,100.689991581816,"ASM"
2037,104.27729897364,"ASM"
2038,107.992412258794,"ASM"
2039,111.839884809649,"ASM"
2040,115.82443222271,"ASM"
2041,119.95093809821,"ASM"
2042,124.224460025623,"ASM"
2043,128.650235782424,"ASM"
2044,133.233689753688,"ASM"
2045,137.980439580408,"ASM"
2046,142.896303044671,"ASM"
2047,147.987305200133,"ASM"
2048,153.259685756538,"ASM"
2049,158.719906727322,"ASM"
2050,164.374660349681,"ASM"
2021,511.8392,"ATG"
2022,505.894414129662,"ATG"
2023,500.018674317235,"ATG"
2024,494.211178623302,"ATG"
2025,488.471134422618,"ATG"
2026,482.797758295929,"ATG"
2027,477.19027592305,"ATG"
2028,471.647921977182,"ATG"
2029,466.169940020457,"ATG"
2030,460.755582400701,"ATG"
2031,455.404110149387,"ATG"
2032,450.11479288078,"ATG"
2033,444.886908692254,"ATG"
2034,439.719744065762,"ATG"
2035,434.612593770453,"ATG"
2036,429.564760766421,"ATG"
2037,424.575556109569,"ATG"
2038,419.644298857582,"ATG"
2039,414.770315976989,"ATG"
2040,409.952942251304,"ATG"
2041,405.191520190237,"ATG"
2042,400.485399939956,"ATG"
2043,395.833939194394,"ATG"
2044,391.236503107586,"ATG"
2045,386.692464207021,"ATG"
2046,382.201202308002,"ATG"
2047,377.762104429007,"ATG"
2048,373.374564708019,"ATG"
2049,369.037984319843,"ATG"
2050,364.751771394372,"ATG"
2021,1003573,"AUS"
2022,1029995.95890896,"AUS"
2023,1057114.60488554,"AUS"
2024,1084947.25459508,"AUS"
2025,1113512.70696034,"AUS"
2026,1142830.25585875,"AUS"
2027,1172919.70315404,"AUS"
2028,1203801.37207095,"AUS"
2029,1235496.12092209,"AUS"
2030,1268025.35719619,"AUS"
2031,1301411.05201731,"AUS"
2032,1335675.75498473,"AUS"
2033,1370842.60940356,"AUS"
2034,1406935.36791631,"AUS"
2035,1443978.40854616,"AUS"
2036,1481996.75116244,"AUS"
2037,1521016.07437977,"AUS"
2038,1561062.73290208,"AUS"
2039,1602163.77532329,"AUS"
2040,1644346.96239668,"AUS"
2041,1687640.7857852,"AUS"
2042,1732074.48730556,"AUS"
2043,1777678.07867892,"AUS"
2044,1824482.36180162,"AUS"
2045,1872518.94954961,"AUS"
2046,1921820.28713063,"AUS"
2047,1972419.67399862,"AUS"
2048,2024351.286345,"AUS"
2049,2077650.20018226,"AUS"
2050,2132352.41503521,"AUS"
2021,489540.7,"AUT"
2022,492098.47197785,"AUT"
2023,494669.607905808,"AUT"
2024,497254.17760838,"AUT"
2025,499852.251274891,"AUT"
2026,502463.899461398,"AUT"
2027,505089.193092599,"AUT"
2028,507728.203463764,"AUT"
2029,510381.002242668,"AUT"
2030,513047.66147154,"AUT"
2031,515728.253569017,"AUT"
2032,518422.851332113,"AUT"
2033,521131.527938194,"AUT"
2034,523854.356946966,"AUT"
2035,526591.412302473,"AUT"
