,Nation,iso_code3,Year,consumpinit_inen_energy_tj_per_tonne_production_rubber_and_leather
0,Cuba,CUB,2017,1.2437303378387796
1,Cuba,CUB,2018,1.2552958424404321
2,Cuba,CUB,2019,1.4170056944394636
3,Cuba,CUB,2020,1.4415894070883377
4,Cuba,CUB,2021,1.4415893017150028
5,Cuba,CUB,2022,1.4051006625927192
6,Cuba,CUB,2023,1.369535601901141
7,Cuba,CUB,2024,1.3348707425799464
8,Cuba,CUB,2025,1.3010832992748758
9,Cuba,CUB,2026,1.2681510633608122
10,Cuba,CUB,2027,1.2360523883439665
11,Cuba,CUB,2028,1.2047661756335482
12,Cuba,CUB,2029,1.1742718606735747
13,Cuba,CUB,2030,1.1445493994257046
14,Cuba,CUB,2031,1.1155792551942052
15,Cuba,CUB,2032,1.0873423857844093
16,Cuba,CUB,2033,1.0598202309861962
17,Cuba,CUB,2034,1.0329947003742916
18,Cuba,CUB,2035,1.0068481614173592
19,Cuba,CUB,2036,0.9813634278880634
20,Cuba,CUB,2037,0.9565237485664888
21,Cuba,CUB,2038,0.9323127962294996
22,Cuba,CUB,2039,0.9087146569187863
23,Cuba,CUB,2040,0.8857138194805566
24,Cuba,CUB,2041,0.8632951653699876
25,Cuba,CUB,2042,0.8414439587137497
26,Cuba,CUB,2043,0.8201458366240483
27,Cuba,CUB,2044,0.7993867997578545
28,Cuba,CUB,2045,0.7791532031150539
29,Cuba,CUB,2046,0.7594317470695502
30,Cuba,CUB,2047,0.7402094686273757
31,Cuba,CUB,2048,0.7214737329060358
32,Cuba,CUB,2049,0.7032122248295708
33,Cuba,CUB,2050,0.6854129410337974
34,Colombia,COL,2017,0.16552351183561906
35,Colombia,COL,2018,0.16032363046054127
36,Colombia,COL,2019,0.1666262126296155
37,Colombia,COL,2020,0.2013586681566631
38,Colombia,COL,2021,0.20135864774688098
39,Colombia,COL,2022,0.20725824455888692
40,Colombia,COL,2023,0.21333069335879434
41,Colombia,COL,2024,0.2195810585282343
42,Colombia,COL,2025,0.22601455282989652
43,Colombia,COL,2026,0.23263654175494317
44,Colombia,COL,2027,0.23945254799778812
45,Colombia,COL,2028,0.24646825606198977
46,Colombia,COL,2029,0.25368951700108666
47,Colombia,COL,2030,0.2611223532983405
48,Colombia,COL,2031,0.2687729638894433
49,Colombia,COL,2032,0.2766477293323896
50,Colombia,COL,2033,0.2847532171288199
51,Colombia,COL,2034,0.29309618720127123
52,Colombia,COL,2035,0.3016835975309106
53,Colombia,COL,2036,0.31052260996044034
54,Colombia,COL,2037,0.31962059616702854
55,Colombia,COL,2038,0.3289851438102399
56,Colombia,COL,2039,0.3386240628600935
57,Colombia,COL,2040,0.3485453921105234
58,Colombia,COL,2041,0.3587574058836757
59,Colombia,COL,2042,0.36926862093064733
60,Colombia,COL,2043,0.3800878035343907
61,Colombia,COL,2044,0.3912239768207374
62,Colombia,COL,2045,0.4026864282836285
63,Colombia,COL,2046,0.41448471753081517
64,Colombia,COL,2047,0.426628684256514
65,Colombia,COL,2048,0.43912845644764575
66,Colombia,COL,2049,0.45199445883050005
67,Colombia,COL,2050,0.4652374215648983
68,Chile,CHL,2017,0.15598419683100723
69,Chile,CHL,2018,0.1545807562354114
70,Chile,CHL,2019,0.14767400590858606
71,Chile,CHL,2020,0.16172067508312374
72,Chile,CHL,2021,0.16172067540702817
73,Chile,CHL,2022,0.1575873564722025
74,Chile,CHL,2023,0.15355967848510338
75,Chile,CHL,2024,0.14963494143394568
76,Chile,CHL,2025,0.1458105143148788
77,Chile,CHL,2026,0.14208383336825575
78,Chile,CHL,2027,0.1384524003599806
79,Chile,CHL,2028,0.1349137809067805
80,Chile,CHL,2029,0.13146560284428221
81,Chile,CHL,2030,0.12810555463679796
82,Chile,CHL,2031,0.12483138382775368
83,Chile,CHL,2032,0.12164089552972294
84,Chile,CHL,2033,0.1185319509530524
85,Chile,CHL,2034,0.1155024659720938
86,Chile,CHL,2035,0.11255040972807957
87,Chile,CHL,2036,0.10967380326770833
88,Chile,CHL,2037,0.10687071821652469
89,Chile,CHL,2038,0.10413927548620584
90,Chile,CHL,2039,0.10147764401488779
91,Chile,CHL,2040,0.09888403953968647
92,Chile,CHL,2041,0.09635672340059208
93,Chile,CHL,2042,0.09389400137493244
94,Chile,CHL,2043,0.09149422254162756
95,Chile,CHL,2044,0.08915577817447017
96,Chile,CHL,2045,0.08687710066369315
97,Chile,CHL,2046,0.0846566624651
98,Chile,CHL,2047,0.08249297507605426
99,Chile,CHL,2048,0.08038458803763898
100,Chile,CHL,2049,0.07833008796232172
101,Chile,CHL,2050,0.07632809758646941
102,Guinea,GIN,2017,4.541342180437572
103,Guinea,GIN,2018,4.602334835775922
104,Guinea,GIN,2019,3.4393763499151504
105,Guinea,GIN,2020,4.937279852501453
106,Guinea,GIN,2021,4.937280601180236
107,Guinea,GIN,2022,4.676532296840504
108,Guinea,GIN,2023,4.4295546658142735
109,Guinea,GIN,2024,4.1956204495140765
110,Guinea,GIN,2025,3.974040797427377
111,Guinea,GIN,2026,3.7641632387043806
112,Guinea,GIN,2027,3.5653697608705395
113,Guinea,GIN,2028,3.377074990006405
114,Guinea,GIN,2029,3.198724467035963
115,Guinea,GIN,2030,3.0297930150479386
116,Guinea,GIN,2031,2.869783192842311
117,Guinea,GIN,2032,2.718223830148316
118,Guinea,GIN,2033,2.5746686402007106
119,Guinea,GIN,2034,2.4386949055888727
120,Guinea,GIN,2035,2.3099022335089723
121,Guinea,GIN,2036,2.1879113767539295
122,Guinea,GIN,2037,2.072363116969414
123,Guinea,GIN,2038,1.9629172068874912
124,Guinea,GIN,2039,1.8592513684231204
125,Guinea,GIN,2040,1.7610603436833532
126,Guinea,GIN,2041,1.6680549960947184
127,Guinea,GIN,2042,1.5799614590020206
128,Guinea,GIN,2043,1.4965203292314246
129,Guinea,GIN,2044,1.4174859032432066
