Nation,Year,prodinit_ippu_chemicals_tonne
argentina,1990,31023.53119
argentina,1991,31023.53119
argentina,1992,31023.53119
argentina,1993,31023.53119
argentina,1994,31023.53119
argentina,1995,31023.53119
argentina,1996,31023.53119
argentina,1997,31023.53119
argentina,1998,31023.53119
argentina,1999,31023.53119
argentina,2000,31023.53119
argentina,2001,31023.53119
argentina,2002,31023.53119
argentina,2003,31023.53119
argentina,2004,31023.53119
argentina,2005,31023.53119
argentina,2006,31023.53119
argentina,2007,31023.53119
argentina,2008,31023.53119
argentina,2009,31023.53119
argentina,2010,31023.53119
argentina,2011,31023.53119
argentina,2012,31023.53119
argentina,2013,31023.53119
argentina,2014,31023.53119
argentina,2015,31023.53119
argentina,2016,31023.53119
argentina,2017,31023.53119
argentina,2018,31023.53119
argentina,2019,31023.53119
bahamas,1990,329.5194763
bahamas,1991,329.5194763
bahamas,1992,329.5194763
bahamas,1993,329.5194763
bahamas,1994,329.5194763
bahamas,1995,329.5194763
bahamas,1996,329.5194763
bahamas,1997,329.5194763
bahamas,1998,329.5194763
bahamas,1999,329.5194763
bahamas,2000,329.5194763
bahamas,2001,329.5194763
bahamas,2002,329.5194763
bahamas,2003,329.5194763
bahamas,2004,329.5194763
bahamas,2005,329.5194763
bahamas,2006,329.5194763
bahamas,2007,329.5194763
bahamas,2008,329.5194763
bahamas,2009,329.5194763
bahamas,2010,329.5194763
bahamas,2011,329.5194763
bahamas,2012,329.5194763
bahamas,2013,329.5194763
bahamas,2014,329.5194763
bahamas,2015,329.5194763
bahamas,2016,329.5194763
bahamas,2017,329.5194763
bahamas,2018,329.5194763
bahamas,2019,329.5194763
barbados,1990,143.36128159999998
barbados,1991,143.36128159999998
barbados,1992,143.36128159999998
barbados,1993,143.36128159999998
barbados,1994,143.36128159999998
barbados,1995,143.36128159999998
barbados,1996,143.36128159999998
barbados,1997,143.36128159999998
barbados,1998,143.36128159999998
barbados,1999,143.36128159999998
barbados,2000,143.36128159999998
barbados,2001,143.36128159999998
barbados,2002,143.36128159999998
barbados,2003,143.36128159999998
barbados,2004,143.36128159999998
barbados,2005,143.36128159999998
barbados,2006,143.36128159999998
barbados,2007,143.36128159999998
barbados,2008,143.36128159999998
barbados,2009,143.36128159999998
barbados,2010,143.36128159999998
barbados,2011,143.36128159999998
barbados,2012,143.36128159999998
barbados,2013,143.36128159999998
barbados,2014,143.36128159999998
barbados,2015,143.36128159999998
barbados,2016,143.36128159999998
barbados,2017,143.36128159999998
barbados,2018,143.36128159999998
barbados,2019,143.36128159999998
belize,1990,18.56618447
belize,1991,18.56618447
belize,1992,18.56618447
belize,1993,18.56618447
belize,1994,18.56618447
belize,1995,18.56618447
belize,1996,18.56618447
belize,1997,18.56618447
belize,1998,18.56618447
belize,1999,18.56618447
belize,2000,18.56618447
belize,2001,18.56618447
belize,2002,18.56618447
belize,2003,18.56618447
belize,2004,18.56618447
belize,2005,18.56618447
belize,2006,18.56618447
belize,2007,18.56618447
belize,2008,18.56618447
belize,2009,18.56618447
belize,2010,18.56618447
belize,2011,18.56618447
belize,2012,18.56618447
belize,2013,18.56618447
belize,2014,18.56618447
belize,2015,18.56618447
belize,2016,18.56618447
belize,2017,18.56618447
belize,2018,18.56618447
belize,2019,18.56618447
bolivia,1990,817.260022
bolivia,1991,817.260022
bolivia,1992,817.260022
bolivia,1993,817.260022
bolivia,1994,817.260022
bolivia,1995,817.260022
bolivia,1996,817.260022
bolivia,1997,817.260022
bolivia,1998,817.260022
bolivia,1999,817.260022
bolivia,2000,817.260022
bolivia,2001,817.260022
bolivia,2002,817.260022
bolivia,2003,817.260022
bolivia,2004,817.260022
bolivia,2005,817.260022
bolivia,2006,817.260022
bolivia,2007,817.260022
bolivia,2008,817.260022
bolivia,2009,817.260022
bolivia,2010,817.260022
bolivia,2011,817.260022
bolivia,2012,817.260022
bolivia,2013,817.260022
bolivia,2014,817.260022
bolivia,2015,817.260022
bolivia,2016,817.260022
bolivia,2017,817.260022
bolivia,2018,817.260022
bolivia,2019,817.260022
brazil,1990,108097.6812
brazil,1991,108097.6812
brazil,1992,108097.6812
brazil,1993,108097.6812
brazil,1994,108097.6812
brazil,1995,108097.6812
brazil,1996,108097.6812
