Nation,Year,prodinit_ippu_metals_tonne
argentina,1990,4574.4953590000005
argentina,1991,4574.4953590000005
argentina,1992,4574.4953590000005
argentina,1993,4574.4953590000005
argentina,1994,4574.4953590000005
argentina,1995,4574.4953590000005
argentina,1996,4574.4953590000005
argentina,1997,4574.4953590000005
argentina,1998,4574.4953590000005
argentina,1999,4574.4953590000005
argentina,2000,4574.4953590000005
argentina,2001,4574.4953590000005
argentina,2002,4574.4953590000005
argentina,2003,4574.4953590000005
argentina,2004,4574.4953590000005
argentina,2005,4574.4953590000005
argentina,2006,4574.4953590000005
argentina,2007,4574.4953590000005
argentina,2008,4574.4953590000005
argentina,2009,4574.4953590000005
argentina,2010,4574.4953590000005
argentina,2011,4574.4953590000005
argentina,2012,4574.4953590000005
argentina,2013,4574.4953590000005
argentina,2014,4574.4953590000005
argentina,2015,4574.4953590000005
argentina,2016,4574.4953590000005
argentina,2017,4574.4953590000005
argentina,2018,4574.4953590000005
argentina,2019,4574.4953590000005
bahamas,1990,24.50271084
bahamas,1991,24.50271084
bahamas,1992,24.50271084
bahamas,1993,24.50271084
bahamas,1994,24.50271084
bahamas,1995,24.50271084
bahamas,1996,24.50271084
bahamas,1997,24.50271084
bahamas,1998,24.50271084
bahamas,1999,24.50271084
bahamas,2000,24.50271084
bahamas,2001,24.50271084
bahamas,2002,24.50271084
bahamas,2003,24.50271084
bahamas,2004,24.50271084
bahamas,2005,24.50271084
bahamas,2006,24.50271084
bahamas,2007,24.50271084
bahamas,2008,24.50271084
bahamas,2009,24.50271084
bahamas,2010,24.50271084
bahamas,2011,24.50271084
bahamas,2012,24.50271084
bahamas,2013,24.50271084
bahamas,2014,24.50271084
bahamas,2015,24.50271084
bahamas,2016,24.50271084
bahamas,2017,24.50271084
bahamas,2018,24.50271084
bahamas,2019,24.50271084
barbados,1990,46.36348339
barbados,1991,46.36348339
barbados,1992,46.36348339
barbados,1993,46.36348339
barbados,1994,46.36348339
barbados,1995,46.36348339
barbados,1996,46.36348339
barbados,1997,46.36348339
barbados,1998,46.36348339
barbados,1999,46.36348339
barbados,2000,46.36348339
barbados,2001,46.36348339
barbados,2002,46.36348339
barbados,2003,46.36348339
barbados,2004,46.36348339
barbados,2005,46.36348339
barbados,2006,46.36348339
barbados,2007,46.36348339
barbados,2008,46.36348339
barbados,2009,46.36348339
barbados,2010,46.36348339
barbados,2011,46.36348339
barbados,2012,46.36348339
barbados,2013,46.36348339
barbados,2014,46.36348339
barbados,2015,46.36348339
barbados,2016,46.36348339
barbados,2017,46.36348339
barbados,2018,46.36348339
barbados,2019,46.36348339
belize,1990,0.07677886596
belize,1991,0.07677886596
belize,1992,0.07677886596
belize,1993,0.07677886596
belize,1994,0.07677886596
belize,1995,0.07677886596
belize,1996,0.07677886596
belize,1997,0.07677886596
belize,1998,0.07677886596
belize,1999,0.07677886596
belize,2000,0.07677886596
belize,2001,0.07677886596
belize,2002,0.07677886596
belize,2003,0.07677886596
belize,2004,0.07677886596
belize,2005,0.07677886596
belize,2006,0.07677886596
belize,2007,0.07677886596
belize,2008,0.07677886596
belize,2009,0.07677886596
belize,2010,0.07677886596
belize,2011,0.07677886596
belize,2012,0.07677886596
belize,2013,0.07677886596
belize,2014,0.07677886596
belize,2015,0.07677886596
belize,2016,0.07677886596
belize,2017,0.07677886596
belize,2018,0.07677886596
belize,2019,0.07677886596
bolivia,1990,3725.7102789999994
bolivia,1991,3725.7102789999994
bolivia,1992,3725.7102789999994
bolivia,1993,3725.7102789999994
bolivia,1994,3725.7102789999994
bolivia,1995,3725.7102789999994
bolivia,1996,3725.7102789999994
bolivia,1997,3725.7102789999994
bolivia,1998,3725.7102789999994
bolivia,1999,3725.7102789999994
bolivia,2000,3725.7102789999994
bolivia,2001,3725.7102789999994
bolivia,2002,3725.7102789999994
bolivia,2003,3725.7102789999994
bolivia,2004,3725.7102789999994
bolivia,2005,3725.7102789999994
bolivia,2006,3725.7102789999994
bolivia,2007,3725.7102789999994
bolivia,2008,3725.7102789999994
bolivia,2009,3725.7102789999994
bolivia,2010,3725.7102789999994
bolivia,2011,3725.7102789999994
bolivia,2012,3725.7102789999994
bolivia,2013,3725.7102789999994
bolivia,2014,3725.7102789999994
bolivia,2015,3725.7102789999994
bolivia,2016,3725.7102789999994
bolivia,2017,3725.7102789999994
bolivia,2018,3725.7102789999994
bolivia,2019,3725.7102789999994
brazil,1990,26938.75638
brazil,1991,26938.75638
brazil,1992,26938.75638
brazil,1993,26938.75638
brazil,1994,26938.75638
brazil,1995,26938.75638
brazil,1996,26938.75638
brazil,1997,26938.75638
brazil,1998,26938.75638
brazil,1999,26938.75638
brazil,2000,26938.75638
brazil,2001,26938.75638
brazil,2002,26938.75638
brazil,2003,26938.75638
brazil,2004,26938.75638
brazil,2005,26938.75638
brazil,2006,26938.75638
brazil,2007,26938.75638
brazil,2008,26938.75638
brazil,2009,26938.75638
brazil,2010,26938.75638
brazil,2011,26938.75638
brazil,2012,26938.75638
brazil,2013,26938.75638
brazil,2014,26938.75638
brazil,2015,26938.75638
brazil,2016,26938.75638
brazil,2017,26938.75638
brazil,2018,26938.75638
brazil,2019,26938.75638
chile,1990,1723.732122
chile,1991,1723.732122
chile,1992,1723.732122
chile,1993,1723.732122
chile,1994,1723.732122
chile,1995,1723.732122
chile,1996,1723.732122
chile,1997,1723.732122
chile,1998,1723.732122
chile,1999,1723.732122
chile,2000,1723.732122
chile,2001,1723.732122
chile,2002,1723.732122
chile,2003,1723.732122
chile,2004,1723.732122
chile,2005,1723.732122
