Nation,Year,prodinit_ippu_rubber_and_leather_tonne
argentina,1990,640797.9225
argentina,1991,640797.9225
argentina,1992,640797.9225
argentina,1993,640797.9225
argentina,1994,640797.9225
argentina,1995,640797.9225
argentina,1996,640797.9225
argentina,1997,640797.9225
argentina,1998,640797.9225
argentina,1999,640797.9225
argentina,2000,640797.9225
argentina,2001,640797.9225
argentina,2002,640797.9225
argentina,2003,640797.9225
argentina,2004,640797.9225
argentina,2005,640797.9225
argentina,2006,640797.9225
argentina,2007,640797.9225
argentina,2008,640797.9225
argentina,2009,640797.9225
argentina,2010,640797.9225
argentina,2011,640797.9225
argentina,2012,640797.9225
argentina,2013,640797.9225
argentina,2014,640797.9225
argentina,2015,640797.9225
argentina,2016,640797.9225
argentina,2017,640797.9225
argentina,2018,640797.9225
argentina,2019,640797.9225
bahamas,1990,136.9921584
bahamas,1991,136.9921584
bahamas,1992,136.9921584
bahamas,1993,136.9921584
bahamas,1994,136.9921584
bahamas,1995,136.9921584
bahamas,1996,136.9921584
bahamas,1997,136.9921584
bahamas,1998,136.9921584
bahamas,1999,136.9921584
bahamas,2000,136.9921584
bahamas,2001,136.9921584
bahamas,2002,136.9921584
bahamas,2003,136.9921584
bahamas,2004,136.9921584
bahamas,2005,136.9921584
bahamas,2006,136.9921584
bahamas,2007,136.9921584
bahamas,2008,136.9921584
bahamas,2009,136.9921584
bahamas,2010,136.9921584
bahamas,2011,136.9921584
bahamas,2012,136.9921584
bahamas,2013,136.9921584
bahamas,2014,136.9921584
bahamas,2015,136.9921584
bahamas,2016,136.9921584
bahamas,2017,136.9921584
bahamas,2018,136.9921584
bahamas,2019,136.9921584
barbados,1990,397.29864990000004
barbados,1991,397.29864990000004
barbados,1992,397.29864990000004
barbados,1993,397.29864990000004
barbados,1994,397.29864990000004
barbados,1995,397.29864990000004
barbados,1996,397.29864990000004
barbados,1997,397.29864990000004
barbados,1998,397.29864990000004
barbados,1999,397.29864990000004
barbados,2000,397.29864990000004
barbados,2001,397.29864990000004
barbados,2002,397.29864990000004
barbados,2003,397.29864990000004
barbados,2004,397.29864990000004
barbados,2005,397.29864990000004
barbados,2006,397.29864990000004
barbados,2007,397.29864990000004
barbados,2008,397.29864990000004
