Nation,Year,prodinit_ippu_glass_tonne
argentina,1990,1301.137664
argentina,1991,1301.137664
argentina,1992,1301.137664
argentina,1993,1301.137664
argentina,1994,1301.137664
argentina,1995,1301.137664
argentina,1996,1301.137664
argentina,1997,1301.137664
argentina,1998,1301.137664
argentina,1999,1301.137664
argentina,2000,1301.137664
argentina,2001,1301.137664
argentina,2002,1301.137664
argentina,2003,1301.137664
argentina,2004,1301.137664
argentina,2005,1301.137664
argentina,2006,1301.137664
argentina,2007,1301.137664
argentina,2008,1301.137664
argentina,2009,1301.137664
argentina,2010,1301.137664
argentina,2011,1301.137664
argentina,2012,1301.137664
argentina,2013,1301.137664
argentina,2014,1301.137664
argentina,2015,1301.137664
argentina,2016,1301.137664
argentina,2017,1301.137664
argentina,2018,1301.137664
argentina,2019,1301.137664
bahamas,1990,0.34466941139999996
bahamas,1991,0.34466941139999996
bahamas,1992,0.34466941139999996
bahamas,1993,0.34466941139999996
bahamas,1994,0.34466941139999996
bahamas,1995,0.34466941139999996
bahamas,1996,0.34466941139999996
bahamas,1997,0.34466941139999996
bahamas,1998,0.34466941139999996
bahamas,1999,0.34466941139999996
bahamas,2000,0.34466941139999996
bahamas,2001,0.34466941139999996
bahamas,2002,0.34466941139999996
bahamas,2003,0.34466941139999996
bahamas,2004,0.34466941139999996
bahamas,2005,0.34466941139999996
bahamas,2006,0.34466941139999996
bahamas,2007,0.34466941139999996
bahamas,2008,0.34466941139999996
bahamas,2009,0.34466941139999996
bahamas,2010,0.34466941139999996
bahamas,2011,0.34466941139999996
bahamas,2012,0.34466941139999996
bahamas,2013,0.34466941139999996
bahamas,2014,0.34466941139999996
bahamas,2015,0.34466941139999996
bahamas,2016,0.34466941139999996
bahamas,2017,0.34466941139999996
bahamas,2018,0.34466941139999996
bahamas,2019,0.34466941139999996
barbados,1990,5.1315795500000005
barbados,1991,5.1315795500000005
barbados,1992,5.1315795500000005
barbados,1993,5.1315795500000005
barbados,1994,5.1315795500000005
barbados,1995,5.1315795500000005
barbados,1996,5.1315795500000005
barbados,1997,5.1315795500000005
barbados,1998,5.1315795500000005
barbados,1999,5.1315795500000005
barbados,2000,5.1315795500000005
barbados,2001,5.1315795500000005
barbados,2002,5.1315795500000005
barbados,2003,5.1315795500000005
barbados,2004,5.1315795500000005
barbados,2005,5.1315795500000005
