Nation,Year,prodinit_ippu_paper_tonne
argentina,1990,4678.495932
argentina,1991,4678.495932
argentina,1992,4678.495932
argentina,1993,4678.495932
argentina,1994,4678.495932
argentina,1995,4678.495932
argentina,1996,4678.495932
argentina,1997,4678.495932
argentina,1998,4678.495932
argentina,1999,4678.495932
argentina,2000,4678.495932
argentina,2001,4678.495932
argentina,2002,4678.495932
argentina,2003,4678.495932
argentina,2004,4678.495932
argentina,2005,4678.495932
argentina,2006,4678.495932
argentina,2007,4678.495932
argentina,2008,4678.495932
argentina,2009,4678.495932
argentina,2010,4678.495932
argentina,2011,4678.495932
argentina,2012,4678.495932
argentina,2013,4678.495932
argentina,2014,4678.495932
argentina,2015,4678.495932
argentina,2016,4678.495932
argentina,2017,4678.495932
argentina,2018,4678.495932
argentina,2019,4678.495932
bahamas,1990,0.5086615235
bahamas,1991,0.5086615235
bahamas,1992,0.5086615235
bahamas,1993,0.5086615235
bahamas,1994,0.5086615235
bahamas,1995,0.5086615235
bahamas,1996,0.5086615235
bahamas,1997,0.5086615235
bahamas,1998,0.5086615235
bahamas,1999,0.5086615235
bahamas,2000,0.5086615235
bahamas,2001,0.5086615235
bahamas,2002,0.5086615235
bahamas,2003,0.5086615235
bahamas,2004,0.5086615235
bahamas,2005,0.5086615235
bahamas,2006,0.5086615235
bahamas,2007,0.5086615235
bahamas,2008,0.5086615235
bahamas,2009,0.5086615235
bahamas,2010,0.5086615235
bahamas,2011,0.5086615235
bahamas,2012,0.5086615235
bahamas,2013,0.5086615235
bahamas,2014,0.5086615235
bahamas,2015,0.5086615235
bahamas,2016,0.5086615235
bahamas,2017,0.5086615235
bahamas,2018,0.5086615235
bahamas,2019,0.5086615235
barbados,1990,105.2262184
barbados,1991,105.2262184
barbados,1992,105.2262184
barbados,1993,105.2262184
barbados,1994,105.2262184
barbados,1995,105.2262184
barbados,1996,105.2262184
barbados,1997,105.2262184
barbados,1998,105.2262184
barbados,1999,105.2262184
barbados,2000,105.2262184
barbados,2001,105.2262184
barbados,2002,105.2262184
barbados,2003,105.2262184
barbados,2004,105.2262184
barbados,2005,105.2262184
barbados,2006,105.2262184
barbados,2007,105.2262184
barbados,2008,105.2262184
barbados,2009,105.2262184
barbados,2010,105.2262184
barbados,2011,105.2262184
barbados,2012,105.2262184
barbados,2013,105.2262184
barbados,2014,105.2262184
barbados,2015,105.2262184
barbados,2016,105.2262184
barbados,2017,105.2262184
barbados,2018,105.2262184
barbados,2019,105.2262184
belize,1990,4.368945882999999
belize,1991,4.368945882999999
belize,1992,4.368945882999999
belize,1993,4.368945882999999
belize,1994,4.368945882999999
belize,1995,4.368945882999999
belize,1996,4.368945882999999
belize,1997,4.368945882999999
belize,1998,4.368945882999999
belize,1999,4.368945882999999
belize,2000,4.368945882999999
belize,2001,4.368945882999999
belize,2002,4.368945882999999
belize,2003,4.368945882999999
belize,2004,4.368945882999999
belize,2005,4.368945882999999
belize,2006,4.368945882999999
belize,2007,4.368945882999999
belize,2008,4.368945882999999
belize,2009,4.368945882999999
belize,2010,4.368945882999999
belize,2011,4.368945882999999
belize,2012,4.368945882999999
belize,2013,4.368945882999999
belize,2014,4.368945882999999
belize,2015,4.368945882999999
belize,2016,4.368945882999999
belize,2017,4.368945882999999
belize,2018,4.368945882999999
belize,2019,4.368945882999999
