Year,iso_code3,cost_enfu_fuel_coal_usd_per_tonne
2015,ABW,104.8891667
2016,ABW,104.8891667
2017,ABW,104.8891667
2018,ABW,104.8891667
2019,ABW,104.8891667
2020,ABW,104.8891667
2015,AFG,104.8891667
2016,AFG,104.8891667
2017,AFG,104.8891667
2018,AFG,104.8891667
2019,AFG,104.8891667
2020,AFG,104.8891667
2015,AGO,104.8891667
2016,AGO,104.8891667
2017,AGO,104.8891667
2018,AGO,104.8891667
2019,AGO,104.8891667
2020,AGO,104.8891667
2015,ALB,104.8891667
2016,ALB,104.8891667
2017,ALB,104.8891667
2018,ALB,104.8891667
2019,ALB,104.8891667
2020,ALB,104.8891667
2015,AND,104.8891667
2016,AND,104.8891667
2017,AND,104.8891667
2018,AND,104.8891667
2019,AND,104.8891667
2020,AND,104.8891667
2015,ARE,104.8891667
2016,ARE,104.8891667
2017,ARE,104.8891667
2018,ARE,104.8891667
2019,ARE,104.8891667
2020,ARE,104.8891667
2015,ARG,104.8891667
2016,ARG,104.8891667
2017,ARG,104.8891667
2018,ARG,104.8891667
2019,ARG,104.8891667
2020,ARG,104.8891667
2015,ARM,104.8891667
2016,ARM,104.8891667
2017,ARM,104.8891667
2018,ARM,104.8891667
2019,ARM,104.8891667
2020,ARM,104.8891667
2015,ASM,104.8891667
2016,ASM,104.8891667
2017,ASM,104.8891667
2018,ASM,104.8891667
2019,ASM,104.8891667
2020,ASM,104.8891667
2015,ATG,104.8891667
2016,ATG,104.8891667
2017,ATG,104.8891667
2018,ATG,104.8891667
2019,ATG,104.8891667
2020,ATG,104.8891667
2015,AUS,104.8891667
2016,AUS,104.8891667
2017,AUS,104.8891667
2018,AUS,104.8891667
2019,AUS,104.8891667
2020,AUS,104.8891667
2015,AUT,159.801875
2016,AUT,159.801875
2017,AUT,159.801875
2018,AUT,159.801875
2019,AUT,159.801875
2020,AUT,159.801875
2015,AZE,104.8891667
2016,AZE,104.8891667
2017,AZE,104.8891667
2018,AZE,104.8891667
2019,AZE,104.8891667
2020,AZE,104.8891667
2015,BDI,104.8891667
2016,BDI,104.8891667
2017,BDI,104.8891667
2018,BDI,104.8891667
2019,BDI,104.8891667
2020,BDI,104.8891667
2015,BEL,243.85625
2016,BEL,243.85625
2017,BEL,243.85625
2018,BEL,243.85625
2019,BEL,243.85625
2020,BEL,243.85625
2015,BEN,104.8891667
2016,BEN,104.8891667
2017,BEN,104.8891667
2018,BEN,104.8891667
2019,BEN,104.8891667
2020,BEN,104.8891667
2015,BFA,104.8891667
2016,BFA,104.8891667
2017,BFA,104.8891667
2018,BFA,104.8891667
2019,BFA,104.8891667
2020,BFA,104.8891667
2015,BGD,104.8891667
2016,BGD,104.8891667
2017,BGD,104.8891667
2018,BGD,104.8891667
2019,BGD,104.8891667
2020,BGD,104.8891667
2015,BGR,104.8891667
2016,BGR,104.8891667
2017,BGR,104.8891667
2018,BGR,104.8891667
2019,BGR,104.8891667
2020,BGR,104.8891667
2015,BHR,104.8891667
2016,BHR,104.8891667
2017,BHR,104.8891667
2018,BHR,104.8891667
2019,BHR,104.8891667
2020,BHR,104.8891667
2015,BHS,104.8891667
2016,BHS,104.8891667
2017,BHS,104.8891667
2018,BHS,104.8891667
2019,BHS,104.8891667
2020,BHS,104.8891667
2015,BIH,104.8891667
2016,BIH,104.8891667
2017,BIH,104.8891667
2018,BIH,104.8891667
2019,BIH,104.8891667
2020,BIH,104.8891667
2015,BLR,104.8891667
2016,BLR,104.8891667
2017,BLR,104.8891667
2018,BLR,104.8891667
2019,BLR,104.8891667
2020,BLR,104.8891667
2015,BLZ,104.8891667
2016,BLZ,104.8891667
2017,BLZ,104.8891667
2018,BLZ,104.8891667
2019,BLZ,104.8891667
2020,BLZ,104.8891667
2015,BMU,104.8891667
2016,BMU,104.8891667
2017,BMU,104.8891667
2018,BMU,104.8891667
2019,BMU,104.8891667
2020,BMU,104.8891667
2015,BOL,104.8891667
2016,BOL,104.8891667
2017,BOL,104.8891667
2018,BOL,104.8891667
2019,BOL,104.8891667
2020,BOL,104.8891667
2015,BRA,104.8891667
2016,BRA,104.8891667
2017,BRA,104.8891667
2018,BRA,104.8891667
2019,BRA,104.8891667
2020,BRA,104.8891667
2015,BRB,104.8891667
2016,BRB,104.8891667
2017,BRB,104.8891667
2018,BRB,104.8891667
2019,BRB,104.8891667
2020,BRB,104.8891667
2015,BRN,104.8891667
2016,BRN,104.8891667
2017,BRN,104.8891667
2018,BRN,104.8891667
2019,BRN,104.8891667
2020,BRN,104.8891667
2015,BTN,104.8891667
2016,BTN,104.8891667
2017,BTN,104.8891667
2018,BTN,104.8891667
2019,BTN,104.8891667
