year,location_code,prodinit_ippu_metals_tonne
2010,ABW,12013.7227707745
2011,ABW,15816.4866872495
2012,ABW,14887.9398269759
2013,ABW,13439.9859193459
2014,ABW,13445.3620252162
2015,ABW,16065.8817873355
2016,ABW,27016.5944591848
2017,ABW,25404.6696008881
2018,ABW,16237.6642133901
2019,ABW,23522.4906150924
2020,ABW,19014.3949623376
2010,AGO,1005828.82130433
2011,AGO,990125.315056517
2012,AGO,1413684.28792137
2013,AGO,1542708.71428158
2014,AGO,1879498.37514223
2015,AGO,1512615.08093809
2016,AGO,1018083.13978347
2017,AGO,943627.588207061
2018,AGO,686438.799251345
2019,AGO,1009431.46904433
2020,AGO,945827.555020757
2010,ALB,393810.260408892
2011,ALB,424902.160339872
2012,ALB,389651.118137981
2013,ALB,395870.428575282
2014,ALB,331856.329769376
2015,ALB,374792.214630122
2016,ALB,399137.787732278
2017,ALB,400992.573555432
2018,ALB,422274.697681427
2019,ALB,468257.171102034
2020,ALB,582180.650507791
2010,ARE,5990617.71409787
2011,ARE,6713376.68184994
2012,ARE,7527812.54609406
2013,ARE,7632632.83257425
2014,ARE,7777962.25234492
2015,ARE,6988648.12733021
2016,ARE,6269118.95862077
2017,ARE,6704677.81137041
2018,ARE,8693171.11551038
2019,ARE,8121849.37393364
2020,ARE,7023495.29597179
2010,ARG,6788031.31255264
2011,ARG,7450847.5983095
2012,ARG,8492379.25463681
2013,ARG,8592778.0199128
2014,ARG,7870671.00891486
2015,ARG,8832381.68726925
2016,ARG,6220188.97334277
2017,ARG,8172633.07184575
2018,ARG,6806979.24027939
2019,ARG,5934662.26301053
2020,ARG,5268930.91643914
2010,ARM,365250.750763958
2011,ARM,322386.134065564
2012,ARM,255144.443008849
2013,ARM,268907.858334854
2014,ARM,270182.72396441
2015,ARM,218044.636137274
2016,ARM,196023.110869642
2017,ARM,196628.002714664
2018,ARM,205671.412475872
2019,ARM,200632.57725381
2020,ARM,278273.429337067
2010,ASM,3089.79450066702
2011,ASM,4153.34901126171
2012,ASM,4652.83682794598
2013,ASM,5302.79838851501
2014,ASM,4782.02879872402
2015,ASM,2203.23591216424
2016,ASM,2767.92113312104
2017,ASM,1462.80194361241
2018,ASM,1537.34800792369
2019,ASM,1426.00103588172
2020,ASM,1176.75840855719
2010,ATG,24693.2786134417
2011,ATG,9990.09822142473
2012,ATG,32092.6279820735
2013,ATG,38076.4029750098
2014,ATG,13490.1124991683
2015,ATG,16997.4284689834
2016,ATG,15277.0218766408
2017,ATG,24474.3286791716
2018,ATG,12943.870283553
2019,ATG,15694.1300403348
2020,ATG,13050.9047840001
2010,AUS,26503319.1256674
2011,AUS,27732522.4753755
2012,AUS,26726534.9877817
2013,AUS,29179868.4325847
2014,AUS,27512001.421919
2015,AUS,25810130.5271151
2016,AUS,21899415.9650251
2017,AUS,22330230.5010286
2018,AUS,23738108.247512
2019,AUS,21663795.9952568
2020,AUS,20703968.1138133
2010,AUT,14113673.7828941
2011,AUT,15336214.0588797
2012,AUT,14740940.6179959
2013,AUT,16056074.8505739
2014,AUT,15908927.0528639
2015,AUT,14690715.1276552
2016,AUT,15201812.0507953
2017,AUT,16480222.7513162
2018,AUT,17291953.581487
2019,AUT,16864166.1204412
2020,AUT,16371385.4429083
2010,AZE,1204355.86629737
2011,AZE,1231616.70036345
2012,AZE,1422366.57083812
2013,AZE,1645886.55811454
2014,AZE,1648393.72330028
2015,AZE,1141878.9458482
2016,AZE,620617.879512761
2017,AZE,568859.9515206
2018,AZE,677640.881359339
2019,AZE,716823.408426683
2020,AZE,644986.292489558
2010,BDI,42760.2321414238
2011,BDI,37783.566636181
2012,BDI,37185.2147383219
2013,BDI,36226.35035973
2014,BDI,37727.9817698603
2015,BDI,57738.4651136507
2016,BDI,56942.2187262387
2017,BDI,94678.8378694196
2018,BDI,92132.8437419455
2019,BDI,88505.0070865274
2020,BDI,99858.631145345
2010,BEL,15396435.6191246
2011,BEL,16471186.9750931
2012,BEL,14950244.2696782
2013,BEL,16288278.8578393
