iso_code3,Nation,Year,frac_trns_fuelmix_road_light_electricity
ABW,Aruba,2021,0.29634245232312206
ABW,Aruba,2022,0.2948108407689963
ABW,Aruba,2023,0.2932951140321658
ABW,Aruba,2024,0.291795026267964
ABW,Aruba,2025,0.2903103366788412
ABW,Aruba,2026,0.2952874803660498
ABW,Aruba,2027,0.3004391065933376
ABW,Aruba,2028,0.30577455424547034
ABW,Aruba,2029,0.3113038407778165
ABW,Aruba,2030,0.31703772498844723
ABW,Aruba,2031,0.32276962607371895
ABW,Aruba,2032,0.32871355210056585
ABW,Aruba,2033,0.33488148906238313
ABW,Aruba,2034,0.3412863437448022
ABW,Aruba,2035,0.34794203387892136
ABW,Aruba,2036,0.354373630193834
ABW,Aruba,2037,0.361048463218875
ABW,Aruba,2038,0.36798059736857897
ABW,Aruba,2039,0.37518520267581534
ABW,Aruba,2040,0.38267866561197855
ABW,Aruba,2041,0.3898109912337709
ABW,Aruba,2042,0.3972152272585388
ABW,Aruba,2043,0.4049072251770135
ABW,Aruba,2044,0.41290409301764164
ABW,Aruba,2045,0.42122432237004676
ABW,Aruba,2046,0.42890423822493556
ABW,Aruba,2047,0.4368703438045958
ABW,Aruba,2048,0.4451389399921146
ABW,Aruba,2049,0.45372758959052656
ABW,Aruba,2050,0.4626552418459439
AFG,Afghanistan,2021,0.01588489150749258
AFG,Afghanistan,2022,0.015602311270876537
AFG,Afghanistan,2023,0.015331832125495045
AFG,Afghanistan,2024,0.01507269304852188
AFG,Afghanistan,2025,0.014824195519948654
AFG,Afghanistan,2026,0.014522721130272778
AFG,Afghanistan,2027,0.014236116385888445
AFG,Afghanistan,2028,0.013963307639544523
AFG,Afghanistan,2029,0.013703322176848078
AFG,Afghanistan,2030,0.01345527662783147
AFG,Afghanistan,2031,0.013192849923106242
AFG,Afghanistan,2032,0.012943220203348106
AFG,Afghanistan,2033,0.01270547369916734
AFG,Afghanistan,2034,0.012478781615641204
AFG,Afghanistan,2035,0.012262390479159127
AFG,Afghanistan,2036,0.012030791149294753
AFG,Afghanistan,2037,0.011810446815310412
AFG,Afghanistan,2038,0.011600556503723656
AFG,Afghanistan,2039,0.011400393482704746
AFG,Afghanistan,2040,0.011209296855128616
AFG,Afghanistan,2041,0.011000864872559695
AFG,Afghanistan,2042,0.010802664346044101
AFG,Afghanistan,2043,0.010613959964306386
AFG,Afghanistan,2044,0.010434085227803298
AFG,Afghanistan,2045,0.01026243458333346
AFG,Afghanistan,2046,0.010071437720655928
AFG,Afghanistan,2047,0.009890034614871469
AFG,Afghanistan,2048,0.009717520134875274
AFG,Afghanistan,2049,0.009553256598941977
AFG,Afghanistan,2050,0.009396665898236468
AGO,Angola,2021,0.015483379400622544
AGO,Angola,2022,0.015381283684879074
AGO,Angola,2023,0.015282380420880174
AGO,Angola,2024,0.01518652217554692
AGO,Angola,2025,0.015093570456462976
AGO,Angola,2026,0.015131534740514145
AGO,Angola,2027,0.015169031042466148
AGO,Angola,2028,0.015206067962468296
AGO,Angola,2029,0.015242653891225184
AGO,Angola,2030,0.015278797016334186
AGO,Angola,2031,0.015398297894219754
AGO,Angola,2032,0.015517687347279074
AGO,Angola,2033,0.015636965531281407
AGO,Angola,2034,0.015756132601705736
AGO,Angola,2035,0.015875188713741568
AGO,Angola,2036,0.015973484876272256
AGO,Angola,2037,0.01607130102541002
AGO,Angola,2038,0.01616864066869215
AGO,Angola,2039,0.016265507279565373
AGO,Angola,2040,0.01636190429779913
AGO,Angola,2041,0.016384383716387563
AGO,Angola,2042,0.0164065179124983
AGO,Angola,2043,0.01642831477804393
AGO,Angola,2044,0.01644978196620678
AGO,Angola,2045,0.016470926900398253
AGO,Angola,2046,0.016391199654568308
AGO,Angola,2047,0.016313745956764315
AGO,Angola,2048,0.016238469923415898
AGO,Angola,2049,0.0161652809878744
AGO,Angola,2050,0.01609409353691067
ALB,Albania,2021,0.0008032128514056225
ALB,Albania,2022,0.0008032128514056225
ALB,Albania,2023,0.0008032128514056225
ALB,Albania,2024,0.0008032128514056225
ALB,Albania,2025,0.0008032128514056225
ALB,Albania,2026,0.0008032128514056225
ALB,Albania,2027,0.0008032128514056225
ALB,Albania,2028,0.0008032128514056225
ALB,Albania,2029,0.0008032128514056225
ALB,Albania,2030,0.0008032128514056225
