iso_code3,Nation,Year,pop_lvst_initial_cattle_dairy
AFG,Afghanistan,2023,5498473.0
AFG,Afghanistan,2024,5498473.0
AFG,Afghanistan,2025,5498473.0
AFG,Afghanistan,2026,5498473.0
AFG,Afghanistan,2027,5498473.0
AFG,Afghanistan,2028,5498473.0
AFG,Afghanistan,2029,5498473.0
AFG,Afghanistan,2030,5498473.0
AFG,Afghanistan,2031,5498473.0
AFG,Afghanistan,2032,5498473.0
AFG,Afghanistan,2033,5498473.0
AFG,Afghanistan,2034,5498473.0
AFG,Afghanistan,2035,5498473.0
AFG,Afghanistan,2036,5498473.0
AFG,Afghanistan,2037,5498473.0
AFG,Afghanistan,2038,5498473.0
AFG,Afghanistan,2039,5498473.0
AFG,Afghanistan,2040,5498473.0
AFG,Afghanistan,2041,5498473.0
AFG,Afghanistan,2042,5498473.0
AFG,Afghanistan,2043,5498473.0
AFG,Afghanistan,2044,5498473.0
AFG,Afghanistan,2045,5498473.0
AFG,Afghanistan,2046,5498473.0
AFG,Afghanistan,2047,5498473.0
AFG,Afghanistan,2048,5498473.0
AFG,Afghanistan,2049,5498473.0
AFG,Afghanistan,2050,5498473.0
AGO,Angola,2023,5147152.0
AGO,Angola,2024,5147152.0
AGO,Angola,2025,5147152.0
AGO,Angola,2026,5147152.0
AGO,Angola,2027,5147152.0
AGO,Angola,2028,5147152.0
AGO,Angola,2029,5147152.0
AGO,Angola,2030,5147152.0
AGO,Angola,2031,5147152.0
AGO,Angola,2032,5147152.0
AGO,Angola,2033,5147152.0
AGO,Angola,2034,5147152.0
AGO,Angola,2035,5147152.0
AGO,Angola,2036,5147152.0
AGO,Angola,2037,5147152.0
AGO,Angola,2038,5147152.0
AGO,Angola,2039,5147152.0
AGO,Angola,2040,5147152.0
AGO,Angola,2041,5147152.0
AGO,Angola,2042,5147152.0
AGO,Angola,2043,5147152.0
AGO,Angola,2044,5147152.0
AGO,Angola,2045,5147152.0
AGO,Angola,2046,5147152.0
AGO,Angola,2047,5147152.0
AGO,Angola,2048,5147152.0
AGO,Angola,2049,5147152.0
AGO,Angola,2050,5147152.0
ALB,Albania,2023,297656.0
ALB,Albania,2024,297656.0
ALB,Albania,2025,297656.0
ALB,Albania,2026,297656.0
ALB,Albania,2027,297656.0
ALB,Albania,2028,297656.0
ALB,Albania,2029,297656.0
ALB,Albania,2030,297656.0
ALB,Albania,2031,297656.0
ALB,Albania,2032,297656.0
ALB,Albania,2033,297656.0
ALB,Albania,2034,297656.0
ALB,Albania,2035,297656.0
ALB,Albania,2036,297656.0
ALB,Albania,2037,297656.0
ALB,Albania,2038,297656.0
ALB,Albania,2039,297656.0
ALB,Albania,2040,297656.0
ALB,Albania,2041,297656.0
ALB,Albania,2042,297656.0
ALB,Albania,2043,297656.0
ALB,Albania,2044,297656.0
ALB,Albania,2045,297656.0
ALB,Albania,2046,297656.0
ALB,Albania,2047,297656.0
ALB,Albania,2048,297656.0
ALB,Albania,2049,297656.0
ALB,Albania,2050,297656.0
ARE,United Arab Emirates,2023,110698.0
ARE,United Arab Emirates,2024,110698.0
ARE,United Arab Emirates,2025,110698.0
ARE,United Arab Emirates,2026,110698.0
ARE,United Arab Emirates,2027,110698.0
ARE,United Arab Emirates,2028,110698.0
ARE,United Arab Emirates,2029,110698.0
ARE,United Arab Emirates,2030,110698.0
ARE,United Arab Emirates,2031,110698.0
ARE,United Arab Emirates,2032,110698.0
ARE,United Arab Emirates,2033,110698.0
ARE,United Arab Emirates,2034,110698.0
ARE,United Arab Emirates,2035,110698.0
ARE,United Arab Emirates,2036,110698.0
ARE,United Arab Emirates,2037,110698.0
ARE,United Arab Emirates,2038,110698.0
ARE,United Arab Emirates,2039,110698.0
ARE,United Arab Emirates,2040,110698.0
ARE,United Arab Emirates,2041,110698.0
ARE,United Arab Emirates,2042,110698.0
ARE,United Arab Emirates,2043,110698.0
ARE,United Arab Emirates,2044,110698.0
ARE,United Arab Emirates,2045,110698.0
ARE,United Arab Emirates,2046,110698.0
ARE,United Arab Emirates,2047,110698.0
ARE,United Arab Emirates,2048,110698.0
ARE,United Arab Emirates,2049,110698.0
ARE,United Arab Emirates,2050,110698.0
