Country,Mode/vehicle type,Indicator,2000,2005,2010,2015,2016,2017,2018,2019,2020
Australia,Cars/light trucks,Per capita energy intensity (GJ/cap)                            ,30.06,30.85,27.72,26.26,26.29,25.08,24.74,24.20,22.09
Australia,Cars/light trucks,Fuel intensity (litres/100 vkm)                                 ,11.41,11.31,11.09,10.60,10.71,10.32,10.27,10.24,10.18
Australia,Cars/light trucks,Passenger-kilometres per capita (10^3 pkm/cap)                  ,12.60,12.99,11.90,11.76,11.65,11.53,11.43,11.23,10.34
Australia,Cars/light trucks,Passenger-kilometres energy intensity (MJ/pkm)                  ,2.39,2.38,2.33,2.23,2.26,2.18,2.16,2.15,2.14
Australia,Cars/light trucks,Passenger average occupancy (#passengers)                       ,1.59,1.58,1.58,1.57,1.57,1.57,1.57,1.58,1.58
Australia,Cars/light trucks,Vehicle-kilometres per capita (10^3 vkm/cap)                    ,7.94,8.23,7.54,7.47,7.41,7.33,7.26,7.13,6.54
Australia,Cars/light trucks,Vehicle-kilometres energy intensity (MJ/vkm)                    ,3.78,3.75,3.68,3.51,3.55,3.42,3.41,3.40,3.38
Australia,Cars/light trucks,Vehicle use (10^3 vkm/vehicle)                                  ,15.40,15.06,13.54,13.13,12.96,12.80,12.66,12.46,11.40
Australia,Freight trucks,Per capita energy intensity (GJ/cap)                               ,16.01,17.25,18.33,19.39,19.47,19.58,19.86,19.78,19.63
Australia,Freight trucks,Fuel intensity (litres/100 vkm)                                    ,20.73,21.08,21.07,20.95,20.75,20.57,20.49,20.56,20.73
Australia,Freight trucks,Tonne-kilometres per capita (10^3 tkm/cap)                         ,7.08,8.04,8.24,8.50,8.47,8.47,8.57,8.69,8.67
Australia,Freight trucks,Tonne-kilometres energy intensity (MJ/tkm)                         ,2.26,2.15,2.22,2.28,2.30,2.31,2.32,2.28,2.26
Australia,Freight trucks,Freight load factor (tkm/vkm)                                      ,3.04,3.26,3.14,3.05,2.99,2.95,2.93,3.00,3.04
Australia,Freight trucks,Vehicle-kilometres per capita (10^3 vkm/cap)                       ,2.33,2.47,2.62,2.79,2.83,2.87,2.92,2.90,2.86
Australia,Freight trucks,Vehicle-kilometres energy intensity (MJ/vkm)                       ,6.87,6.99,6.99,6.95,6.88,6.82,6.79,6.82,6.87
Australia,Freight trucks,Vehicle use (10^3 vkm/vehicle)                                     ,20.42,20.16,19.46,19.15,19.22,19.24,19.27,18.70,18.02
Austria,Cars/light trucks,Per capita energy intensity (GJ/cap)                              ,18.31,18.88,18.72,19.02,19.29,19.46,19.89,20.18,..
Austria,Cars/light trucks,Fuel intensity (litres/100 vkm)                                   ,8.14,7.88,7.50,7.26,7.25,7.22,7.38,7.35,..
Austria,Cars/light trucks,Passenger-kilometres per capita (10^3 pkm/cap)                    ,8.32,8.58,8.73,9.08,9.20,9.30,9.29,9.44,..
Austria,Cars/light trucks,Passenger-kilometres energy intensity (MJ/pkm)                    ,2.20,2.20,2.14,2.10,2.10,2.09,2.14,2.14,..
Austria,Cars/light trucks,Passenger average occupancy (#passengers)                         ,1.23,1.19,1.16,1.15,1.15,1.15,1.15,1.14,..
Austria,Cars/light trucks,Vehicle-kilometres per capita (10^3 vkm/cap)                      ,6.79,7.22,7.51,7.87,8.00,8.10,8.11,8.26,..
Austria,Cars/light trucks,Vehicle-kilometres energy intensity (MJ/vkm)                      ,2.70,2.61,2.49,2.42,2.41,2.40,2.45,2.44,..
Austria,Cars/light trucks,Vehicle use (10^3 vkm/vehicle)                                    ,14.26,14.29,14.15,14.31,14.50,14.54,14.39,14.52,..
Austria,Freight trucks,Per capita energy intensity (GJ/cap)                                 ,7.19,7.82,7.86,8.26,8.44,8.61,9.04,9.27,..
Austria,Freight trucks,Fuel intensity (litres/100 vkm)                                      ,18.78,18.73,17.88,17.87,17.85,17.85,18.07,17.94,..
Austria,Freight trucks,Tonne-kilometres per capita (10^3 tkm/cap)                           ,4.79,5.48,5.66,5.91,6.02,6.43,6.73,6.97,..
Austria,Freight trucks,Tonne-kilometres energy intensity (MJ/tkm)                           ,1.50,1.43,1.39,1.40,1.40,1.34,1.34,1.33,..
Austria,Freight trucks,Freight load factor (tkm/vkm)                                        ,4.14,4.35,4.27,4.24,4.22,4.42,4.46,4.48,..
Austria,Freight trucks,Vehicle-kilometres per capita (10^3 vkm/cap)                         ,1.16,1.26,1.33,1.40,1.43,1.46,1.51,1.56,..
Austria,Freight trucks,Vehicle-kilometres energy intensity (MJ/vkm)                         ,6.22,6.21,5.93,5.92,5.92,5.92,5.99,5.95,..
Austria,Freight trucks,Vehicle use (10^3 vkm/vehicle)                                       ,28.15,28.95,27.92,27.12,27.28,26.97,26.93,27.01,..
Belgium,Cars/light trucks,Per capita energy intensity (GJ/cap)                              ,17.22,16.97,16.99,16.74,16.81,16.89,16.78,16.80,12.79
Belgium,Cars/light trucks,Fuel intensity (litres/100 vkm)                                   ,7.48,7.36,7.29,7.26,7.27,7.27,7.28,7.28,7.27
Belgium,Cars/light trucks,Passenger-kilometres per capita (10^3 pkm/cap)                    ,10.00,9.81,10.04,9.49,9.35,9.40,9.36,9.36,..
Belgium,Cars/light trucks,Passenger-kilometres energy intensity (MJ/pkm)                    ,1.72,1.73,1.69,1.76,1.80,1.80,1.79,1.80,..
Belgium,Cars/light trucks,Passenger average occupancy (#passengers)                         ,1.44,1.41,1.43,1.37,1.34,1.34,1.35,1.35,..
Belgium,Cars/light trucks,Vehicle-kilometres per capita (10^3 vkm/cap)                      ,6.94,6.96,7.03,6.95,6.96,6.99,6.93,6.92,5.26
