"year","location_code","prodinit_ippu_lime_and_carbonite_tonne"
2010,"ABW",63273.5285451585
2011,"ABW",87509.8320103587
2012,"ABW",32682.8649071637
2013,"ABW",0
2014,"ABW",7561.82665963272
2015,"ABW",14668.2098974327
2016,"ABW",6510.21626099212
2017,"ABW",10368.0643810934
2018,"ABW",4265.58867742318
2019,"ABW",31290.2989994793
2020,"ABW",42620.9188443023
2010,"AGO",21036.557671785
2011,"AGO",34727.4528924749
2012,"AGO",9363.46245413344
2013,"AGO",51650.4836788107
2014,"AGO",26138.0642281379
2015,"AGO",27353.352653068
2016,"AGO",6600.09050482879
2017,"AGO",207888.759418804
2018,"AGO",4255.39846857632
2019,"AGO",7350.92285937226
2020,"AGO",1256.65016509309
2010,"ALB",46485.5846312863
2011,"ALB",26791.6470139741
2012,"ALB",29512.8755820415
2013,"ALB",15741.0819731096
2014,"ALB",0
2015,"ALB",0
2016,"ALB",587.656298151907
2017,"ALB",1870.6167384072
2018,"ALB",2465.92091194313
2019,"ALB",0
2020,"ALB",5481.44972666408
2010,"ARE",9737450.70442477
2011,"ARE",12968370.5316807
2012,"ARE",18435343.4058164
2013,"ARE",21496665.4785587
2014,"ARE",23756819.9061846
2015,"ARE",18917375.2821941
2016,"ARE",20588221.4691317
2017,"ARE",24669055.26615
2018,"ARE",31936965.5947996
2019,"ARE",28562519.4492803
2020,"ARE",24519696.7516155
2010,"ARG",1599423.98364983
2011,"ARG",2074713.97038259
2012,"ARG",1508992.35120515
2013,"ARG",1023038.81194181
2014,"ARG",1604360.08029819
2015,"ARG",1363168.3445135
2016,"ARG",1047891.86513549
2017,"ARG",1294778.96851205
2018,"ARG",504935.287410355
2019,"ARG",87133.6047857484
2020,"ARG",128882.270461451
2010,"ARM",3950.19875105186
2011,"ARM",0
2012,"ARM",0
2013,"ARM",0
2014,"ARM",0
2015,"ARM",178.793473969372
2016,"ARM",0
2017,"ARM",640.330375600451
2018,"ARM",0
2019,"ARM",0
2020,"ARM",0
2010,"ASM",0
2011,"ASM",0
2012,"ASM",0
2013,"ASM",0
2014,"ASM",0
2015,"ASM",0
2016,"ASM",0
2017,"ASM",0
2018,"ASM",0
2019,"ASM",0
2020,"ASM",0
2010,"ATG",5375.73560876763
2011,"ATG",0
2012,"ATG",2479.77554653767
2013,"ATG",377.039219858917
2014,"ATG",1288.7551190489
2015,"ATG",2967.20255886169
2016,"ATG",3228.19420661155
2017,"ATG",141.354037842881
2018,"ATG",4808.14913557019
2019,"ATG",1284.5159789586
2020,"ATG",818.925383608704
2010,"AUS",5993826.73136837
2011,"AUS",6440618.43060395
2012,"AUS",6184317.83603392
2013,"AUS",4006049.25606686
2014,"AUS",3187847.52106198
2015,"AUS",2305980.06170757
2016,"AUS",2423562.60242955
2017,"AUS",3389824.03436547
2018,"AUS",3825906.98721339
2019,"AUS",3872541.82462311
2020,"AUS",5728557.14330427
2010,"AUT",1645880.05765083
2011,"AUT",1363064.44072881
2012,"AUT",1144025.2434722
2013,"AUT",1185847.35420195
2014,"AUT",1040890.56727366
2015,"AUT",742558.899552937
2016,"AUT",865709.275610516
2017,"AUT",865770.486299046
2018,"AUT",827353.774861207
2019,"AUT",772590.150614541
2020,"AUT",910598.293919893
2010,"AZE",75685.732454432
2011,"AZE",0
2012,"AZE",8174.30750296692
2013,"AZE",12814.9241542222
2014,"AZE",82827.9034174668
2015,"AZE",170659.564709992
2016,"AZE",0
2017,"AZE",35744.7979909069
2018,"AZE",5046.27401270452
2019,"AZE",0
2020,"AZE",7534.12114111467
2010,"BDI",1411162.52045229
2011,"BDI",341.169529379198
2012,"BDI",997.265894425462
2013,"BDI",966.240908399594
2014,"BDI",1123.97450625309
2015,"BDI",2936.96041005113
2016,"BDI",0
2017,"BDI",0
2018,"BDI",0
2019,"BDI",30313.5517898653
2020,"BDI",158507.520670649
2010,"BEL",3073463.22516765
2011,"BEL",3119275.11470955
2012,"BEL",3026868.90294334
2013,"BEL",3335462.2430596
2014,"BEL",2880979.78070168
2015,"BEL",2382463.60171564
2016,"BEL",2850061.40538904
2017,"BEL",2798550.66456538
2018,"BEL",2767488.7655348
2019,"BEL",2028848.5522948
2020,"BEL",2200723.97971728
2010,"BEN",0
2011,"BEN",376619.422602841
2012,"BEN",245425.398557996
2013,"BEN",0
2014,"BEN",0
2015,"BEN",0
2016,"BEN",5076.88716909337
2017,"BEN",0
2018,"BEN",336.627545689867
2019,"BEN",1053.55978693992
2020,"BEN",0
2010,"BFA",39054.8531862071
2011,"BFA",56903.5220170928
2012,"BFA",50214.5485035234
2013,"BFA",8691.85238184981
2014,"BFA",31113.8427756673
2015,"BFA",174831.058881991
2016,"BFA",7860.1102616045
2017,"BFA",0
2018,"BFA",0
2019,"BFA",0
2020,"BFA",36866.9788007936
2010,"BGD",8160211.40054782
2011,"BGD",14106490.4637094
2012,"BGD",14106235.0705753
2013,"BGD",12458085.8987272
2014,"BGD",15820314.3005915
2015,"BGD",18924895.4947397
2016,"BGD",23404434.9545307
2017,"BGD",24275981.2121077
2018,"BGD",18081064.5078375
2019,"BGD",24163373.2590706
2020,"BGD",22913036.9324985
2010,"BGR",5963.80519287459
2011,"BGR",56450.8415509524
2012,"BGR",87430.9485270033
2013,"BGR",38777.2970824019
2014,"BGR",19215.880158721
2015,"BGR",16129.3939573513
2016,"BGR",22605.6048969179
2017,"BGR",7921.95119041027
2018,"BGR",6902.82851910757
2019,"BGR",34618.6507214669
2020,"BGR",88087.1603972652
2010,"BHR",1048776.17030357
2011,"BHR",142725.396239418
2012,"BHR",158692.272857815
2013,"BHR",606043.684772537
2014,"BHR",494209.383666989
2015,"BHR",226231.680048243
2016,"BHR",172577.942715219
2017,"BHR",33386.6851403608
2018,"BHR",216401.967561387
2019,"BHR",87817.1630756067
2020,"BHR",76085.6007995205
2010,"BHS",55640.6372289655
2011,"BHS",27759.5933768101
2012,"BHS",24539.6061641047
2013,"BHS",34083.5606436921
2014,"BHS",24291.3042670283
2015,"BHS",29125.6903472356
2016,"BHS",45577.9134511608
2017,"BHS",33266.2294201966
2018,"BHS",46931.7556695578
2019,"BHS",77675.4982794948
2020,"BHS",21400.8428166742
2010,"BIH",279666.261828322
2011,"BIH",716801.86392218
2012,"BIH",124615.856531662
2013,"BIH",88505.9527848821
2014,"BIH",135652.530104079
2015,"BIH",66581.4594135989
2016,"BIH",76124.5894401046
2017,"BIH",59266.5955966899
2018,"BIH",53040.8071628362
2019,"BIH",60338.3870713371
2020,"BIH",85281.9958650456
2010,"BLR",1377451.7705402
2011,"BLR",1325571.11172105
2012,"BLR",1727346.02226055
2013,"BLR",1784446.18970345
2014,"BLR",1687622.78896002
2015,"BLR",954340.115676955
2016,"BLR",1074360.81753909
2017,"BLR",923391.834845725
2018,"BLR",1091454.89093733
2019,"BLR",812542.935059607
2020,"BLR",492978.860005214
2010,"BLZ",17734.5256933478
2011,"BLZ",0
2012,"BLZ",0
2013,"BLZ",0
2014,"BLZ",0
2015,"BLZ",0
2016,"BLZ",0
2017,"BLZ",0
2018,"BLZ",0
2019,"BLZ",0
2020,"BLZ",0
2010,"BMU",167681.772654254
2011,"BMU",211420.075505146
2012,"BMU",17675.2843255114
2013,"BMU",38940.0702454281
2014,"BMU",123458.666572799
2015,"BMU",98645.7960876273
2016,"BMU",120458.019698656
2017,"BMU",11284.392270938
2018,"BMU",1547.61734727538
2019,"BMU",2170.82917428478
2020,"BMU",298349.074010717
2010,"BOL",1909.95315837963
2011,"BOL",964.089964376301
2012,"BOL",0
2013,"BOL",0
2014,"BOL",0
2015,"BOL",0
2016,"BOL",0
2017,"BOL",0
2018,"BOL",0
2019,"BOL",0
2020,"BOL",0
2010,"BRA",2071873.33781328
2011,"BRA",3467723.58051933
2012,"BRA",5123074.51344122
2013,"BRA",7776008.79806689
2014,"BRA",6139189.06008951
2015,"BRA",4683918.63494378
2016,"BRA",3860026.53293914
2017,"BRA",3666666.2586759
2018,"BRA",3212502.43697274
2019,"BRA",3151563.7770658
2020,"BRA",3150919.41356564
2010,"BRB",50663.2805087385
2011,"BRB",61032.0401739974
2012,"BRB",110266.383875687
2013,"BRB",137640.03499441
2014,"BRB",140479.693749715
2015,"BRB",56121.4011074169
2016,"BRB",66764.9264062431
2017,"BRB",63159.6674536119
2018,"BRB",58396.0282699909
2019,"BRB",56128.9915389148
2020,"BRB",72592.3899106193
2010,"BRN",2091.09172489751
2011,"BRN",5884.90221779337
2012,"BRN",90075.5967098152
2013,"BRN",9246.16553841117
2014,"BRN",5791.58124367543
2015,"BRN",30723.2790056175
2016,"BRN",107412.681990628
2017,"BRN",38414.4289509448
2018,"BRN",24932.7302774182
2019,"BRN",2090.62692928559
2020,"BRN",8451.25074637743
2010,"BTN",259096.394824108
2011,"BTN",1673311.22902338
2012,"BTN",1294832.71274774
2013,"BTN",121003.683722873
2014,"BTN",153491.778896769
2015,"BTN",1748465.52636398
2016,"BTN",235838.771504015
2017,"BTN",221514.357275757
2018,"BTN",260331.760611804
2019,"BTN",270757.580533916
2020,"BTN",224467.284145507
2010,"BWA",216432.883398443
2011,"BWA",156089.572710376
2012,"BWA",335123.598812932
2013,"BWA",326745.329891404
2014,"BWA",303311.85192893
2015,"BWA",76530.8706049871
2016,"BWA",120725.995956742
2017,"BWA",804380.096159954
2018,"BWA",319626.60429421
2019,"BWA",180942.938509582
2020,"BWA",101294.210357628
2010,"CAF",0
2011,"CAF",0
2012,"CAF",0
2013,"CAF",0
2014,"CAF",0
2015,"CAF",0
2016,"CAF",138.137254386041
2017,"CAF",0
2018,"CAF",0
2019,"CAF",0
2020,"CAF",0
2010,"CAN",10271583.7488081
2011,"CAN",8192448.6907535
2012,"CAN",8634180.16671524
2013,"CAN",12256475.5514938
2014,"CAN",9739981.43607448
2015,"CAN",8229692.63106338
2016,"CAN",6581853.94257171
2017,"CAN",6844079.42553878
2018,"CAN",5653540.12830708
2019,"CAN",4387446.97612085
2020,"CAN",4679334.3279527
2010,"CHE",353886.038442353
2011,"CHE",355830.992194392
2012,"CHE",292915.436745293
2013,"CHE",287762.955254925
2014,"CHE",304716.024249652
2015,"CHE",221410.656309335
2016,"CHE",156284.233447167
2017,"CHE",132716.486908342
2018,"CHE",98871.8449851321
2019,"CHE",135788.490349821
2020,"CHE",155672.598314866
2010,"CHL",953376.141479304
2011,"CHL",1602818.26024526
2012,"CHL",984139.338974387
2013,"CHL",902297.936770961
2014,"CHL",888861.469027157
2015,"CHL",541944.614572114
2016,"CHL",198434.72836643
2017,"CHL",30156.4588199198
2018,"CHL",79003.1834703915
2019,"CHL",33623.0519545342
2020,"CHL",1680518.69428711
2010,"CHN",4252922.71848802
2011,"CHN",3329183.15805211
2012,"CHN",2676509.60151053
2013,"CHN",6348492.82992175
2014,"CHN",7685819.93497959
2015,"CHN",8459516.4722706
2016,"CHN",4128387.47172172
2017,"CHN",6759924.18526385
2018,"CHN",6938767.52713457
2019,"CHN",18091479.4111453
2020,"CHN",41656465.6830256
2010,"CIV",1736.66897980009
2011,"CIV",73360.5985042568
2012,"CIV",75711.9749961646
2013,"CIV",215243.320279243
2014,"CIV",119505.444738387
2015,"CIV",230227.361858023
2016,"CIV",388203.769419462
2017,"CIV",312638.510780818
2018,"CIV",560435.818476106
2019,"CIV",1309861.10691535
2020,"CIV",1441750.67896099
2010,"CMR",51352.1554130785
2011,"CMR",102439.993872131
2012,"CMR",385587.580405392
2013,"CMR",135061.379688809
2014,"CMR",121315.416693345
2015,"CMR",240842.140488608
2016,"CMR",168588.910663201
2017,"CMR",505966.555254852
2018,"CMR",385262.21643323
2019,"CMR",77506.3964067336
2020,"CMR",293725.560382585
2010,"COD",1129435.58210843
2011,"COD",398137.333250485
2012,"COD",2520455.46758183
2013,"COD",735418.339753087
2014,"COD",2055699.44628321
2015,"COD",724494.721560002
2016,"COD",21178.4719589054
2017,"COD",18762.2837559742
2018,"COD",12132.7726673874
2019,"COD",254843.678604143
2020,"COD",86060.3867159998
2010,"COG",5249.9831946826
2011,"COG",0
2012,"COG",10207.7134002888
2013,"COG",4511.59839371772
2014,"COG",12182.0262161124
2015,"COG",5633.58497881384
2016,"COG",6718.7688604292
2017,"COG",124697.414098136
2018,"COG",6487.35374725854
2019,"COG",4824.48580563647
2020,"COG",3718.75403181944
2010,"COL",427796.877223847
