Year,iso_code3,cost_enfu_fuel_hydrogen_usd_per_mmbtu
2015,ABW,120.89914942397824
2016,ABW,120.89914942397824
2017,ABW,120.89914942397824
2018,ABW,120.89914942397824
2019,ABW,120.89914942397824
2020,ABW,120.89914942397824
2015,AFG,120.89914942397824
2016,AFG,120.89914942397824
2017,AFG,120.89914942397824
2018,AFG,120.89914942397824
2019,AFG,120.89914942397824
2020,AFG,120.89914942397824
2015,AGO,120.89914942397824
2016,AGO,120.89914942397824
2017,AGO,120.89914942397824
2018,AGO,120.89914942397824
2019,AGO,120.89914942397824
2020,AGO,120.89914942397824
2015,ALB,120.46214
2016,ALB,120.46214
2017,ALB,120.46214
2018,ALB,120.46214
2019,ALB,120.46214
2020,ALB,120.46214
2015,AND,120.89914942397824
2016,AND,120.89914942397824
2017,AND,120.89914942397824
2018,AND,120.89914942397824
2019,AND,120.89914942397824
2020,AND,120.89914942397824
2015,ARE,51.78068014
2016,ARE,51.78068014
2017,ARE,51.78068014
2018,ARE,51.78068014
2019,ARE,51.78068014
2020,ARE,51.78068014
2015,ARG,112.1265856
2016,ARG,112.1265856
2017,ARG,112.1265856
2018,ARG,112.1265856
2019,ARG,112.1265856
2020,ARG,112.1265856
2015,ARM,132.0657626
2016,ARM,132.0657626
2017,ARM,132.0657626
2018,ARM,132.0657626
2019,ARM,132.0657626
2020,ARM,132.0657626
2015,ASM,120.89914942397824
2016,ASM,120.89914942397824
2017,ASM,120.89914942397824
2018,ASM,120.89914942397824
2019,ASM,120.89914942397824
2020,ASM,120.89914942397824
2015,ATG,120.89914942397824
2016,ATG,120.89914942397824
2017,ATG,120.89914942397824
2018,ATG,120.89914942397824
2019,ATG,120.89914942397824
2020,ATG,120.89914942397824
2015,AUS,55.1508043
2016,AUS,55.1508043
2017,AUS,55.1508043
2018,AUS,55.1508043
2019,AUS,55.1508043
2020,AUS,55.1508043
2015,AUT,95.77479184
2016,AUT,95.77479184
2017,AUT,95.77479184
2018,AUT,95.77479184
2019,AUT,95.77479184
2020,AUT,95.77479184
2015,AZE,112.2725837
2016,AZE,112.2725837
2017,AZE,112.2725837
2018,AZE,112.2725837
2019,AZE,112.2725837
2020,AZE,112.2725837
2015,BDI,120.89914942397824
2016,BDI,120.89914942397824
2017,BDI,120.89914942397824
2018,BDI,120.89914942397824
2019,BDI,120.89914942397824
2020,BDI,120.89914942397824
2015,BEL,111.2140971
2016,BEL,111.2140971
2017,BEL,111.2140971
2018,BEL,111.2140971
2019,BEL,111.2140971
2020,BEL,111.2140971
2015,BEN,120.89914942397824
2016,BEN,120.89914942397824
2017,BEN,120.89914942397824
2018,BEN,120.89914942397824
2019,BEN,120.89914942397824
2020,BEN,120.89914942397824
2015,BFA,120.89914942397824
2016,BFA,120.89914942397824
2017,BFA,120.89914942397824
2018,BFA,120.89914942397824
2019,BFA,120.89914942397824
2020,BFA,120.89914942397824
2015,BGD,200.8934658
2016,BGD,200.8934658
2017,BGD,200.8934658
2018,BGD,200.8934658
2019,BGD,200.8934658
2020,BGD,200.8934658
2015,BGR,194.4695468
2016,BGR,194.4695468
2017,BGR,194.4695468
2018,BGR,194.4695468
2019,BGR,194.4695468
2020,BGR,194.4695468
2015,BHR,26.18233639
2016,BHR,26.18233639
2017,BHR,26.18233639
2018,BHR,26.18233639
2019,BHR,26.18233639
2020,BHR,26.18233639
2015,BHS,120.89914942397824
2016,BHS,120.89914942397824
2017,BHS,120.89914942397824
2018,BHS,120.89914942397824
2019,BHS,120.89914942397824
2020,BHS,120.89914942397824
2015,BIH,120.46214
2016,BIH,120.46214
2017,BIH,120.46214
2018,BIH,120.46214
2019,BIH,120.46214
2020,BIH,120.46214
2015,BLR,123.7230107
2016,BLR,123.7230107
2017,BLR,123.7230107
2018,BLR,123.7230107
2019,BLR,123.7230107
2020,BLR,123.7230107
2015,BLZ,120.89914942397824
2016,BLZ,120.89914942397824
2017,BLZ,120.89914942397824
2018,BLZ,120.89914942397824
2019,BLZ,120.89914942397824
2020,BLZ,120.89914942397824
2015,BMU,120.89914942397824
2016,BMU,120.89914942397824
2017,BMU,120.89914942397824
2018,BMU,120.89914942397824
2019,BMU,120.89914942397824
2020,BMU,120.89914942397824
2015,BOL,79.89019222
2016,BOL,79.89019222
2017,BOL,79.89019222
2018,BOL,79.89019222
2019,BOL,79.89019222
2020,BOL,79.89019222
2015,BRA,104.4512538
2016,BRA,104.4512538
2017,BRA,104.4512538
2018,BRA,104.4512538
2019,BRA,104.4512538
2020,BRA,104.4512538
2015,BRB,120.89914942397824
2016,BRB,120.89914942397824
2017,BRB,120.89914942397824
2018,BRB,120.89914942397824
2019,BRB,120.89914942397824
2020,BRB,120.89914942397824
2015,BRN,120.89914942397824
2016,BRN,120.89914942397824
2017,BRN,120.89914942397824
2018,BRN,120.89914942397824
2019,BRN,120.89914942397824
2020,BRN,120.89914942397824
2015,BTN,120.89914942397824
2016,BTN,120.89914942397824
2017,BTN,120.89914942397824
2018,BTN,120.89914942397824
2019,BTN,120.89914942397824
2020,BTN,120.89914942397824
2015,BWA,120.46214
2016,BWA,120.46214
2017,BWA,120.46214
2018,BWA,120.46214
2019,BWA,120.46214
2020,BWA,120.46214
2015,CAF,120.89914942397824
2016,CAF,120.89914942397824
2017,CAF,120.89914942397824
2018,CAF,120.89914942397824
2019,CAF,120.89914942397824
2020,CAF,120.89914942397824
2015,CAN,59.32391832
2016,CAN,59.32391832
2017,CAN,59.32391832
2018,CAN,59.32391832
2019,CAN,59.32391832
2020,CAN,59.32391832
2015,CHE,74.31306257
2016,CHE,74.31306257
2017,CHE,74.31306257
2018,CHE,74.31306257
2019,CHE,74.31306257
2020,CHE,74.31306257
2015,CHL,119.0614981
2016,CHL,119.0614981
2017,CHL,119.0614981
2018,CHL,119.0614981
2019,CHL,119.0614981
2020,CHL,119.0614981
2015,CHN,115.4683212
2016,CHN,115.4683212
2017,CHN,115.4683212
2018,CHN,115.4683212
2019,CHN,115.4683212
2020,CHN,115.4683212
2015,CIV,120.89914942397824
2016,CIV,120.89914942397824
2017,CIV,120.89914942397824
2018,CIV,120.89914942397824
2019,CIV,120.89914942397824
2020,CIV,120.89914942397824
2015,CMR,120.89914942397824
2016,CMR,120.89914942397824
2017,CMR,120.89914942397824
2018,CMR,120.89914942397824
2019,CMR,120.89914942397824
2020,CMR,120.89914942397824
2015,COD,120.89914942397824
2016,COD,120.89914942397824
2017,COD,120.89914942397824
2018,COD,120.89914942397824
2019,COD,120.89914942397824
2020,COD,120.89914942397824
2015,COG,120.89914942397824
2016,COG,120.89914942397824
2017,COG,120.89914942397824
2018,COG,120.89914942397824
2019,COG,120.89914942397824
2020,COG,120.89914942397824
2015,COL,120.8864751
2016,COL,120.8864751
2017,COL,120.8864751
2018,COL,120.8864751
2019,COL,120.8864751
2020,COL,120.8864751
2015,COM,120.89914942397824
2016,COM,120.89914942397824
2017,COM,120.89914942397824
2018,COM,120.89914942397824
2019,COM,120.89914942397824
2020,COM,120.89914942397824
2015,CPV,120.89914942397824
2016,CPV,120.89914942397824
2017,CPV,120.89914942397824
2018,CPV,120.89914942397824
2019,CPV,120.89914942397824
2020,CPV,120.89914942397824
2015,CRI,101.7398595
2016,CRI,101.7398595
2017,CRI,101.7398595
2018,CRI,101.7398595
2019,CRI,101.7398595
2020,CRI,101.7398595
2015,CUB,120.89914942397824
2016,CUB,120.89914942397824
2017,CUB,120.89914942397824
2018,CUB,120.89914942397824
2019,CUB,120.89914942397824
2020,CUB,120.89914942397824
2015,CUW,120.89914942397824
2016,CUW,120.89914942397824
2017,CUW,120.89914942397824
2018,CUW,120.89914942397824
2019,CUW,120.89914942397824
2020,CUW,120.89914942397824
2015,CYM,120.89914942397824
2016,CYM,120.89914942397824
2017,CYM,120.89914942397824
2018,CYM,120.89914942397824
2019,CYM,120.89914942397824
2020,CYM,120.89914942397824
2015,CYP,106.3700868
2016,CYP,106.3700868
2017,CYP,106.3700868
2018,CYP,106.3700868
2019,CYP,106.3700868
2020,CYP,106.3700868
2015,CZE,152.918471
2016,CZE,152.918471
2017,CZE,152.918471
2018,CZE,152.918471
2019,CZE,152.918471
2020,CZE,152.918471
2015,DEU,111.611298
2016,DEU,111.611298
2017,DEU,111.611298
2018,DEU,111.611298
2019,DEU,111.611298
2020,DEU,111.611298
2015,DJI,120.89914942397824
2016,DJI,120.89914942397824
2017,DJI,120.89914942397824
2018,DJI,120.89914942397824
2019,DJI,120.89914942397824
2020,DJI,120.89914942397824
2015,DMA,120.89914942397824
2016,DMA,120.89914942397824
2017,DMA,120.89914942397824
2018,DMA,120.89914942397824
2019,DMA,120.89914942397824
2020,DMA,120.89914942397824
2015,DNK,92.21243678
2016,DNK,92.21243678
2017,DNK,92.21243678
2018,DNK,92.21243678
2019,DNK,92.21243678
2020,DNK,92.21243678
2015,DOM,160.2225503
2016,DOM,160.2225503
2017,DOM,160.2225503
2018,DOM,160.2225503
2019,DOM,160.2225503
2020,DOM,160.2225503
2015,DZA,45.71828043
2016,DZA,45.71828043
2017,DZA,45.71828043
2018,DZA,45.71828043
2019,DZA,45.71828043
2020,DZA,45.71828043
2015,ECU,120.46214
2016,ECU,120.46214
2017,ECU,120.46214
2018,ECU,120.46214
2019,ECU,120.46214
2020,ECU,120.46214
2015,EGY,120.89914942397824
2016,EGY,120.89914942397824
2017,EGY,120.89914942397824
2018,EGY,120.89914942397824
2019,EGY,120.89914942397824
2020,EGY,120.89914942397824
2015,ERI,120.89914942397824
2016,ERI,120.89914942397824
2017,ERI,120.89914942397824
2018,ERI,120.89914942397824
2019,ERI,120.89914942397824
2020,ERI,120.89914942397824
2015,ESP,110.8126021
2016,ESP,110.8126021
2017,ESP,110.8126021
2018,ESP,110.8126021
2019,ESP,110.8126021
2020,ESP,110.8126021
2015,EST,133.5883148
2016,EST,133.5883148
2017,EST,133.5883148
2018,EST,133.5883148
2019,EST,133.5883148
2020,EST,133.5883148
2015,ETH,120.89914942397824
2016,ETH,120.89914942397824
2017,ETH,120.89914942397824
2018,ETH,120.89914942397824
2019,ETH,120.89914942397824
2020,ETH,120.89914942397824
2015,FIN,99.93573935
2016,FIN,99.93573935
2017,FIN,99.93573935
2018,FIN,99.93573935
2019,FIN,99.93573935
2020,FIN,99.93573935
2015,FJI,120.89914942397824
2016,FJI,120.89914942397824
2017,FJI,120.89914942397824
2018,FJI,120.89914942397824
2019,FJI,120.89914942397824
2020,FJI,120.89914942397824
2015,FRA,103.9141892
2016,FRA,103.9141892
2017,FRA,103.9141892
2018,FRA,103.9141892
2019,FRA,103.9141892
2020,FRA,103.9141892
2015,FRO,120.89914942397824
2016,FRO,120.89914942397824
2017,FRO,120.89914942397824
2018,FRO,120.89914942397824
2019,FRO,120.89914942397824
2020,FRO,120.89914942397824
2015,FSM,120.89914942397824
2016,FSM,120.89914942397824
2017,FSM,120.89914942397824
2018,FSM,120.89914942397824
2019,FSM,120.89914942397824
2020,FSM,120.89914942397824
2015,GAB,120.89914942397824
2016,GAB,120.89914942397824
2017,GAB,120.89914942397824
2018,GAB,120.89914942397824
2019,GAB,120.89914942397824
2020,GAB,120.89914942397824
2015,GBR,105.7391661
2016,GBR,105.7391661
2017,GBR,105.7391661
2018,GBR,105.7391661
2019,GBR,105.7391661
2020,GBR,105.7391661
2015,GEO,120.89914942397824
2016,GEO,120.89914942397824
2017,GEO,120.89914942397824
2018,GEO,120.89914942397824
2019,GEO,120.89914942397824
2020,GEO,120.89914942397824
2015,GHA,135.8756193
2016,GHA,135.8756193
2017,GHA,135.8756193
2018,GHA,135.8756193
2019,GHA,135.8756193
2020,GHA,135.8756193
2015,GIB,120.89914942397824
2016,GIB,120.89914942397824
2017,GIB,120.89914942397824
2018,GIB,120.89914942397824
2019,GIB,120.89914942397824
2020,GIB,120.89914942397824
2015,GIN,120.89914942397824
2016,GIN,120.89914942397824
2017,GIN,120.89914942397824
2018,GIN,120.89914942397824
2019,GIN,120.89914942397824
2020,GIN,120.89914942397824
2015,GMB,120.89914942397824
2016,GMB,120.89914942397824
2017,GMB,120.89914942397824
2018,GMB,120.89914942397824
2019,GMB,120.89914942397824
2020,GMB,120.89914942397824
2015,GNB,120.89914942397824
2016,GNB,120.89914942397824
2017,GNB,120.89914942397824
2018,GNB,120.89914942397824
2019,GNB,120.89914942397824
2020,GNB,120.89914942397824
2015,GNQ,120.89914942397824
2016,GNQ,120.89914942397824
2017,GNQ,120.89914942397824
2018,GNQ,120.89914942397824
2019,GNQ,120.89914942397824
2020,GNQ,120.89914942397824
2015,GRC,141.8372108
2016,GRC,141.8372108
2017,GRC,141.8372108
2018,GRC,141.8372108
2019,GRC,141.8372108
2020,GRC,141.8372108
