"iso_code3","Year","frac_wali_ww_domestic_urban_treatment_path_secondary_aerobic"
"AFG",2021,0
"AFG",2022,0
"AFG",2023,0
"AFG",2024,0
"AFG",2025,0
"AFG",2026,0
"AFG",2027,0
"AFG",2028,0
"AFG",2029,0
"AFG",2030,0
"AFG",2031,0
"AFG",2032,0
"AFG",2033,0
"AFG",2034,0
"AFG",2035,0
"AFG",2036,0
"AFG",2037,0
"AFG",2038,0
"AFG",2039,0
"AFG",2040,0
"AFG",2041,0
"AFG",2042,0
"AFG",2043,0
"AFG",2044,0
"AFG",2045,0
"AFG",2046,0
"AFG",2047,0
"AFG",2048,0
"AFG",2049,0
"AFG",2050,0
"AGO",2021,0.273686110161483
"AGO",2022,0.273686110161483
"AGO",2023,0.273686110161483
"AGO",2024,0.273686110161483
"AGO",2025,0.273686110161483
"AGO",2026,0.273686110161483
"AGO",2027,0.273686110161483
"AGO",2028,0.273686110161483
"AGO",2029,0.273686110161483
"AGO",2030,0.273686110161483
"AGO",2031,0.273686110161483
"AGO",2032,0.273686110161483
"AGO",2033,0.273686110161483
"AGO",2034,0.273686110161483
"AGO",2035,0.273686110161483
"AGO",2036,0.273686110161483
"AGO",2037,0.273686110161483
"AGO",2038,0.273686110161483
"AGO",2039,0.273686110161483
"AGO",2040,0.273686110161483
"AGO",2041,0.273686110161483
"AGO",2042,0.273686110161483
"AGO",2043,0.273686110161483
"AGO",2044,0.273686110161483
"AGO",2045,0.273686110161483
"AGO",2046,0.273686110161483
"AGO",2047,0.273686110161483
"AGO",2048,0.273686110161483
"AGO",2049,0.273686110161483
"AGO",2050,0.273686110161483
"ALB",2021,0.26004016064257
"ALB",2022,0.26004016064257
"ALB",2023,0.26004016064257
"ALB",2024,0.26004016064257
"ALB",2025,0.26004016064257
"ALB",2026,0.26004016064257
"ALB",2027,0.26004016064257
"ALB",2028,0.26004016064257
"ALB",2029,0.26004016064257
"ALB",2030,0.26004016064257
"ALB",2031,0.26004016064257
"ALB",2032,0.26004016064257
"ALB",2033,0.26004016064257
"ALB",2034,0.26004016064257
"ALB",2035,0.26004016064257
"ALB",2036,0.26004016064257
"ALB",2037,0.26004016064257
"ALB",2038,0.26004016064257
"ALB",2039,0.26004016064257
"ALB",2040,0.26004016064257
"ALB",2041,0.26004016064257
"ALB",2042,0.26004016064257
"ALB",2043,0.26004016064257
"ALB",2044,0.26004016064257
"ALB",2045,0.26004016064257
"ALB",2046,0.26004016064257
"ALB",2047,0.26004016064257
"ALB",2048,0.26004016064257
"ALB",2049,0.26004016064257
"ALB",2050,0.26004016064257
"ARE",2021,0.0147058823529412
"ARE",2022,0.0147058823529412
"ARE",2023,0.0147058823529412
"ARE",2024,0.0147058823529412
"ARE",2025,0.0147058823529412
"ARE",2026,0.0147058823529412
"ARE",2027,0.0147058823529412
"ARE",2028,0.0147058823529412
"ARE",2029,0.0147058823529412
"ARE",2030,0.0147058823529412
"ARE",2031,0.0147058823529412
"ARE",2032,0.0147058823529412
"ARE",2033,0.0147058823529412
"ARE",2034,0.0147058823529412
"ARE",2035,0.0147058823529412
"ARE",2036,0.0147058823529412
"ARE",2037,0.0147058823529412
"ARE",2038,0.0147058823529412
"ARE",2039,0.0147058823529412
"ARE",2040,0.0147058823529412
"ARE",2041,0.0147058823529412
"ARE",2042,0.0147058823529412
"ARE",2043,0.0147058823529412
"ARE",2044,0.0147058823529412
"ARE",2045,0.0147058823529412
"ARE",2046,0.0147058823529412
"ARE",2047,0.0147058823529412
"ARE",2048,0.0147058823529412
"ARE",2049,0.0147058823529412
"ARE",2050,0.0147058823529412
"ARG",2021,0.0589910496338487
"ARG",2022,0.0589910496338487
"ARG",2023,0.0589910496338487
"ARG",2024,0.0589910496338487
"ARG",2025,0.0589910496338487
"ARG",2026,0.0589910496338487
"ARG",2027,0.0589910496338487
"ARG",2028,0.0589910496338487
"ARG",2029,0.0589910496338487
"ARG",2030,0.0589910496338487
"ARG",2031,0.0589910496338487
"ARG",2032,0.0589910496338487
"ARG",2033,0.0589910496338487
"ARG",2034,0.0589910496338487
"ARG",2035,0.0589910496338487
"ARG",2036,0.0589910496338487
"ARG",2037,0.0589910496338487
"ARG",2038,0.0589910496338487
"ARG",2039,0.0589910496338487
"ARG",2040,0.0589910496338487
"ARG",2041,0.0589910496338487
"ARG",2042,0.0589910496338487
"ARG",2043,0.0589910496338487
"ARG",2044,0.0589910496338487
"ARG",2045,0.0589910496338487
"ARG",2046,0.0589910496338487
"ARG",2047,0.0589910496338487
"ARG",2048,0.0589910496338487
"ARG",2049,0.0589910496338487
"ARG",2050,0.0589910496338487
"ARM",2021,0.237051792828685
"ARM",2022,0.237051792828685
"ARM",2023,0.237051792828685
"ARM",2024,0.237051792828685
"ARM",2025,0.237051792828685
"ARM",2026,0.237051792828685
"ARM",2027,0.237051792828685
"ARM",2028,0.237051792828685
"ARM",2029,0.237051792828685
"ARM",2030,0.237051792828685
"ARM",2031,0.237051792828685
"ARM",2032,0.237051792828685
"ARM",2033,0.237051792828685
"ARM",2034,0.237051792828685
"ARM",2035,0.237051792828685
"ARM",2036,0.237051792828685
"ARM",2037,0.237051792828685
"ARM",2038,0.237051792828685
"ARM",2039,0.237051792828685
"ARM",2040,0.237051792828685
"ARM",2041,0.237051792828685
"ARM",2042,0.237051792828685
"ARM",2043,0.237051792828685
"ARM",2044,0.237051792828685
"ARM",2045,0.237051792828685
"ARM",2046,0.237051792828685
"ARM",2047,0.237051792828685
