Year,iso_code3,frac_waso_non_recycled_open_dump
2021,ABW,0.6932201072909052
2022,ABW,0.6932201072909052
2023,ABW,0.6932201072909052
2024,ABW,0.6932201072909052
2025,ABW,0.6932201072909052
2026,ABW,0.6932201072909052
2027,ABW,0.6932201072909052
2028,ABW,0.6932201072909052
2029,ABW,0.6932201072909052
2030,ABW,0.6932201072909052
2031,ABW,0.6932201072909052
2032,ABW,0.6932201072909052
2033,ABW,0.6932201072909052
2034,ABW,0.6932201072909052
2035,ABW,0.6932201072909052
2036,ABW,0.6932201072909052
2037,ABW,0.6932201072909052
2038,ABW,0.6932201072909052
2039,ABW,0.6932201072909052
2040,ABW,0.6932201072909052
2041,ABW,0.6932201072909052
2042,ABW,0.6932201072909052
2043,ABW,0.6932201072909052
2044,ABW,0.6932201072909052
2045,ABW,0.6932201072909052
2046,ABW,0.6932201072909052
2047,ABW,0.6932201072909052
2048,ABW,0.6932201072909052
2049,ABW,0.6932201072909052
2050,ABW,0.6932201072909052
2021,AFG,0.7901871933363478
2022,AFG,0.7901871933363478
2023,AFG,0.7901871933363478
2024,AFG,0.7901871933363478
2025,AFG,0.7901871933363478
2026,AFG,0.7901871933363478
2027,AFG,0.7901871933363478
2028,AFG,0.7901871933363478
2029,AFG,0.7901871933363478
2030,AFG,0.7901871933363478
2031,AFG,0.7901871933363478
2032,AFG,0.7901871933363478
2033,AFG,0.7901871933363478
2034,AFG,0.7901871933363478
2035,AFG,0.7901871933363478
2036,AFG,0.7901871933363478
2037,AFG,0.7901871933363478
2038,AFG,0.7901871933363478
2039,AFG,0.7901871933363478
2040,AFG,0.7901871933363478
2041,AFG,0.7901871933363478
2042,AFG,0.7901871933363478
2043,AFG,0.7901871933363478
2044,AFG,0.7901871933363478
2045,AFG,0.7901871933363478
2046,AFG,0.7901871933363478
2047,AFG,0.7901871933363478
2048,AFG,0.7901871933363478
2049,AFG,0.7901871933363478
2050,AFG,0.7901871933363478
2021,AGO,0.7710673731742846
2022,AGO,0.7710673731742846
2023,AGO,0.7710673731742846
2024,AGO,0.7710673731742846
2025,AGO,0.7710673731742846
2026,AGO,0.7710673731742846
2027,AGO,0.7710673731742846
2028,AGO,0.7710673731742846
2029,AGO,0.7710673731742846
2030,AGO,0.7710673731742846
2031,AGO,0.7710673731742846
2032,AGO,0.7710673731742846
2033,AGO,0.7710673731742846
2034,AGO,0.7710673731742846
2035,AGO,0.7710673731742846
2036,AGO,0.7710673731742846
2037,AGO,0.7710673731742846
2038,AGO,0.7710673731742846
2039,AGO,0.7710673731742846
2040,AGO,0.7710673731742846
2041,AGO,0.7710673731742846
2042,AGO,0.7710673731742846
2043,AGO,0.7710673731742846
2044,AGO,0.7710673731742846
2045,AGO,0.7710673731742846
2046,AGO,0.7710673731742846
2047,AGO,0.7710673731742846
2048,AGO,0.7710673731742846
2049,AGO,0.7710673731742846
2050,AGO,0.7710673731742846
2021,ALB,0.7551046508368521
2022,ALB,0.7551046508368521
2023,ALB,0.7551046508368521
2024,ALB,0.7551046508368521
2025,ALB,0.7551046508368521
2026,ALB,0.7551046508368521
2027,ALB,0.7551046508368521
2028,ALB,0.7551046508368521
2029,ALB,0.7551046508368521
2030,ALB,0.7551046508368521
2031,ALB,0.7551046508368521
2032,ALB,0.7551046508368521
2033,ALB,0.7551046508368521
2034,ALB,0.7551046508368521
2035,ALB,0.7551046508368521
2036,ALB,0.7551046508368521
2037,ALB,0.7551046508368521
2038,ALB,0.7551046508368521
2039,ALB,0.7551046508368521
2040,ALB,0.7551046508368521
2041,ALB,0.7551046508368521
2042,ALB,0.7551046508368521
2043,ALB,0.7551046508368521
2044,ALB,0.7551046508368521
2045,ALB,0.7551046508368521
2046,ALB,0.7551046508368521
2047,ALB,0.7551046508368521
2048,ALB,0.7551046508368521
2049,ALB,0.7551046508368521
2050,ALB,0.7551046508368521
2021,AND,0.5181188267411873
2022,AND,0.5181188267411873
2023,AND,0.5181188267411873
2024,AND,0.5181188267411873
2025,AND,0.5181188267411873
2026,AND,0.5181188267411873
2027,AND,0.5181188267411873
2028,AND,0.5181188267411873
2029,AND,0.5181188267411873
2030,AND,0.5181188267411873
2031,AND,0.5181188267411873
2032,AND,0.5181188267411873
2033,AND,0.5181188267411873
2034,AND,0.5181188267411873
2035,AND,0.5181188267411873
2036,AND,0.5181188267411873
2037,AND,0.5181188267411873
2038,AND,0.5181188267411873
2039,AND,0.5181188267411873
2040,AND,0.5181188267411873
2041,AND,0.5181188267411873
2042,AND,0.5181188267411873
2043,AND,0.5181188267411873
2044,AND,0.5181188267411873
2045,AND,0.5181188267411873
2046,AND,0.5181188267411873
2047,AND,0.5181188267411873
2048,AND,0.5181188267411873
2049,AND,0.5181188267411873
2050,AND,0.5181188267411873
2021,ARE,0.5877544282654105
2022,ARE,0.5877544282654105
2023,ARE,0.5877544282654105
2024,ARE,0.5877544282654105
2025,ARE,0.5877544282654105
2026,ARE,0.5877544282654105
2027,ARE,0.5877544282654105
2028,ARE,0.5877544282654105
2029,ARE,0.5877544282654105
2030,ARE,0.5877544282654105
2031,ARE,0.5877544282654105
2032,ARE,0.5877544282654105
2033,ARE,0.5877544282654105
2034,ARE,0.5877544282654105
2035,ARE,0.5877544282654105
2036,ARE,0.5877544282654105
2037,ARE,0.5877544282654105
2038,ARE,0.5877544282654105
2039,ARE,0.5877544282654105
2040,ARE,0.5877544282654105
2041,ARE,0.5877544282654105
2042,ARE,0.5877544282654105
2043,ARE,0.5877544282654105
2044,ARE,0.5877544282654105
2045,ARE,0.5877544282654105
2046,ARE,0.5877544282654105
2047,ARE,0.5877544282654105
2048,ARE,0.5877544282654105
2049,ARE,0.5877544282654105
2050,ARE,0.5877544282654105
2021,ARG,0.42809055738905094
2022,ARG,0.42809055738905094
2023,ARG,0.42809055738905094
2024,ARG,0.42809055738905094
2025,ARG,0.42809055738905094
2026,ARG,0.42809055738905094
2027,ARG,0.42809055738905094
2028,ARG,0.42809055738905094
2029,ARG,0.42809055738905094
2030,ARG,0.42809055738905094
2031,ARG,0.42809055738905094
2032,ARG,0.42809055738905094
2033,ARG,0.42809055738905094
2034,ARG,0.42809055738905094
2035,ARG,0.42809055738905094
2036,ARG,0.42809055738905094
2037,ARG,0.42809055738905094
2038,ARG,0.42809055738905094
2039,ARG,0.42809055738905094
2040,ARG,0.42809055738905094
2041,ARG,0.42809055738905094
2042,ARG,0.42809055738905094
2043,ARG,0.42809055738905094
2044,ARG,0.42809055738905094
2045,ARG,0.42809055738905094
2046,ARG,0.42809055738905094
2047,ARG,0.42809055738905094
2048,ARG,0.42809055738905094
2049,ARG,0.42809055738905094
2050,ARG,0.42809055738905094
2021,ARM,0.8528763317910646
2022,ARM,0.8528763317910646
2023,ARM,0.8528763317910646
2024,ARM,0.8528763317910646
2025,ARM,0.8528763317910646
2026,ARM,0.8528763317910646
2027,ARM,0.8528763317910646
2028,ARM,0.8528763317910646
2029,ARM,0.8528763317910646
2030,ARM,0.8528763317910646
2031,ARM,0.8528763317910646
2032,ARM,0.8528763317910646
2033,ARM,0.8528763317910646
2034,ARM,0.8528763317910646
2035,ARM,0.8528763317910646
2036,ARM,0.8528763317910646
2037,ARM,0.8528763317910646
2038,ARM,0.8528763317910646
2039,ARM,0.8528763317910646
2040,ARM,0.8528763317910646
2041,ARM,0.8528763317910646
2042,ARM,0.8528763317910646
2043,ARM,0.8528763317910646
2044,ARM,0.8528763317910646
2045,ARM,0.8528763317910646
2046,ARM,0.8528763317910646
2047,ARM,0.8528763317910646
2048,ARM,0.8528763317910646
2049,ARM,0.8528763317910646
2050,ARM,0.8528763317910646
2021,ASM,0.7635874548510465
2022,ASM,0.7635874548510465
2023,ASM,0.7635874548510465
2024,ASM,0.7635874548510465
2025,ASM,0.7635874548510465
2026,ASM,0.7635874548510465
2027,ASM,0.7635874548510465
2028,ASM,0.7635874548510465
2029,ASM,0.7635874548510465
2030,ASM,0.7635874548510465
2031,ASM,0.7635874548510465
2032,ASM,0.7635874548510465
2033,ASM,0.7635874548510465
2034,ASM,0.7635874548510465
2035,ASM,0.7635874548510465
2036,ASM,0.7635874548510465
2037,ASM,0.7635874548510465
