Year,iso_code3,cost_enfu_fuel_biogas_usd_per_mmbtu
2021,ABW,22000.0
2022,ABW,22000.0
2023,ABW,22000.0
2024,ABW,22000.0
2025,ABW,22000.0
2026,ABW,22000.0
2027,ABW,22000.0
2028,ABW,22000.0
2029,ABW,22000.0
2030,ABW,22000.0
2031,ABW,22000.0
2032,ABW,22000.0
2033,ABW,22000.0
2034,ABW,22000.0
2035,ABW,22000.0
2036,ABW,22000.0
2037,ABW,22000.0
2038,ABW,22000.0
2039,ABW,22000.0
2040,ABW,22000.0
2041,ABW,22000.0
2042,ABW,22000.0
2043,ABW,22000.0
2044,ABW,22000.0
2045,ABW,22000.0
2046,ABW,22000.0
2047,ABW,22000.0
2048,ABW,22000.0
2049,ABW,22000.0
2050,ABW,22000.0
2021,AFG,22000.0
2022,AFG,22000.0
2023,AFG,22000.0
2024,AFG,22000.0
2025,AFG,22000.0
2026,AFG,22000.0
2027,AFG,22000.0
2028,AFG,22000.0
2029,AFG,22000.0
2030,AFG,22000.0
2031,AFG,22000.0
2032,AFG,22000.0
2033,AFG,22000.0
2034,AFG,22000.0
2035,AFG,22000.0
2036,AFG,22000.0
2037,AFG,22000.0
2038,AFG,22000.0
2039,AFG,22000.0
2040,AFG,22000.0
2041,AFG,22000.0
2042,AFG,22000.0
2043,AFG,22000.0
2044,AFG,22000.0
2045,AFG,22000.0
2046,AFG,22000.0
2047,AFG,22000.0
2048,AFG,22000.0
2049,AFG,22000.0
2050,AFG,22000.0
2021,AGO,22000.0
2022,AGO,22000.0
2023,AGO,22000.0
2024,AGO,22000.0
2025,AGO,22000.0
2026,AGO,22000.0
2027,AGO,22000.0
2028,AGO,22000.0
2029,AGO,22000.0
2030,AGO,22000.0
2031,AGO,22000.0
2032,AGO,22000.0
2033,AGO,22000.0
2034,AGO,22000.0
2035,AGO,22000.0
2036,AGO,22000.0
2037,AGO,22000.0
2038,AGO,22000.0
2039,AGO,22000.0
2040,AGO,22000.0
2041,AGO,22000.0
2042,AGO,22000.0
2043,AGO,22000.0
2044,AGO,22000.0
2045,AGO,22000.0
2046,AGO,22000.0
2047,AGO,22000.0
2048,AGO,22000.0
2049,AGO,22000.0
2050,AGO,22000.0
2021,ALB,22000.0
2022,ALB,22000.0
2023,ALB,22000.0
2024,ALB,22000.0
2025,ALB,22000.0
2026,ALB,22000.0
2027,ALB,22000.0
2028,ALB,22000.0
