"Nation","iso_code3","efficfactor_enfu_industrial_energy_fuel_oil","Year"
"Albania","ALB",0.9554,2001
"Algeria","DZA",0.9602,2001
"Angola","AGO",0.9602,2001
"Argentina","ARG",0.97354347826087,2001
"Armenia","ARM",0.9554,2001
"Australia","AUS",1.0175,2001
"Austria","AUT",0.9554,2001
"Azerbaijan","AZE",0.9554,2001
"Bahrain","BHR",0.9602,2001
"Bangladesh","BGD",0.9602,2001
"Belarus","BLR",0.9554,2001
"Belgium","BEL",0.9554,2001
"Benin","BEN",0.9602,2001
"Bolivia","BOL",0.9602,2001
"Bosnia and Herzegovina","BIH",0.9554,2001
"Botswana","BWA",0.9602,2001
"Brazil","BRA",0.962021276595745,2001
"Brunei Darussalam","BRN",0.9602,2001
"Bulgaria","BGR",0.9554,2001
"Cambodia","KHM",1,2001
"Cameroon","CMR",0.9602,2001
"Canada","CAN",0.9602,2001
"Chile","CHL",0.9602,2001
"China","CHN",0.983126086956522,2001
"Colombia","COL",0.9857,2001
"Costa Rica","CRI",0.9602,2001
"Croatia","HRV",0.9554,2001
"Cuba","CUB",0.953673913043478,2001
"Cyprus","CYP",0.9554,2001
"Denmark","DNK",0.9554,2001
"Dominican Republic","DOM",0.9602,2001
"Ecuador","ECU",0.9602,2001
"Egypt","EGY",0.972,2001
"El Salvador","SLV",0.9602,2001
"Eritrea","ERI",0.9602,2001
"Estonia","EST",0.9554,2001
"Ethiopia","ETH",0.9602,2001
"Finland","FIN",0.9554,2001
"France","FRA",0.9554,2001
"Gabon","GAB",0.9602,2001
"Georgia","GEO",0.9554,2001
"Germany","DEU",0.9554,2001
"Ghana","GHA",0.9602,2001
"Gibraltar","GIB",0.9554,2001
"Greece","GRC",0.9554,2001
"Guatemala","GTM",0.9602,2001
"Haiti","HTI",0.9602,2001
"Honduras","HND",0.9602,2001
"Hungary","HUN",0.9554,2001
"Iceland","ISL",0.9554,2001
"India","IND",0.9602,2001
"Indonesia","IDN",0.9602,2001
"Iraq","IRQ",0.9602,2001
"Ireland","IRL",0.9554,2001
"Israel","ISR",0.9602,2001
"Italy","ITA",0.9554,2001
"Jamaica","JAM",0.9602,2001
"Japan","JPN",1.0175,2001
"Jordan","JOR",0.964191304347826,2001
"Kazakhstan","KAZ",0.9554,2001
"Kenya","KEN",0.9602,2001
"Korea","KOR",1.0175,2001
"Kosovo","XKX",0.9554,2001
"Kuwait","KWT",0.9602,2001
"Latvia","LVA",0.9554,2001
"Lebanon","LBN",0.9602,2001
"Libya","LBY",0.9602,2001
"Lithuania","LTU",0.9554,2001
"Luxembourg","LUX",0.9554,2001
"Malaysia","MYS",0.991860869565217,2001
"Malta","MLT",0.9554,2001
"Mauritius","MUS",0.9602,2001
"Mexico","MEX",0.9602,2001
"Mongolia","MNG",0.9602,2001
"Montenegro","MNE",0.9554,2001
"Morocco","MAR",0.9602,2001
"Mozambique","MOZ",0.9602,2001
"Myanmar","MMR",0.9602,2001
"Namibia","NAM",0.997,2001
"Nepal","NPL",1.04206097560976,2001
"Netherlands","NLD",0.9554,2001
"New Zealand","NZL",1.0175,2001
"Nicaragua","NIC",0.971852173913043,2001
"Niger","NER",0.9602,2001
"Nigeria","NGA",0.9602,2001
"Norway","NOR",0.9554,2001
"Oman","OMN",0.9602,2001
"Pakistan","PAK",0.976,2001
"Panama","PAN",0.9602,2001
"Paraguay","PRY",0.98,2001
"Peru","PER",0.9602,2001
"Philippines","PHL",0.9819,2001
"Poland","POL",0.9554,2001
"Portugal","PRT",0.9554,2001
"Qatar","QAT",0.9602,2001
"Romania","ROU",0.9554,2001
"Russian Federation","RUS",0.9554,2001
"Saudi Arabia","SAU",0.9602,2001
"Senegal","SEN",0.9602,2001
"Serbia","SRB",0.9554,2001
"Singapore","SGP",0.9602,2001
"Slovak Republic","SVK",0.9554,2001
"Slovenia","SVN",0.9554,2001
"South Africa","ZAF",0.98044347826087,2001
"South Sudan","SSD",0.964441652559124,2001
"Spain","ESP",0.9554,2001
"Sri Lanka","LKA",0.9701,2001
"Sudan","SDN",0.9602,2001
"Suriname","SUR",0.9602,2001
