"","Nation","iso_code3","efficfactor_enfu_industrial_energy_fuel_electricity","Year"
"1","Albania","ALB",1,2001
"2","Algeria","DZA",1,2001
"3","Angola","AGO",1,2001
"4","Argentina","ARG",1,2001
"5","Armenia","ARM",1,2001
"6","Australia","AUS",1,2001
"7","Austria","AUT",1,2001
"8","Azerbaijan","AZE",1,2001
"9","Bahrain","BHR",1,2001
"10","Bangladesh","BGD",1,2001
"11","Belarus","BLR",1,2001
"12","Belgium","BEL",1,2001
"13","Benin","BEN",1,2001
"14","Bolivia","BOL",1,2001
"15","Bosnia and Herzegovina","BIH",1,2001
"16","Botswana","BWA",1,2001
"17","Brazil","BRA",1,2001
"18","Brunei Darussalam","BRN",1,2001
"19","Bulgaria","BGR",1,2001
"20","Cambodia","KHM",1,2001
"21","Cameroon","CMR",1,2001
"22","Canada","CAN",1,2001
"23","Chile","CHL",1,2001
"24","China","CHN",1,2001
"25","Colombia","COL",1,2001
"26","Costa Rica","CRI",1,2001
"27","Croatia","HRV",1,2001
"28","Cuba","CUB",1,2001
"29","Cyprus","CYP",1,2001
"30","Denmark","DNK",1,2001
"31","Dominican Republic","DOM",1,2001
"32","Ecuador","ECU",1,2001
"33","Egypt","EGY",1,2001
"34","El Salvador","SLV",1,2001
"35","Eritrea","ERI",1,2001
"36","Estonia","EST",1,2001
"37","Ethiopia","ETH",1,2001
"38","Finland","FIN",1,2001
"39","France","FRA",1,2001
"40","Gabon","GAB",1,2001
"41","Georgia","GEO",1,2001
"42","Germany","DEU",1,2001
"43","Ghana","GHA",1,2001
"44","Gibraltar","GIB",1,2001
"45","Greece","GRC",1,2001
"46","Guatemala","GTM",1,2001
"47","Haiti","HTI",1,2001
"48","Honduras","HND",1,2001
"49","Hungary","HUN",1,2001
"50","Iceland","ISL",1,2001
"51","India","IND",1,2001
"52","Indonesia","IDN",1,2001
"53","Iraq","IRQ",1,2001
"54","Ireland","IRL",1,2001
"55","Israel","ISR",1,2001
"56","Italy","ITA",1,2001
"57","Jamaica","JAM",1,2001
"58","Japan","JPN",1,2001
"59","Jordan","JOR",1,2001
"60","Kazakhstan","KAZ",1,2001
"61","Kenya","KEN",1,2001
"62","Korea","KOR",1,2001
"63","Kosovo","XKX",1,2001
"64","Kuwait","KWT",1,2001
"65","Latvia","LVA",1,2001
"66","Lebanon","LBN",1,2001
"67","Libya","LBY",1,2001
"68","Lithuania","LTU",1,2001
"69","Luxembourg","LUX",1,2001
"70","Malaysia","MYS",1,2001
"71","Malta","MLT",1,2001
"72","Mauritius","MUS",1,2001
"73","Mexico","MEX",1,2001
"74","Mongolia","MNG",1,2001
"75","Montenegro","MNE",1,2001
"76","Morocco","MAR",1,2001
"77","Mozambique","MOZ",1,2001
"78","Myanmar","MMR",1,2001
"79","Namibia","NAM",1,2001
"80","Nepal","NPL",1,2001
"81","Netherlands","NLD",1,2001
"82","New Zealand","NZL",1,2001
"83","Nicaragua","NIC",1,2001
"84","Niger","NER",1,2001
"85","Nigeria","NGA",1,2001
"86","Norway","NOR",1,2001
"87","Oman","OMN",1,2001
"88","Pakistan","PAK",1,2001
"89","Panama","PAN",1,2001
"90","Paraguay","PRY",1,2001
"91","Peru","PER",1,2001
"92","Philippines","PHL",1,2001
"93","Poland","POL",1,2001
