,Nation,iso_code3,Year,frac_scoe_heat_energy_residential_diesel
9,Afghanistan,AFG,2020,0.058986585581893264
10,Afghanistan,AFG,2021,0.058986585581893264
11,Afghanistan,AFG,2022,0.058986585581893264
12,Afghanistan,AFG,2023,0.058986585581893264
13,Afghanistan,AFG,2024,0.058986585581893264
14,Afghanistan,AFG,2025,0.058986585581893264
15,Afghanistan,AFG,2026,0.058986585581893264
16,Afghanistan,AFG,2027,0.058986585581893264
17,Afghanistan,AFG,2028,0.058986585581893264
18,Afghanistan,AFG,2029,0.058986585581893264
19,Afghanistan,AFG,2030,0.058986585581893264
20,Afghanistan,AFG,2031,0.058986585581893264
21,Afghanistan,AFG,2032,0.058986585581893264
22,Afghanistan,AFG,2033,0.058986585581893264
23,Afghanistan,AFG,2034,0.058986585581893264
24,Afghanistan,AFG,2035,0.058986585581893264
25,Afghanistan,AFG,2036,0.058986585581893264
26,Afghanistan,AFG,2037,0.058986585581893264
27,Afghanistan,AFG,2038,0.058986585581893264
28,Afghanistan,AFG,2039,0.058986585581893264
29,Afghanistan,AFG,2040,0.058986585581893264
30,Afghanistan,AFG,2041,0.058986585581893264
31,Afghanistan,AFG,2042,0.058986585581893264
32,Afghanistan,AFG,2043,0.058986585581893264
33,Afghanistan,AFG,2044,0.058986585581893264
34,Afghanistan,AFG,2045,0.058986585581893264
35,Afghanistan,AFG,2046,0.058986585581893264
36,Afghanistan,AFG,2047,0.058986585581893264
37,Afghanistan,AFG,2048,0.058986585581893264
38,Afghanistan,AFG,2049,0.058986585581893264
39,Afghanistan,AFG,2050,0.058986585581893264
49,Albania,ALB,2020,0.16148698884758367
50,Albania,ALB,2021,0.16148698884758367
51,Albania,ALB,2022,0.16148698884758367
52,Albania,ALB,2023,0.16148698884758367
53,Albania,ALB,2024,0.16148698884758367
54,Albania,ALB,2025,0.16148698884758367
55,Albania,ALB,2026,0.16148698884758367
56,Albania,ALB,2027,0.16148698884758367
57,Albania,ALB,2028,0.16148698884758367
58,Albania,ALB,2029,0.16148698884758367
59,Albania,ALB,2030,0.16148698884758367
60,Albania,ALB,2031,0.16148698884758367
61,Albania,ALB,2032,0.16148698884758367
62,Albania,ALB,2033,0.16148698884758367
63,Albania,ALB,2034,0.16148698884758367
64,Albania,ALB,2035,0.16148698884758367
65,Albania,ALB,2036,0.16148698884758367
66,Albania,ALB,2037,0.16148698884758367
67,Albania,ALB,2038,0.16148698884758367
68,Albania,ALB,2039,0.16148698884758367
69,Albania,ALB,2040,0.16148698884758367
70,Albania,ALB,2041,0.16148698884758367
71,Albania,ALB,2042,0.16148698884758367
72,Albania,ALB,2043,0.16148698884758367
73,Albania,ALB,2044,0.16148698884758367
74,Albania,ALB,2045,0.16148698884758367
75,Albania,ALB,2046,0.16148698884758367
76,Albania,ALB,2047,0.16148698884758367
77,Albania,ALB,2048,0.16148698884758367
78,Albania,ALB,2049,0.16148698884758367
79,Albania,ALB,2050,0.16148698884758367
89,Algeria,DZA,2020,0.058986585581893264
90,Algeria,DZA,2021,0.058986585581893264
91,Algeria,DZA,2022,0.058986585581893264
92,Algeria,DZA,2023,0.058986585581893264
93,Algeria,DZA,2024,0.058986585581893264
94,Algeria,DZA,2025,0.058986585581893264
95,Algeria,DZA,2026,0.058986585581893264
96,Algeria,DZA,2027,0.058986585581893264
97,Algeria,DZA,2028,0.058986585581893264
98,Algeria,DZA,2029,0.058986585581893264
99,Algeria,DZA,2030,0.058986585581893264
100,Algeria,DZA,2031,0.058986585581893264
101,Algeria,DZA,2032,0.058986585581893264
102,Algeria,DZA,2033,0.058986585581893264
103,Algeria,DZA,2034,0.058986585581893264
104,Algeria,DZA,2035,0.058986585581893264
105,Algeria,DZA,2036,0.058986585581893264
106,Algeria,DZA,2037,0.058986585581893264
107,Algeria,DZA,2038,0.058986585581893264
108,Algeria,DZA,2039,0.058986585581893264
109,Algeria,DZA,2040,0.058986585581893264
110,Algeria,DZA,2041,0.058986585581893264
111,Algeria,DZA,2042,0.058986585581893264
112,Algeria,DZA,2043,0.058986585581893264
113,Algeria,DZA,2044,0.058986585581893264
114,Algeria,DZA,2045,0.058986585581893264
115,Algeria,DZA,2046,0.058986585581893264
116,Algeria,DZA,2047,0.058986585581893264
117,Algeria,DZA,2048,0.058986585581893264
118,Algeria,DZA,2049,0.058986585581893264
119,Algeria,DZA,2050,0.058986585581893264
129,Angola,AGO,2020,0.058986585581893264
130,Angola,AGO,2021,0.058986585581893264
131,Angola,AGO,2022,0.058986585581893264
132,Angola,AGO,2023,0.058986585581893264
133,Angola,AGO,2024,0.058986585581893264
134,Angola,AGO,2025,0.058986585581893264
135,Angola,AGO,2026,0.058986585581893264
136,Angola,AGO,2027,0.058986585581893264
137,Angola,AGO,2028,0.058986585581893264
138,Angola,AGO,2029,0.058986585581893264
139,Angola,AGO,2030,0.058986585581893264
140,Angola,AGO,2031,0.058986585581893264
141,Angola,AGO,2032,0.058986585581893264
142,Angola,AGO,2033,0.058986585581893264
143,Angola,AGO,2034,0.058986585581893264
144,Angola,AGO,2035,0.058986585581893264
145,Angola,AGO,2036,0.058986585581893264
146,Angola,AGO,2037,0.058986585581893264
147,Angola,AGO,2038,0.058986585581893264
148,Angola,AGO,2039,0.058986585581893264
149,Angola,AGO,2040,0.058986585581893264
150,Angola,AGO,2041,0.058986585581893264
151,Angola,AGO,2042,0.058986585581893264
152,Angola,AGO,2043,0.058986585581893264
153,Angola,AGO,2044,0.058986585581893264
154,Angola,AGO,2045,0.058986585581893264
155,Angola,AGO,2046,0.058986585581893264
156,Angola,AGO,2047,0.058986585581893264
157,Angola,AGO,2048,0.058986585581893264
158,Angola,AGO,2049,0.058986585581893264
159,Angola,AGO,2050,0.058986585581893264
169,Argentina,ARG,2020,0.08176864907703991
170,Argentina,ARG,2021,0.08176864907703991
171,Argentina,ARG,2022,0.08176864907703991
172,Argentina,ARG,2023,0.08176864907703991
173,Argentina,ARG,2024,0.08176864907703991
174,Argentina,ARG,2025,0.08176864907703991
175,Argentina,ARG,2026,0.08176864907703991
176,Argentina,ARG,2027,0.08176864907703991
177,Argentina,ARG,2028,0.08176864907703991
178,Argentina,ARG,2029,0.08176864907703991
179,Argentina,ARG,2030,0.08176864907703991
180,Argentina,ARG,2031,0.08176864907703991
181,Argentina,ARG,2032,0.08176864907703991
182,Argentina,ARG,2033,0.08176864907703991
183,Argentina,ARG,2034,0.08176864907703991
184,Argentina,ARG,2035,0.08176864907703991
185,Argentina,ARG,2036,0.08176864907703991
186,Argentina,ARG,2037,0.08176864907703991
187,Argentina,ARG,2038,0.08176864907703991
188,Argentina,ARG,2039,0.08176864907703991
189,Argentina,ARG,2040,0.08176864907703991
190,Argentina,ARG,2041,0.08176864907703991
191,Argentina,ARG,2042,0.08176864907703991
192,Argentina,ARG,2043,0.08176864907703991
193,Argentina,ARG,2044,0.08176864907703991
194,Argentina,ARG,2045,0.08176864907703991
195,Argentina,ARG,2046,0.08176864907703991
196,Argentina,ARG,2047,0.08176864907703991
197,Argentina,ARG,2048,0.08176864907703991
198,Argentina,ARG,2049,0.08176864907703991
199,Argentina,ARG,2050,0.08176864907703991
209,Armenia,ARM,2020,0.058986585581893264
210,Armenia,ARM,2021,0.058986585581893264
211,Armenia,ARM,2022,0.058986585581893264
212,Armenia,ARM,2023,0.058986585581893264
213,Armenia,ARM,2024,0.058986585581893264
214,Armenia,ARM,2025,0.058986585581893264
215,Armenia,ARM,2026,0.058986585581893264
216,Armenia,ARM,2027,0.058986585581893264
217,Armenia,ARM,2028,0.058986585581893264
218,Armenia,ARM,2029,0.058986585581893264
219,Armenia,ARM,2030,0.058986585581893264
220,Armenia,ARM,2031,0.058986585581893264
221,Armenia,ARM,2032,0.058986585581893264
222,Armenia,ARM,2033,0.058986585581893264
223,Armenia,ARM,2034,0.058986585581893264
224,Armenia,ARM,2035,0.058986585581893264
225,Armenia,ARM,2036,0.058986585581893264
226,Armenia,ARM,2037,0.058986585581893264
227,Armenia,ARM,2038,0.058986585581893264
228,Armenia,ARM,2039,0.058986585581893264
229,Armenia,ARM,2040,0.058986585581893264
230,Armenia,ARM,2041,0.058986585581893264
231,Armenia,ARM,2042,0.058986585581893264
232,Armenia,ARM,2043,0.058986585581893264
233,Armenia,ARM,2044,0.058986585581893264
234,Armenia,ARM,2045,0.058986585581893264
235,Armenia,ARM,2046,0.058986585581893264
236,Armenia,ARM,2047,0.058986585581893264
237,Armenia,ARM,2048,0.058986585581893264
238,Armenia,ARM,2049,0.058986585581893264
239,Armenia,ARM,2050,0.058986585581893264
249,Aruba,ABW,2020,0.058986585581893264
250,Aruba,ABW,2021,0.058986585581893264
251,Aruba,ABW,2022,0.058986585581893264
252,Aruba,ABW,2023,0.058986585581893264
253,Aruba,ABW,2024,0.058986585581893264
254,Aruba,ABW,2025,0.058986585581893264
255,Aruba,ABW,2026,0.058986585581893264
256,Aruba,ABW,2027,0.058986585581893264
257,Aruba,ABW,2028,0.058986585581893264
258,Aruba,ABW,2029,0.058986585581893264
259,Aruba,ABW,2030,0.058986585581893264
260,Aruba,ABW,2031,0.058986585581893264
261,Aruba,ABW,2032,0.058986585581893264
262,Aruba,ABW,2033,0.058986585581893264
263,Aruba,ABW,2034,0.058986585581893264
264,Aruba,ABW,2035,0.058986585581893264
265,Aruba,ABW,2036,0.058986585581893264
266,Aruba,ABW,2037,0.058986585581893264
267,Aruba,ABW,2038,0.058986585581893264
268,Aruba,ABW,2039,0.058986585581893264
269,Aruba,ABW,2040,0.058986585581893264
270,Aruba,ABW,2041,0.058986585581893264
271,Aruba,ABW,2042,0.058986585581893264
272,Aruba,ABW,2043,0.058986585581893264
273,Aruba,ABW,2044,0.058986585581893264
274,Aruba,ABW,2045,0.058986585581893264
275,Aruba,ABW,2046,0.058986585581893264
276,Aruba,ABW,2047,0.058986585581893264
277,Aruba,ABW,2048,0.058986585581893264
278,Aruba,ABW,2049,0.058986585581893264
279,Aruba,ABW,2050,0.058986585581893264
289,Australia,AUS,2020,0.019711927496358632
290,Australia,AUS,2021,0.019711927496358632
291,Australia,AUS,2022,0.019711927496358632
292,Australia,AUS,2023,0.019711927496358632
293,Australia,AUS,2024,0.019711927496358632
294,Australia,AUS,2025,0.019711927496358632
295,Australia,AUS,2026,0.019711927496358632
296,Australia,AUS,2027,0.019711927496358632
297,Australia,AUS,2028,0.019711927496358632
