Year,iso_code3,cost_enfu_fuel_crude_usd_per_m3
2021,ABW,367.3625548236649
2022,ABW,367.3625548236649
2023,ABW,367.3625548236649
2024,ABW,367.3625548236649
2025,ABW,367.3625548236649
2026,ABW,367.3625548236649
2027,ABW,367.3625548236649
2028,ABW,367.3625548236649
2029,ABW,367.3625548236649
2030,ABW,367.3625548236649
2031,ABW,367.3625548236649
2032,ABW,367.3625548236649
2033,ABW,367.3625548236649
2034,ABW,367.3625548236649
2035,ABW,367.3625548236649
2036,ABW,367.3625548236649
2037,ABW,367.3625548236649
2038,ABW,367.3625548236649
2039,ABW,367.3625548236649
2040,ABW,367.3625548236649
2041,ABW,367.3625548236649
2042,ABW,367.3625548236649
2043,ABW,367.3625548236649
2044,ABW,367.3625548236649
2045,ABW,367.3625548236649
2046,ABW,367.3625548236649
2047,ABW,367.3625548236649
2048,ABW,367.3625548236649
2049,ABW,367.3625548236649
2050,ABW,367.3625548236649
2021,AFG,367.3625548236649
2022,AFG,367.3625548236649
2023,AFG,367.3625548236649
2024,AFG,367.3625548236649
2025,AFG,367.3625548236649
2026,AFG,367.3625548236649
2027,AFG,367.3625548236649
2028,AFG,367.3625548236649
2029,AFG,367.3625548236649
2030,AFG,367.3625548236649
2031,AFG,367.3625548236649
2032,AFG,367.3625548236649
2033,AFG,367.3625548236649
2034,AFG,367.3625548236649
2035,AFG,367.3625548236649
2036,AFG,367.3625548236649
2037,AFG,367.3625548236649
2038,AFG,367.3625548236649
2039,AFG,367.3625548236649
2040,AFG,367.3625548236649
2041,AFG,367.3625548236649
2042,AFG,367.3625548236649
2043,AFG,367.3625548236649
2044,AFG,367.3625548236649
2045,AFG,367.3625548236649
2046,AFG,367.3625548236649
2047,AFG,367.3625548236649
2048,AFG,367.3625548236649
2049,AFG,367.3625548236649
2050,AFG,367.3625548236649
2021,AGO,367.3625548236649
2022,AGO,367.3625548236649
2023,AGO,367.3625548236649
2024,AGO,367.3625548236649
2025,AGO,367.3625548236649
2026,AGO,367.3625548236649
2027,AGO,367.3625548236649
2028,AGO,367.3625548236649
2029,AGO,367.3625548236649
2030,AGO,367.3625548236649
2031,AGO,367.3625548236649
2032,AGO,367.3625548236649
2033,AGO,367.3625548236649
2034,AGO,367.3625548236649
2035,AGO,367.3625548236649
2036,AGO,367.3625548236649
2037,AGO,367.3625548236649
2038,AGO,367.3625548236649
2039,AGO,367.3625548236649
2040,AGO,367.3625548236649
2041,AGO,367.3625548236649
2042,AGO,367.3625548236649
2043,AGO,367.3625548236649
2044,AGO,367.3625548236649
2045,AGO,367.3625548236649
2046,AGO,367.3625548236649
2047,AGO,367.3625548236649
2048,AGO,367.3625548236649
2049,AGO,367.3625548236649
2050,AGO,367.3625548236649
2021,ALB,367.3625548236649
2022,ALB,367.3625548236649
2023,ALB,367.3625548236649
