Year,iso_code3,ef_lndu_conv_forests_secondary_to_grasslands_gg_co2_ha
2020,AFG,0.127696
2021,AFG,0.127696
2022,AFG,0.127696
2023,AFG,0.127696
2024,AFG,0.127696
2025,AFG,0.127696
2026,AFG,0.127696
2027,AFG,0.127696
2028,AFG,0.127696
2029,AFG,0.127696
2030,AFG,0.127696
2031,AFG,0.127696
2032,AFG,0.127696
2033,AFG,0.127696
2034,AFG,0.127696
2035,AFG,0.127696
2036,AFG,0.127696
2037,AFG,0.127696
2038,AFG,0.127696
2039,AFG,0.127696
2040,AFG,0.127696
2041,AFG,0.127696
2042,AFG,0.127696
2043,AFG,0.127696
2044,AFG,0.127696
2045,AFG,0.127696
2046,AFG,0.127696
2047,AFG,0.127696
2048,AFG,0.127696
2049,AFG,0.127696
2050,AFG,0.127696
2020,AGO,0.087605
2021,AGO,0.087605
2022,AGO,0.087605
2023,AGO,0.087605
2024,AGO,0.087605
2025,AGO,0.087605
2026,AGO,0.087605
2027,AGO,0.087605
2028,AGO,0.087605
2029,AGO,0.087605
2030,AGO,0.087605
2031,AGO,0.087605
2032,AGO,0.087605
2033,AGO,0.087605
2034,AGO,0.087605
2035,AGO,0.087605
2036,AGO,0.087605
2037,AGO,0.087605
2038,AGO,0.087605
2039,AGO,0.087605
2040,AGO,0.087605
2041,AGO,0.087605
2042,AGO,0.087605
2043,AGO,0.087605
2044,AGO,0.087605
2045,AGO,0.087605
2046,AGO,0.087605
2047,AGO,0.087605
2048,AGO,0.087605
2049,AGO,0.087605
2050,AGO,0.087605
2020,ALB,0.148938
2021,ALB,0.148938
2022,ALB,0.148938
2023,ALB,0.148938
2024,ALB,0.148938
2025,ALB,0.148938
2026,ALB,0.148938
2027,ALB,0.148938
2028,ALB,0.148938
2029,ALB,0.148938
2030,ALB,0.148938
2031,ALB,0.148938
2032,ALB,0.148938
2033,ALB,0.148938
2034,ALB,0.148938
2035,ALB,0.148938
2036,ALB,0.148938
2037,ALB,0.148938
2038,ALB,0.148938
2039,ALB,0.148938
2040,ALB,0.148938
2041,ALB,0.148938
2042,ALB,0.148938
2043,ALB,0.148938
2044,ALB,0.148938
2045,ALB,0.148938
2046,ALB,0.148938
2047,ALB,0.148938
2048,ALB,0.148938
2049,ALB,0.148938
2050,ALB,0.148938
2020,ARG,0.139169
2021,ARG,0.139169
2022,ARG,0.139169
2023,ARG,0.139169
2024,ARG,0.139169
2025,ARG,0.139169
2026,ARG,0.139169
2027,ARG,0.139169
2028,ARG,0.139169
2029,ARG,0.139169
2030,ARG,0.139169
2031,ARG,0.139169
2032,ARG,0.139169
2033,ARG,0.139169
2034,ARG,0.139169
2035,ARG,0.139169
2036,ARG,0.139169
2037,ARG,0.139169
2038,ARG,0.139169
2039,ARG,0.139169
2040,ARG,0.139169
2041,ARG,0.139169
2042,ARG,0.139169
2043,ARG,0.139169
2044,ARG,0.139169
2045,ARG,0.139169
2046,ARG,0.139169
2047,ARG,0.139169
2048,ARG,0.139169
2049,ARG,0.139169
2050,ARG,0.139169
2020,AUS,0.100356
2021,AUS,0.100356
2022,AUS,0.100356
2023,AUS,0.100356
2024,AUS,0.100356
2025,AUS,0.100356
2026,AUS,0.100356
2027,AUS,0.100356
2028,AUS,0.100356
2029,AUS,0.100356
2030,AUS,0.100356
2031,AUS,0.100356
2032,AUS,0.100356
2033,AUS,0.100356
2034,AUS,0.100356
2035,AUS,0.100356
2036,AUS,0.100356
2037,AUS,0.100356
2038,AUS,0.100356
2039,AUS,0.100356
2040,AUS,0.100356
2041,AUS,0.100356
2042,AUS,0.100356
2043,AUS,0.100356
2044,AUS,0.100356
2045,AUS,0.100356
2046,AUS,0.100356
2047,AUS,0.100356
2048,AUS,0.100356
2049,AUS,0.100356
2050,AUS,0.100356
2020,AUT,0.1499
2021,AUT,0.1499
2022,AUT,0.1499
2023,AUT,0.1499
2024,AUT,0.1499
2025,AUT,0.1499
2026,AUT,0.1499
2027,AUT,0.1499
2028,AUT,0.1499
2029,AUT,0.1499
2030,AUT,0.1499
2031,AUT,0.1499
2032,AUT,0.1499
2033,AUT,0.1499
2034,AUT,0.1499
2035,AUT,0.1499
2036,AUT,0.1499
2037,AUT,0.1499
2038,AUT,0.1499
2039,AUT,0.1499
2040,AUT,0.1499
2041,AUT,0.1499
2042,AUT,0.1499
2043,AUT,0.1499
2044,AUT,0.1499
2045,AUT,0.1499
2046,AUT,0.1499
2047,AUT,0.1499
2048,AUT,0.1499
2049,AUT,0.1499
2050,AUT,0.1499
2020,AZE,0.206074
2021,AZE,0.206074
2022,AZE,0.206074
2023,AZE,0.206074
2024,AZE,0.206074
2025,AZE,0.206074
2026,AZE,0.206074
2027,AZE,0.206074
2028,AZE,0.206074
2029,AZE,0.206074
2030,AZE,0.206074
2031,AZE,0.206074
2032,AZE,0.206074
2033,AZE,0.206074
2034,AZE,0.206074
2035,AZE,0.206074
2036,AZE,0.206074
2037,AZE,0.206074
2038,AZE,0.206074
2039,AZE,0.206074
2040,AZE,0.206074
2041,AZE,0.206074
2042,AZE,0.206074
2043,AZE,0.206074
2044,AZE,0.206074
2045,AZE,0.206074
2046,AZE,0.206074
2047,AZE,0.206074
2048,AZE,0.206074
2049,AZE,0.206074
2050,AZE,0.206074
2020,BDI,0.0753
2021,BDI,0.0753
2022,BDI,0.0753
2023,BDI,0.0753
2024,BDI,0.0753
2025,BDI,0.0753
2026,BDI,0.0753
2027,BDI,0.0753
2028,BDI,0.0753
2029,BDI,0.0753
2030,BDI,0.0753
2031,BDI,0.0753
2032,BDI,0.0753
2033,BDI,0.0753
2034,BDI,0.0753
2035,BDI,0.0753
2036,BDI,0.0753
2037,BDI,0.0753
2038,BDI,0.0753
2039,BDI,0.0753
2040,BDI,0.0753
2041,BDI,0.0753
2042,BDI,0.0753
2043,BDI,0.0753
2044,BDI,0.0753
2045,BDI,0.0753
2046,BDI,0.0753
2047,BDI,0.0753
2048,BDI,0.0753
2049,BDI,0.0753
2050,BDI,0.0753
2020,BEL,0.147173
2021,BEL,0.147173
2022,BEL,0.147173
2023,BEL,0.147173
2024,BEL,0.147173
2025,BEL,0.147173
2026,BEL,0.147173
2027,BEL,0.147173
2028,BEL,0.147173
2029,BEL,0.147173
2030,BEL,0.147173
