Year,iso_code3,nemomod_entc_frac_min_share_production_pp_hydropower
2010,ABW,0.6844986655713704
2011,ABW,0.6844986655713704
2012,ABW,0.6844986655713704
2013,ABW,0.6844986655713704
2014,ABW,0.6844986655713704
2015,ABW,0.6297528280722651
2016,ABW,0.6507973205399263
2017,ABW,0.78357080782195
2018,ABW,0.7489962294828991
2019,ABW,0.6785146690390046
2020,ABW,0.6284383077080216
2010,AFG,0.1138025970519615
2011,AFG,0.1138025970519615
2012,AFG,0.1138025970519615
2013,AFG,0.1138025970519615
2014,AFG,0.1138025970519615
2015,AFG,0.1138025970519615
2016,AFG,0.0992170774502072
2017,AFG,0.1008863868382396
2018,AFG,0.0958587680453304
2019,AFG,0.1089048771688092
2020,AFG,0.1118281730057818
2010,AGO,0.4652140806380279
2011,AGO,0.4566720919678633
2012,AGO,0.4491598600120554
2013,AGO,0.4433003996029614
2014,AGO,0.4571983048418085
2015,AGO,0.4422276904639571
2016,AGO,0.4434032086101454
2017,AGO,0.4602134209963344
2018,AGO,0.4592875786585739
2019,AGO,0.4343833497701866
2020,AGO,0.4228068493460027
2010,ALB,0.3497535620486692
2011,ALB,0.3497535620486692
2012,ALB,0.3497535620486692
2013,ALB,0.3497535620486692
2014,ALB,0.3497535620486692
2015,ALB,0.3497535620486692
2016,ALB,0.3538238874119648
2017,ALB,0.2079689098413331
2018,ALB,0.335903868149954
2019,ALB,0.2100408995839688
2020,ALB,0.2527248930809714
2010,AND,0.1230036115915235
2011,AND,0.0921287754246924
2012,AND,0.117331008559041
2013,AND,0.1371770258501417
2014,AND,0.125911627814647
2015,AND,0.1082250013512239
2016,AND,0.1206826301756869
2017,AND,0.1018212272562165
2018,AND,0.1254341783245192
2019,AND,0.1117479914882593
2020,AND,0.1297393568213938
2010,ARE,0.0
2011,ARE,0.0
2012,ARE,0.0
2013,ARE,0.0
2014,ARE,0.0
2015,ARE,0.0
2016,ARE,0.0
2017,ARE,0.0
2018,ARE,0.0
2019,ARE,0.0
2020,ARE,0.0
2010,ARG,0.2314365085644913
2011,ARG,0.2314365085644913
2012,ARG,0.2314365085644913
2013,ARG,0.2314365085644913
2014,ARG,0.2314365085644913
2015,ARG,0.2314365085644913
2016,ARG,0.210650919878254
2017,ARG,0.2274237732845023
2018,ARG,0.2289403596765527
2019,ARG,0.2056013664934297
2020,ARG,0.1716440346521324
2010,ARM,0.2534105320072211
2011,ARM,0.2352654592140632
2012,ARM,0.2490058254552193
2013,ARM,0.2545946696756921
2014,ARM,0.1662361450331581
2015,ARM,0.2640458501569711
2016,ARM,0.2552730713883884
2017,ARM,0.2040215840177948
2018,ARM,0.2024988251946836
2019,ARM,0.3061976473483312
2020,ARM,0.2948656140701221
2010,ASM,0.5641902074147817
2011,ASM,0.5779103916214067
2012,ASM,0.5299844411386339
2013,ASM,0.5450784603465076
2014,ASM,0.5707619830811305
2015,ASM,0.5667852222444464
2016,ASM,0.6031262098141925
2017,ASM,0.5801779953258103
2018,ASM,0.6038228219028539
2019,ASM,0.5828611719105331
2020,ASM,0.5568822036798835
2010,ATG,0.6844986655713704
2011,ATG,0.6844986655713704
2012,ATG,0.6844986655713704
2013,ATG,0.6844986655713704
2014,ATG,0.6844986655713704
2015,ATG,0.6297528280722651
2016,ATG,0.6507973205399263
2017,ATG,0.78357080782195
2018,ATG,0.7489962294828991
2019,ATG,0.6785146690390046
2020,ATG,0.6284383077080216
2010,AUS,0.0696117956227093
2011,AUS,0.058572890558822
2012,AUS,0.0704584771774564
2013,AUS,0.0832449570588209
2014,AUS,0.0612494909109054
2015,AUS,0.0591694039868732
2016,AUS,0.0731378480767828
2017,AUS,0.0551701425470702
2018,AUS,0.0719178908674261
2019,AUS,0.0567005889333526
2020,AUS,0.0590442374907075
2010,AUT,0.589298939884269
2011,AUT,0.579111572209459
2012,AUT,0.6639659008449041
2013,AUT,0.6759560295411681
2014,AUT,0.6911598036338581
2015,AUT,0.628311967764038
2016,AUT,0.6364385647741363
2017,AUT,0.5972380981876896
2018,AUT,0.6071612870556096
2019,AUT,0.599703446082283
2020,AUT,0.6175148521317501
2010,AZE,0.2534105320072211
2011,AZE,0.2352654592140632
2012,AZE,0.2490058254552193
2013,AZE,0.2545946696756921
2014,AZE,0.1662361450331581
2015,AZE,0.2640458501569711
2016,AZE,0.2552730713883884
2017,AZE,0.2040215840177948
2018,AZE,0.2024988251946836
2019,AZE,0.3061976473483312
2020,AZE,0.2948656140701221
2010,BDI,0.4652140806380279
2011,BDI,0.4566720919678633
2012,BDI,0.4491598600120554
2013,BDI,0.4433003996029614
2014,BDI,0.4571983048418085
2015,BDI,0.4422276904639571
2016,BDI,0.4434032086101454
2017,BDI,0.4602134209963344
2018,BDI,0.4592875786585739
2019,BDI,0.4343833497701866
2020,BDI,0.4228068493460027
2010,BEL,0.018295576194791
2011,BEL,0.0164970411290716
2012,BEL,0.0210386773379675
2013,BEL,0.0214877469479507
2014,BEL,0.0213214897120143
2015,BEL,0.0211217056765368
2016,BEL,0.0180113917358669
2017,BEL,0.0167439519119351
2018,BEL,0.0184175571925771
2019,BEL,0.0130239159098293
2020,BEL,0.0151534205217234
2010,BEN,0.4652140806380279
2011,BEN,0.4566720919678633
2012,BEN,0.4491598600120554
2013,BEN,0.4433003996029614
2014,BEN,0.4571983048418085
2015,BEN,0.4422276904639571
2016,BEN,0.4434032086101454
