Year,iso_code3,cost_enfu_fuel_oil_usd_per_m3
2015,ABW,524.8036497480927
2016,ABW,524.8036497480927
2017,ABW,524.8036497480927
2018,ABW,524.8036497480927
2019,ABW,524.8036497480927
2020,ABW,524.8036497480927
2015,AFG,524.8036497480927
2016,AFG,524.8036497480927
2017,AFG,524.8036497480927
2018,AFG,524.8036497480927
2019,AFG,524.8036497480927
2020,AFG,524.8036497480927
2015,AGO,524.8036497480927
2016,AGO,524.8036497480927
2017,AGO,524.8036497480927
2018,AGO,524.8036497480927
2019,AGO,524.8036497480927
2020,AGO,524.8036497480927
2015,ALB,524.8036497480927
2016,ALB,524.8036497480927
2017,ALB,524.8036497480927
2018,ALB,524.8036497480927
2019,ALB,524.8036497480927
2020,ALB,524.8036497480927
2015,AND,524.8036497480927
2016,AND,524.8036497480927
2017,AND,524.8036497480927
2018,AND,524.8036497480927
2019,AND,524.8036497480927
2020,AND,524.8036497480927
2015,ARE,524.8036497480927
2016,ARE,524.8036497480927
2017,ARE,524.8036497480927
2018,ARE,524.8036497480927
2019,ARE,524.8036497480927
2020,ARE,524.8036497480927
2015,ARG,524.8036497480927
2016,ARG,524.8036497480927
2017,ARG,524.8036497480927
2018,ARG,524.8036497480927
2019,ARG,524.8036497480927
2020,ARG,524.8036497480927
2015,ARM,524.8036497480927
2016,ARM,524.8036497480927
2017,ARM,524.8036497480927
2018,ARM,524.8036497480927
2019,ARM,524.8036497480927
2020,ARM,524.8036497480927
2015,ASM,524.8036497480927
2016,ASM,524.8036497480927
2017,ASM,524.8036497480927
2018,ASM,524.8036497480927
2019,ASM,524.8036497480927
2020,ASM,524.8036497480927
2015,ATG,524.8036497480927
2016,ATG,524.8036497480927
2017,ATG,524.8036497480927
2018,ATG,524.8036497480927
2019,ATG,524.8036497480927
2020,ATG,524.8036497480927
2015,AUS,524.8036497480927
2016,AUS,524.8036497480927
2017,AUS,524.8036497480927
2018,AUS,524.8036497480927
2019,AUS,524.8036497480927
2020,AUS,524.8036497480927
2015,AUT,441.1004006204124
2016,AUT,441.1004006204124
2017,AUT,441.1004006204124
2018,AUT,441.1004006204124
2019,AUT,441.1004006204124
2020,AUT,441.1004006204124
