Year,prodinit_ippu_cement_tonne,iso_code3
2021,170508.7,ABW
2022,181643.7234,ABW
2023,193505.9164,ABW
2024,206142.7666,ABW
2025,219604.8628,ABW
2026,233946.0974,ABW
2027,249223.8825,ABW
2028,265499.379,ABW
2029,282837.7423,ABW
2030,301308.3826,ABW
2031,320985.243,ABW
2032,341947.0953,ABW
2033,364277.8555,ABW
2034,388066.9199,ABW
2035,413409.5225,ABW
2036,440407.1167,ABW
2037,469167.7813,ABW
2038,499806.6532,ABW
2039,532446.3881,ABW
2040,567217.6518,ABW
2041,604259.6433,ABW
2042,643720.6517,ABW
2043,685758.6504,ABW
2044,730541.9289,ABW
2045,778249.767,ABW
2046,829073.1522,ABW
2047,883215.5445,ABW
2048,940893.6907,ABW
2049,1002338.492,ABW
2050,1067795.93,ABW
2021,1308793,AGO
2022,1109332.244,AGO
2023,940269.4147,AGO
2024,796971.8512,AGO
2025,675512.9133,AGO
2026,572564.3827,AGO
2027,485305.2634,AGO
2028,411344.4807,AGO
2029,348655.3611,AGO
2030,295520.0969,AGO
2031,250482.6755,AGO
2032,212308.9813,AGO
2033,179952.9786,AGO
2034,152528.048,AGO
2035,129282.6916,AGO
2036,109579.94,AGO
2037,92879.89835,AGO
2038,78724.95198,AGO
2039,66727.22704,AGO
2040,56557.96182,AGO
2041,47938.49808,AGO
2042,40632.64524,AGO
2043,34440.20829,AGO
2044,29191.50206,AGO
2045,24742.70148,AGO
2046,20971.90049,AGO
2047,17775.7716,AGO
2048,15066.73446,AGO
2049,12770.55604,AGO
2050,10824.31645,AGO
2021,4939345,ALB
2022,4920497.842,ALB
2023,4901722.6,ALB
2024,4883019,ALB
2025,4864386.766,ALB
2026,4845825.628,ALB
2027,4827335.315,ALB
2028,4808915.555,ALB
2029,4790566.079,ALB
2030,4772286.621,ALB
2031,4754076.911,ALB
2032,4735936.685,ALB
2033,4717865.676,ALB
2034,4699863.622,ALB
2035,4681930.258,ALB
2036,4664065.323,ALB
2037,4646268.556,ALB
2038,4628539.696,ALB
2039,4610878.485,ALB
2040,4593284.664,ALB
2041,4575757.975,ALB
2042,4558298.164,ALB
2043,4540904.975,ALB
2044,4523578.153,ALB
2045,4506317.445,ALB
2046,4489122.6,ALB
2047,4471993.365,ALB
2048,4454929.49,ALB
2049,4437930.727,ALB
2050,4420996.826,ALB
2021,17740670,ARE
2022,18624184.66,ARE
2023,19551699.8,ARE
2024,20525406.74,ARE
2025,21547605.88,ARE
2026,22620712.23,ARE
2027,23747261.05,ARE
2028,24929913.86,ARE
2029,26171464.73,ARE
2030,27474846.89,ARE
2031,28843139.62,ARE
2032,30279575.6,ARE
2033,31787548.46,ARE
2034,33370620.86,ARE
2035,35032532.87,ARE
2036,36777210.85,ARE
2037,38608776.68,ARE
2038,40531557.5,ARE
2039,42550095.99,ARE
2040,44669161.02,ARE
2041,46893759,ARE
2042,49229145.62,ARE
2043,51680838.35,ARE
2044,54254629.43,ARE
2045,56956599.56,ARE
2046,59793132.26,ARE
2047,62770928.97,ARE
2048,65897024.87,ARE
2049,69178805.51,ARE
2050,72624024.25,ARE
2021,6792530,ARG
2022,7403217.603,ARG
2023,8068809.541,ARG
2024,8794242.031,ARG
2025,9584895.084,ARG
2026,10446632.4,ARG
2027,11385844.88,ARG
2028,12409497.97,ARG
2029,13525183.37,ARG
2030,14741175.32,ARG
2031,16066491.95,ARG
2032,17510962.2,ARG
2033,19085298.64,ARG
2034,20801177,ARG
2035,22671322.73,ARG
2036,24709605.33,ARG
2037,26931141.28,ARG
2038,29352406.13,ARG
2039,31991356.64,ARG
2040,34867564.02,ARG
2041,38002359.02,ARG
2042,41418990.16,ARG
2043,45142796.14,ARG
2044,49201393.73,ARG
2045,53624882.65,ARG
2046,58446068.72,ARG
2047,63700707.21,ARG
2048,69427767.99,ARG
2049,75669724.55,ARG
2050,82472868.99,ARG
2021,474899.5,ARM
2022,642293.2936,ARM
2023,868690.4809,ARM
2024,1174888.729,ARM
2025,1589016.522,ARM
2026,2149117.14,ARM
2027,2906643.461,ARM
2028,3931184.603,ARM
2029,5316858.633,ARM
2030,7190958.599,ARM
2031,9725646.128,ARM
2032,13153766.82,ARM
2033,17790240.28,ARM
2034,24060989.79,ARM
2035,32542069.18,ARM
2036,44012581.18,ARM
2037,59526248.66,ARM
2038,80508213.44,ARM
2039,108885955,ARM
2040,147266355.6,ARM
2041,199175178.3,ARM
2042,269380956,ARM
2043,364333046.2,ARM
2044,492754092.6,ARM
2045,666441318.8,ARM
2046,901350264,ARM
2047,1219060517,ARM
2048,1648758094,ARM
2049,2229916575,ARM
2050,3015923288,ARM
2021,39407.69,ASM
2022,42420.08786,ASM
2023,45662.75907,ASM
2024,49153.30616,ASM
2025,52910.67723,ASM
2026,56955.2688,ASM
2027,61309.03655,ASM
2028,65995.61448,ASM
2029,71040.44324,ASM
2030,76470.90818,ASM
2031,82316.48807,ASM
2032,88608.91507,ASM
2033,95382.347,ASM
2034,102673.5528,ASM
2035,110522.1121,ASM
2036,118970.63,ASM
2037,128064.9684,ASM
2038,137854.4952,ASM
2039,148392.3518,ASM
2040,159735.742,ASM
2041,171946.2422,ASM
2042,185090.136,ASM
2043,199238.7737,ASM
2044,214468.9598,ASM
2045,230863.3701,ASM
2046,248510.9998,ASM
2047,267507.6475,ASM
2048,287956.4346,ASM
2049,309968.3655,ASM
2050,333662.9297,ASM
2021,73596.06,ATG
2022,77146.12178,ATG
2023,80867.4283,ATG
2024,84768.23993,ATG
2025,88857.21546,ATG
2026,93143.43139,ATG
2027,97636.40201,ATG
2028,102346.1006,ATG
2029,107282.9814,ATG
2030,112458.0032,ATG
2031,117882.6531,ATG
2032,123568.9725,ATG
2033,129529.5835,ATG
2034,135777.7172,ATG
2035,142327.2429,ATG
2036,149192.6988,ATG
2037,156389.3245,ATG
2038,163933.0947,ATG
2039,171840.7546,ATG
2040,180129.8572,ATG
2041,188818.8023,ATG
2042,197926.877,ATG
2043,207474.299,ATG
2044,217482.2611,ATG
2045,227972.9784,ATG
2046,238969.7377,ATG
2047,250496.949,ATG
2048,262580.1997,ATG
2049,275246.3116,ATG
2050,288523.4002,ATG
2021,66415490,AUS
2022,70573942.54,AUS
2023,74992766.98,AUS
2024,79688265.91,AUS
2025,84677762.67,AUS
2026,89979665.24,AUS
2027,95613534.2,AUS
2028,101600154.9,AUS
2029,107961613.9,AUS
2030,114721381.1,AUS
2031,121904395.4,AUS
2032,129537157.7,AUS
2033,137647827.7,AUS
2034,146266328.5,AUS
2035,155424456.9,AUS
2036,165156000.4,AUS
2037,175496862,AUS
2038,186485192.7,AUS
2039,198161532.5,AUS
2040,210568959.2,AUS
2041,223753248.4,AUS
2042,237763041.3,AUS
2043,252650025.1,AUS
2044,268469123,AUS
2045,285278697.2,AUS
2046,303140764,AUS
2047,322121223,AUS
2048,342290099.5,AUS
2049,363721803.7,AUS
2050,386495404.5,AUS
2021,32064990,AUT
2022,32536241.21,AUT
2023,33014418.28,AUT
2024,33499623,AUT
2025,33991958.66,AUT
2026,34491530.05,AUT
2027,34998443.51,AUT
2028,35512806.96,AUT
2029,36034729.88,AUT
2030,36564323.37,AUT
2031,37101700.17,AUT
2032,37646974.66,AUT
2033,38200262.91,AUT
2034,38761682.71,AUT
2035,39331353.55,AUT
2036,39909396.7,AUT
2037,40495935.21,AUT
2038,41091093.93,AUT
2039,41694999.55,AUT
2040,42307780.63,AUT
2041,42929567.59,AUT
2042,43560492.8,AUT
2043,44200690.57,AUT
2044,44850297.16,AUT
2045,45509450.86,AUT
2046,46178291.97,AUT
2047,46856962.88,AUT
2048,47545608.05,AUT
2049,48244374.07,AUT
2050,48953409.67,AUT
2021,2027936,AZE
2022,1710648.558,AZE
2023,1443003.373,AZE
2024,1217233.502,AZE
2025,1026787.203,AZE
2026,866137.8111,AZE
2027,730623.3517,AZE
2028,616311.2557,AZE
2029,519884.2373,AZE
2030,438544.0273,AZE
2031,369930.1693,AZE
2032,312051.5196,AZE
2033,263228.4658,AZE
2034,222044.1845,AZE
2035,187303.5263,AZE
2036,157998.3328,AZE
2037,133278.1805,AZE
2038,112425.7014,AZE
2039,94835.76598,AZE
2040,79997.92216,AZE
2041,67481.58234,AZE
2042,56923.52791,AZE
2043,48017.36885,AZE
2044,40504.6524,AZE
2045,34167.36287,AZE
2046,28821.59497,AZE
2047,24312.21689,AZE
2048,20508.36848,AZE
2049,17299.66378,AZE
2050,14592.98759,AZE
2021,2578960,BDI
2022,2721609.613,BDI
2023,2872149.581,BDI
2024,3031016.343,BDI
2025,3198670.478,BDI
2026,3375598.04,BDI
2027,3562311.969,BDI
2028,3759353.575,BDI
