Year,iso_code3,nemomod_entc_residual_capacity_pp_hydropower_gw
2010,AFG,0.489
2011,AFG,0.4309999999999999
2012,AFG,0.4309999999999999
2013,AFG,0.4309999999999999
2014,AFG,0.4019861999326825
2015,AFG,0.4535316934720909
2016,AFG,0.4535316934720909
2017,AFG,0.4788530264939084
2018,AFG,0.4788530264939084
2019,AFG,0.4899247727712241
2020,AFG,0.495460645909882
2010,AGO,1.1432342922805432
2011,AGO,1.215971190544589
2012,AGO,1.1948730340925109
2013,AGO,1.1956489256730904
2014,AGO,1.673504954626056
2015,AGO,2.373228014999395
2016,AGO,2.690155558243619
2017,AGO,4.121922341841055
2018,AGO,4.670020563686948
2019,AGO,5.853380385963181
2020,AGO,6.290116608887488
2010,ALB,1.6129000000000002
2011,ALB,1.6134000000000002
2012,ALB,1.7668
2013,ALB,1.904
2014,ALB,1.849
2015,ALB,1.922
2016,ALB,1.925
2017,ALB,2.172
2018,ALB,2.229
2019,ALB,2.361227
2020,ALB,2.401
2010,ARE,0.0
2011,ARE,0.0
2012,ARE,0.0
2013,ARE,0.0
2014,ARE,0.0
2015,ARE,0.0
2016,ARE,0.0
2017,ARE,0.0
2018,ARE,0.0
2019,ARE,0.0
2020,ARE,0.0
2010,ARG,11.5060890015296
2011,ARG,11.78919334661743
2012,ARG,12.122197911068998
2013,ARG,14.402408203236275
2014,ARG,13.176476089473594
2015,ARG,14.60783976530719
2016,ARG,14.629329043867251
2017,ARG,15.892820530263403
2018,ARG,17.12319128831566
2019,ARG,17.599766367633055
2020,ARG,19.084162577822624
2010,ARM,1.1595994475138125
2011,ARM,1.1692627762430938
2012,ARM,1.3511999309392264
2013,ARM,1.3645286602209945
2014,ARM,1.3631957872928178
2015,ARM,1.1789261049723756
2016,ARM,1.1875897790055248
2017,ARM,1.1934544198895027
2018,ARM,1.196719958563536
2019,ARM,1.2066481957872928
2020,ARM,1.228548964088398
2010,AUS,9.910017392587983
2011,AUS,10.015107334833385
2012,AUS,9.861551843773276
2013,AUS,10.22226106126532
2014,AUS,9.993213661711298
2015,AUS,10.749036030581529
2016,AUS,10.448523760208229
2017,AUS,10.151833949356558
2018,AUS,10.49297795787451
2019,AUS,11.246082168958043
2020,AUS,12.228777704035366
2010,AUT,17.1496802879883
2011,AUT,18.377700352558065
2012,AUT,18.79094692790053
2013,AUT,19.376220599690217
2014,AUT,19.66197809228902
2015,AUT,19.99286531695629
2016,AUT,20.37669083734892
2017,AUT,20.13669888038764
2018,AUT,20.71607340274871
2019,AUT,20.92939958671429
2020,AUT,21.27856724400745
2010,AZE,1.2489078868151713
2011,AZE,1.2399257475416416
2012,AZE,1.2690922953451045
2013,AZE,1.2425597154753645
2014,AZE,1.2425090215128385
2015,AZE,1.3191751908396947
2016,AZE,1.3366984038861902
2017,AZE,1.341953678001388
2018,AZE,1.322933303261624
2019,AZE,1.2913104094378904
2020,AZE,1.2884039555863986
2010,BDI,0.0396
2011,BDI,0.0378
2012,BDI,0.0386
2013,BDI,0.0436
2014,BDI,0.0458
2015,BDI,0.0648499999999999
