COUNTRY,SECTOR,PRODUCT,UNIT,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,Residential,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16200.00,16200.00,16200.00,16200.00,11400.00,11400.00,11400.00
Albania,Residential,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,160.57,149.75,153.31,153.58,90.50,91.83,95.72
Albania,Residential,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,369.36,371.05,367.26,377.71,259.50,256.93,..
Albania,Residential,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,150.66,147.66,144.85,142.53,98.42,97.17,95.27
Albania,Residential,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,354.61,347.56,340.94,335.48,231.65,228.72,224.25
Albania,Industry,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,Industry,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,Industry,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,Industry,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,Industry,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Residential,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,432.80,491.00,491.00,703.00,790.70,1495.00,2033.00,2615.00,2950.00,2953.00,3170.00,3250.00,3281.00,3429.00,3587.00,3536.00,3787.00,3843.00,3864.00,3938.00,3942.00,3958.00,3980.00,3987.00,3997.00,4000.00,4503.00,..
Algeria,Residential,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.30,26.58,22.48,30.11,22.55,31.37,37.13,45.31,50.22,44.36,42.12,42.09,41.18,44.31,49.78,48.25,52.13,55.46,59.83,54.21,52.99,54.26,51.33,50.23,49.60,39.73,41.15,..
Algeria,Residential,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,133.58,101.87,85.39,110.19,97.98,147.15,164.22,200.84,236.38,216.81,194.00,204.40,206.87,203.50,194.95,170.82,170.51,166.94,148.33,171.52,149.72,129.77,123.64,125.93,128.64,139.57,157.72,..
Algeria,Residential,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.49,33.78,25.66,30.47,26.57,38.70,44.34,53.95,57.98,56.55,60.50,59.51,59.24,59.38,59.74,58.09,60.81,59.52,57.07,55.01,52.99,50.91,47.01,45.61,44.42,42.43,44.89,..
Algeria,Residential,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105.91,95.43,72.50,86.10,75.06,109.34,125.28,152.42,163.82,159.76,170.92,168.14,167.38,167.76,168.79,164.14,171.80,168.17,161.23,155.42,149.72,143.82,132.80,128.85,125.51,119.87,126.83,..
