,Nation,iso_code3,Year,fuelefficiency_trns_public_hydrogen_km_per_litre
0,Aruba,ABW,2023,0.5602
1,Aruba,ABW,2024,0.5602
2,Aruba,ABW,2025,0.5602
3,Aruba,ABW,2026,0.5602
4,Aruba,ABW,2027,0.5602
5,Aruba,ABW,2028,0.5602
6,Aruba,ABW,2029,0.5602
7,Aruba,ABW,2030,0.5602
8,Aruba,ABW,2031,0.5602
9,Aruba,ABW,2032,0.5602
10,Aruba,ABW,2033,0.5602
11,Aruba,ABW,2034,0.5602
12,Aruba,ABW,2035,0.5602
13,Aruba,ABW,2036,0.5602
14,Aruba,ABW,2037,0.5602
15,Aruba,ABW,2038,0.5602
16,Aruba,ABW,2039,0.5602
17,Aruba,ABW,2040,0.5602
18,Aruba,ABW,2041,0.5602
19,Aruba,ABW,2042,0.5602
20,Aruba,ABW,2043,0.5602
21,Aruba,ABW,2044,0.5602
22,Aruba,ABW,2045,0.5602
23,Aruba,ABW,2046,0.5602
24,Aruba,ABW,2047,0.5602
25,Aruba,ABW,2048,0.5602
26,Aruba,ABW,2049,0.5602
27,Aruba,ABW,2050,0.5602
28,Africa Eastern and Southern,AFE,2023,0.5602
29,Africa Eastern and Southern,AFE,2024,0.5602
30,Africa Eastern and Southern,AFE,2025,0.5602
31,Africa Eastern and Southern,AFE,2026,0.5602
32,Africa Eastern and Southern,AFE,2027,0.5602
33,Africa Eastern and Southern,AFE,2028,0.5602
34,Africa Eastern and Southern,AFE,2029,0.5602
35,Africa Eastern and Southern,AFE,2030,0.5602
36,Africa Eastern and Southern,AFE,2031,0.5602
37,Africa Eastern and Southern,AFE,2032,0.5602
38,Africa Eastern and Southern,AFE,2033,0.5602
39,Africa Eastern and Southern,AFE,2034,0.5602
40,Africa Eastern and Southern,AFE,2035,0.5602
41,Africa Eastern and Southern,AFE,2036,0.5602
42,Africa Eastern and Southern,AFE,2037,0.5602
43,Africa Eastern and Southern,AFE,2038,0.5602
44,Africa Eastern and Southern,AFE,2039,0.5602
45,Africa Eastern and Southern,AFE,2040,0.5602
46,Africa Eastern and Southern,AFE,2041,0.5602
