Year,iso_code3,pij_lndu_forests_primary_to_forests_primary
2019,AFG,0.5090171614269269
2020,AFG,0.5070515604536942
2021,AFG,0.5070515604536942
2022,AFG,0.5070515604536942
2023,AFG,0.5070515604536942
2024,AFG,0.5070515604536942
2025,AFG,0.5070515604536942
2026,AFG,0.5070515604536942
2027,AFG,0.5070515604536942
2028,AFG,0.5070515604536942
2029,AFG,0.5070515604536942
2030,AFG,0.5070515604536942
2031,AFG,0.5070515604536942
2032,AFG,0.5070515604536942
2033,AFG,0.5070515604536942
2034,AFG,0.5070515604536942
2035,AFG,0.5070515604536942
2036,AFG,0.5070515604536942
2037,AFG,0.5070515604536942
2038,AFG,0.5070515604536942
2039,AFG,0.5070515604536942
2040,AFG,0.5070515604536942
2041,AFG,0.5070515604536942
2042,AFG,0.5070515604536942
2043,AFG,0.5070515604536942
2044,AFG,0.5070515604536942
2045,AFG,0.5070515604536942
2046,AFG,0.5070515604536942
2047,AFG,0.5070515604536942
2048,AFG,0.5070515604536942
2049,AFG,0.5070515604536942
2050,AFG,0.5070515604536942
2019,AGO,0.9915904903400417
2020,AGO,0.991357786698286
2021,AGO,0.991357786698286
2022,AGO,0.991357786698286
2023,AGO,0.991357786698286
2024,AGO,0.991357786698286
2025,AGO,0.991357786698286
2026,AGO,0.991357786698286
2027,AGO,0.991357786698286
2028,AGO,0.991357786698286
2029,AGO,0.991357786698286
2030,AGO,0.991357786698286
2031,AGO,0.991357786698286
2032,AGO,0.991357786698286
2033,AGO,0.991357786698286
2034,AGO,0.991357786698286
2035,AGO,0.991357786698286
2036,AGO,0.991357786698286
2037,AGO,0.991357786698286
2038,AGO,0.991357786698286
2039,AGO,0.991357786698286
2040,AGO,0.991357786698286
2041,AGO,0.991357786698286
2042,AGO,0.991357786698286
2043,AGO,0.991357786698286
2044,AGO,0.991357786698286
2045,AGO,0.991357786698286
2046,AGO,0.991357786698286
2047,AGO,0.991357786698286
2048,AGO,0.991357786698286
2049,AGO,0.991357786698286
2050,AGO,0.991357786698286
2019,ALB,0.9992302858532004
2020,ALB,0.9987564266147364
2021,ALB,0.9987564266147364
2022,ALB,0.9987564266147364
2023,ALB,0.9987564266147364
2024,ALB,0.9987564266147364
2025,ALB,0.9987564266147364
2026,ALB,0.9987564266147364
2027,ALB,0.9987564266147364
2028,ALB,0.9987564266147364
2029,ALB,0.9987564266147364
2030,ALB,0.9987564266147364
2031,ALB,0.9987564266147364
2032,ALB,0.9987564266147364
2033,ALB,0.9987564266147364
2034,ALB,0.9987564266147364
2035,ALB,0.9987564266147364
2036,ALB,0.9987564266147364
2037,ALB,0.9987564266147364
2038,ALB,0.9987564266147364
2039,ALB,0.9987564266147364
2040,ALB,0.9987564266147364
2041,ALB,0.9987564266147364
2042,ALB,0.9987564266147364
2043,ALB,0.9987564266147364
2044,ALB,0.9987564266147364
2045,ALB,0.9987564266147364
