,Nation,iso_code3,Year,frac_scoe_heat_energy_residential_natural_gas
9,Afghanistan,AFG,2020,0.22143398925043845
10,Afghanistan,AFG,2021,0.22143398925043845
11,Afghanistan,AFG,2022,0.22143398925043845
12,Afghanistan,AFG,2023,0.22143398925043845
13,Afghanistan,AFG,2024,0.22143398925043845
14,Afghanistan,AFG,2025,0.22143398925043845
15,Afghanistan,AFG,2026,0.22143398925043845
16,Afghanistan,AFG,2027,0.22143398925043845
17,Afghanistan,AFG,2028,0.22143398925043845
18,Afghanistan,AFG,2029,0.22143398925043845
19,Afghanistan,AFG,2030,0.22143398925043845
20,Afghanistan,AFG,2031,0.22143398925043845
21,Afghanistan,AFG,2032,0.22143398925043845
22,Afghanistan,AFG,2033,0.22143398925043845
23,Afghanistan,AFG,2034,0.22143398925043845
24,Afghanistan,AFG,2035,0.22143398925043845
25,Afghanistan,AFG,2036,0.22143398925043845
26,Afghanistan,AFG,2037,0.22143398925043845
27,Afghanistan,AFG,2038,0.22143398925043845
28,Afghanistan,AFG,2039,0.22143398925043845
29,Afghanistan,AFG,2040,0.22143398925043845
30,Afghanistan,AFG,2041,0.22143398925043845
31,Afghanistan,AFG,2042,0.22143398925043845
32,Afghanistan,AFG,2043,0.22143398925043845
33,Afghanistan,AFG,2044,0.22143398925043845
34,Afghanistan,AFG,2045,0.22143398925043845
35,Afghanistan,AFG,2046,0.22143398925043845
36,Afghanistan,AFG,2047,0.22143398925043845
37,Afghanistan,AFG,2048,0.22143398925043845
38,Afghanistan,AFG,2049,0.22143398925043845
39,Afghanistan,AFG,2050,0.22143398925043845
49,Albania,ALB,2020,0.0
50,Albania,ALB,2021,0.0
51,Albania,ALB,2022,0.0
52,Albania,ALB,2023,0.0
53,Albania,ALB,2024,0.0
54,Albania,ALB,2025,0.0
55,Albania,ALB,2026,0.0
56,Albania,ALB,2027,0.0
57,Albania,ALB,2028,0.0
58,Albania,ALB,2029,0.0
59,Albania,ALB,2030,0.0
60,Albania,ALB,2031,0.0
61,Albania,ALB,2032,0.0
62,Albania,ALB,2033,0.0
63,Albania,ALB,2034,0.0
64,Albania,ALB,2035,0.0
65,Albania,ALB,2036,0.0
66,Albania,ALB,2037,0.0
67,Albania,ALB,2038,0.0
68,Albania,ALB,2039,0.0
69,Albania,ALB,2040,0.0
70,Albania,ALB,2041,0.0
71,Albania,ALB,2042,0.0
72,Albania,ALB,2043,0.0
73,Albania,ALB,2044,0.0
74,Albania,ALB,2045,0.0
75,Albania,ALB,2046,0.0
76,Albania,ALB,2047,0.0
77,Albania,ALB,2048,0.0
78,Albania,ALB,2049,0.0
79,Albania,ALB,2050,0.0
89,Algeria,DZA,2020,0.22143398925043845
90,Algeria,DZA,2021,0.22143398925043845
91,Algeria,DZA,2022,0.22143398925043845
92,Algeria,DZA,2023,0.22143398925043845
93,Algeria,DZA,2024,0.22143398925043845
94,Algeria,DZA,2025,0.22143398925043845
95,Algeria,DZA,2026,0.22143398925043845
96,Algeria,DZA,2027,0.22143398925043845
97,Algeria,DZA,2028,0.22143398925043845
98,Algeria,DZA,2029,0.22143398925043845
99,Algeria,DZA,2030,0.22143398925043845
100,Algeria,DZA,2031,0.22143398925043845
101,Algeria,DZA,2032,0.22143398925043845
102,Algeria,DZA,2033,0.22143398925043845
103,Algeria,DZA,2034,0.22143398925043845
104,Algeria,DZA,2035,0.22143398925043845
