Year,Nation,iso_code3,population_gnrl_urban
2021,Aruba,ABW,55440.12493048
2022,Aruba,ABW,56148.25855386
2023,Aruba,ABW,56856.39217724
2024,Aruba,ABW,57564.52580062
2025,Aruba,ABW,58272.659424
2026,Aruba,ABW,58932.834305832
2027,Aruba,ABW,59593.00918766401
2028,Aruba,ABW,60253.184069496
2029,Aruba,ABW,60913.358951327995
2030,Aruba,ABW,61573.53383316
2031,Aruba,ABW,62175.653079516
2032,Aruba,ABW,62777.772325872
2033,Aruba,ABW,63379.891572228
2034,Aruba,ABW,63982.01081858401
2035,Aruba,ABW,64584.13006494
2036,Aruba,ABW,65146.160761326
2037,Aruba,ABW,65708.191457712
2038,Aruba,ABW,66270.222154098
2039,Aruba,ABW,66832.252850484
2040,Aruba,ABW,67394.28354687
2041,Aruba,ABW,67908.923790912
2042,Aruba,ABW,68423.564034954
2043,Aruba,ABW,68938.204278996
2044,Aruba,ABW,69452.844523038
2045,Aruba,ABW,69967.48476708
2046,Aruba,ABW,70439.259620364
2047,Aruba,ABW,70911.034473648
2048,Aruba,ABW,71382.80932693201
2049,Aruba,ABW,71854.584180216
2050,Aruba,ABW,72326.3590335
2021,Afghanistan,AFG,10953783.125805499
2022,Afghanistan,AFG,11340452.8579742
2023,Afghanistan,AFG,11727122.590142999
2024,Afghanistan,AFG,12113792.3223117
2025,Afghanistan,AFG,12500462.0544804
2026,Afghanistan,AFG,12935498.261256501
2027,Afghanistan,AFG,13370534.468032598
2028,Afghanistan,AFG,13805570.674808599
2029,Afghanistan,AFG,14240606.881584698
2030,Afghanistan,AFG,14675643.0883608
2031,Afghanistan,AFG,15149885.8673471
2032,Afghanistan,AFG,15624128.646333499
2033,Afghanistan,AFG,16098371.4253198
2034,Afghanistan,AFG,16572614.204306198
2035,Afghanistan,AFG,17046856.983292498
2036,Afghanistan,AFG,17549826.5979837
2037,Afghanistan,AFG,18052796.2126749
2038,Afghanistan,AFG,18555765.827366002
2039,Afghanistan,AFG,19058735.4420572
2040,Afghanistan,AFG,19561705.056748398
2041,Afghanistan,AFG,20087196.7427459
2042,Afghanistan,AFG,20612688.428743303
2043,Afghanistan,AFG,21138180.114740804
2044,Afghanistan,AFG,21663671.8007382
2045,Afghanistan,AFG,22189163.486735698
2046,Afghanistan,AFG,22730660.153823398
2047,Afghanistan,AFG,23272156.8209112
2048,Afghanistan,AFG,23813653.4879989
2049,Afghanistan,AFG,24355150.1550867
2050,Afghanistan,AFG,24896646.8221744
2021,Angola,AGO,17508050.4126086
2022,Angola,AGO,18150033.164274696
2023,Angola,AGO,18792015.915940803
2024,Angola,AGO,19433998.667606898
2025,Angola,AGO,20075981.419273
2026,Angola,AGO,20759866.8226469
2027,Angola,AGO,21443752.2260207
2028,Angola,AGO,22127637.629394602
2029,Angola,AGO,22811523.0327684
2030,Angola,AGO,23495408.4361423
2031,Angola,AGO,24208852.604491502
2032,Angola,AGO,24922296.7728406
2033,Angola,AGO,25635740.9411898
2034,Angola,AGO,26349185.109538898
2035,Angola,AGO,27062629.2778881
2036,Angola,AGO,27808900.7965891
2037,Angola,AGO,28555172.3152901
2038,Angola,AGO,29301443.8339912
2039,Angola,AGO,30047715.352692198
2040,Angola,AGO,30793986.8713932
2041,Angola,AGO,31560310.3059857
2042,Angola,AGO,32326633.7405781
2043,Angola,AGO,33092957.1751706
2044,Angola,AGO,33859280.609763004
2045,Angola,AGO,34625604.0443555
2046,Angola,AGO,35406952.7547219
2047,Angola,AGO,36188301.4650882
2048,Angola,AGO,36969650.1754546
2049,Angola,AGO,37750998.885821
2050,Angola,AGO,38532347.5961874
2021,Albania,ALB,2066216.97672292
2022,Albania,ALB,2100910.60787144
2023,Albania,ALB,2135604.23901995
2024,Albania,ALB,2170297.87016847
2025,Albania,ALB,2204991.50131699
2026,Albania,ALB,2238178.66399858
2027,Albania,ALB,2271365.82668016
2028,Albania,ALB,2304552.98936175
2029,Albania,ALB,2337740.15204333
2030,Albania,ALB,2370927.31472492
2031,Albania,ALB,2402039.70869831
2032,Albania,ALB,2433152.10267169
2033,Albania,ALB,2464264.49664508
2034,Albania,ALB,2495376.89061846
2035,Albania,ALB,2526489.28459185
2036,Albania,ALB,2555286.44875674
2037,Albania,ALB,2584083.61292164
2038,Albania,ALB,2612880.77708653
2039,Albania,ALB,2641677.94125143
2040,Albania,ALB,2670475.10541632
2041,Albania,ALB,2696872.44027668
2042,Albania,ALB,2723269.77513705
2043,Albania,ALB,2749667.10999741
2044,Albania,ALB,2776064.44485778
2045,Albania,ALB,2802461.77971814
2046,Albania,ALB,2826421.53878761
2047,Albania,ALB,2850381.29785708
2048,Albania,ALB,2874341.05692654
2049,Albania,ALB,2898300.81599601
2050,Albania,ALB,2922260.57506548
2021,United Arab Emirates,ARE,9856978.81637356
2022,United Arab Emirates,ARE,10101358.7971983
2023,United Arab Emirates,ARE,10345738.7780231
2024,United Arab Emirates,ARE,10590118.758847801
2025,United Arab Emirates,ARE,10834498.7396726
2026,United Arab Emirates,ARE,11070104.2099121
2027,United Arab Emirates,ARE,11305709.680151599
2028,United Arab Emirates,ARE,11541315.150391001
2029,United Arab Emirates,ARE,11776920.620630499
2030,United Arab Emirates,ARE,12012526.09087
2031,United Arab Emirates,ARE,12241094.5175904
2032,United Arab Emirates,ARE,12469662.944310699
2033,United Arab Emirates,ARE,12698231.371031098
2034,United Arab Emirates,ARE,12926799.7977514
2035,United Arab Emirates,ARE,13155368.2244718
2036,United Arab Emirates,ARE,13374554.1359294
2037,United Arab Emirates,ARE,13593740.0473871
2038,United Arab Emirates,ARE,13812925.958844699
2039,United Arab Emirates,ARE,14032111.870302401
2040,United Arab Emirates,ARE,14251297.78176
2041,United Arab Emirates,ARE,14454274.630592199
2042,United Arab Emirates,ARE,14657251.479424302
2043,United Arab Emirates,ARE,14860228.3282565
2044,United Arab Emirates,ARE,15063205.177088598
2045,United Arab Emirates,ARE,15266182.0259208
2046,United Arab Emirates,ARE,15449693.625504998
2047,United Arab Emirates,ARE,15633205.2250891
2048,United Arab Emirates,ARE,15816716.8246733
2049,United Arab Emirates,ARE,16000228.424257401
2050,United Arab Emirates,ARE,16183740.023841599
2021,Argentina,ARG,40440278.127549
2022,Argentina,ARG,40748221.687026
2023,Argentina,ARG,41056165.2465029
2024,Argentina,ARG,41364108.8059799
2025,Argentina,ARG,41672052.365456894
2026,Argentina,ARG,41954843.7471435
2027,Argentina,ARG,42237635.128830105
2028,Argentina,ARG,42520426.5105168
2029,Argentina,ARG,42803217.8922034
2030,Argentina,ARG,43086009.27389
2031,Argentina,ARG,43343037.85589729
2032,Argentina,ARG,43600066.4379045
2033,Argentina,ARG,43857095.019911796
2034,Argentina,ARG,44114123.601919
2035,Argentina,ARG,44371152.18392629
2036,Argentina,ARG,44604239.5022197
2037,Argentina,ARG,44837326.820513
2038,Argentina,ARG,45070414.138806395
2039,Argentina,ARG,45303501.4570997
2040,Argentina,ARG,45536588.775393106
2041,Argentina,ARG,45731988.2147259
2042,Argentina,ARG,45927387.6540587
2043,Argentina,ARG,46122787.0933915
2044,Argentina,ARG,46318186.5327243
2045,Argentina,ARG,46513585.9720572
2046,Argentina,ARG,46674269.5907565
2047,Argentina,ARG,46834953.20945589
2048,Argentina,ARG,46995636.8281553
2049,Argentina,ARG,47156320.4468546
2050,Argentina,ARG,47317004.065554
2021,Armenia,ARM,1916608.64550104
2022,Armenia,ARM,1909841.98528735
2023,Armenia,ARM,1903075.32507365
2024,Armenia,ARM,1896308.66485995
2025,Armenia,ARM,1889542.00464625
2026,Armenia,ARM,1882188.00925454
2027,Armenia,ARM,1874834.01386282
2028,Armenia,ARM,1867480.01847111
2029,Armenia,ARM,1860126.02307939
2030,Armenia,ARM,1852772.02768768
2031,Armenia,ARM,1844697.37936157
2032,Armenia,ARM,1836622.73103546
2033,Armenia,ARM,1828548.08270934
2034,Armenia,ARM,1820473.43438323
2035,Armenia,ARM,1812398.78605712
2036,Armenia,ARM,1802957.42113208
2037,Armenia,ARM,1793516.05620703
2038,Armenia,ARM,1784074.69128199
2039,Armenia,ARM,1774633.32635694
2040,Armenia,ARM,1765191.9614319
2041,Armenia,ARM,1754194.88811897
2042,Armenia,ARM,1743197.81480604
2043,Armenia,ARM,1732200.74149312
2044,Armenia,ARM,1721203.66818019
2045,Armenia,ARM,1710206.59486726
2046,Armenia,ARM,1698001.05901731
2047,Armenia,ARM,1685795.52316736
2048,Armenia,ARM,1673589.98731742
2049,Armenia,ARM,1661384.45146747
2050,Armenia,ARM,1649178.91561752
2021,Australia,AUS,22757448.400317397
2022,Australia,AUS,23103190.640881
2023,Australia,AUS,23448932.8814447
2024,Australia,AUS,23794675.1220083
2025,Australia,AUS,24140417.362572
2026,Australia,AUS,24474044.8204468
2027,Australia,AUS,24807672.2783216
2028,Australia,AUS,25141299.7361965
2029,Australia,AUS,25474927.1940713
2030,Australia,AUS,25808554.6519461
2031,Australia,AUS,26132364.9203287
2032,Australia,AUS,26456175.1887113
2033,Australia,AUS,26779985.457094
2034,Australia,AUS,27103795.725476604
2035,Australia,AUS,27427605.993859198
2036,Australia,AUS,27749023.428024102
2037,Australia,AUS,28070440.862188898
2038,Australia,AUS,28391858.296353802
2039,Australia,AUS,28713275.7305186
2040,Australia,AUS,29034693.164683502
2041,Australia,AUS,29355553.7920284
2042,Australia,AUS,29676414.419373304
2043,Australia,AUS,29997275.046718203
2044,Australia,AUS,30318135.674063105
2045,Australia,AUS,30638996.301408
2046,Australia,AUS,30955829.170567602
2047,Australia,AUS,31272662.039727196
2048,Australia,AUS,31589494.908886895
2049,Australia,AUS,31906327.778046504
2050,Australia,AUS,32223160.647206105
2021,Austria,AUT,5141244.94643006
2022,Austria,AUT,5173684.26983057
2023,Austria,AUT,5206123.59323107
2024,Austria,AUT,5238562.91663158
2025,Austria,AUT,5271002.24003208
2026,Austria,AUT,5301557.06066702
2027,Austria,AUT,5332111.88130195
2028,Austria,AUT,5362666.70193689
2029,Austria,AUT,5393221.52257182
2030,Austria,AUT,5423776.34320676
2031,Austria,AUT,5451744.28632016
2032,Austria,AUT,5479712.22943356
2033,Austria,AUT,5507680.17254696
2034,Austria,AUT,5535648.11566036
2035,Austria,AUT,5563616.05877376
2036,Austria,AUT,5589732.31668977
2037,Austria,AUT,5615848.57460578
2038,Austria,AUT,5641964.83252178
2039,Austria,AUT,5668081.09043779
2040,Austria,AUT,5694197.348353799
2041,Austria,AUT,5719151.31712267
2042,Austria,AUT,5744105.28589154
2043,Austria,AUT,5769059.25466041
2044,Austria,AUT,5794013.22342929
2045,Austria,AUT,5818967.19219816
2046,Austria,AUT,5841688.80956805
2047,Austria,AUT,5864410.42693793
2048,Austria,AUT,5887132.04430782
2049,Austria,AUT,5909853.66167771
2050,Austria,AUT,5932575.2790476
2021,Azerbaijan,AZE,5779982.44345378
2022,Azerbaijan,AZE,5845556.36753636
2023,Azerbaijan,AZE,5911130.29161894
2024,Azerbaijan,AZE,5976704.21570152
2025,Azerbaijan,AZE,6042278.1397840995
2026,Azerbaijan,AZE,6099292.699674
2027,Azerbaijan,AZE,6156307.2595639005
2028,Azerbaijan,AZE,6213321.819453799
2029,Azerbaijan,AZE,6270336.379343701
2030,Azerbaijan,AZE,6327350.9392336
2031,Azerbaijan,AZE,6381258.01333031
2032,Azerbaijan,AZE,6435165.08742702
2033,Azerbaijan,AZE,6489072.16152373
2034,Azerbaijan,AZE,6542979.23562044
2035,Azerbaijan,AZE,6596886.30971715
2036,Azerbaijan,AZE,6647594.87661372
2037,Azerbaijan,AZE,6698303.44351029
2038,Azerbaijan,AZE,6749012.01040686
2039,Azerbaijan,AZE,6799720.57730343
2040,Azerbaijan,AZE,6850429.1442
2041,Azerbaijan,AZE,6893481.47943307
2042,Azerbaijan,AZE,6936533.81466614
2043,Azerbaijan,AZE,6979586.14989921
2044,Azerbaijan,AZE,7022638.48513228
2045,Azerbaijan,AZE,7065690.82036535
2046,Azerbaijan,AZE,7099534.23210268
2047,Azerbaijan,AZE,7133377.64384001
2048,Azerbaijan,AZE,7167221.05557734
2049,Azerbaijan,AZE,7201064.46731467
2050,Azerbaijan,AZE,7234907.879052
2021,Burundi,BDI,1562313.4916171
2022,Burundi,BDI,1631544.2483302
2023,Burundi,BDI,1700775.0050433
2024,Burundi,BDI,1770005.7617563999
2025,Burundi,BDI,1839236.5184695
2026,Burundi,BDI,1912407.64545002
2027,Burundi,BDI,1985578.77243054
2028,Burundi,BDI,2058749.89941106
2029,Burundi,BDI,2131921.02639158
2030,Burundi,BDI,2205092.1533721
2031,Burundi,BDI,2283058.85916073
2032,Burundi,BDI,2361025.56494936
2033,Burundi,BDI,2438992.27073799
2034,Burundi,BDI,2516958.97652662
2035,Burundi,BDI,2594925.68231525
2036,Burundi,BDI,2678013.95322712
2037,Burundi,BDI,2761102.22413899
2038,Burundi,BDI,2844190.49505086
2039,Burundi,BDI,2927278.76596273
2040,Burundi,BDI,3010367.0368746
2041,Burundi,BDI,3097268.49436236
2042,Burundi,BDI,3184169.95185012
2043,Burundi,BDI,3271071.40933788
2044,Burundi,BDI,3357972.86682564
2045,Burundi,BDI,3444874.3243134003
2046,Burundi,BDI,3533773.91432946
2047,Burundi,BDI,3622673.50434552
2048,Burundi,BDI,3711573.09436158
2049,Burundi,BDI,3800472.68437764
2050,Burundi,BDI,3889372.2743937005
2021,Belgium,BEL,11109426.7293851
2022,Belgium,BEL,11165132.070305802
2023,Belgium,BEL,11220837.411226599
2024,Belgium,BEL,11276542.7521473
2025,Belgium,BEL,11332248.093068
2026,Belgium,BEL,11385470.1390858
2027,Belgium,BEL,11438692.1851035
2028,Belgium,BEL,11491914.231121302
2029,Belgium,BEL,11545136.277139
2030,Belgium,BEL,11598358.3231568
2031,Belgium,BEL,11648704.0644797
2032,Belgium,BEL,11699049.8058026
2033,Belgium,BEL,11749395.5471255
2034,Belgium,BEL,11799741.2884484
2035,Belgium,BEL,11850087.029771302
2036,Belgium,BEL,11898084.010676
2037,Belgium,BEL,11946080.991580699
2038,Belgium,BEL,11994077.9724854
2039,Belgium,BEL,12042074.9533902
2040,Belgium,BEL,12090071.9342949
2041,Belgium,BEL,12134303.9853387
2042,Belgium,BEL,12178536.0363825
2043,Belgium,BEL,12222768.0874263
2044,Belgium,BEL,12267000.138470098
2045,Belgium,BEL,12311232.189514
2046,Belgium,BEL,12351375.9836024
2047,Belgium,BEL,12391519.7776908
2048,Belgium,BEL,12431663.571779199
2049,Belgium,BEL,12471807.3658676
2050,Belgium,BEL,12511951.159955999
2021,Benin,BEN,5777804.88099562
2022,Benin,BEN,5981193.80899124
2023,Benin,BEN,6184582.73698686
2024,Benin,BEN,6387971.66498248
2025,Benin,BEN,6591360.592978099
2026,Benin,BEN,6806173.18202488
2027,Benin,BEN,7020985.77107166
2028,Benin,BEN,7235798.36011844
2029,Benin,BEN,7450610.94916522
2030,Benin,BEN,7665423.538211999
2031,Benin,BEN,7890621.53054452
2032,Benin,BEN,8115819.52287704
2033,Benin,BEN,8341017.51520956
2034,Benin,BEN,8566215.50754208
2035,Benin,BEN,8791413.499874601
2036,Benin,BEN,9026272.62145742
2037,Benin,BEN,9261131.74304024
2038,Benin,BEN,9495990.86462306
2039,Benin,BEN,9730849.98620588
2040,Benin,BEN,9965709.107788699
2041,Benin,BEN,10207649.8420485
2042,Benin,BEN,10449590.576308198
2043,Benin,BEN,10691531.310568
2044,Benin,BEN,10933472.0448277
2045,Benin,BEN,11175412.7790875
2046,Benin,BEN,11419171.547906099
2047,Benin,BEN,11662930.3167248
2048,Benin,BEN,11906689.0855434
2049,Benin,BEN,12150447.8543621
2050,Benin,BEN,12394206.623180699
2021,Burkina Faso,BFA,6920145.425160001
2022,Burkina Faso,BFA,7239400.933330201
2023,Burkina Faso,BFA,7558656.4415004
2024,Burkina Faso,BFA,7877911.9496706
2025,Burkina Faso,BFA,8197167.4578408
2026,Burkina Faso,BFA,8558211.18381552
2027,Burkina Faso,BFA,8919254.90979024
2028,Burkina Faso,BFA,9280298.63576496
2029,Burkina Faso,BFA,9641342.36173968
2030,Burkina Faso,BFA,10002386.0877144
2031,Burkina Faso,BFA,10400541.6501957
2032,Burkina Faso,BFA,10798697.212677
2033,Burkina Faso,BFA,11196852.775158301
2034,Burkina Faso,BFA,11595008.3376396
2035,Burkina Faso,BFA,11993163.9001209
2036,Burkina Faso,BFA,12423896.2066202
2037,Burkina Faso,BFA,12854628.5131195
2038,Burkina Faso,BFA,13285360.819618901
2039,Burkina Faso,BFA,13716093.1261182
2040,Burkina Faso,BFA,14146825.432617499
2041,Burkina Faso,BFA,14602198.5905337
2042,Burkina Faso,BFA,15057571.7484499
2043,Burkina Faso,BFA,15512944.906366
2044,Burkina Faso,BFA,15968318.0642822
2045,Burkina Faso,BFA,16423691.2221984
2046,Burkina Faso,BFA,16901784.0516224
2047,Burkina Faso,BFA,17379876.881046303
2048,Burkina Faso,BFA,17857969.7104703
2049,Burkina Faso,BFA,18336062.539894197
2050,Burkina Faso,BFA,18814155.369318202
2021,Bangladesh,BGD,65421268.6000635
2022,Bangladesh,BGD,67382588.55193199
2023,Bangladesh,BGD,69343908.5038005
2024,Bangladesh,BGD,71305228.455669
2025,Bangladesh,BGD,73266548.4075375
2026,Bangladesh,BGD,75241700.3361336
2027,Bangladesh,BGD,77216852.2647297
2028,Bangladesh,BGD,79192004.19332579
2029,Bangladesh,BGD,81167156.12192191
2030,Bangladesh,BGD,83142308.050518
2031,Bangladesh,BGD,85097267.63117191
2032,Bangladesh,BGD,87052227.21182579
2033,Bangladesh,BGD,89007186.7924797
2034,Bangladesh,BGD,90962146.3731336
2035,Bangladesh,BGD,92917105.9537875
2036,Bangladesh,BGD,94826043.33979921
2037,Bangladesh,BGD,96734980.7258109
2038,Bangladesh,BGD,98643918.11182259
2039,Bangladesh,BGD,100552855.497834
2040,Bangladesh,BGD,102461792.883846
2041,Bangladesh,BGD,104283608.412601
2042,Bangladesh,BGD,106105423.941357
2043,Bangladesh,BGD,107927239.470112
2044,Bangladesh,BGD,109749054.998868
2045,Bangladesh,BGD,111570870.527623
2046,Bangladesh,BGD,113274570.323498
2047,Bangladesh,BGD,114978270.11937399
2048,Bangladesh,BGD,116681969.915249
2049,Bangladesh,BGD,118385669.711125
2050,Bangladesh,BGD,120089369.50700001
2021,Bulgaria,BGR,5347596.21403608
2022,Bulgaria,BGR,5345491.43351294
2023,Bulgaria,BGR,5343386.65298981
2024,Bulgaria,BGR,5341281.87246667
2025,Bulgaria,BGR,5339177.09194353
2026,Bulgaria,BGR,5339395.9764823
2027,Bulgaria,BGR,5339614.86102106
2028,Bulgaria,BGR,5339833.74555982
2029,Bulgaria,BGR,5340052.63009859
2030,Bulgaria,BGR,5340271.51463735
2031,Bulgaria,BGR,5342189.18165936
2032,Bulgaria,BGR,5344106.84868137
2033,Bulgaria,BGR,5346024.51570339
2034,Bulgaria,BGR,5347942.182725401
2035,Bulgaria,BGR,5349859.84974741
2036,Bulgaria,BGR,5353458.48636065
2037,Bulgaria,BGR,5357057.12297389
2038,Bulgaria,BGR,5360655.75958712
2039,Bulgaria,BGR,5364254.39620036
2040,Bulgaria,BGR,5367853.032813599
2041,Bulgaria,BGR,5372477.90869685
2042,Bulgaria,BGR,5377102.784580099
2043,Bulgaria,BGR,5381727.66046335
2044,Bulgaria,BGR,5386352.53634659
2045,Bulgaria,BGR,5390977.41222984
2046,Bulgaria,BGR,5395909.28674021
2047,Bulgaria,BGR,5400841.16125059
2048,Bulgaria,BGR,5405773.03576096
2049,Bulgaria,BGR,5410704.91027134
2050,Bulgaria,BGR,5415636.78478171
2021,Bahrain,BHR,1729607.7063715
2022,Bahrain,BHR,1774136.59413286
2023,Bahrain,BHR,1818665.48189422
2024,Bahrain,BHR,1863194.36965558
2025,Bahrain,BHR,1907723.25741694
2026,Bahrain,BHR,1951055.56158653
2027,Bahrain,BHR,1994387.86575613
2028,Bahrain,BHR,2037720.16992572
2029,Bahrain,BHR,2081052.47409532
2030,Bahrain,BHR,2124384.77826491
2031,Bahrain,BHR,2167320.73991157
2032,Bahrain,BHR,2210256.70155823
2033,Bahrain,BHR,2253192.66320489
2034,Bahrain,BHR,2296128.62485155
2035,Bahrain,BHR,2339064.58649821
2036,Bahrain,BHR,2382148.98648945
2037,Bahrain,BHR,2425233.38648069
2038,Bahrain,BHR,2468317.78647193
2039,Bahrain,BHR,2511402.18646316
2040,Bahrain,BHR,2554486.5864544
2041,Bahrain,BHR,2596499.76460256
2042,Bahrain,BHR,2638512.94275072
2043,Bahrain,BHR,2680526.12089887
2044,Bahrain,BHR,2722539.29904703
2045,Bahrain,BHR,2764552.47719519
2046,Bahrain,BHR,2803657.0799799
2047,Bahrain,BHR,2842761.6827646
2048,Bahrain,BHR,2881866.28554931
2049,Bahrain,BHR,2920970.88833401
2050,Bahrain,BHR,2960075.49111872
2021,"Bahamas, The",BHS,326122.385537668
2022,"Bahamas, The",BHS,329826.685233036
2023,"Bahamas, The",BHS,333530.984928404
2024,"Bahamas, The",BHS,337235.28462377196
2025,"Bahamas, The",BHS,340939.58431914
2026,"Bahamas, The",BHS,344401.8251606
2027,"Bahamas, The",BHS,347864.06600206
2028,"Bahamas, The",BHS,351326.30684352
2029,"Bahamas, The",BHS,354788.54768498
2030,"Bahamas, The",BHS,358250.78852644
2031,"Bahamas, The",BHS,361405.663268594
2032,"Bahamas, The",BHS,364560.538010748
2033,"Bahamas, The",BHS,367715.412752902
2034,"Bahamas, The",BHS,370870.287495056
2035,"Bahamas, The",BHS,374025.16223721
2036,"Bahamas, The",BHS,376834.71139119
2037,"Bahamas, The",BHS,379644.26054517
2038,"Bahamas, The",BHS,382453.80969915
2039,"Bahamas, The",BHS,385263.35885313
2040,"Bahamas, The",BHS,388072.90800711
2041,"Bahamas, The",BHS,390510.11023605795
2042,"Bahamas, The",BHS,392947.312465006
2043,"Bahamas, The",BHS,395384.51469395397
2044,"Bahamas, The",BHS,397821.71692290204
2045,"Bahamas, The",BHS,400258.91915185
2046,"Bahamas, The",BHS,402406.815773016
2047,"Bahamas, The",BHS,404554.71239418205
2048,"Bahamas, The",BHS,406702.60901534796
2049,"Bahamas, The",BHS,408850.505636514
2050,"Bahamas, The",BHS,410998.40225768
2021,Bosnia and Herzegovina,BIH,1831997.40869537
2022,Bosnia and Herzegovina,BIH,1841403.74903374
2023,Bosnia and Herzegovina,BIH,1850810.08937212
2024,Bosnia and Herzegovina,BIH,1860216.42971049
2025,Bosnia and Herzegovina,BIH,1869622.77004886
2026,Bosnia and Herzegovina,BIH,1877607.48568339
2027,Bosnia and Herzegovina,BIH,1885592.20131792
2028,Bosnia and Herzegovina,BIH,1893576.91695246
2029,Bosnia and Herzegovina,BIH,1901561.63258699
2030,Bosnia and Herzegovina,BIH,1909546.34822152
2031,Bosnia and Herzegovina,BIH,1915625.31875482
2032,Bosnia and Herzegovina,BIH,1921704.28928812
2033,Bosnia and Herzegovina,BIH,1927783.25982141
2034,Bosnia and Herzegovina,BIH,1933862.23035471
2035,Bosnia and Herzegovina,BIH,1939941.20088801
2036,Bosnia and Herzegovina,BIH,1943801.42070127
2037,Bosnia and Herzegovina,BIH,1947661.64051453
2038,Bosnia and Herzegovina,BIH,1951521.8603278
2039,Bosnia and Herzegovina,BIH,1955382.08014106
2040,Bosnia and Herzegovina,BIH,1959242.29995432
2041,Bosnia and Herzegovina,BIH,1961157.21209388
2042,Bosnia and Herzegovina,BIH,1963072.12423344
2043,Bosnia and Herzegovina,BIH,1964987.036373
2044,Bosnia and Herzegovina,BIH,1966901.94851256
2045,Bosnia and Herzegovina,BIH,1968816.86065212
2046,Bosnia and Herzegovina,BIH,1968968.04520802
2047,Bosnia and Herzegovina,BIH,1969119.22976392
2048,Bosnia and Herzegovina,BIH,1969270.41431982
2049,Bosnia and Herzegovina,BIH,1969421.59887571
2050,Bosnia and Herzegovina,BIH,1969572.78343161
2021,Belarus,BLR,7384028.45168873
2022,Belarus,BLR,7399596.34272452
2023,Belarus,BLR,7415164.2337603
2024,Belarus,BLR,7430732.12479609
2025,Belarus,BLR,7446300.01583188
2026,Belarus,BLR,7458490.96350127
2027,Belarus,BLR,7470681.91117067
2028,Belarus,BLR,7482872.85884006
2029,Belarus,BLR,7495063.80650946
2030,Belarus,BLR,7507254.75417885
2031,Belarus,BLR,7518037.93579944
2032,Belarus,BLR,7528821.11742003
2033,Belarus,BLR,7539604.29904062
2034,Belarus,BLR,7550387.48066121
2035,Belarus,BLR,7561170.662281799
2036,Belarus,BLR,7571766.45098196
2037,Belarus,BLR,7582362.23968212
2038,Belarus,BLR,7592958.02838229
2039,Belarus,BLR,7603553.81708245
2040,Belarus,BLR,7614149.60578261
2041,Belarus,BLR,7622936.64441626
2042,Belarus,BLR,7631723.68304992
2043,Belarus,BLR,7640510.72168357
2044,Belarus,BLR,7649297.76031723
2045,Belarus,BLR,7658084.79895088
2046,Belarus,BLR,7663345.32842856
2047,Belarus,BLR,7668605.85790624
2048,Belarus,BLR,7673866.38738391
2049,Belarus,BLR,7679126.91686159
2050,Belarus,BLR,7684387.44633927
2021,Belize,BLZ,170185.64068212
2022,Belize,BLZ,172471.87931449
2023,Belize,BLZ,174758.11794686
2024,Belize,BLZ,177044.35657923
2025,Belize,BLZ,179330.5952116
2026,Belize,BLZ,181365.18854837603
2027,Belize,BLZ,183399.78188515198
2028,Belize,BLZ,185434.375221928
2029,Belize,BLZ,187468.968558704
2030,Belize,BLZ,189503.56189548
2031,Belize,BLZ,191311.41030639398
2032,Belize,BLZ,193119.258717308
2033,Belize,BLZ,194927.10712822198
2034,Belize,BLZ,196734.95553913602
2035,Belize,BLZ,198542.80395005
2036,Belize,BLZ,200138.100028776
2037,Belize,BLZ,201733.396107502
2038,Belize,BLZ,203328.692186228
2039,Belize,BLZ,204923.98826495398
2040,Belize,BLZ,206519.28434368
2041,Belize,BLZ,207886.335571124
2042,Belize,BLZ,209253.386798568
2043,Belize,BLZ,210620.43802601198
2044,Belize,BLZ,211987.489253456
2045,Belize,BLZ,213354.5404809
2046,Belize,BLZ,214490.01085422398
2047,Belize,BLZ,215625.481227548
2048,Belize,BLZ,216760.95160087198
2049,Belize,BLZ,217896.421974196
2050,Belize,BLZ,219031.89234752
2021,Bolivia,BOL,8087804.55705845
2022,Bolivia,BOL,8223810.7739802
2023,Bolivia,BOL,8359816.99090195
2024,Bolivia,BOL,8495823.2078237
2025,Bolivia,BOL,8631829.42474545
2026,Bolivia,BOL,8763739.666481799
2027,Bolivia,BOL,8895649.90821815
2028,Bolivia,BOL,9027560.1499545
2029,Bolivia,BOL,9159470.39169085
2030,Bolivia,BOL,9291380.633427199
2031,Bolivia,BOL,9416383.06980638
2032,Bolivia,BOL,9541385.50618556
2033,Bolivia,BOL,9666387.94256474
2034,Bolivia,BOL,9791390.37894392
2035,Bolivia,BOL,9916392.8153231
2036,Bolivia,BOL,10034022.416361
2037,Bolivia,BOL,10151652.0173989
2038,Bolivia,BOL,10269281.6184367
2039,Bolivia,BOL,10386911.2194746
2040,Bolivia,BOL,10504540.8205125
2041,Bolivia,BOL,10613299.8421685
2042,Bolivia,BOL,10722058.8638246
2043,Bolivia,BOL,10830817.8854806
2044,Bolivia,BOL,10939576.9071367
2045,Bolivia,BOL,11048335.928792698
2046,Bolivia,BOL,11148400.437910499
2047,Bolivia,BOL,11248464.9470283
2048,Bolivia,BOL,11348529.4561462
2049,Bolivia,BOL,11448593.965264
2050,Bolivia,BOL,11548658.4743818
2021,Brazil,BRA,185246824.493338
2022,Brazil,BRA,186993704.399732
2023,Brazil,BRA,188740584.306125
2024,Brazil,BRA,190487464.212519
2025,Brazil,BRA,192234344.118912
2026,Brazil,BRA,193787512.460376
