,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_aviation
0,Aruba,ABW,1991,85.19999999999999
1,Aruba,ABW,1992,85.05000000000001
2,Aruba,ABW,1993,86.85
3,Aruba,ABW,1994,90.89999999999999
4,Aruba,ABW,1995,91.95
5,Aruba,ABW,1996,91.5
6,Aruba,ABW,1997,94.95
7,Aruba,ABW,1998,95.7
8,Aruba,ABW,1999,93.3
9,Aruba,ABW,2000,95.4
10,Aruba,ABW,2001,93.0
11,Aruba,ABW,2002,97.05
12,Aruba,ABW,2003,97.05
13,Aruba,ABW,2004,98.10000000000001
14,Aruba,ABW,2005,113.85
15,Aruba,ABW,2006,114.60000000000001
16,Aruba,ABW,2007,115.5
17,Africa Eastern and Southern,AFE,1991,85.19999999999999
18,Africa Eastern and Southern,AFE,1992,85.05000000000001
19,Africa Eastern and Southern,AFE,1993,86.85
20,Africa Eastern and Southern,AFE,1994,90.89999999999999
21,Africa Eastern and Southern,AFE,1995,91.95
22,Africa Eastern and Southern,AFE,1996,91.5
23,Africa Eastern and Southern,AFE,1997,94.95
24,Africa Eastern and Southern,AFE,1998,95.7
25,Africa Eastern and Southern,AFE,1999,93.3
26,Africa Eastern and Southern,AFE,2000,95.4
27,Africa Eastern and Southern,AFE,2001,93.0
28,Africa Eastern and Southern,AFE,2002,97.05
29,Africa Eastern and Southern,AFE,2003,97.05
30,Africa Eastern and Southern,AFE,2004,98.10000000000001
31,Africa Eastern and Southern,AFE,2005,113.85
32,Africa Eastern and Southern,AFE,2006,114.60000000000001
33,Africa Eastern and Southern,AFE,2007,115.5
34,Afghanistan,AFG,1991,85.19999999999999
35,Afghanistan,AFG,1992,85.05000000000001
36,Afghanistan,AFG,1993,86.85
37,Afghanistan,AFG,1994,90.89999999999999
38,Afghanistan,AFG,1995,91.95
39,Afghanistan,AFG,1996,91.5
40,Afghanistan,AFG,1997,94.95
41,Afghanistan,AFG,1998,95.7
42,Afghanistan,AFG,1999,93.3
43,Afghanistan,AFG,2000,95.4
44,Afghanistan,AFG,2001,93.0
45,Afghanistan,AFG,2002,97.05
46,Afghanistan,AFG,2003,97.05
47,Afghanistan,AFG,2004,98.10000000000001
48,Afghanistan,AFG,2005,113.85
49,Afghanistan,AFG,2006,114.60000000000001
50,Afghanistan,AFG,2007,115.5
51,Africa Western and Central,AFW,1991,85.19999999999999
52,Africa Western and Central,AFW,1992,85.05000000000001
53,Africa Western and Central,AFW,1993,86.85
54,Africa Western and Central,AFW,1994,90.89999999999999
55,Africa Western and Central,AFW,1995,91.95
56,Africa Western and Central,AFW,1996,91.5
57,Africa Western and Central,AFW,1997,94.95
58,Africa Western and Central,AFW,1998,95.7
59,Africa Western and Central,AFW,1999,93.3
60,Africa Western and Central,AFW,2000,95.4
61,Africa Western and Central,AFW,2001,93.0
62,Africa Western and Central,AFW,2002,97.05
63,Africa Western and Central,AFW,2003,97.05
64,Africa Western and Central,AFW,2004,98.10000000000001
65,Africa Western and Central,AFW,2005,113.85
66,Africa Western and Central,AFW,2006,114.60000000000001
67,Africa Western and Central,AFW,2007,115.5
68,Angola,AGO,1991,85.19999999999999
69,Angola,AGO,1992,85.05000000000001
70,Angola,AGO,1993,86.85
71,Angola,AGO,1994,90.89999999999999
72,Angola,AGO,1995,91.95
73,Angola,AGO,1996,91.5
74,Angola,AGO,1997,94.95
75,Angola,AGO,1998,95.7
76,Angola,AGO,1999,93.3
77,Angola,AGO,2000,95.4
78,Angola,AGO,2001,93.0
79,Angola,AGO,2002,97.05
80,Angola,AGO,2003,97.05
81,Angola,AGO,2004,98.10000000000001
82,Angola,AGO,2005,113.85
83,Angola,AGO,2006,114.60000000000001
84,Angola,AGO,2007,115.5
85,Albania,ALB,1991,85.19999999999999
86,Albania,ALB,1992,85.05000000000001
87,Albania,ALB,1993,86.85
88,Albania,ALB,1994,90.89999999999999
89,Albania,ALB,1995,91.95
90,Albania,ALB,1996,91.5
91,Albania,ALB,1997,94.95
92,Albania,ALB,1998,95.7
93,Albania,ALB,1999,93.3
94,Albania,ALB,2000,95.4
95,Albania,ALB,2001,93.0
96,Albania,ALB,2002,97.05
97,Albania,ALB,2003,97.05
98,Albania,ALB,2004,98.10000000000001
