Year,iso_code3,frac_lndu_initial_grasslands
1992,ABW,0.2235783051233401
1993,ABW,0.22565425302876174
1994,ABW,0.22636286519339643
1995,ABW,0.22761653279689084
1996,ABW,0.2272171901632139
1997,ABW,0.22706805911178554
1998,ABW,0.22862577587138314
1999,ABW,0.22982593207906224
2000,ABW,0.23158187732299634
2001,ABW,0.23271117049771564
2002,ABW,0.23193732219597504
2003,ABW,0.23267075443849541
2004,ABW,0.23099300591471958
2005,ABW,0.23612212917321115
2006,ABW,0.23839229780018545
2007,ABW,0.2362255244171747
2008,ABW,0.23629964727609493
2009,ABW,0.23484058961996201
2010,ABW,0.23477526214268546
2011,ABW,0.2320184225538919
2012,ABW,0.23336467376977724
2013,ABW,0.2310636049381782
2014,ABW,0.23106240511565662
2019,ABW,0.2440851610440049
2020,ABW,0.24475033965371118
2021,ABW,0.24475033965371118
2022,ABW,0.24475033965371118
2023,ABW,0.24475033965371118
2024,ABW,0.24475033965371118
2025,ABW,0.24475033965371118
2026,ABW,0.24475033965371118
2027,ABW,0.24475033965371118
2028,ABW,0.24475033965371118
2029,ABW,0.24475033965371118
2030,ABW,0.24475033965371118
2031,ABW,0.24475033965371118
2032,ABW,0.24475033965371118
2033,ABW,0.24475033965371118
2034,ABW,0.24475033965371118
2035,ABW,0.24475033965371118
2036,ABW,0.24475033965371118
2037,ABW,0.24475033965371118
2038,ABW,0.24475033965371118
2039,ABW,0.24475033965371118
2040,ABW,0.24475033965371118
2041,ABW,0.24475033965371118
2042,ABW,0.24475033965371118
2043,ABW,0.24475033965371118
2044,ABW,0.24475033965371118
2045,ABW,0.24475033965371118
2046,ABW,0.24475033965371118
2047,ABW,0.24475033965371118
2048,ABW,0.24475033965371118
2049,ABW,0.24475033965371118
2050,ABW,0.24475033965371118
1992,AFG,0.42805064537392795
1993,AFG,0.4236907625946664
1994,AFG,0.42209810170536705
1995,AFG,0.4226912576987608
1996,AFG,0.42226393975502974
1997,AFG,0.42177487585791007
1998,AFG,0.4209810055881567
1999,AFG,0.426333790214234
2000,AFG,0.4280389610746968
2001,AFG,0.43065975389988503
2002,AFG,0.4302676893355926
2003,AFG,0.422164334260046
2004,AFG,0.42880397802066866
2005,AFG,0.42358184360475337
2006,AFG,0.42450218863402917
2007,AFG,0.4252656329389172
2008,AFG,0.4300751463675571
2009,AFG,0.42393430015976047
2010,AFG,0.4269147900608287
2011,AFG,0.4301392712309357
2012,AFG,0.42581740777154525
2013,AFG,0.4253537323245572
2014,AFG,0.4218739762688605
2019,AFG,0.4265542171027441
2020,AFG,0.42066746506591246
2021,AFG,0.42066746506591246
2022,AFG,0.42066746506591246
2023,AFG,0.42066746506591246
2024,AFG,0.42066746506591246
2025,AFG,0.42066746506591246
2026,AFG,0.42066746506591246
2027,AFG,0.42066746506591246
2028,AFG,0.42066746506591246
2029,AFG,0.42066746506591246
2030,AFG,0.42066746506591246
2031,AFG,0.42066746506591246
2032,AFG,0.42066746506591246
2033,AFG,0.42066746506591246
2034,AFG,0.42066746506591246
2035,AFG,0.42066746506591246
2036,AFG,0.42066746506591246
2037,AFG,0.42066746506591246
2038,AFG,0.42066746506591246
2039,AFG,0.42066746506591246
2040,AFG,0.42066746506591246
2041,AFG,0.42066746506591246
2042,AFG,0.42066746506591246
2043,AFG,0.42066746506591246
2044,AFG,0.42066746506591246
2045,AFG,0.42066746506591246
2046,AFG,0.42066746506591246
2047,AFG,0.42066746506591246
2048,AFG,0.42066746506591246
2049,AFG,0.42066746506591246
2050,AFG,0.42066746506591246
1992,AGO,0.3072153706037111
1993,AGO,0.306682040520178
1994,AGO,0.3095864281352305
1995,AGO,0.3127097627123253
1996,AGO,0.31348948574305024
1997,AGO,0.31445088132645926
1998,AGO,0.3141268787296649
1999,AGO,0.31541257499422204
2000,AGO,0.31505008088724706
2001,AGO,0.3169006624995606
2002,AGO,0.31899908776645874
2003,AGO,0.32102808162368307
2004,AGO,0.32012342350077566
2005,AGO,0.3228913464551515
2006,AGO,0.3265967865890142
2007,AGO,0.32725841347158713
2008,AGO,0.33703786475362413
2009,AGO,0.32827256320388176
2010,AGO,0.3310464337799382
2011,AGO,0.32875914156086583
2012,AGO,0.35011920656273837
2013,AGO,0.33507790624896844
2014,AGO,0.34166293124837727
2019,AGO,0.3467013792207184
2020,AGO,0.3489636447739554
2021,AGO,0.3489636447739554
2022,AGO,0.3489636447739554
2023,AGO,0.3489636447739554
2024,AGO,0.3489636447739554
2025,AGO,0.3489636447739554
2026,AGO,0.3489636447739554
2027,AGO,0.3489636447739554
2028,AGO,0.3489636447739554
2029,AGO,0.3489636447739554
2030,AGO,0.3489636447739554
2031,AGO,0.3489636447739554
2032,AGO,0.3489636447739554
2033,AGO,0.3489636447739554
2034,AGO,0.3489636447739554
2035,AGO,0.3489636447739554
2036,AGO,0.3489636447739554
2037,AGO,0.3489636447739554
2038,AGO,0.3489636447739554
2039,AGO,0.3489636447739554
2040,AGO,0.3489636447739554
2041,AGO,0.3489636447739554
2042,AGO,0.3489636447739554
2043,AGO,0.3489636447739554
2044,AGO,0.3489636447739554
2045,AGO,0.3489636447739554
2046,AGO,0.3489636447739554
2047,AGO,0.3489636447739554
2048,AGO,0.3489636447739554
2049,AGO,0.3489636447739554
2050,AGO,0.3489636447739554
1992,ALB,0.31474812923238826
1993,ALB,0.30649197432325304
1994,ALB,0.3049504308349869
1995,ALB,0.314786435349937
1996,ALB,0.31990761290140435
1997,ALB,0.3183514936266216
