Year,iso_code3,cost_enfu_fuel_waste_usd_per_mmbtu
2015,ABW,9380.0
2016,ABW,9380.0
2017,ABW,9380.0
2018,ABW,9380.0
2019,ABW,9380.0
2020,ABW,9380.0
2015,AFG,9380.0
2016,AFG,9380.0
2017,AFG,9380.0
2018,AFG,9380.0
2019,AFG,9380.0
2020,AFG,9380.0
2015,AGO,9380.0
2016,AGO,9380.0
2017,AGO,9380.0
2018,AGO,9380.0
2019,AGO,9380.0
2020,AGO,9380.0
2015,ALB,9380.0
2016,ALB,9380.0
2017,ALB,9380.0
2018,ALB,9380.0
2019,ALB,9380.0
2020,ALB,9380.0
2015,AND,9380.0
2016,AND,9380.0
2017,AND,9380.0
2018,AND,9380.0
2019,AND,9380.0
2020,AND,9380.0
2015,ARE,9380.0
2016,ARE,9380.0
2017,ARE,9380.0
2018,ARE,9380.0
2019,ARE,9380.0
2020,ARE,9380.0
2015,ARG,9380.0
2016,ARG,9380.0
2017,ARG,9380.0
2018,ARG,9380.0
2019,ARG,9380.0
2020,ARG,9380.0
2015,ARM,9380.0
2016,ARM,9380.0
2017,ARM,9380.0
2018,ARM,9380.0
2019,ARM,9380.0
2020,ARM,9380.0
2015,ASM,9380.0
2016,ASM,9380.0
2017,ASM,9380.0
2018,ASM,9380.0
2019,ASM,9380.0
2020,ASM,9380.0
2015,ATG,9380.0
2016,ATG,9380.0
2017,ATG,9380.0
2018,ATG,9380.0
2019,ATG,9380.0
2020,ATG,9380.0
2015,AUS,9380.0
2016,AUS,9380.0
2017,AUS,9380.0
2018,AUS,9380.0
2019,AUS,9380.0
2020,AUS,9380.0
2015,AUT,9380.0
2016,AUT,9380.0
2017,AUT,9380.0
2018,AUT,9380.0
2019,AUT,9380.0
2020,AUT,9380.0
2015,AZE,9380.0
2016,AZE,9380.0
2017,AZE,9380.0
2018,AZE,9380.0
2019,AZE,9380.0
2020,AZE,9380.0
2015,BDI,9380.0
2016,BDI,9380.0
2017,BDI,9380.0
2018,BDI,9380.0
2019,BDI,9380.0
2020,BDI,9380.0
2015,BEL,9380.0
2016,BEL,9380.0
2017,BEL,9380.0
2018,BEL,9380.0
2019,BEL,9380.0
