iso_code3,Year,frac_trns_mtkm_dem_freight_road_heavy_freight,frac_trns_mtkm_dem_freight_rail_freight,frac_trns_mtkm_dem_freight_aviation
IRN,2011,0.487478357,0.2987148,0.2987148
IRN,2012,0.486969209,0.29915886,0.29915886
IRN,2013,0.487811884,0.297264414,0.297264414
IRN,2014,0.492037024,0.292833011,0.292833011
IRN,2015,0.492651192,0.291843121,0.291843121
IRN,2016,0.495600733,0.290809032,0.290809032
IRN,2017,0.499216757,0.288849364,0.288849364
IRN,2018,0.49170023,0.296953364,0.296953364
IRN,2019,0.491415714,0.297064598,0.297064598
IRN,2020,0.489395435,0.298448339,0.298448339
IRN,2021,0.477833674,0.299305212,0.299305212
IRN,2022,0.477833674,0.299305212,0.299305212
IRN,2023,0.477833674,0.299305212,0.299305212
IRN,2024,0.477833674,0.299305212,0.299305212
IRN,2025,0.477833674,0.299305212,0.299305212
IRN,2026,0.477833674,0.299305212,0.299305212
IRN,2027,0.477833674,0.299305212,0.299305212
IRN,2028,0.477833674,0.299305212,0.299305212
IRN,2029,0.477833674,0.299305212,0.299305212
IRN,2030,0.477833674,0.299305212,0.299305212
IRN,2031,0.477833674,0.299305212,0.299305212
IRN,2032,0.477833674,0.299305212,0.299305212
IRN,2033,0.477833674,0.299305212,0.299305212
IRN,2034,0.477833674,0.299305212,0.299305212
IRN,2035,0.477833674,0.299305212,0.299305212
IRN,2036,0.477833674,0.299305212,0.299305212
IRN,2037,0.477833674,0.299305212,0.299305212
IRN,2038,0.477833674,0.299305212,0.299305212
IRN,2039,0.477833674,0.299305212,0.299305212
IRN,2040,0.477833674,0.299305212,0.299305212
IRN,2041,0.477833674,0.299305212,0.299305212
IRN,2042,0.477833674,0.299305212,0.299305212
IRN,2043,0.477833674,0.299305212,0.299305212
IRN,2044,0.477833674,0.299305212,0.299305212
IRN,2045,0.477833674,0.299305212,0.299305212
IRN,2046,0.477833674,0.299305212,0.299305212
IRN,2047,0.477833674,0.299305212,0.299305212
IRN,2048,0.477833674,0.299305212,0.299305212
IRN,2049,0.477833674,0.299305212,0.299305212
IRN,2050,0.477833674,0.299305212,0.299305212
