Year,iso_code3,cost_enfu_fuel_kerosene_usd_per_m3
2021,ABW,274.0889068
2022,ABW,274.0889068
2023,ABW,274.0889068
2024,ABW,274.0889068
2025,ABW,274.0889068
2026,ABW,274.0889068
2027,ABW,274.0889068
2028,ABW,274.0889068
2029,ABW,274.0889068
2030,ABW,274.0889068
2031,ABW,274.0889068
2032,ABW,274.0889068
2033,ABW,274.0889068
2034,ABW,274.0889068
2035,ABW,274.0889068
2036,ABW,274.0889068
2037,ABW,274.0889068
2038,ABW,274.0889068
2039,ABW,274.0889068
2040,ABW,274.0889068
2041,ABW,274.0889068
2042,ABW,274.0889068
2043,ABW,274.0889068
2044,ABW,274.0889068
2045,ABW,274.0889068
2046,ABW,274.0889068
2047,ABW,274.0889068
2048,ABW,274.0889068
2049,ABW,274.0889068
2050,ABW,274.0889068
2021,AFG,274.0889068
2022,AFG,274.0889068
2023,AFG,274.0889068
2024,AFG,274.0889068
2025,AFG,274.0889068
2026,AFG,274.0889068
2027,AFG,274.0889068
2028,AFG,274.0889068
2029,AFG,274.0889068
2030,AFG,274.0889068
2031,AFG,274.0889068
2032,AFG,274.0889068
2033,AFG,274.0889068
2034,AFG,274.0889068
2035,AFG,274.0889068
2036,AFG,274.0889068
2037,AFG,274.0889068
2038,AFG,274.0889068
2039,AFG,274.0889068
2040,AFG,274.0889068
2041,AFG,274.0889068
2042,AFG,274.0889068
2043,AFG,274.0889068
2044,AFG,274.0889068
2045,AFG,274.0889068
2046,AFG,274.0889068
2047,AFG,274.0889068
2048,AFG,274.0889068
2049,AFG,274.0889068
2050,AFG,274.0889068
2021,AGO,274.0889068
2022,AGO,274.0889068
2023,AGO,274.0889068
2024,AGO,274.0889068
2025,AGO,274.0889068
2026,AGO,274.0889068
2027,AGO,274.0889068
2028,AGO,274.0889068
2029,AGO,274.0889068
2030,AGO,274.0889068
2031,AGO,274.0889068
2032,AGO,274.0889068
2033,AGO,274.0889068
2034,AGO,274.0889068
2035,AGO,274.0889068
2036,AGO,274.0889068
2037,AGO,274.0889068
2038,AGO,274.0889068
2039,AGO,274.0889068
2040,AGO,274.0889068
2041,AGO,274.0889068
2042,AGO,274.0889068
2043,AGO,274.0889068
2044,AGO,274.0889068
2045,AGO,274.0889068
2046,AGO,274.0889068
2047,AGO,274.0889068
2048,AGO,274.0889068
2049,AGO,274.0889068
2050,AGO,274.0889068
2021,ALB,274.0889068
2022,ALB,274.0889068
2023,ALB,274.0889068
2024,ALB,274.0889068
2025,ALB,274.0889068
2026,ALB,274.0889068
2027,ALB,274.0889068
2028,ALB,274.0889068
2029,ALB,274.0889068
2030,ALB,274.0889068
2031,ALB,274.0889068
2032,ALB,274.0889068
2033,ALB,274.0889068
2034,ALB,274.0889068
2035,ALB,274.0889068
2036,ALB,274.0889068
2037,ALB,274.0889068
2038,ALB,274.0889068
2039,ALB,274.0889068
2040,ALB,274.0889068
2041,ALB,274.0889068
2042,ALB,274.0889068
2043,ALB,274.0889068
2044,ALB,274.0889068
2045,ALB,274.0889068
2046,ALB,274.0889068
2047,ALB,274.0889068
2048,ALB,274.0889068
2049,ALB,274.0889068
2050,ALB,274.0889068
2021,AND,274.0889068
2022,AND,274.0889068
2023,AND,274.0889068
2024,AND,274.0889068
2025,AND,274.0889068
2026,AND,274.0889068
2027,AND,274.0889068
2028,AND,274.0889068
2029,AND,274.0889068
2030,AND,274.0889068
2031,AND,274.0889068
2032,AND,274.0889068
2033,AND,274.0889068
2034,AND,274.0889068
2035,AND,274.0889068
2036,AND,274.0889068
2037,AND,274.0889068
2038,AND,274.0889068
2039,AND,274.0889068
2040,AND,274.0889068
2041,AND,274.0889068
2042,AND,274.0889068
2043,AND,274.0889068
2044,AND,274.0889068
2045,AND,274.0889068
2046,AND,274.0889068
2047,AND,274.0889068
2048,AND,274.0889068
2049,AND,274.0889068
2050,AND,274.0889068
2021,ARE,274.0889068
2022,ARE,274.0889068
2023,ARE,274.0889068
2024,ARE,274.0889068
2025,ARE,274.0889068
2026,ARE,274.0889068
2027,ARE,274.0889068
2028,ARE,274.0889068
2029,ARE,274.0889068
2030,ARE,274.0889068
2031,ARE,274.0889068
2032,ARE,274.0889068
2033,ARE,274.0889068
2034,ARE,274.0889068
2035,ARE,274.0889068
2036,ARE,274.0889068
2037,ARE,274.0889068
2038,ARE,274.0889068
2039,ARE,274.0889068
2040,ARE,274.0889068
2041,ARE,274.0889068
2042,ARE,274.0889068
2043,ARE,274.0889068
2044,ARE,274.0889068
2045,ARE,274.0889068
2046,ARE,274.0889068
2047,ARE,274.0889068
2048,ARE,274.0889068
2049,ARE,274.0889068
2050,ARE,274.0889068
2021,ARG,257.81875
2022,ARG,257.81875
2023,ARG,257.81875
2024,ARG,257.81875
2025,ARG,257.81875
2026,ARG,257.81875
2027,ARG,257.81875
2028,ARG,257.81875
2029,ARG,257.81875
2030,ARG,257.81875
2031,ARG,257.81875
2032,ARG,257.81875
2033,ARG,257.81875
2034,ARG,257.81875
2035,ARG,257.81875
2036,ARG,257.81875
2037,ARG,257.81875
2038,ARG,257.81875
2039,ARG,257.81875
2040,ARG,257.81875
2041,ARG,257.81875
2042,ARG,257.81875
2043,ARG,257.81875
2044,ARG,257.81875
2045,ARG,257.81875
2046,ARG,257.81875
2047,ARG,257.81875
2048,ARG,257.81875
2049,ARG,257.81875
2050,ARG,257.81875
2021,ARM,25.26166667
2022,ARM,25.26166667
2023,ARM,25.26166667
2024,ARM,25.26166667
2025,ARM,25.26166667
2026,ARM,25.26166667
2027,ARM,25.26166667
2028,ARM,25.26166667
2029,ARM,25.26166667
2030,ARM,25.26166667
2031,ARM,25.26166667
2032,ARM,25.26166667
2033,ARM,25.26166667
2034,ARM,25.26166667
2035,ARM,25.26166667
2036,ARM,25.26166667
2037,ARM,25.26166667
2038,ARM,25.26166667
2039,ARM,25.26166667
2040,ARM,25.26166667
2041,ARM,25.26166667
2042,ARM,25.26166667
2043,ARM,25.26166667
2044,ARM,25.26166667
2045,ARM,25.26166667
2046,ARM,25.26166667
2047,ARM,25.26166667
2048,ARM,25.26166667
2049,ARM,25.26166667
2050,ARM,25.26166667
2021,ASM,274.0889068
2022,ASM,274.0889068
2023,ASM,274.0889068
2024,ASM,274.0889068
2025,ASM,274.0889068
2026,ASM,274.0889068
2027,ASM,274.0889068
2028,ASM,274.0889068
2029,ASM,274.0889068
2030,ASM,274.0889068
2031,ASM,274.0889068
2032,ASM,274.0889068
2033,ASM,274.0889068
2034,ASM,274.0889068
2035,ASM,274.0889068
2036,ASM,274.0889068
2037,ASM,274.0889068
2038,ASM,274.0889068
2039,ASM,274.0889068
2040,ASM,274.0889068
2041,ASM,274.0889068
2042,ASM,274.0889068
2043,ASM,274.0889068
2044,ASM,274.0889068
2045,ASM,274.0889068
2046,ASM,274.0889068
2047,ASM,274.0889068
2048,ASM,274.0889068
2049,ASM,274.0889068
2050,ASM,274.0889068
2021,ATG,274.0889068
2022,ATG,274.0889068
2023,ATG,274.0889068
2024,ATG,274.0889068
2025,ATG,274.0889068
2026,ATG,274.0889068
2027,ATG,274.0889068
2028,ATG,274.0889068
2029,ATG,274.0889068
2030,ATG,274.0889068
2031,ATG,274.0889068
2032,ATG,274.0889068
2033,ATG,274.0889068
2034,ATG,274.0889068
2035,ATG,274.0889068
2036,ATG,274.0889068
2037,ATG,274.0889068
2038,ATG,274.0889068
2039,ATG,274.0889068
2040,ATG,274.0889068
2041,ATG,274.0889068
2042,ATG,274.0889068
2043,ATG,274.0889068
2044,ATG,274.0889068
2045,ATG,274.0889068
2046,ATG,274.0889068
2047,ATG,274.0889068
2048,ATG,274.0889068
2049,ATG,274.0889068
2050,ATG,274.0889068
2021,AUS,274.0889068
2022,AUS,274.0889068
2023,AUS,274.0889068
2024,AUS,274.0889068
2025,AUS,274.0889068
2026,AUS,274.0889068
2027,AUS,274.0889068
2028,AUS,274.0889068
2029,AUS,274.0889068
2030,AUS,274.0889068
2031,AUS,274.0889068
2032,AUS,274.0889068
2033,AUS,274.0889068
2034,AUS,274.0889068
2035,AUS,274.0889068
2036,AUS,274.0889068
2037,AUS,274.0889068
2038,AUS,274.0889068
2039,AUS,274.0889068
2040,AUS,274.0889068
2041,AUS,274.0889068
2042,AUS,274.0889068
2043,AUS,274.0889068
2044,AUS,274.0889068
2045,AUS,274.0889068
2046,AUS,274.0889068
2047,AUS,274.0889068
2048,AUS,274.0889068
2049,AUS,274.0889068
2050,AUS,274.0889068
2021,AUT,274.0889068
2022,AUT,274.0889068
2023,AUT,274.0889068
2024,AUT,274.0889068
2025,AUT,274.0889068
2026,AUT,274.0889068
2027,AUT,274.0889068
2028,AUT,274.0889068
2029,AUT,274.0889068
2030,AUT,274.0889068
2031,AUT,274.0889068
2032,AUT,274.0889068
2033,AUT,274.0889068
2034,AUT,274.0889068
2035,AUT,274.0889068
2036,AUT,274.0889068
2037,AUT,274.0889068
2038,AUT,274.0889068
2039,AUT,274.0889068
2040,AUT,274.0889068
2041,AUT,274.0889068
2042,AUT,274.0889068
2043,AUT,274.0889068
2044,AUT,274.0889068
2045,AUT,274.0889068
2046,AUT,274.0889068
2047,AUT,274.0889068
2048,AUT,274.0889068
2049,AUT,274.0889068
2050,AUT,274.0889068
2021,AZE,274.0889068
2022,AZE,274.0889068
2023,AZE,274.0889068
2024,AZE,274.0889068
2025,AZE,274.0889068
2026,AZE,274.0889068
2027,AZE,274.0889068
2028,AZE,274.0889068
2029,AZE,274.0889068
2030,AZE,274.0889068
2031,AZE,274.0889068
2032,AZE,274.0889068
2033,AZE,274.0889068
2034,AZE,274.0889068
2035,AZE,274.0889068
2036,AZE,274.0889068
2037,AZE,274.0889068
2038,AZE,274.0889068
2039,AZE,274.0889068
2040,AZE,274.0889068
2041,AZE,274.0889068
2042,AZE,274.0889068
2043,AZE,274.0889068
2044,AZE,274.0889068
2045,AZE,274.0889068
2046,AZE,274.0889068
2047,AZE,274.0889068
2048,AZE,274.0889068
2049,AZE,274.0889068
2050,AZE,274.0889068
2021,BDI,274.0889068
2022,BDI,274.0889068
2023,BDI,274.0889068
2024,BDI,274.0889068
2025,BDI,274.0889068
2026,BDI,274.0889068
2027,BDI,274.0889068
2028,BDI,274.0889068
2029,BDI,274.0889068
2030,BDI,274.0889068
2031,BDI,274.0889068
2032,BDI,274.0889068
2033,BDI,274.0889068
2034,BDI,274.0889068
2035,BDI,274.0889068
2036,BDI,274.0889068
2037,BDI,274.0889068
2038,BDI,274.0889068
2039,BDI,274.0889068
2040,BDI,274.0889068
2041,BDI,274.0889068
2042,BDI,274.0889068
2043,BDI,274.0889068
2044,BDI,274.0889068
2045,BDI,274.0889068
2046,BDI,274.0889068
2047,BDI,274.0889068
2048,BDI,274.0889068
2049,BDI,274.0889068
2050,BDI,274.0889068
2021,BEL,274.0889068
2022,BEL,274.0889068
2023,BEL,274.0889068
2024,BEL,274.0889068
2025,BEL,274.0889068
2026,BEL,274.0889068
2027,BEL,274.0889068
2028,BEL,274.0889068
2029,BEL,274.0889068
2030,BEL,274.0889068
2031,BEL,274.0889068
2032,BEL,274.0889068
2033,BEL,274.0889068
2034,BEL,274.0889068
2035,BEL,274.0889068
2036,BEL,274.0889068
2037,BEL,274.0889068
2038,BEL,274.0889068
2039,BEL,274.0889068
2040,BEL,274.0889068
2041,BEL,274.0889068
2042,BEL,274.0889068
2043,BEL,274.0889068
2044,BEL,274.0889068
2045,BEL,274.0889068
2046,BEL,274.0889068
2047,BEL,274.0889068
2048,BEL,274.0889068
2049,BEL,274.0889068
2050,BEL,274.0889068
2021,BEN,274.0889068
2022,BEN,274.0889068
2023,BEN,274.0889068
2024,BEN,274.0889068
2025,BEN,274.0889068
2026,BEN,274.0889068
2027,BEN,274.0889068
2028,BEN,274.0889068
2029,BEN,274.0889068
2030,BEN,274.0889068
2031,BEN,274.0889068
2032,BEN,274.0889068
2033,BEN,274.0889068
2034,BEN,274.0889068
2035,BEN,274.0889068
2036,BEN,274.0889068
2037,BEN,274.0889068
2038,BEN,274.0889068
2039,BEN,274.0889068
2040,BEN,274.0889068
2041,BEN,274.0889068
2042,BEN,274.0889068
2043,BEN,274.0889068
2044,BEN,274.0889068
2045,BEN,274.0889068
2046,BEN,274.0889068
2047,BEN,274.0889068
2048,BEN,274.0889068
2049,BEN,274.0889068
2050,BEN,274.0889068
2021,BFA,274.0889068
2022,BFA,274.0889068
2023,BFA,274.0889068
2024,BFA,274.0889068
2025,BFA,274.0889068
2026,BFA,274.0889068
2027,BFA,274.0889068
2028,BFA,274.0889068
2029,BFA,274.0889068
2030,BFA,274.0889068
2031,BFA,274.0889068
2032,BFA,274.0889068
2033,BFA,274.0889068
2034,BFA,274.0889068
2035,BFA,274.0889068
2036,BFA,274.0889068
2037,BFA,274.0889068
2038,BFA,274.0889068
2039,BFA,274.0889068
2040,BFA,274.0889068
2041,BFA,274.0889068
2042,BFA,274.0889068
2043,BFA,274.0889068
2044,BFA,274.0889068
2045,BFA,274.0889068
2046,BFA,274.0889068
2047,BFA,274.0889068
2048,BFA,274.0889068
2049,BFA,274.0889068
2050,BFA,274.0889068
2021,BGD,698.9014286
2022,BGD,698.9014286
2023,BGD,698.9014286
