Entity,Code,Year,Oil - Crude prices since 1861 (current $)
World,OWID_WRL,1861,3.0816100599765774
World,OWID_WRL,1862,6.603449700117111
World,OWID_WRL,1863,19.810350599765776
World,OWID_WRL,1864,50.68934263896942
World,OWID_WRL,1865,41.44451095962524
World,OWID_WRL,1866,23.520860059976577
World,OWID_WRL,1867,15.1564905397892
World,OWID_WRL,1868,22.82907071971893
World,OWID_WRL,1869,22.891960659742356
World,OWID_WRL,1870,24.275539340257644
World,OWID_WRL,1871,27.294260959625245
World,OWID_WRL,1872,22.891960659742356
World,OWID_WRL,1873,11.508870269894599
World,OWID_WRL,1874,7.3581297301054
World,OWID_WRL,1875,8.490150149941444
World,OWID_WRL,1876,16.099839640140534
World,OWID_WRL,1877,15.21938047981262
World,OWID_WRL,1878,7.4839103598594665
World,OWID_WRL,1879,5.408540089964866
World,OWID_WRL,1880,5.974549925029278
World,OWID_WRL,1881,5.408540089964866
World,OWID_WRL,1882,4.905419820070266
World,OWID_WRL,1883,6.289
World,OWID_WRL,1884,5.282759835064411
World,OWID_WRL,1885,5.534319970011711
World,OWID_WRL,1886,4.4651898650527
World,OWID_WRL,1887,4.213630104959011
World,OWID_WRL,1888,5.534319970011711
World,OWID_WRL,1889,5.911659985005855
World,OWID_WRL,1890,5.471430029988289
World,OWID_WRL,1891,4.213630104959011
World,OWID_WRL,1892,3.5218400149941442
World,OWID_WRL,1893,4.024959910035133
World,OWID_WRL,1894,5.282759835064411
World,OWID_WRL,1895,8.553040089964867
World,OWID_WRL,1896,7.421019670128822
World,OWID_WRL,1897,4.968310134947299
World,OWID_WRL,1898,5.722990164935589
World,OWID_WRL,1899,8.112809760093688
World,OWID_WRL,1900,7.4839103598594665
World,OWID_WRL,1901,6.0374398650527
World,OWID_WRL,1902,5.031200074970722
World,OWID_WRL,1903,5.911659985005855
World,OWID_WRL,1904,5.408540089964866
World,OWID_WRL,1905,3.8991800299882886
World,OWID_WRL,1906,4.590970119953155
World,OWID_WRL,1907,4.528080179929733
World,OWID_WRL,1908,4.528080179929733
World,OWID_WRL,1909,4.402299925029277
World,OWID_WRL,1910,3.8362900899648666
World,OWID_WRL,1911,3.8362900899648666
World,OWID_WRL,1912,4.653860059976577
World,OWID_WRL,1913,5.974549925029278
World,OWID_WRL,1914,5.094090014994144
World,OWID_WRL,1915,4.024959910035133
World,OWID_WRL,1916,6.917900149941444
World,OWID_WRL,1917,9.810839640140532
World,OWID_WRL,1918,12.452220119953155
World,OWID_WRL,1919,12.640889940023422
World,OWID_WRL,1920,19.307229580163956
World,OWID_WRL,1921,10.879970119953155
World,OWID_WRL,1922,10.125290089964865
World,OWID_WRL,1923,8.427260209918021
World,OWID_WRL,1924,8.993269670128822
World,OWID_WRL,1925,10.565519670128822
World,OWID_WRL,1926,11.82331997001171
World,OWID_WRL,1927,8.17569970011711
World,OWID_WRL,1928,7.3581297301054
World,OWID_WRL,1929,7.987029880046844
World,OWID_WRL,1930,7.4839103598594665
World,OWID_WRL,1931,4.087849850058555
World,OWID_WRL,1932,5.471430029988289
World,OWID_WRL,1933,4.213630104959011
World,OWID_WRL,1934,6.289
World,OWID_WRL,1935,6.100330179929733
World,OWID_WRL,1936,6.855010209918022
World,OWID_WRL,1937,7.421019670128822
World,OWID_WRL,1938,7.10656997001171
World,OWID_WRL,1939,6.4147798800468445
World,OWID_WRL,1940,6.4147798800468445
World,OWID_WRL,1941,7.169459910035133
World,OWID_WRL,1942,7.4839103598594665
World,OWID_WRL,1943,7.5468002998828885
World,OWID_WRL,1944,7.60969023990631
World,OWID_WRL,1945,6.603449700117111
World,OWID_WRL,1946,7.0436800299882885
World,OWID_WRL,1947,11.949099850058555
World,OWID_WRL,1948,12.515110059976577
World,OWID_WRL,1949,11.194419820070266
World,OWID_WRL,1950,10.754190239906311
World,OWID_WRL,1951,10.754190239906311
World,OWID_WRL,1952,10.754190239906311
World,OWID_WRL,1953,12.137769670128822
World,OWID_WRL,1954,12.137769670128822
World,OWID_WRL,1955,12.137769670128822
World,OWID_WRL,1956,12.137769670128822
World,OWID_WRL,1957,11.949099850058555
World,OWID_WRL,1958,13.081119520187377
World,OWID_WRL,1959,13.081119520187377
World,OWID_WRL,1960,11.949099850058555
World,OWID_WRL,1961,11.320199700117112
World,OWID_WRL,1962,11.320199700117112
World,OWID_WRL,1963,11.320199700117112
World,OWID_WRL,1964,11.320199700117112
World,OWID_WRL,1965,11.320199700117112
World,OWID_WRL,1966,11.320199700117112
World,OWID_WRL,1967,11.320199700117112
World,OWID_WRL,1968,11.320199700117112
World,OWID_WRL,1969,11.320199700117112
World,OWID_WRL,1970,11.320199700117112
World,OWID_WRL,1971,14.087360059976577
World,OWID_WRL,1972,15.596720119953154
World,OWID_WRL,1973,20.69080976009369
World,OWID_WRL,1974,72.82661952018738
World,OWID_WRL,1975,72.51216832065582
World,OWID_WRL,1976,80.49920119953156
World,OWID_WRL,1977,87.54288047981262
World,OWID_WRL,1978,88.17178287887573
World,OWID_WRL,1979,198.79529383850095
World,OWID_WRL,1980,231.62388151550292
World,OWID_WRL,1981,225.9637719192505
World,OWID_WRL,1982,207.34833767700195
World,OWID_WRL,1983,185.83994520187377
World,OWID_WRL,1984,180.9974243183136
World,OWID_WRL,1985,173.32483664131163
World,OWID_WRL,1986,90.75027191925048
World,OWID_WRL,1987,115.93796354293822
World,OWID_WRL,1988,93.85603904533386
World,OWID_WRL,1989,114.62402066802979
World,OWID_WRL,1990,149.21168538475035
World,OWID_WRL,1991,125.78574575614928
World,OWID_WRL,1992,121.50874402427672
World,OWID_WRL,1993,106.73460566711425
World,OWID_WRL,1994,99.47704991054535
World,OWID_WRL,1995,107.01789903450012
World,OWID_WRL,1996,129.98411819458008
World,OWID_WRL,1997,120.07328860282897
World,OWID_WRL,1998,79.96879233646392
World,OWID_WRL,1999,113.01381748962402
World,OWID_WRL,2000,179.2078791770935
World,OWID_WRL,2001,153.72763380241392
World,OWID_WRL,2002,157.37125888252257
World,OWID_WRL,2003,181.31629579162598
World,OWID_WRL,2004,240.648581161499
World,OWID_WRL,2005,342.8831202087402
World,OWID_WRL,2006,409.69103017425533
World,OWID_WRL,2007,455.254900428772
World,OWID_WRL,2008,611.6428193283081
World,OWID_WRL,2009,387.8505833740234
World,OWID_WRL,2010,499.94743096160886
World,OWID_WRL,2011,699.68646824646
World,OWID_WRL,2012,702.2907472152709
World,OWID_WRL,2013,683.3534066848755
World,OWID_WRL,2014,622.2714366073608
World,OWID_WRL,2015,329.46033811569214
World,OWID_WRL,2016,275.0441888809204
World,OWID_WRL,2017,340.81625536727904
World,OWID_WRL,2018,448.4689584960937
World,OWID_WRL,2019,403.82028283691403
World,OWID_WRL,2020,263.1213490257263
World,OWID_WRL,2021,445.9649123840332
