Year,iso_code3,cost_enfu_fuel_gasoline_usd_per_m3
2017,LCA,2070.2170293586955
2018,LCA,2070.2170293586955
2019,LCA,2070.2170293586955
2020,LCA,2070.2170293586955
2015,LIE,2070.2170293586955
2016,LIE,2070.2170293586955
2017,LIE,2070.2170293586955
2018,LIE,2070.2170293586955
2019,LIE,2070.2170293586955
2020,LIE,2070.2170293586955
2015,LKA,3342.857143
2016,LKA,3342.857143
2017,LKA,3342.857143
2018,LKA,3342.857143
2019,LKA,3342.857143
2020,LKA,3342.857143
2015,LSO,2070.2170293586955
2016,LSO,2070.2170293586955
2017,LSO,2070.2170293586955
2018,LSO,2070.2170293586955
2019,LSO,2070.2170293586955
2020,LSO,2070.2170293586955
2015,LTU,2815.714286
2016,LTU,2815.714286
2017,LTU,2815.714286
2018,LTU,2815.714286
2019,LTU,2815.714286
2020,LTU,2815.714286
2015,LUX,1401.875
2016,LUX,1401.875
2017,LUX,1401.875
2018,LUX,1401.875
2019,LUX,1401.875
2020,LUX,1401.875
2015,LVA,2437.5
2016,LVA,2437.5
2017,LVA,2437.5
2018,LVA,2437.5
2019,LVA,2437.5
2020,LVA,2437.5
2015,MAC,2070.2170293586955
2016,MAC,2070.2170293586955
2017,MAC,2070.2170293586955
2018,MAC,2070.2170293586955
2019,MAC,2070.2170293586955
2020,MAC,2070.2170293586955
2015,MAF,2070.2170293586955
2016,MAF,2070.2170293586955
2017,MAF,2070.2170293586955
2018,MAF,2070.2170293586955
2019,MAF,2070.2170293586955
2020,MAF,2070.2170293586955
2015,MAR,3065.0
2016,MAR,3065.0
2017,MAR,3065.0
2018,MAR,3065.0
2019,MAR,3065.0
2020,MAR,3065.0
2015,MCO,2070.2170293586955
2016,MCO,2070.2170293586955
2017,MCO,2070.2170293586955
2018,MCO,2070.2170293586955
2019,MCO,2070.2170293586955
2020,MCO,2070.2170293586955
2015,MDA,2680.0
2016,MDA,2680.0
2017,MDA,2680.0
2018,MDA,2680.0
2019,MDA,2680.0
2020,MDA,2680.0
2015,MDG,2070.2170293586955
2016,MDG,2070.2170293586955
2017,MDG,2070.2170293586955
2018,MDG,2070.2170293586955
2019,MDG,2070.2170293586955
2020,MDG,2070.2170293586955
2015,MDV,2070.2170293586955
2016,MDV,2070.2170293586955
2017,MDV,2070.2170293586955
2018,MDV,2070.2170293586955
2019,MDV,2070.2170293586955
2020,MDV,2070.2170293586955
2015,MEX,1481.875
2016,MEX,1481.875
2017,MEX,1481.875
2018,MEX,1481.875
2019,MEX,1481.875
2020,MEX,1481.875
2015,MHL,2070.2170293586955
2016,MHL,2070.2170293586955
2017,MHL,2070.2170293586955
2018,MHL,2070.2170293586955
2019,MHL,2070.2170293586955
2020,MHL,2070.2170293586955
2015,MKD,2070.2170293586955
