Year,nemomod_entc_frac_min_share_production_pp_biomass,nemomod_entc_frac_min_share_production_pp_coal,nemomod_entc_frac_min_share_production_pp_hydropower,nemomod_entc_frac_min_share_production_pp_gas,nemomod_entc_frac_min_share_production_pp_nuclear,nemomod_entc_frac_min_share_production_pp_oil,nemomod_entc_frac_min_share_production_pp_solar,nemomod_entc_frac_min_share_production_pp_wind,nemomod_entc_frac_min_share_production_pp_geothermal,nemomod_entc_frac_min_share_production_pp_ocean
2015,4.988721925076523e-05,0.0016462782352752528,0.05020792280309158,0.7926651534210161,0.010383668349766421,0.14425602120919492,3.563372803626088e-06,0.0007875053896013655,0.0,0.0
2016,8.301798031090234e-05,0.0016880322663216808,0.05680159394522197,0.806837914311608,0.02289912623575723,0.11081170830248985,1.3836330051817056e-05,0.000864770628238566,0.0,0.0
2017,0.000123246574231736,0.0022314116597745887,0.04993107921835725,0.8364874726343955,0.024367145057974538,0.08558501581123815,0.0002789264574718236,0.0009957025865563935,0.0,0.0
2018,6.782091403214711e-05,0.002070152661647919,0.050914129034133296,0.8262040634416207,0.024060276644737904,0.09391581809784944,0.0010948233265189462,0.001672915879459629,0.0,0.0
2019,5.5101984589811645e-05,0.0024887729706398257,0.09516418860797081,0.7299023164262077,0.02068161154937597,0.1477682165630443,0.0020571407580196347,0.0018826511401518978,0.0,0.0
2020,6.7168385301221e-05,0.0023333712980728514,0.06446704806628059,0.76814349503392,0.016137934659762924,0.14494645511545662,0.0017025725491570368,0.0022019548920487234,0.0,0.0
2021,6.462326044016869e-05,0.0020482763852557816,0.03446667547041519,0.8018735126113697,0.012244702999924138,0.14548662719964936,0.0017448280318845548,0.002070754041061058,0.0,0.0
2022,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2023,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2024,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2025,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2026,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2027,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2028,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2029,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2030,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
