Year,iso_code3,net_imports_cement_clinker_tonne
2010,ABW,0.189
2011,ABW,0.05
2012,ABW,0.372
2013,ABW,9.079066666666668
2014,ABW,0.935
2015,ABW,1.467
2016,ABW,2.866
2017,ABW,0.914
2018,ABW,28.1387
2019,ABW,92.4238
2020,ABW,0.593
2010,AGO,417801.0
2011,AGO,742778.0
2012,AGO,1093720.0
2013,AGO,531978.0
2014,AGO,693329.0
2015,AGO,5883790.0
2016,AGO,979780.0
2017,AGO,-74500.0
2018,AGO,202777.0
2019,AGO,170931.7
2020,AGO,-198492.9
2010,ALB,-87549.63
2011,ALB,-23341.0
2012,ALB,5260.0
2013,ALB,61594.7
2014,ALB,-8934.051250000002
2015,ALB,-8934.051250000002
2016,ALB,-4677.74
2017,ALB,-8934.051250000002
2018,ALB,-8934.051250000002
2019,ALB,-8934.051250000002
2020,ALB,-8934.051250000002
2011,AND,833.34
2012,AND,58.64
2013,AND,870.998
2014,AND,12079.0
2015,AND,8097.110000000001
2016,AND,13558.4
2017,AND,6333.2
2018,AND,350691.36
2019,AND,23597.4
2020,AND,18849.3
2012,ARE,-1901755.75
2013,ARE,-4325346.0
2014,ARE,-4097133.3
2015,ARE,-2969728.1
2016,ARE,-2398404.0
2017,ARE,343088.0
2018,ARE,-3796994.0
2019,ARE,627548.0
2020,ARE,432762.0
2010,ARG,-70091.40000000001
2011,ARG,429416.72
2012,ARG,2369.5000000000077
2013,ARG,217502.31
2014,ARG,146598.0
2015,ARG,423461.0
2016,ARG,99232.9
2017,ARG,316659.32
2018,ARG,548466.0
2019,ARG,98220.6
2020,ARG,31536.5
2011,ARM,-483.0
2012,ARM,-15406.0
2013,ARM,-86913.495
2014,ARM,-3061.8
2015,ARM,-22.1
2016,ARM,10090.795000000002
2017,ARM,27111.0
2018,ARM,40581.780000000006
2019,ARM,101148.0
2020,ARM,79234.90000000001
2010,ATG,6.449
2011,ATG,485.14456666666666
2012,ATG,485.14456666666666
2013,ATG,485.14456666666666
2014,ATG,485.14456666666666
2015,ATG,485.14456666666666
2016,ATG,485.14456666666666
2017,ATG,8.168000000000001
2018,ATG,21.2562
2019,ATG,2845.57
2020,ATG,485.14456666666666
2010,AUS,1777886.45
2011,AUS,1858460.86
2012,AUS,1806490.07
2013,AUS,2283604.02
2014,AUS,3131955.59
2015,AUS,3380218.074
2016,AUS,3473327.855
2017,AUS,3583160.0
2018,AUS,4144540.0
2019,AUS,3940142.14
2020,AUS,3565078.8
2010,AUT,361056.5
2011,AUT,219820.0
2012,AUT,175480.0
2013,AUT,190693.7
2014,AUT,194220.5
2015,AUT,275011.7
2016,AUT,338620.1
2017,AUT,374418.2
2018,AUT,331349.6
2019,AUT,207580.6
2020,AUT,113050.2
2010,AZE,643317.885
2011,AZE,786340.0
2012,AZE,1102600.0
2013,AZE,1295820.0
2014,AZE,1032860.0
2015,AZE,107255.9
2016,AZE,116216.0
2017,AZE,-211334.0
2018,AZE,-267400.172
2019,AZE,-430827.73
2020,AZE,-381715.3
2010,BDI,0.1
2011,BDI,27323.6
2012,BDI,50162.8
2013,BDI,63410.7
2014,BDI,60842.4
2015,BDI,51755.4
2016,BDI,51202.4
2017,BDI,15384.9
2018,BDI,89099.5
2019,BDI,198794.0
2020,BDI,115627.0
2010,BEL,156141.0
2011,BEL,-26487.0
2012,BEL,41506.0
2013,BEL,21678.0
2014,BEL,197332.0
2015,BEL,318728.0
2016,BEL,88921.0
2017,BEL,379299.0
2018,BEL,215410.0
2019,BEL,167698.0
2020,BEL,1258810.0
2010,BEN,592042.0
2011,BEN,766469.0
2012,BEN,644778.0
2013,BEN,669631.0
2014,BEN,557819.0
2015,BEN,446587.0
2016,BEN,541581.0
2017,BEN,353486.0
2018,BEN,423461.0
2019,BEN,320577.0
2020,BEN,532770.0
2010,BFA,484837.0
2011,BFA,494529.0
2012,BFA,681001.0
2013,BFA,524565.0
2014,BFA,391814.0
2015,BFA,988857.0
2016,BFA,1360130.0
2017,BFA,1678560.0
2018,BFA,1453650.0
2019,BFA,1267829.951
