Year,prodinit_ippu_chemicals_tonne,iso_code3
2021,1327.431,"ABW"
2022,1475.95688317481,"ABW"
2023,1641.1012858605,"ABW"
2024,1824.72364955529,"ABW"
2025,2028.89146814636,"ABW"
2026,2255.90356683342,"ABW"
2027,2508.31598572459,"ABW"
2028,2788.9707595405,"ABW"
2029,3101.02791747147,"ABW"
2030,3448.00106348974,"ABW"
2031,3833.79693773291,"ABW"
2032,4262.75940439946,"ABW"
2033,4739.71836143764,"ABW"
2034,5270.0441227257,"ABW"
2035,5859.70788505913,"ABW"
2036,6515.34896077213,"ABW"
2037,7244.34953299829,"ABW"
2038,8054.91777527647,"ABW"
2039,8956.18027138616,"ABW"
2040,9958.28477601231,"ABW"
2041,11072.5144732722,"ABW"
2042,12311.4150195971,"ABW"
2043,13688.9358014059,"ABW"
2044,15220.586998061,"ABW"
2045,16923.6142185538,"ABW"
2046,18817.1926782405,"ABW"
2047,20922.6431019584,"ABW"
2048,23263.6717844809,"ABW"
2049,25866.6375112711,"ABW"
2050,28760.8483449221,"ABW"
2021,73045.75,"AGO"
2022,82510.7208646197,"AGO"
2023,93202.124115355,"AGO"
2024,105278.875867134,"AGO"
2025,118920.483937998,"AGO"
2026,134329.71603815,"AGO"
2027,151735.613692068,"AGO"
2028,171396.896692388,"AGO"
2029,193605.808689044,"AGO"
2030,218692.461074199,"AGO"
2031,247029.7397301,"AGO"
2032,279038.847573335,"AGO"
2033,315195.565279412,"AGO"
2034,356037.323246535,"AGO"
2035,402171.189915651,"AGO"
2036,454282.895184488,"AGO"
2037,513147.023038829,"AGO"
2038,579638.524903467,"AGO"
2039,654745.724846276,"AGO"
2040,739585.009943689,"AGO"
2041,835417.424163907,"AGO"
2042,943667.41241794,"AGO"
2043,1065943.99338845,"AGO"
2044,1204064.67584757,"AGO"
2045,1360082.47395376,"AGO"
2046,1536316.42308088,"AGO"
2047,1735386.04976412,"AGO"
2048,1960250.30812117,"AGO"
2049,2214251.56149634,"AGO"
2050,2501165.26306695,"AGO"
2021,19346.29,"ALB"
2022,20976.9050456184,"ALB"
2023,22744.9575754777,"ALB"
2024,24662.0316002404,"ALB"
2025,26740.6874966871,"ALB"
2026,28994.5443013911,"ALB"
2027,31438.3689405698,"ALB"
2028,34088.1729807343,"ALB"
2029,36961.3175340324,"ALB"
2030,40076.6270056092,"ALB"
2031,43454.5124282397,"ALB"
2032,47117.1051923044,"ALB"
2033,51088.4020472856,"ALB"
2034,55394.4223248119,"ALB"
2035,60063.3784133527,"ALB"
2036,65125.8606014871,"ALB"
2037,70615.0375008114,"ALB"
2038,76566.8733616265,"ALB"
2039,83020.3637052233,"ALB"
2040,90017.7908165943,"ALB"
2041,97605.0007715193,"ALB"
2042,105831.703813065,"ALB"
2043,114751.800045522,"ALB"
2044,124423.732579668,"ALB"
2045,134910.870443124,"ALB"
2046,146281.923764563,"ALB"
2047,158611.393951999,"ALB"
2048,171980.061814655,"ALB"
2049,186475.516826513,"ALB"
2050,202192.730999193,"ALB"
2021,854514.9,"ARE"
2022,932645.094159175,"ARE"
2023,1017918.90540373,"ARE"
2024,1110989.49050118,"ARE"
2025,1212569.72579217,"ARE"
2026,1323437.66748363,"ARE"
2027,1444442.51118859,"ARE"
2028,1576511.09636005,"ARE"
2029,1720655.00543958,"ARE"
2030,1877978.3120969,"ARE"
2031,2049686.03790818,"ARE"
2032,2237093.38224719,"ARE"
2033,2441635.79608594,"ARE"
2034,2664879.97686522,"ARE"
2035,2908535.86865057,"ARE"
2036,3174469.75948922,"ARE"
2037,3464718.57628729,"ARE"
2038,3781505.48669953,"ARE"
2039,4127256.92753435,"ARE"
2040,4504621.19010374,"ARE"
2041,4916488.70487304,"ARE"
2042,5366014.18078121,"ARE"
2043,5856640.76880832,"ARE"
2044,6392126.43487164,"ARE"
2045,6976572.74405421,"ARE"
2046,7614456.27663927,"ARE"
2047,8310662.91658244,"ARE"
2048,9070525.27505511,"ARE"
2049,9899863.53570541,"ARE"
2050,10805030.034492,"ARE"
2021,3851302,"ARG"
2022,3967350.07272065,"ARG"
2023,4086894.92527892,"ARG"
2024,4210041.92322674,"ARG"
2025,4336899.60700839,"ARG"
2026,4467579.78762686,"ARG"
2027,4602197.64519291,"ARG"
2028,4740871.83044355,"ARG"
2029,4883724.56931955,"ARG"
2030,5030881.77069405,"ARG"
2031,5182473.13734733,"ARG"
2032,5338632.28028541,"ARG"
2033,5499496.83650339,"ARG"
2034,5665208.59029718,"ARG"
2035,5835913.59823072,"ARG"
2036,6011762.31786864,"ARG"
2037,6192909.7403879,"ARG"
2038,6379515.52718545,"ARG"
2039,6571744.15060199,"ARG"
2040,6769765.03888616,"ARG"
2041,6973752.72552678,"ARG"
2042,7183887.0030848,"ARG"
2043,7400353.08166055,"ARG"
2044,7623341.7521359,"ARG"
2045,7853049.55433533,"ARG"
2046,8089678.950254,"ARG"
2047,8333438.50250564,"ARG"
2048,8584543.0581473,"ARG"
2049,8843213.93804336,"ARG"
2050,9109679.13193529,"ARG"
2021,18768.53,"ARM"
2022,20678.7931455347,"ARM"
2023,22783.4830940841,"ARM"
2024,25102.3886280573,"ARM"
2025,27657.3126344161,"ARM"
2026,30472.2771004694,"ARM"
2027,33573.7489741615,"ARM"
2028,36990.8890124475,"ARM"
2029,40755.8259574849,"ARM"
2030,44903.9586185088,"ARM"
2031,49474.2886996367,"ARM"
2032,54509.7875029238,"ARM"
2033,60057.7999544988,"ARM"
2034,66170.4897525263,"ARM"
2035,72905.3298223788,"ARM"
2036,80325.6426903946,"ARM"
2037,88501.195856937,"ARM"
2038,97508.8577665937,"ARM"
2039,107433.320543098,"ARM"
2040,118367.896284293,"ARM"
2041,130415.39440409,"ARM"
2042,143689.088270392,"ARM"
2043,158313.780227535,"ARM"
2044,174426.975016841,"ARM"
2045,192180.172628043,"ARM"
2046,211740.292737281,"ARM"
2047,233291.244124563,"ARM"
2048,257035.653826713,"ARM"
2049,283196.772283703,"ARM"
2050,312020.572391006,"ARM"
2021,103.9759,"ASM"
2022,213.097977559106,"ASM"
2023,436.743014869613,"ASM"
2024,895.10216484571,"ASM"
2025,1834.50646772376,"ASM"
2026,3759.80989913078,"ASM"
2027,7705.70762562745,"ASM"
2028,15792.8011268283,"ASM"
2029,32367.2502966581,"ASM"
2030,66336.4835251941,"ASM"
2031,135956.221370547,"ASM"
2032,278641.45259278,"ASM"
2033,571073.970137821,"ASM"
2034,1170412.64440143,"ASM"
2035,2398753.62878851,"ASM"
2036,4916231.03966782,"ASM"
2037,10075785.7519532,"ASM"
2038,20650261.8978061,"ASM"
2039,42322586.738738,"ASM"
2040,86739885.2916389,"ASM"
2041,177772869.7646,"ASM"
2042,364344420.31004,"ASM"
