Year,iso_code3,pij_lndu_forests_primary_to_forests_mangroves
2019,AFG,0.4901510109497795
2020,AFG,0.490153178074766
2021,AFG,0.490153178074766
2022,AFG,0.490153178074766
2023,AFG,0.490153178074766
2024,AFG,0.490153178074766
2025,AFG,0.490153178074766
2026,AFG,0.490153178074766
2027,AFG,0.490153178074766
2028,AFG,0.490153178074766
2029,AFG,0.490153178074766
2030,AFG,0.490153178074766
2031,AFG,0.490153178074766
2032,AFG,0.490153178074766
2033,AFG,0.490153178074766
2034,AFG,0.490153178074766
2035,AFG,0.490153178074766
2036,AFG,0.490153178074766
2037,AFG,0.490153178074766
2038,AFG,0.490153178074766
2039,AFG,0.490153178074766
2040,AFG,0.490153178074766
2041,AFG,0.490153178074766
2042,AFG,0.490153178074766
2043,AFG,0.490153178074766
2044,AFG,0.490153178074766
2045,AFG,0.490153178074766
2046,AFG,0.490153178074766
2047,AFG,0.490153178074766
2048,AFG,0.490153178074766
2049,AFG,0.490153178074766
2050,AFG,0.490153178074766
2019,AGO,8.823645020922499e-05
2020,AGO,4.3123213040347394e-05
2021,AGO,4.3123213040347394e-05
2022,AGO,4.3123213040347394e-05
2023,AGO,4.3123213040347394e-05
2024,AGO,4.3123213040347394e-05
2025,AGO,4.3123213040347394e-05
2026,AGO,4.3123213040347394e-05
2027,AGO,4.3123213040347394e-05
2028,AGO,4.3123213040347394e-05
2029,AGO,4.3123213040347394e-05
2030,AGO,4.3123213040347394e-05
2031,AGO,4.3123213040347394e-05
2032,AGO,4.3123213040347394e-05
2033,AGO,4.3123213040347394e-05
2034,AGO,4.3123213040347394e-05
2035,AGO,4.3123213040347394e-05
2036,AGO,4.3123213040347394e-05
2037,AGO,4.3123213040347394e-05
2038,AGO,4.3123213040347394e-05
2039,AGO,4.3123213040347394e-05
2040,AGO,4.3123213040347394e-05
2041,AGO,4.3123213040347394e-05
2042,AGO,4.3123213040347394e-05
2043,AGO,4.3123213040347394e-05
2044,AGO,4.3123213040347394e-05
2045,AGO,4.3123213040347394e-05
2046,AGO,4.3123213040347394e-05
2047,AGO,4.3123213040347394e-05
2048,AGO,4.3123213040347394e-05
2049,AGO,4.3123213040347394e-05
2050,AGO,4.3123213040347394e-05
2019,ALB,0.0
2020,ALB,0.0
2021,ALB,0.0
2022,ALB,0.0
2023,ALB,0.0
2024,ALB,0.0
