Year,iso_code3,ef_lndu_conv_forests_secondary_to_grasslands_gg_co2_ha
2015,AFG,0.127696
2016,AFG,0.127696
2017,AFG,0.127696
2018,AFG,0.127696
2019,AFG,0.127696
2015,AGO,0.087605
2016,AGO,0.087605
2017,AGO,0.087605
2018,AGO,0.087605
2019,AGO,0.087605
2015,ALB,0.148938
2016,ALB,0.148938
2017,ALB,0.148938
2018,ALB,0.148938
2019,ALB,0.148938
2015,ARG,0.139169
2016,ARG,0.139169
2017,ARG,0.139169
2018,ARG,0.139169
2019,ARG,0.139169
2015,AUS,0.100356
2016,AUS,0.100356
2017,AUS,0.100356
2018,AUS,0.100356
2019,AUS,0.100356
2015,AUT,0.1499
2016,AUT,0.1499
2017,AUT,0.1499
2018,AUT,0.1499
2019,AUT,0.1499
2015,AZE,0.206074
2016,AZE,0.206074
2017,AZE,0.206074
2018,AZE,0.206074
2019,AZE,0.206074
2015,BDI,0.0753
2016,BDI,0.0753
2017,BDI,0.0753
2018,BDI,0.0753
2019,BDI,0.0753
2015,BEL,0.147173
2016,BEL,0.147173
2017,BEL,0.147173
2018,BEL,0.147173
2019,BEL,0.147173
2015,BEN,0.079478
2016,BEN,0.079478
2017,BEN,0.079478
2018,BEN,0.079478
2019,BEN,0.079478
2015,BFA,0.089231
2016,BFA,0.089231
2017,BFA,0.089231
2018,BFA,0.089231
2019,BFA,0.089231
2015,BGD,0.207143
2016,BGD,0.207143
2017,BGD,0.207143
2018,BGD,0.207143
2019,BGD,0.207143
2015,BGR,0.153008
2016,BGR,0.153008
2017,BGR,0.153008
2018,BGR,0.153008
2019,BGR,0.153008
2015,BHS,0.12164
2016,BHS,0.12164
2017,BHS,0.12164
2018,BHS,0.12164
2019,BHS,0.12164
2015,BIH,0.151405
2016,BIH,0.151405
2017,BIH,0.151405
2018,BIH,0.151405
2019,BIH,0.151405
2015,BOL,0.137484
2016,BOL,0.137484
2017,BOL,0.137484
2018,BOL,0.137484
2019,BOL,0.137484
2015,BRA,0.164698
2016,BRA,0.164698
2017,BRA,0.164698
2018,BRA,0.164698
2019,BRA,0.164698
2015,BTN,0.248233
2016,BTN,0.248233
2017,BTN,0.248233
2018,BTN,0.248233
2019,BTN,0.248233
2015,CAF,0.079655
2016,CAF,0.079655
2017,CAF,0.079655
2018,CAF,0.079655
2019,CAF,0.079655
2015,CAN,0.143228
2016,CAN,0.143228
2017,CAN,0.143228
2018,CAN,0.143228
2019,CAN,0.143228
2015,CHE,0.145637
2016,CHE,0.145637
2017,CHE,0.145637
2018,CHE,0.145637
2019,CHE,0.145637
2015,CHL,0.214534
2016,CHL,0.214534
2017,CHL,0.214534
2018,CHL,0.214534
2019,CHL,0.214534
2015,CHN,0.206435
2016,CHN,0.206435
2017,CHN,0.206435
2018,CHN,0.206435
2019,CHN,0.206435
2015,CIV,0.081018
2016,CIV,0.081018
2017,CIV,0.081018
2018,CIV,0.081018
2019,CIV,0.081018
2015,CMR,0.092389
2016,CMR,0.092389
2017,CMR,0.092389
2018,CMR,0.092389
2019,CMR,0.092389
2015,COD,0.131021
2016,COD,0.131021
2017,COD,0.131021
2018,COD,0.131021
2019,COD,0.131021
2015,COG,0.11328
2016,COG,0.11328
2017,COG,0.11328
2018,COG,0.11328
2019,COG,0.11328
2015,COL,0.22057
2016,COL,0.22057
2017,COL,0.22057
2018,COL,0.22057
2019,COL,0.22057
2015,CRI,0.221269
2016,CRI,0.221269
2017,CRI,0.221269
2018,CRI,0.221269
2019,CRI,0.221269
2015,CUB,0.129109
2016,CUB,0.129109
2017,CUB,0.129109
2018,CUB,0.129109
2019,CUB,0.129109
2015,CUW,0.135034
2016,CUW,0.135034
2017,CUW,0.135034
2018,CUW,0.135034
2019,CUW,0.135034
2015,CYP,0.121616
2016,CYP,0.121616
2017,CYP,0.121616
2018,CYP,0.121616
2019,CYP,0.121616
2015,CZE,0.156893
2016,CZE,0.156893
2017,CZE,0.156893
2018,CZE,0.156893
2019,CZE,0.156893
2015,DEU,0.147918
2016,DEU,0.147918
2017,DEU,0.147918
2018,DEU,0.147918
2019,DEU,0.147918
2015,DNK,0.147173
2016,DNK,0.147173
2017,DNK,0.147173
2018,DNK,0.147173
2019,DNK,0.147173
2015,DOM,0.222053
2016,DOM,0.222053
2017,DOM,0.222053
2018,DOM,0.222053
2019,DOM,0.222053
2015,DZA,0.065028
2016,DZA,0.065028
2017,DZA,0.065028
2018,DZA,0.065028
2019,DZA,0.065028
2015,ECU,0.218682
2016,ECU,0.218682
2017,ECU,0.218682
2018,ECU,0.218682
2019,ECU,0.218682
2015,ERI,0.079054
2016,ERI,0.079054
2017,ERI,0.079054
2018,ERI,0.079054
2019,ERI,0.079054
2015,ESP,0.14308
2016,ESP,0.14308
2017,ESP,0.14308
2018,ESP,0.14308
2019,ESP,0.14308
2015,EST,0.181038
2016,EST,0.181038
2017,EST,0.181038
2018,EST,0.181038
2019,EST,0.181038
2015,ETH,0.084686
2016,ETH,0.084686
2017,ETH,0.084686
2018,ETH,0.084686
2019,ETH,0.084686
2015,FIN,0.142915
2016,FIN,0.142915
2017,FIN,0.142915
2018,FIN,0.142915
2019,FIN,0.142915
2015,GBR,0.147201
2016,GBR,0.147201
2017,GBR,0.147201
2018,GBR,0.147201
2019,GBR,0.147201
2015,GEO,0.203957
2016,GEO,0.203957
2017,GEO,0.203957
2018,GEO,0.203957
2019,GEO,0.203957
2015,GHA,0.080781
2016,GHA,0.080781
2017,GHA,0.080781
2018,GHA,0.080781
2019,GHA,0.080781
2015,GIN,0.08384
2016,GIN,0.08384
2017,GIN,0.08384
2018,GIN,0.08384
2019,GIN,0.08384
2015,GMB,0.08009
2016,GMB,0.08009
2017,GMB,0.08009
2018,GMB,0.08009
2019,GMB,0.08009
2015,GNB,0.080285
2016,GNB,0.080285
2017,GNB,0.080285
2018,GNB,0.080285
2019,GNB,0.080285
2015,GRC,0.14735
2016,GRC,0.14735
2017,GRC,0.14735
2018,GRC,0.14735
2019,GRC,0.14735
2015,GTM,0.18366
2016,GTM,0.18366
2017,GTM,0.18366
2018,GTM,0.18366
2019,GTM,0.18366
2015,HND,0.160803
2016,HND,0.160803
2017,HND,0.160803
2018,HND,0.160803
2019,HND,0.160803
2015,HRV,0.148139
2016,HRV,0.148139
2017,HRV,0.148139
2018,HRV,0.148139
2019,HRV,0.148139
2015,HUN,0.1494
2016,HUN,0.1494
2017,HUN,0.1494
2018,HUN,0.1494
2019,HUN,0.1494
2015,IDN,0.143592
2016,IDN,0.143592
2017,IDN,0.143592
2018,IDN,0.143592
2019,IDN,0.143592
2015,IND,0.193763
2016,IND,0.193763
2017,IND,0.193763
2018,IND,0.193763
2019,IND,0.193763
2015,IRL,0.147173
2016,IRL,0.147173
2017,IRL,0.147173
2018,IRL,0.147173
2019,IRL,0.147173
2015,IRN,0.099063
2016,IRN,0.099063
2017,IRN,0.099063
2018,IRN,0.099063
2019,IRN,0.099063
2015,IRQ,0.073562
2016,IRQ,0.073562
2017,IRQ,0.073562
2018,IRQ,0.073562
2019,IRQ,0.073562
2015,ISL,0.14226
2016,ISL,0.14226
2017,ISL,0.14226
2018,ISL,0.14226
2019,ISL,0.14226
2015,ISR,0.126165
2016,ISR,0.126165
2017,ISR,0.126165
2018,ISR,0.126165
2019,ISR,0.126165
2015,ITA,0.146932
2016,ITA,0.146932
2017,ITA,0.146932
2018,ITA,0.146932
2019,ITA,0.146932
2015,JAM,0.193052
2016,JAM,0.193052
2017,JAM,0.193052
2018,JAM,0.193052
2019,JAM,0.193052
2015,JPN,0.330609
2016,JPN,0.330609
2017,JPN,0.330609
2018,JPN,0.330609
2019,JPN,0.330609
2015,KAZ,0.137845
2016,KAZ,0.137845
2017,KAZ,0.137845
2018,KAZ,0.137845
2019,KAZ,0.137845
2015,KEN,0.105832
2016,KEN,0.105832
2017,KEN,0.105832
2018,KEN,0.105832
2019,KEN,0.105832
2015,KGZ,0.1481
2016,KGZ,0.1481
2017,KGZ,0.1481
2018,KGZ,0.1481
2019,KGZ,0.1481
2015,KHM,0.068947
2016,KHM,0.068947
2017,KHM,0.068947
2018,KHM,0.068947
2019,KHM,0.068947
2015,LAO,0.230875
2016,LAO,0.230875
2017,LAO,0.230875
2018,LAO,0.230875
2019,LAO,0.230875
2015,LBN,0.119427
2016,LBN,0.119427
2017,LBN,0.119427
2018,LBN,0.119427
2019,LBN,0.119427
2015,LBY,0.0591
2016,LBY,0.0591
2017,LBY,0.0591
2018,LBY,0.0591
2019,LBY,0.0591
2015,LKA,0.087667
2016,LKA,0.087667
2017,LKA,0.087667
2018,LKA,0.087667
2019,LKA,0.087667
2015,LTU,0.180781
2016,LTU,0.180781
2017,LTU,0.180781
2018,LTU,0.180781
2019,LTU,0.180781
2015,LVA,0.181008
2016,LVA,0.181008
2017,LVA,0.181008
2018,LVA,0.181008
2019,LVA,0.181008
2015,MAR,0.099635
2016,MAR,0.099635
2017,MAR,0.099635
2018,MAR,0.099635
2019,MAR,0.099635
2015,MDA,0.175166
2016,MDA,0.175166
2017,MDA,0.175166
2018,MDA,0.175166
2019,MDA,0.175166
2015,MEX,0.12648
2016,MEX,0.12648
2017,MEX,0.12648
2018,MEX,0.12648
2019,MEX,0.12648
2015,MKD,0.150702
2016,MKD,0.150702
2017,MKD,0.150702
2018,MKD,0.150702
2019,MKD,0.150702
2015,MLI,0.074513
2016,MLI,0.074513
2017,MLI,0.074513
2018,MLI,0.074513
2019,MLI,0.074513
2015,MMR,0.276702
2016,MMR,0.276702
2017,MMR,0.276702
2018,MMR,0.276702
2019,MMR,0.276702
2015,MNE,0.153402
2016,MNE,0.153402
2017,MNE,0.153402
2018,MNE,0.153402
2019,MNE,0.153402
2015,MNG,0.124134
2016,MNG,0.124134
2017,MNG,0.124134
2018,MNG,0.124134
2019,MNG,0.124134
2015,MOZ,0.093455
2016,MOZ,0.093455
2017,MOZ,0.093455
2018,MOZ,0.093455
2019,MOZ,0.093455
2015,MWI,0.08222
2016,MWI,0.08222
2017,MWI,0.08222
2018,MWI,0.08222
2019,MWI,0.08222
2015,NER,0.066982
2016,NER,0.066982
2017,NER,0.066982
2018,NER,0.066982
2019,NER,0.066982
2015,NGA,0.08941
2016,NGA,0.08941
2017,NGA,0.08941
2018,NGA,0.08941
2019,NGA,0.08941
2015,NIC,0.153214
2016,NIC,0.153214
2017,NIC,0.153214
2018,NIC,0.153214
2019,NIC,0.153214
2015,NLD,0.147173
2016,NLD,0.147173
2017,NLD,0.147173
2018,NLD,0.147173
2019,NLD,0.147173
2015,NPL,0.313928
2016,NPL,0.313928
2017,NPL,0.313928
2018,NPL,0.313928
2019,NPL,0.313928
2015,NZL,0.148406
2016,NZL,0.148406
2017,NZL,0.148406
2018,NZL,0.148406
2019,NZL,0.148406
2015,PAK,0.106616
2016,PAK,0.106616
2017,PAK,0.106616
2018,PAK,0.106616
2019,PAK,0.106616
2015,PAN,0.175032
2016,PAN,0.175032
2017,PAN,0.175032
2018,PAN,0.175032
2019,PAN,0.175032
2015,PER,0.205543
2016,PER,0.205543
2017,PER,0.205543
2018,PER,0.205543
2019,PER,0.205543
2015,PNG,0.148486
2016,PNG,0.148486
2017,PNG,0.148486
2018,PNG,0.148486
2019,PNG,0.148486
2015,POL,0.169223
2016,POL,0.169223
2017,POL,0.169223
2018,POL,0.169223
2019,POL,0.169223
2015,PRI,0.212009
2016,PRI,0.212009
2017,PRI,0.212009
2018,PRI,0.212009
2019,PRI,0.212009
2015,PRK,0.160478
2016,PRK,0.160478
2017,PRK,0.160478
2018,PRK,0.160478
2019,PRK,0.160478
2015,PRT,0.147086
2016,PRT,0.147086
2017,PRT,0.147086
2018,PRT,0.147086
2019,PRT,0.147086
2015,PRY,0.131886
2016,PRY,0.131886
2017,PRY,0.131886
2018,PRY,0.131886
2019,PRY,0.131886
2015,ROU,0.163277
2016,ROU,0.163277
2017,ROU,0.163277
2018,ROU,0.163277
2019,ROU,0.163277
2015,RUS,0.143349
2016,RUS,0.143349
2017,RUS,0.143349
2018,RUS,0.143349
2019,RUS,0.143349
2015,RWA,0.091079
2016,RWA,0.091079
2017,RWA,0.091079
2018,RWA,0.091079
2019,RWA,0.091079
2015,SDN,0.077189
2016,SDN,0.077189
2017,SDN,0.077189
2018,SDN,0.077189
2019,SDN,0.077189
2015,SEN,0.095473
2016,SEN,0.095473
2017,SEN,0.095473
2018,SEN,0.095473
2019,SEN,0.095473
2015,SLE,0.10869
2016,SLE,0.10869
2017,SLE,0.10869
2018,SLE,0.10869
2019,SLE,0.10869
2015,SOM,0.085594
2016,SOM,0.085594
2017,SOM,0.085594
2018,SOM,0.085594
2019,SOM,0.085594
2015,SRB,0.151221
2016,SRB,0.151221
2017,SRB,0.151221
2018,SRB,0.151221
2019,SRB,0.151221
2015,SSD,0.082063
2016,SSD,0.082063
2017,SSD,0.082063
