Year,iso_code3,cost_enfu_fuel_diesel_usd_per_m3
2021,ABW,1840.4389266888888
2022,ABW,1840.4389266888888
2023,ABW,1840.4389266888888
2024,ABW,1840.4389266888888
2025,ABW,1840.4389266888888
2026,ABW,1840.4389266888888
2027,ABW,1840.4389266888888
2028,ABW,1840.4389266888888
2029,ABW,1840.4389266888888
2030,ABW,1840.4389266888888
2031,ABW,1840.4389266888888
2032,ABW,1840.4389266888888
2033,ABW,1840.4389266888888
2034,ABW,1840.4389266888888
2035,ABW,1840.4389266888888
2036,ABW,1840.4389266888888
2037,ABW,1840.4389266888888
2038,ABW,1840.4389266888888
2039,ABW,1840.4389266888888
2040,ABW,1840.4389266888888
2041,ABW,1840.4389266888888
2042,ABW,1840.4389266888888
2043,ABW,1840.4389266888888
2044,ABW,1840.4389266888888
2045,ABW,1840.4389266888888
2046,ABW,1840.4389266888888
2047,ABW,1840.4389266888888
2048,ABW,1840.4389266888888
2049,ABW,1840.4389266888888
2050,ABW,1840.4389266888888
2021,AFG,1840.4389266888888
2022,AFG,1840.4389266888888
2023,AFG,1840.4389266888888
2024,AFG,1840.4389266888888
2025,AFG,1840.4389266888888
2026,AFG,1840.4389266888888
2027,AFG,1840.4389266888888
2028,AFG,1840.4389266888888
2029,AFG,1840.4389266888888
2030,AFG,1840.4389266888888
2031,AFG,1840.4389266888888
2032,AFG,1840.4389266888888
2033,AFG,1840.4389266888888
2034,AFG,1840.4389266888888
2035,AFG,1840.4389266888888
2036,AFG,1840.4389266888888
2037,AFG,1840.4389266888888
2038,AFG,1840.4389266888888
2039,AFG,1840.4389266888888
2040,AFG,1840.4389266888888
2041,AFG,1840.4389266888888
2042,AFG,1840.4389266888888
2043,AFG,1840.4389266888888
2044,AFG,1840.4389266888888
2045,AFG,1840.4389266888888
2046,AFG,1840.4389266888888
2047,AFG,1840.4389266888888
2048,AFG,1840.4389266888888
2049,AFG,1840.4389266888888
2050,AFG,1840.4389266888888
2021,AGO,1840.4389266888888
2022,AGO,1840.4389266888888
2023,AGO,1840.4389266888888
2024,AGO,1840.4389266888888
2025,AGO,1840.4389266888888
2026,AGO,1840.4389266888888
2027,AGO,1840.4389266888888
2028,AGO,1840.4389266888888
2029,AGO,1840.4389266888888
2030,AGO,1840.4389266888888
2031,AGO,1840.4389266888888
2032,AGO,1840.4389266888888
2033,AGO,1840.4389266888888
2034,AGO,1840.4389266888888
2035,AGO,1840.4389266888888
2036,AGO,1840.4389266888888
2037,AGO,1840.4389266888888
2038,AGO,1840.4389266888888
2039,AGO,1840.4389266888888
2040,AGO,1840.4389266888888
2041,AGO,1840.4389266888888
2042,AGO,1840.4389266888888
2043,AGO,1840.4389266888888
2044,AGO,1840.4389266888888
2045,AGO,1840.4389266888888
2046,AGO,1840.4389266888888
2047,AGO,1840.4389266888888
2048,AGO,1840.4389266888888
2049,AGO,1840.4389266888888
2050,AGO,1840.4389266888888
2021,ALB,1837.991497
2022,ALB,1837.991497
2023,ALB,1837.991497
2024,ALB,1837.991497
2025,ALB,1837.991497
2026,ALB,1837.991497
2027,ALB,1837.991497
2028,ALB,1837.991497
2029,ALB,1837.991497
2030,ALB,1837.991497
2031,ALB,1837.991497
2032,ALB,1837.991497
2033,ALB,1837.991497
2034,ALB,1837.991497
2035,ALB,1837.991497
2036,ALB,1837.991497
2037,ALB,1837.991497
2038,ALB,1837.991497
2039,ALB,1837.991497
2040,ALB,1837.991497
2041,ALB,1837.991497
2042,ALB,1837.991497
2043,ALB,1837.991497
2044,ALB,1837.991497
2045,ALB,1837.991497
2046,ALB,1837.991497
2047,ALB,1837.991497
2048,ALB,1837.991497
2049,ALB,1837.991497
2050,ALB,1837.991497
2021,AND,1840.4389266888888
2022,AND,1840.4389266888888
2023,AND,1840.4389266888888
2024,AND,1840.4389266888888
2025,AND,1840.4389266888888
2026,AND,1840.4389266888888
2027,AND,1840.4389266888888
2028,AND,1840.4389266888888
2029,AND,1840.4389266888888
2030,AND,1840.4389266888888
2031,AND,1840.4389266888888
2032,AND,1840.4389266888888
2033,AND,1840.4389266888888
2034,AND,1840.4389266888888
2035,AND,1840.4389266888888
2036,AND,1840.4389266888888
2037,AND,1840.4389266888888
2038,AND,1840.4389266888888
2039,AND,1840.4389266888888
2040,AND,1840.4389266888888
2041,AND,1840.4389266888888
2042,AND,1840.4389266888888
2043,AND,1840.4389266888888
2044,AND,1840.4389266888888
2045,AND,1840.4389266888888
2046,AND,1840.4389266888888
2047,AND,1840.4389266888888
2048,AND,1840.4389266888888
2049,AND,1840.4389266888888
2050,AND,1840.4389266888888
2021,ARE,905.0
2022,ARE,905.0
2023,ARE,905.0
2024,ARE,905.0
2025,ARE,905.0
2026,ARE,905.0
2027,ARE,905.0
2028,ARE,905.0
2029,ARE,905.0
2030,ARE,905.0
2031,ARE,905.0
2032,ARE,905.0
2033,ARE,905.0
2034,ARE,905.0
2035,ARE,905.0
2036,ARE,905.0
2037,ARE,905.0
2038,ARE,905.0
2039,ARE,905.0
2040,ARE,905.0
2041,ARE,905.0
2042,ARE,905.0
2043,ARE,905.0
2044,ARE,905.0
2045,ARE,905.0
2046,ARE,905.0
2047,ARE,905.0
2048,ARE,905.0
2049,ARE,905.0
2050,ARE,905.0
2021,ARG,1611.428571
2022,ARG,1611.428571
2023,ARG,1611.428571
2024,ARG,1611.428571
2025,ARG,1611.428571
2026,ARG,1611.428571
2027,ARG,1611.428571
2028,ARG,1611.428571
2029,ARG,1611.428571
2030,ARG,1611.428571
2031,ARG,1611.428571
2032,ARG,1611.428571
2033,ARG,1611.428571
2034,ARG,1611.428571
2035,ARG,1611.428571
2036,ARG,1611.428571
2037,ARG,1611.428571
2038,ARG,1611.428571
2039,ARG,1611.428571
2040,ARG,1611.428571
2041,ARG,1611.428571
2042,ARG,1611.428571
2043,ARG,1611.428571
2044,ARG,1611.428571
2045,ARG,1611.428571
2046,ARG,1611.428571
2047,ARG,1611.428571
2048,ARG,1611.428571
2049,ARG,1611.428571
2050,ARG,1611.428571
2021,ARM,2165.714286
2022,ARM,2165.714286
2023,ARM,2165.714286
2024,ARM,2165.714286
2025,ARM,2165.714286
2026,ARM,2165.714286
2027,ARM,2165.714286
2028,ARM,2165.714286
2029,ARM,2165.714286
2030,ARM,2165.714286
2031,ARM,2165.714286
2032,ARM,2165.714286
2033,ARM,2165.714286
2034,ARM,2165.714286
2035,ARM,2165.714286
2036,ARM,2165.714286
2037,ARM,2165.714286
2038,ARM,2165.714286
2039,ARM,2165.714286
2040,ARM,2165.714286
2041,ARM,2165.714286
2042,ARM,2165.714286
2043,ARM,2165.714286
2044,ARM,2165.714286
2045,ARM,2165.714286
2046,ARM,2165.714286
2047,ARM,2165.714286
2048,ARM,2165.714286
2049,ARM,2165.714286
2050,ARM,2165.714286
2021,ASM,1840.4389266888888
2022,ASM,1840.4389266888888
2023,ASM,1840.4389266888888
2024,ASM,1840.4389266888888
2025,ASM,1840.4389266888888
2026,ASM,1840.4389266888888
2027,ASM,1840.4389266888888
2028,ASM,1840.4389266888888
2029,ASM,1840.4389266888888
2030,ASM,1840.4389266888888
2031,ASM,1840.4389266888888
2032,ASM,1840.4389266888888
2033,ASM,1840.4389266888888
2034,ASM,1840.4389266888888
2035,ASM,1840.4389266888888
2036,ASM,1840.4389266888888
2037,ASM,1840.4389266888888
2038,ASM,1840.4389266888888
2039,ASM,1840.4389266888888
2040,ASM,1840.4389266888888
2041,ASM,1840.4389266888888
2042,ASM,1840.4389266888888
2043,ASM,1840.4389266888888
2044,ASM,1840.4389266888888
2045,ASM,1840.4389266888888
2046,ASM,1840.4389266888888
2047,ASM,1840.4389266888888
2048,ASM,1840.4389266888888
2049,ASM,1840.4389266888888
2050,ASM,1840.4389266888888
2021,ATG,1840.4389266888888
2022,ATG,1840.4389266888888
2023,ATG,1840.4389266888888
2024,ATG,1840.4389266888888
2025,ATG,1840.4389266888888
2026,ATG,1840.4389266888888
2027,ATG,1840.4389266888888
2028,ATG,1840.4389266888888
2029,ATG,1840.4389266888888
2030,ATG,1840.4389266888888
2031,ATG,1840.4389266888888
2032,ATG,1840.4389266888888
2033,ATG,1840.4389266888888
2034,ATG,1840.4389266888888
2035,ATG,1840.4389266888888
2036,ATG,1840.4389266888888
2037,ATG,1840.4389266888888
2038,ATG,1840.4389266888888
2039,ATG,1840.4389266888888
2040,ATG,1840.4389266888888
2041,ATG,1840.4389266888888
2042,ATG,1840.4389266888888
2043,ATG,1840.4389266888888
2044,ATG,1840.4389266888888
2045,ATG,1840.4389266888888
2046,ATG,1840.4389266888888
2047,ATG,1840.4389266888888
2048,ATG,1840.4389266888888
2049,ATG,1840.4389266888888
2050,ATG,1840.4389266888888
2021,AUS,930.0
2022,AUS,930.0
2023,AUS,930.0
2024,AUS,930.0
2025,AUS,930.0
2026,AUS,930.0
2027,AUS,930.0
2028,AUS,930.0
2029,AUS,930.0
2030,AUS,930.0
2031,AUS,930.0
2032,AUS,930.0
2033,AUS,930.0
