"iso_code3","Year","frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage"
"AUS",2034,0.0448901623686724
"AUS",2035,0.0448901623686724
"AUS",2036,0.0448901623686724
"AUS",2037,0.0448901623686724
"AUS",2038,0.0448901623686724
"AUS",2039,0.0448901623686724
"AUS",2040,0.0448901623686724
"AUS",2041,0.0448901623686724
"AUS",2042,0.0448901623686724
"AUS",2043,0.0448901623686724
"AUS",2044,0.0448901623686724
"AUS",2045,0.0448901623686724
"AUS",2046,0.0448901623686724
"AUS",2047,0.0448901623686724
"AUS",2048,0.0448901623686724
"AUS",2049,0.0448901623686724
"AUS",2050,0.0448901623686724
"AUT",2021,0
"AUT",2022,0
"AUT",2023,0
"AUT",2024,0
"AUT",2025,0
"AUT",2026,0
"AUT",2027,0
"AUT",2028,0
"AUT",2029,0
"AUT",2030,0
"AUT",2031,0
"AUT",2032,0
"AUT",2033,0
"AUT",2034,0
"AUT",2035,0
"AUT",2036,0
"AUT",2037,0
"AUT",2038,0
"AUT",2039,0
"AUT",2040,0
"AUT",2041,0
"AUT",2042,0
"AUT",2043,0
"AUT",2044,0
"AUT",2045,0
"AUT",2046,0
"AUT",2047,0
"AUT",2048,0
"AUT",2049,0
"AUT",2050,0
"AZE",2021,0.683656951775077
"AZE",2022,0.683656951775077
"AZE",2023,0.683656951775077
"AZE",2024,0.683656951775077
"AZE",2025,0.683656951775077
"AZE",2026,0.683656951775077
"AZE",2027,0.683656951775077
"AZE",2028,0.683656951775077
"AZE",2029,0.683656951775077
"AZE",2030,0.683656951775077
"AZE",2031,0.683656951775077
"AZE",2032,0.683656951775077
"AZE",2033,0.683656951775077
"AZE",2034,0.683656951775077
"AZE",2035,0.683656951775077
"AZE",2036,0.683656951775077
"AZE",2037,0.683656951775077
"AZE",2038,0.683656951775077
"AZE",2039,0.683656951775077
"AZE",2040,0.683656951775077
"AZE",2041,0.683656951775077
"AZE",2042,0.683656951775077
"AZE",2043,0.683656951775077
"AZE",2044,0.683656951775077
"AZE",2045,0.683656951775077
"AZE",2046,0.683656951775077
"AZE",2047,0.683656951775077
"AZE",2048,0.683656951775077
"AZE",2049,0.683656951775077
"AZE",2050,0.683656951775077
"BDI",2021,1
"BDI",2022,1
"BDI",2023,1
"BDI",2024,1
"BDI",2025,1
"BDI",2026,1
"BDI",2027,1
"BDI",2028,1
"BDI",2029,1
"BDI",2030,1
"BDI",2031,1
"BDI",2032,1
"BDI",2033,1
"BDI",2034,1
"BDI",2035,1
"BDI",2036,1
"BDI",2037,1
"BDI",2038,1
"BDI",2039,1
"BDI",2040,1
"BDI",2041,1
"BDI",2042,1
"BDI",2043,1
"BDI",2044,1
"BDI",2045,1
"BDI",2046,1
"BDI",2047,1
"BDI",2048,1
"BDI",2049,1
"BDI",2050,1
"BEL",2021,0
"BEL",2022,0
"BEL",2023,0
"BEL",2024,0
"BEL",2025,0
"BEL",2026,0
"BEL",2027,0
"BEL",2028,0
"BEL",2029,0
"BEL",2030,0
"BEL",2031,0
"BEL",2032,0
"BEL",2033,0
"BEL",2034,0
"BEL",2035,0
"BEL",2036,0
"BEL",2037,0
"BEL",2038,0
"BEL",2039,0
"BEL",2040,0
"BEL",2041,0
"BEL",2042,0
"BEL",2043,0
"BEL",2044,0
"BEL",2045,0
"BEL",2046,0
"BEL",2047,0
"BEL",2048,0
"BEL",2049,0
"BEL",2050,0
"BEN",2021,1
"BEN",2022,1
"BEN",2023,1
"BEN",2024,1
"BEN",2025,1
"BEN",2026,1
"BEN",2027,1
"BEN",2028,1
"BEN",2029,1
"BEN",2030,1
"BEN",2031,1
"BEN",2032,1
"BEN",2033,1
"BEN",2034,1
"BEN",2035,1
"BEN",2036,1
"BEN",2037,1
"BEN",2038,1
"BEN",2039,1
"BEN",2040,1
"BEN",2041,1
"BEN",2042,1
"BEN",2043,1
"BEN",2044,1
"BEN",2045,1
"BEN",2046,1
"BEN",2047,1
"BEN",2048,1
"BEN",2049,1
"BEN",2050,1
"BFA",2021,0.950718685831622
"BFA",2022,0.950718685831622
"BFA",2023,0.950718685831622
"BFA",2024,0.950718685831622
"BFA",2025,0.950718685831622
"BFA",2026,0.950718685831622
"BFA",2027,0.950718685831622
"BFA",2028,0.950718685831622
"BFA",2029,0.950718685831622
"BFA",2030,0.950718685831622
"BFA",2031,0.950718685831622
"BFA",2032,0.950718685831622
"BFA",2033,0.950718685831622
"BFA",2034,0.950718685831622
"BFA",2035,0.950718685831622
"BFA",2036,0.950718685831622
"BFA",2037,0.950718685831622
"BFA",2038,0.950718685831622
"BFA",2039,0.950718685831622
"BFA",2040,0.950718685831622
"BFA",2041,0.950718685831622
"BFA",2042,0.950718685831622
"BFA",2043,0.950718685831622
