iso_code3,Nation,Year,frac_trns_fuelmix_public_electricity
ABW,Aruba,2021,0.2958795279831344
ABW,Aruba,2022,0.29434707876633515
ABW,Aruba,2023,0.2928305561672278
ABW,Aruba,2024,0.2913297131833241
ABW,Aruba,2025,0.28984430789347887
ABW,Aruba,2026,0.29480004768387996
ABW,Aruba,2027,0.2999290447149786
ABW,Aruba,2028,0.30524054648711113
ABW,Aruba,2029,0.31074447052768617
ABW,Aruba,2030,0.3164514661941307
ABW,Aruba,2031,0.3221562163905702
ABW,Aruba,2032,0.32807136815476046
ABW,Aruba,2033,0.3342087801604403
ABW,Aruba,2034,0.34058121931768914
ABW,Aruba,2035,0.34720244942068496
ABW,Aruba,2036,0.35359997575385316
ABW,Aruba,2037,0.36023866985385095
ABW,Aruba,2038,0.3671324306592675
ABW,Aruba,2039,0.374296246056304
ABW,Aruba,2040,0.3817463016548132
ABW,Aruba,2041,0.38883638455454056
ABW,Aruba,2042,0.3961958082229529
ABW,Aruba,2043,0.40384021755160376
ABW,Aruba,2044,0.41178649301815645
ABW,Aruba,2045,0.4200528751218239
ABW,Aruba,2046,0.42768175050642865
ABW,Aruba,2047,0.4355937949130308
ABW,Aruba,2048,0.44380507250216034
ABW,Aruba,2049,0.4523328859463167
ABW,Aruba,2050,0.4611958981339839
AFG,Afghanistan,2021,0.01574612896602606
AFG,Afghanistan,2022,0.015466233733907883
AFG,Afghanistan,2023,0.015198317270666251
AFG,Afghanistan,2024,0.014941626697890566
AFG,Afghanistan,2025,0.014695470934771027
AFG,Afghanistan,2026,0.014397150861615261
AFG,Afghanistan,2027,0.014113524236512139
AFG,Afghanistan,2028,0.013843531585136962
AFG,Afghanistan,2029,0.01358621290063156
AFG,Afghanistan,2030,0.013340696238318352
AFG,Afghanistan,2031,0.013080985971179475
AFG,Afghanistan,2032,0.012833922472094115
AFG,Afghanistan,2033,0.0125986039336696
AFG,Afghanistan,2034,0.012374212298499282
AFG,Afghanistan,2035,0.012160003757538035
AFG,Afghanistan,2036,0.011930844593064748
AFG,Afghanistan,2037,0.011712803780894798
AFG,Afghanistan,2038,0.011505091324658821
AFG,Afghanistan,2039,0.011306990338930824
AFG,Afghanistan,2040,0.011117848782833641
AFG,Afghanistan,2041,0.010911684212532295
AFG,Afghanistan,2042,0.010715619921062857
AFG,Afghanistan,2043,0.010528931416040683
AFG,Afghanistan,2044,0.010350961877429333
AFG,Afghanistan,2045,0.010181114436536501
AFG,Afghanistan,2046,0.009992273232427205
AFG,Afghanistan,2047,0.00981289502900426
AFG,Afghanistan,2048,0.009642285913490173
AFG,Afghanistan,2049,0.009479818199611375
AFG,Afghanistan,2050,0.009324922710957135
AGO,Angola,2021,0.015193493086341376
AGO,Angola,2022,0.015092254013028413
AGO,Angola,2023,0.014994194097942492
AGO,Angola,2024,0.014899165905809576
AGO,Angola,2025,0.014807030979099418
AGO,Angola,2026,0.014840515617456217
AGO,Angola,2027,0.01487357085209936
AGO,Angola,2028,0.014906204890350529
AGO,Angola,2029,0.014938425731696783
AGO,Angola,2030,0.01497024117432812
AGO,Angola,2031,0.015081784252732315
AGO,Angola,2032,0.01519314148856928
AGO,Angola,2033,0.015304313345902524
AGO,Angola,2034,0.015415300287251705
AGO,Angola,2035,0.01552610277359916
AGO,Angola,2036,0.015616956491429189
AGO,Angola,2037,0.015707305584823972
AGO,Angola,2038,0.01579715424635706
AGO,Angola,2039,0.015886506622286
AGO,Angola,2040,0.015975366813190218
AGO,Angola,2041,0.015993923550250214
AGO,Angola,2042,0.016012187619941536
AGO,Angola,2043,0.01603016589179301
AGO,Angola,2044,0.016047865022012407
AGO,Angola,2045,0.016065291461703136
AGO,Angola,2046,0.015987076052170958
AGO,Angola,2047,0.01591109530997644
AGO,Angola,2048,0.01583725481499921
AGO,Angola,2049,0.01576546539254725
AGO,Angola,2050,0.01569564275409008
ALB,Albania,2021,0.0008032128514056225
ALB,Albania,2022,0.0008032128514056225
ALB,Albania,2023,0.0008032128514056225
ALB,Albania,2024,0.0008032128514056225
ALB,Albania,2025,0.0008032128514056225
ALB,Albania,2026,0.0008032128514056225
ALB,Albania,2027,0.0008032128514056225
ALB,Albania,2028,0.0008032128514056225
ALB,Albania,2029,0.0008032128514056225
ALB,Albania,2030,0.0008032128514056225
ALB,Albania,2031,0.0008032128514056225
ALB,Albania,2032,0.0008032128514056225
ALB,Albania,2033,0.0008032128514056225
ALB,Albania,2034,0.0008032128514056225
ALB,Albania,2035,0.0008032128514056225
ALB,Albania,2036,0.0008032128514056225
ALB,Albania,2037,0.0008032128514056225
ALB,Albania,2038,0.0008032128514056225
ALB,Albania,2039,0.0008032128514056225
ALB,Albania,2040,0.0008032128514056225
ALB,Albania,2041,0.0008032128514056225
ALB,Albania,2042,0.0008032128514056225
ALB,Albania,2043,0.0008032128514056225
ALB,Albania,2044,0.0008032128514056225
ALB,Albania,2045,0.0008032128514056225
ALB,Albania,2046,0.0008032128514056225
ALB,Albania,2047,0.0008032128514056225
ALB,Albania,2048,0.0008032128514056225
ALB,Albania,2049,0.0008032128514056225
ALB,Albania,2050,0.0008032128514056225
ARE,United Arab Emirates,2021,0.0082637910858635
ARE,United Arab Emirates,2022,0.00819168987837247
ARE,United Arab Emirates,2023,0.008121718281363858
ARE,United Arab Emirates,2024,0.008053783316404675
ARE,United Arab Emirates,2025,0.007987797339984884
ARE,United Arab Emirates,2026,0.007802327508439793
ARE,United Arab Emirates,2027,0.007628734711119697
ARE,United Arab Emirates,2028,0.007465913479457219
ARE,United Arab Emirates,2029,0.007312891406922334
ARE,United Arab Emirates,2030,0.007168809713508194
ARE,United Arab Emirates,2031,0.007037422313570203
ARE,United Arab Emirates,2032,0.006913065916461857
ARE,United Arab Emirates,2033,0.006795190849044622
ARE,United Arab Emirates,2034,0.006683303279792257
ARE,United Arab Emirates,2035,0.006576958303203345
ARE,United Arab Emirates,2036,0.006477625673295011
ARE,United Arab Emirates,2037,0.006382888019048495
ARE,United Arab Emirates,2038,0.006292433713332932
ARE,United Arab Emirates,2039,0.006205978685104707
ARE,United Arab Emirates,2040,0.0061232634394253116
ARE,United Arab Emirates,2041,0.006052290307922612
ARE,United Arab Emirates,2042,0.005983980095164415
ARE,United Arab Emirates,2043,0.005918185691482718
ARE,United Arab Emirates,2044,0.0058547706271362895
ARE,United Arab Emirates,2045,0.005793608127459409
ARE,United Arab Emirates,2046,0.005742952020199027
ARE,United Arab Emirates,2047,0.0056938098994050385
ARE,United Arab Emirates,2048,0.00564611489043855
ARE,United Arab Emirates,2049,0.005599804000091209
ARE,United Arab Emirates,2050,0.0055548178390131394
ARG,Argentina,2021,0.0027447921181127386
ARG,Argentina,2022,0.0027447921181127386
ARG,Argentina,2023,0.0027447921181127386
